<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSEW.US,5,20250829,153000,84.6554,84.6554,84.2801,84.2801,3140,0
GSEW.US,5,20250829,153500,84.4,84.4,84.4,84.4,532,0
GSEW.US,5,20250829,155500,84.4,84.4,84.4,84.4,294,0
GSEW.US,5,20250829,160000,84.3861,84.3861,84.3861,84.3861,250,0
GSEW.US,5,20250829,163000,84.16487,84.16487,84.16487,84.16487,253,0
GSEW.US,5,20250829,165000,84.07,84.07,84.07,84.07,100,0
GSEW.US,5,20250829,165500,84.06,84.06,84.06,84.06,160,0
GSEW.US,5,20250829,170000,84.125,84.125,84.125,84.125,100,0
GSEW.US,5,20250829,170500,84.0901,84.1229,84.0901,84.1229,727,0
GSEW.US,5,20250829,172000,84.11,84.1299,84.11,84.1299,400,0
GSEW.US,5,20250829,173000,84.1095,84.1095,84.105,84.105,795,0
GSEW.US,5,20250829,175500,84.2153,84.2153,84.2153,84.2153,416,0
GSEW.US,5,20250829,180000,84.175,84.175,84.175,84.175,100,0
GSEW.US,5,20250829,181000,84.22,84.22,84.22,84.22,164,0
GSEW.US,5,20250829,181500,84.225,84.225,84.225,84.225,660,0
GSEW.US,5,20250829,182000,84.28,84.28,84.245,84.245,200,0
GSEW.US,5,20250829,184000,84.2894,84.2894,84.2324,84.2324,379,0
GSEW.US,5,20250829,190500,84.19,84.2,84.1899,84.2,5450,0
GSEW.US,5,20250829,191000,84.1452,84.1452,84.1452,84.1452,182,0
GSEW.US,5,20250829,193000,84.2412,84.2412,84.2412,84.2412,151,0
GSEW.US,5,20250829,194000,84.221,84.221,84.221,84.221,2373,0
GSEW.US,5,20250829,194500,84.26,84.26,84.26,84.26,100,0
GSEW.US,5,20250829,201500,84.15,84.15,84.15,84.15,100,0
GSEW.US,5,20250829,204000,84.1522,84.1522,84.1522,84.1522,600,0
GSEW.US,5,20250829,204500,84.19,84.19,84.19,84.19,100,0
GSEW.US,5,20250829,211500,84.18,84.18,84.18,84.18,100,0
GSEW.US,5,20250829,212000,84.18,84.18,84.18,84.18,131,0
GSEW.US,5,20250829,212500,84.16,84.16,84.16,84.16,100,0
GSEW.US,5,20250829,213000,84.16,84.16,84.16,84.16,500,0
GSEW.US,5,20250829,214000,84.14,84.16,84.14,84.16,700,0
GSEW.US,5,20250829,214500,84.16,84.18,84.16,84.16,2865,0
GSEW.US,5,20250829,215500,84.21,84.23,84.21,84.23,302,0
GSEW.US,5,20250902,154500,83.1801,83.22857,83.1801,83.22857,470,0
GSEW.US,5,20250902,160500,83.6887,83.6899,83.65,83.65,3839,0
GSEW.US,5,20250902,161000,83.65,83.66,83.57,83.57,1100,0
GSEW.US,5,20250902,162000,83.63,83.63,83.63,83.63,100,0
GSEW.US,5,20250902,163000,83.6183,83.6183,83.6183,83.6183,300,0
GSEW.US,5,20250902,163500,83.62,83.62,83.62,83.62,100,0
GSEW.US,5,20250902,165000,83.4799,83.4799,83.46,83.46,300,0
GSEW.US,5,20250902,172000,83.2901,83.2901,83.2901,83.2901,100,0
GSEW.US,5,20250902,173000,83.295,83.295,83.295,83.295,382,0
GSEW.US,5,20250902,173500,83.22,83.22,83.22,83.22,1195,0
GSEW.US,5,20250902,175000,83.195,83.195,83.19,83.19,323,0
GSEW.US,5,20250902,175500,83.1945,83.1945,83.1899,83.1899,1502,0
GSEW.US,5,20250902,180000,83.2295,83.2295,83.2295,83.2295,200,0
GSEW.US,5,20250902,182000,83.12,83.12,83.12,83.12,443,0
GSEW.US,5,20250902,182500,83.1799,83.1799,83.12,83.12,363,0
GSEW.US,5,20250902,183000,83.17,83.17,83.1699,83.1699,220,0
GSEW.US,5,20250902,183500,83.1414,83.1414,83.1414,83.1414,433,0
GSEW.US,5,20250902,184500,83.16,83.16,83.16,83.16,300,0
GSEW.US,5,20250902,185000,83.19,83.19,83.19,83.19,100,0
GSEW.US,5,20250902,185500,83.2001,83.2001,83.2001,83.2001,126,0
GSEW.US,5,20250902,190000,83.2306,83.29,83.2306,83.29,246,0
GSEW.US,5,20250902,192000,83.29,83.33,83.29,83.33,340,0
GSEW.US,5,20250902,193500,83.4499,83.4499,83.4499,83.4499,100,0
GSEW.US,5,20250902,194000,83.52,83.52,83.52,83.52,100,0
GSEW.US,5,20250902,195500,83.4939,83.4939,83.4939,83.4939,240,0
GSEW.US,5,20250902,200000,83.4745,83.4745,83.4745,83.4745,144,0
GSEW.US,5,20250902,201000,83.42,83.42,83.42,83.42,101,0
GSEW.US,5,20250902,201500,83.42,83.42,83.42,83.42,100,0
GSEW.US,5,20250902,202500,83.39,83.39,83.39,83.39,100,0
GSEW.US,5,20250902,203500,83.375,83.375,83.375,83.375,636,0
GSEW.US,5,20250902,204000,83.3328,83.3328,83.3328,83.3328,450,0
GSEW.US,5,20250902,204500,83.33,83.33,83.33,83.33,200,0
GSEW.US,5,20250902,205000,83.47,83.47,83.47,83.47,100,0
GSEW.US,5,20250902,210000,83.47,83.48,83.3946,83.3946,3133,0
GSEW.US,5,20250902,210500,83.44,83.44,83.44,83.44,200,0
GSEW.US,5,20250902,211000,83.47,83.4712,83.4551,83.4712,616,0
