<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEQT.US,5,20250829,153500,30.86,30.86,30.86,30.86,119,0
HEQT.US,5,20250829,155500,30.82,30.82,30.82,30.82,210,0
HEQT.US,5,20250829,160500,30.8,30.8,30.79,30.79,400,0
HEQT.US,5,20250829,161500,30.7754,30.7754,30.7754,30.7754,784,0
HEQT.US,5,20250829,163000,30.793,30.793,30.793,30.793,539,0
HEQT.US,5,20250829,165000,30.77,30.77,30.77,30.77,230,0
HEQT.US,5,20250829,165500,30.7605,30.7605,30.7605,30.7605,3392,0
HEQT.US,5,20250829,171500,30.77,30.77,30.77,30.77,176399,0
HEQT.US,5,20250829,173000,30.79,30.79,30.79,30.79,100,0
HEQT.US,5,20250829,175000,30.77,30.79,30.77,30.79,5000,0
HEQT.US,5,20250829,180000,30.79,30.79,30.79,30.79,327,0
HEQT.US,5,20250829,182500,30.79,30.79,30.79,30.79,100,0
HEQT.US,5,20250829,183000,30.7784,30.7784,30.7784,30.7784,219,0
HEQT.US,5,20250829,183500,30.79,30.79,30.79,30.79,800,0
HEQT.US,5,20250829,184500,30.81,30.81,30.81,30.81,100,0
HEQT.US,5,20250829,185500,30.774,30.774,30.774,30.774,101,0
HEQT.US,5,20250829,191000,30.79,30.79,30.79,30.79,100,0
HEQT.US,5,20250829,191500,30.787,30.787,30.78,30.78,332,0
HEQT.US,5,20250829,192500,30.775,30.78,30.775,30.78,200,0
HEQT.US,5,20250829,201500,30.8,30.8,30.8,30.8,128,0
HEQT.US,5,20250829,202500,30.7943,30.7943,30.7943,30.7943,361,0
HEQT.US,5,20250829,203000,30.81,30.81,30.81,30.81,100,0
HEQT.US,5,20250829,210000,30.7857,30.7857,30.7857,30.7857,129,0
HEQT.US,5,20250829,210500,30.79,30.8,30.79,30.7999,900,0
HEQT.US,5,20250829,211000,30.774,30.774,30.774,30.774,236,0
HEQT.US,5,20250829,211500,30.7616,30.8,30.7616,30.8,1388,0
HEQT.US,5,20250829,213000,30.785,30.79,30.785,30.79,843,0
HEQT.US,5,20250829,213500,30.7619,30.7619,30.7619,30.7619,222,0
HEQT.US,5,20250829,214500,30.7999,30.8,30.7999,30.8,725,0
HEQT.US,5,20250829,215500,30.79,30.81,30.77,30.77,1300,0
HEQT.US,5,20250902,153000,30.6799,30.6799,30.6799,30.6799,250,0
HEQT.US,5,20250902,153500,30.565,30.63,30.565,30.63,1685,0
HEQT.US,5,20250902,154500,30.74,30.74,30.6,30.6,500,0
HEQT.US,5,20250902,155000,30.64,30.64,30.64,30.64,308,0
HEQT.US,5,20250902,160000,30.68,30.68,30.68,30.68,100,0
HEQT.US,5,20250902,161000,30.68,30.6899,30.68,30.6899,1247,0
HEQT.US,5,20250902,161500,30.66,30.66,30.66,30.66,326,0
HEQT.US,5,20250902,162000,30.69,30.69,30.69,30.69,100,0
HEQT.US,5,20250902,164500,30.68,30.68,30.64,30.64,600,0
HEQT.US,5,20250902,165500,30.64,30.64,30.6399,30.6399,462,0
HEQT.US,5,20250902,171000,30.6201,30.6201,30.6201,30.6201,327,0
HEQT.US,5,20250902,171500,30.6122,30.63,30.6122,30.6145,1246,0
HEQT.US,5,20250902,172000,30.61,30.64,30.6001,30.64,1742,0
HEQT.US,5,20250902,172500,30.64,30.64,30.64,30.64,243,0
HEQT.US,5,20250902,173000,30.61,30.61,30.61,30.61,100,0
HEQT.US,5,20250902,175500,30.6096,30.6096,30.595,30.595,6460,0
HEQT.US,5,20250902,180000,30.6,30.6,30.6,30.6,100,0
HEQT.US,5,20250902,181000,30.5681,30.5681,30.5681,30.5681,274,0
HEQT.US,5,20250902,181500,30.59,30.59,30.59,30.59,700,0
HEQT.US,5,20250902,182500,30.59,30.59,30.59,30.59,100,0
HEQT.US,5,20250902,183000,30.59,30.59,30.59,30.59,400,0
HEQT.US,5,20250902,184000,30.6,30.6,30.6,30.6,1004,0
HEQT.US,5,20250902,184500,30.6,30.6098,30.6,30.6098,1200,0
HEQT.US,5,20250902,185000,30.61,30.61,30.61,30.61,200,0
HEQT.US,5,20250902,191000,30.62,30.62,30.62,30.62,200,0
HEQT.US,5,20250902,191500,30.615,30.615,30.615,30.615,1000,0
HEQT.US,5,20250902,192500,30.64,30.64,30.64,30.64,100,0
HEQT.US,5,20250902,193000,30.64,30.66,30.64,30.66,989,0
HEQT.US,5,20250902,193500,30.6427,30.6427,30.6403,30.6403,910,0
HEQT.US,5,20250902,194500,30.6636,30.6636,30.652,30.652,1151,0
HEQT.US,5,20250902,195000,30.6662,30.6662,30.66,30.66,530,0
HEQT.US,5,20250902,200500,30.66,30.66,30.66,30.66,100,0
HEQT.US,5,20250902,201000,30.6629,30.6629,30.6629,30.6629,167,0
HEQT.US,5,20250902,202000,30.66,30.66,30.66,30.66,100,0
HEQT.US,5,20250902,203500,30.63,30.63,30.63,30.63,684,0
HEQT.US,5,20250902,204000,30.6215,30.6215,30.6215,30.6215,158,0
HEQT.US,5,20250902,204500,30.6148,30.6162,30.6148,30.6162,307,0
HEQT.US,5,20250902,210500,30.67,30.67,30.665,30.665,206,0
HEQT.US,5,20250902,211000,30.665,30.665,30.6506,30.6506,504,0
HEQT.US,5,20250902,215000,30.61,30.7199,30.6,30.7199,413,0
HEQT.US,5,20250902,215500,30.7195,30.72,30.7195,30.72,1270,0
HEQT.US,5,20250903,153500,30.78,30.78,30.78,30.78,232,0
HEQT.US,5,20250903,154500,30.8,30.8,30.8,30.8,100,0
