<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HPS.US,5,20250829,153000,14.85,14.8681,14.85,14.8681,1175,0
HPS.US,5,20250829,153500,14.85,14.8561,14.85,14.8561,970,0
HPS.US,5,20250829,154000,14.84,14.84,14.84,14.84,100,0
HPS.US,5,20250829,154500,14.84,14.8498,14.84,14.84,1043,0
HPS.US,5,20250829,155000,14.84,14.85,14.84,14.85,536,0
HPS.US,5,20250829,155500,14.845,14.845,14.84,14.84,300,0
HPS.US,5,20250829,160000,14.845,14.9,14.83,14.845,21525,0
HPS.US,5,20250829,160500,14.845,14.845,14.845,14.845,100,0
HPS.US,5,20250829,161000,14.8436,14.845,14.83,14.845,2221,0
HPS.US,5,20250829,161500,14.845,14.845,14.845,14.845,200,0
HPS.US,5,20250829,162000,14.8348,14.845,14.8348,14.845,200,0
HPS.US,5,20250829,162500,14.83,14.83,14.83,14.83,500,0
HPS.US,5,20250829,163000,14.83,14.83,14.83,14.83,191,0
HPS.US,5,20250829,163500,14.83,14.83,14.83,14.83,475,0
HPS.US,5,20250829,171000,14.8499,14.8499,14.8499,14.8499,1000,0
HPS.US,5,20250829,171500,14.84,14.84,14.84,14.84,231,0
HPS.US,5,20250829,172000,14.82,14.8499,14.82,14.8305,2000,0
HPS.US,5,20250829,172500,14.83,14.83,14.82,14.82,900,0
HPS.US,5,20250829,173000,14.82,14.82,14.82,14.82,613,0
HPS.US,5,20250829,174000,14.818,14.818,14.818,14.818,134,0
HPS.US,5,20250829,175500,14.819,14.8191,14.811,14.811,450,0
HPS.US,5,20250829,180500,14.819,14.819,14.819,14.819,150,0
HPS.US,5,20250829,181500,14.8199,14.8199,14.815,14.815,658,0
HPS.US,5,20250829,182000,14.81,14.81,14.81,14.81,200,0
HPS.US,5,20250829,182500,14.81,14.81,14.8001,14.8001,942,0
HPS.US,5,20250829,183000,14.81,14.81,14.81,14.81,725,0
HPS.US,5,20250829,184000,14.81,14.81,14.81,14.81,320,0
HPS.US,5,20250829,190500,14.81,14.8198,14.8,14.8,1283,0
HPS.US,5,20250829,195000,14.81,14.81,14.8092,14.8092,1841,0
HPS.US,5,20250829,195500,14.8,14.8,14.8,14.8,1938,0
HPS.US,5,20250829,200500,14.806,14.806,14.806,14.806,310,0
HPS.US,5,20250829,201000,14.8,14.8,14.8,14.8,436,0
HPS.US,5,20250829,201500,14.805,14.805,14.79,14.8,635,0
HPS.US,5,20250829,202000,14.79,14.795,14.79,14.79,714,0
HPS.US,5,20250829,202500,14.79,14.79,14.79,14.79,117,0
HPS.US,5,20250829,210000,14.751346,14.76,14.751346,14.76,621,0
HPS.US,5,20250829,210500,14.7796,14.7796,14.7796,14.7796,169,0
HPS.US,5,20250829,211000,14.74,14.74,14.74,14.74,135,0
HPS.US,5,20250829,215000,14.753,14.753,14.753,14.753,100,0
HPS.US,5,20250829,215500,14.75,14.78,14.75,14.78,498,0
HPS.US,5,20250902,153000,14.75,14.75,14.75,14.75,456,0
HPS.US,5,20250902,154000,14.77,14.77,14.77,14.77,300,0
HPS.US,5,20250902,155500,14.7954,14.7954,14.75,14.77,1638,0
HPS.US,5,20250902,160000,14.8,14.8,14.775,14.775,1200,0
HPS.US,5,20250902,160500,14.78,14.78,14.7698,14.7698,250,0
HPS.US,5,20250902,161000,14.79,14.79,14.775,14.775,657,0
