<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYHG.US,5,20250829,153000,64.925,64.925,64.925,64.925,100,0
HYHG.US,5,20250829,161500,64.7483,64.7483,64.7483,64.7483,500,0
HYHG.US,5,20250829,172500,64.5839,64.5839,64.5839,64.5839,215,0
HYHG.US,5,20250829,173000,64.92,64.92,64.9199,64.9199,400,0
HYHG.US,5,20250829,175500,64.92,64.92,64.92,64.92,100,0
HYHG.US,5,20250829,184000,64.92,64.92,64.92,64.92,300,0
HYHG.US,5,20250829,185000,64.6896,64.6896,64.6896,64.6896,154,0
HYHG.US,5,20250829,190000,64.8418,64.8418,64.8418,64.8418,500,0
HYHG.US,5,20250829,190500,64.816164,64.816164,64.816164,64.816164,200,0
HYHG.US,5,20250829,192500,64.91,64.91,64.91,64.91,216,0
HYHG.US,5,20250829,205500,64.92,64.92,64.92,64.92,100,0
HYHG.US,5,20250902,155500,64.4059,64.4059,64.4059,64.4059,100,0
HYHG.US,5,20250902,160500,64.32,64.32,64.32,64.32,105,0
HYHG.US,5,20250902,162500,64.32,64.5178,64.32,64.5178,200,0
HYHG.US,5,20250902,173000,64.48,64.5088,64.48,64.5088,402,0
HYHG.US,5,20250902,180500,64.4421,64.4421,64.4421,64.4421,2046,0
HYHG.US,5,20250902,181500,64.485,64.5,64.37,64.37,6919,0
HYHG.US,5,20250902,193500,64.3301,64.3301,64.3301,64.3301,114,0
HYHG.US,5,20250902,194500,64.37,64.37,64.37,64.37,100,0
HYHG.US,5,20250903,162500,64.6195,64.6195,64.6195,64.6195,108,0
HYHG.US,5,20250903,165000,64.41,64.41,64.41,64.41,156,0
HYHG.US,5,20250903,172000,64.41,64.41,64.41,64.41,412,0
HYHG.US,5,20250903,181000,64.5,64.5,64.5,64.5,122,0
HYHG.US,5,20250903,181500,64.56,64.5885,64.5,64.5,1271,0
HYHG.US,5,20250903,184000,64.4101,64.4101,64.4101,64.4101,191,0
HYHG.US,5,20250903,190000,64.56,64.56,64.5509,64.5509,208,0
HYHG.US,5,20250903,191500,64.56,64.56,64.56,64.56,100,0
HYHG.US,5,20250903,203000,64.5,64.5,64.5,64.5,137,0
HYHG.US,5,20250904,172000,64.5899,64.5899,64.5899,64.5899,267,0
HYHG.US,5,20250904,174500,64.5881,64.5881,64.5881,64.5881,224,0
HYHG.US,5,20250904,185000,64.57,64.57,64.57,64.57,100,0
HYHG.US,5,20250904,191500,64.6,64.6,64.5,64.5,507,0
HYHG.US,5,20250904,193000,64.6,64.6,64.6,64.6,100,0
HYHG.US,5,20250904,202500,64.6,64.6,64.6,64.6,155,0
HYHG.US,5,20250904,212000,64.45,64.91,64.45,64.91,473,0
HYHG.US,5,20250904,214500,65.05,65.05,65.05,65.05,100,0
HYHG.US,5,20250905,153000,64.535,64.535,64.535,64.535,404,0
