<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IHI.US,5,20250829,153000,61.89,62.03,61.89,62.0001,8871,0
IHI.US,5,20250829,153500,62.01,62.07,62.01,62.03,1950,0
IHI.US,5,20250829,154000,62.08,62.11,62.02,62.1,15283,0
IHI.US,5,20250829,154500,62.118,62.14,62.0875,62.12,3016,0
IHI.US,5,20250829,155000,62.07,62.07,62.01,62.025,10433,0
IHI.US,5,20250829,155500,62.02,62.04,62.02,62.03,2200,0
IHI.US,5,20250829,160000,61.99,62,61.93,61.93,3122,0
IHI.US,5,20250829,160500,61.92,61.92,61.815,61.85,5504,0
IHI.US,5,20250829,161000,61.81,61.81,61.79,61.79,893,0
IHI.US,5,20250829,161500,61.79,61.79,61.73,61.76,1502,0
IHI.US,5,20250829,162000,61.77,61.8,61.74,61.77,13601,0
IHI.US,5,20250829,162500,61.78,61.78,61.75,61.76,1866,0
IHI.US,5,20250829,163000,61.78,61.82,61.77,61.82,8408,0
IHI.US,5,20250829,163500,61.83,61.84,61.818,61.84,1662,0
IHI.US,5,20250829,164000,61.86,61.89,61.83,61.86,6828,0
IHI.US,5,20250829,164500,61.87,61.89,61.82,61.84,4060,0
IHI.US,5,20250829,165000,61.85,61.89,61.845,61.89,3522,0
IHI.US,5,20250829,165500,61.89,61.9,61.875,61.8751,8822,0
IHI.US,5,20250829,170000,61.875,61.9,61.87,61.87,7238,0
IHI.US,5,20250829,170500,61.85,61.87,61.825,61.86,8581,0
IHI.US,5,20250829,171000,61.86,61.87,61.82,61.82,1385,0
IHI.US,5,20250829,171500,61.79,61.8,61.74,61.74,3563,0
IHI.US,5,20250829,172000,61.73,61.74,61.7,61.735,6291,0
IHI.US,5,20250829,172500,61.7351,61.76,61.7351,61.75,1196,0
IHI.US,5,20250829,173000,61.76,61.8,61.755,61.78,3724,0
IHI.US,5,20250829,173500,61.775,61.85,61.775,61.85,4942,0
IHI.US,5,20250829,174000,61.84,61.88,61.84,61.88,2145,0
IHI.US,5,20250829,174500,61.88,61.91,61.875,61.89,2226,0
IHI.US,5,20250829,175000,61.88,61.88,61.85,61.86,3922,0
IHI.US,5,20250829,175500,61.87,61.91,61.87,61.9,7169,0
