<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IQHI.US,5,20250829,200500,26.6024,26.6024,26.6024,26.6024,123,0
IQHI.US,5,20250829,201000,26.5838,26.5838,26.5838,26.5838,100,0
IQHI.US,5,20250902,204500,26.33,26.33,26.28,26.28,3670,0
IQHI.US,5,20250902,215500,26.38,26.38,26.38,26.38,104,0
IQHI.US,5,20250903,163500,26.3922,26.3922,26.3922,26.3922,100,0
IQHI.US,5,20250904,203500,26.4506,26.4506,26.4506,26.4506,132,0
IQHI.US,5,20250904,215500,26.51,26.51,26.51,26.51,312,0
IQHI.US,5,20250908,161000,26.58,26.58,26.58,26.58,100,0
IQHI.US,5,20250910,161000,26.48,26.4801,26.44,26.4801,918,0
IQHI.US,5,20250910,163000,26.58,26.58,26.58,26.58,100,0
IQHI.US,5,20250911,215500,26.63,26.63,26.63,26.63,312,0
IQHI.US,5,20250912,162000,26.6,26.6,26.6,26.6,230,0
IQHI.US,5,20250915,162000,26.595,26.595,26.595,26.595,121,0
IQHI.US,5,20250915,162500,26.65,26.65,26.65,26.65,100,0
IQHI.US,5,20250915,215500,26.66,26.66,26.66,26.66,368,0
IQHI.US,5,20250918,175000,26.615,26.615,26.615,26.615,100,0
IQHI.US,5,20250918,180000,26.68,26.68,26.68,26.68,100,0
IQHI.US,5,20250918,212000,26.65,26.65,26.65,26.65,510,0
IQHI.US,5,20250918,215500,26.68,26.68,26.68,26.68,368,0
IQHI.US,5,20250919,193000,26.6726,26.6726,26.6726,26.6726,100,0
IQHI.US,5,20250922,215500,26.71,26.71,26.71,26.71,369,0
IQHI.US,5,20250924,193000,26.677,26.677,26.677,26.677,100,0
IQHI.US,5,20250924,205500,26.6002,26.6002,26.6002,26.6002,500,0
IQHI.US,5,20250924,210000,26.71,26.71,26.71,26.71,200,0
IQHI.US,5,20250924,211000,26.59,26.59,26.59,26.59,235,0
IQHI.US,5,20251001,180500,26.49,26.49,26.469,26.469,510,0
IQHI.US,5,20251014,215500,26.32,26.32,26.32,26.32,421,0
IQHI.US,5,20251016,214000,26.44,26.44,26.44,26.44,18990,0
IQHI.US,5,20251016,214500,26.36,26.37,26.23,26.23,4681,0
IQHI.US,5,20251020,190500,26.38,26.38,26.38,26.38,228,0
IQHI.US,5,20251021,163500,26.4555,26.4555,26.4555,26.4555,188,0
IQHI.US,5,20251023,215500,26.47,26.47,26.47,26.47,368,0
IQHI.US,5,20251024,215500,26.52,26.52,26.52,26.52,418,0
IQHI.US,5,20251027,145500,26.58,26.58,26.58,26.58,100,0
IQHI.US,5,20251027,192500,26.58,26.58,26.5799,26.5799,200,0
IQHI.US,5,20251027,205500,26.58,26.58,26.58,26.58,445,0
IQHI.US,5,20251029,165000,26.5628,26.5628,26.5628,26.5628,100,0
IQHI.US,5,20251030,202500,26.5393,26.5393,26.5393,26.5393,400,0
IQHI.US,5,20251103,164000,26.24,26.24,26.24,26.24,200,0
