<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITDG.US,5,20250829,153000,36.007,36.007,36.007,36.007,226,0
ITDG.US,5,20250829,153500,36,36,36,36,100,0
ITDG.US,5,20250829,154000,35.955,35.955,35.955,35.955,182,0
ITDG.US,5,20250829,160500,35.88,35.88,35.88,35.88,100,0
ITDG.US,5,20250829,162000,35.8446,35.8446,35.8446,35.8446,157,0
ITDG.US,5,20250829,192500,35.8614,35.87,35.85,35.87,2517,0
ITDG.US,5,20250829,200500,35.88,35.88,35.8799,35.8799,1066,0
ITDG.US,5,20250902,162500,35.58,35.58,35.58,35.58,100,0
ITDG.US,5,20250902,170000,35.5314,35.5314,35.5314,35.5314,122,0
ITDG.US,5,20250902,194500,35.5896,35.5896,35.5896,35.5896,100,0
ITDG.US,5,20250903,203000,35.67,35.67,35.67,35.67,100,0
ITDG.US,5,20250903,203500,35.68,35.68,35.68,35.68,100,0
ITDG.US,5,20250903,204000,35.65,35.66,35.65,35.66,200,0
ITDG.US,5,20250903,204500,35.68,35.68,35.68,35.68,200,0
ITDG.US,5,20250903,205000,35.67,35.68,35.67,35.68,300,0
ITDG.US,5,20250903,205500,35.67,35.67,35.67,35.67,200,0
ITDG.US,5,20250904,153500,35.83,35.83,35.83,35.83,100,0
ITDG.US,5,20250904,160000,35.8296,35.8296,35.8296,35.8296,100,0
ITDG.US,5,20250904,170000,35.85,35.85,35.85,35.85,100,0
ITDG.US,5,20250904,170500,35.85,35.85,35.85,35.85,118,0
ITDG.US,5,20250904,195500,35.9328,35.9328,35.9328,35.9328,300,0
ITDG.US,5,20250905,195500,35.974,35.974,35.974,35.974,227,0
ITDG.US,5,20250908,162500,36.21,36.21,36.21,36.21,100,0
ITDG.US,5,20250908,164500,36.24,36.24,36.2399,36.2399,1800,0
ITDG.US,5,20250908,165000,36.225,36.25,36.225,36.2463,3900,0
ITDG.US,5,20250908,165500,36.26,36.26,36.26,36.26,100,0
ITDG.US,5,20250908,171500,36.29,36.29,36.2899,36.2899,1800,0
ITDG.US,5,20250908,173500,36.29,36.3,36.2899,36.2899,2014,0
ITDG.US,5,20250908,174500,36.28,36.28,36.28,36.28,512,0
ITDG.US,5,20250908,180000,36.28,36.28,36.28,36.28,100,0
ITDG.US,5,20250908,181000,36.29,36.29,36.285,36.285,1000,0
ITDG.US,5,20250908,183500,36.28,36.28,36.22,36.22,498,0
ITDG.US,5,20250908,184000,36.23,36.23,36.23,36.23,132,0
ITDG.US,5,20250908,193000,36.25,36.25,36.25,36.25,500,0
ITDG.US,5,20250908,193500,36.23,36.23,36.2299,36.2299,1800,0
ITDG.US,5,20250908,194000,36.21,36.21,36.21,36.21,100,0
ITDG.US,5,20250908,202500,36.25,36.25,36.25,36.25,100,0
ITDG.US,5,20250908,211000,36.25,36.25,36.25,36.25,200,0
ITDG.US,5,20250908,215500,36.27,36.27,36.2699,36.2699,600,0
ITDG.US,5,20250909,154000,36.27,36.27,36.27,36.27,773,0
ITDG.US,5,20250909,160000,36.24,36.24,36.24,36.24,100,0
ITDG.US,5,20250909,163000,36.23,36.23,36.23,36.23,900,0
ITDG.US,5,20250909,163500,36.23,36.23,36.23,36.23,893,0
ITDG.US,5,20250909,180000,36.22,36.22,36.21,36.21,200,0
ITDG.US,5,20250909,183500,36.26,36.26,36.249,36.249,965,0
ITDG.US,5,20250909,201500,36.28,36.28,36.28,36.28,2344,0
ITDG.US,5,20250909,205000,36.3,36.3,36.3,36.3,100,0
ITDG.US,5,20250909,213000,36.29,36.29,36.29,36.29,185,0
ITDG.US,5,20250909,215500,36.3,36.3,36.3,36.3,102,0
ITDG.US,5,20250910,153000,36.48,36.48,36.48,36.48,100,0
ITDG.US,5,20250910,161000,36.4784,36.4784,36.4784,36.4784,274,0
ITDG.US,5,20250910,173000,36.41,36.41,36.39,36.39,548,0
ITDG.US,5,20250910,175500,36.46,36.46,36.46,36.46,100,0
ITDG.US,5,20250910,193000,36.3601,36.3601,36.3601,36.3601,500,0
ITDG.US,5,20250910,203500,36.37,36.37,36.37,36.37,100,0
ITDG.US,5,20250911,153000,36.51,36.51,36.51,36.51,100,0
ITDG.US,5,20250911,160000,36.62,36.62,36.62,36.62,117,0
ITDG.US,5,20250911,165500,36.6384,36.6384,36.6384,36.6384,184,0
ITDG.US,5,20250911,171500,36.68,36.71,36.68,36.71,600,0
ITDG.US,5,20250911,181500,36.73,36.73,36.73,36.73,100,0
ITDG.US,5,20250911,192000,36.7024,36.7024,36.7024,36.7024,100,0
ITDG.US,5,20250911,203500,36.71,36.71,36.71,36.71,100,0
ITDG.US,5,20250911,204500,36.72,36.72,36.72,36.72,100,0
ITDG.US,5,20250911,205000,36.72,36.72,36.72,36.72,100,0
ITDG.US,5,20250911,205500,36.72,36.72,36.72,36.72,200,0
ITDG.US,5,20250912,153000,36.74,36.74,36.74,36.74,100,0
ITDG.US,5,20250912,170500,36.67,36.67,36.65,36.67,1471,0
ITDG.US,5,20250912,172500,36.638,36.638,36.638,36.638,500,0
ITDG.US,5,20250912,180500,36.64,36.64,36.64,36.64,100,0
ITDG.US,5,20250912,182000,36.6597,36.6597,36.6597,36.6597,272,0
ITDG.US,5,20250912,182500,36.648,36.648,36.648,36.648,300,0
ITDG.US,5,20250912,183500,36.65,36.65,36.65,36.65,190,0
ITDG.US,5,20250912,190000,36.67,36.67,36.67,36.67,100,0
ITDG.US,5,20250912,203500,36.73,36.73,36.73,36.73,100,0
ITDG.US,5,20250915,154000,36.79,36.79,36.79,36.79,100,0
ITDG.US,5,20250915,154500,36.8,36.8,36.8,36.8,400,0
ITDG.US,5,20250915,155000,36.82,36.83,36.8125,36.8126,4229,0
ITDG.US,5,20250915,162000,36.83,36.84,36.83,36.84,295,0
ITDG.US,5,20250915,171000,36.86,36.86,36.86,36.86,100,0
ITDG.US,5,20250915,173500,36.85,36.85,36.835,36.835,542,0
ITDG.US,5,20250915,175000,36.85,36.85,36.85,36.85,100,0
ITDG.US,5,20250915,175500,36.87,36.87,36.8699,36.8699,400,0
ITDG.US,5,20250915,182000,36.86,36.86,36.86,36.86,100,0
ITDG.US,5,20250915,185000,36.844,36.844,36.844,36.844,1085,0
ITDG.US,5,20250915,200000,36.86,36.86,36.86,36.86,100,0
ITDG.US,5,20250915,211000,36.84,36.84,36.84,36.84,100,0
ITDG.US,5,20250915,214000,36.84,36.84,36.84,36.84,100,0
ITDG.US,5,20250916,153000,36.95,36.95,36.95,36.95,100,0
ITDG.US,5,20250916,154500,36.86,36.86,36.86,36.86,582,0
ITDG.US,5,20250916,155000,36.85,36.85,36.85,36.85,232,0
ITDG.US,5,20250916,160000,36.84,36.84,36.84,36.84,400,0
ITDG.US,5,20250916,171500,36.84,36.84,36.78,36.78,819,0
