<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IWFG.US,5,20250829,161000,52.24,52.24,52.24,52.24,100,0
IWFG.US,5,20250829,192000,52.2,52.2,52.2,52.2,100,0
IWFG.US,5,20250829,214000,52.3314,52.3314,52.3314,52.3314,152,0
IWFG.US,5,20250829,215500,52.32,52.32,52.32,52.32,239,0
IWFG.US,5,20250904,162000,52.01,52.01,52.01,52.01,100,0
IWFG.US,5,20250904,174500,52.26,52.26,52.26,52.26,100,0
IWFG.US,5,20250904,180500,52.27,52.27,52.27,52.27,100,0
IWFG.US,5,20250904,212000,52.42,52.43,52.42,52.43,299,0
IWFG.US,5,20250905,162000,52.51,52.51,52.51,52.51,100,0
IWFG.US,5,20250905,192500,52.38,52.38,52.38,52.38,333,0
IWFG.US,5,20250905,215500,52.3596,52.36,52.3596,52.36,635,0
IWFG.US,5,20250908,170000,52.94,52.94,52.94,52.94,200,0
IWFG.US,5,20250910,192500,53.565,53.565,53.565,53.565,190,0
IWFG.US,5,20250910,214500,53.5216,53.5216,53.5216,53.5216,105,0
IWFG.US,5,20250910,215500,53.508,53.56,53.508,53.56,1100,0
IWFG.US,5,20250911,163000,53.53,53.53,53.53,53.53,141,0
IWFG.US,5,20250911,164500,53.67,53.67,53.67,53.67,100,0
IWFG.US,5,20250911,181500,53.66,53.66,53.66,53.66,141,0
IWFG.US,5,20250911,205000,53.56,53.56,53.56,53.56,151,0
IWFG.US,5,20250912,154500,53.37,53.37,53.37,53.37,181,0
IWFG.US,5,20250912,162000,53.3495,53.3495,53.34,53.34,259,0
IWFG.US,5,20250912,162500,53.37,53.37,53.37,53.37,940,0
IWFG.US,5,20250912,182500,53.4,53.4,53.4,53.4,100,0
IWFG.US,5,20250912,203000,53.38,53.38,53.38,53.38,126,0
IWFG.US,5,20250912,211500,53.392,53.392,53.36,53.3601,1300,0
IWFG.US,5,20250912,214500,53.33,53.33,53.33,53.33,100,0
IWFG.US,5,20250915,160000,53.53,53.53,53.53,53.53,100,0
IWFG.US,5,20250915,191000,53.77,53.77,53.77,53.77,700,0
IWFG.US,5,20250915,191500,53.77,53.77,53.74,53.74,3102,0
IWFG.US,5,20250915,192000,53.73,53.73,53.73,53.73,89278,0
IWFG.US,5,20250916,155500,53.68,53.6801,53.68,53.6801,1880,0
IWFG.US,5,20250916,160000,53.6729,53.6729,53.6729,53.6729,256,0
IWFG.US,5,20250916,170000,53.67,53.67,53.67,53.67,340,0
IWFG.US,5,20250917,180000,53.1795,53.3082,53.155,53.155,12679,0
IWFG.US,5,20250917,180500,53.2,53.2,53.2,53.2,5598,0
IWFG.US,5,20250917,190500,53.18,53.18,53.18,53.18,100,0
IWFG.US,5,20250917,201000,53.13,53.13,53.13,53.13,100,0
IWFG.US,5,20250917,213500,53.38,53.38,53.38,53.38,100,0
IWFG.US,5,20250917,215000,53.33,53.33,53.33,53.33,300,0
IWFG.US,5,20250918,154500,53.59,53.59,53.56,53.56,200,0
IWFG.US,5,20250918,162000,53.8883,53.8883,53.8883,53.8883,100,0
IWFG.US,5,20250918,163500,53.98,53.98,53.98,53.98,100,0
IWFG.US,5,20250918,170500,53.88,53.88,53.88,53.88,700,0
IWFG.US,5,20250918,172000,54,54,54,54,200,0
IWFG.US,5,20250918,172500,53.95,53.95,53.95,53.95,100,0
IWFG.US,5,20250918,193000,53.97,53.97,53.97,53.97,100,0
IWFG.US,5,20250918,203000,53.84,53.84,53.83,53.83,300,0
IWFG.US,5,20250918,210500,53.86,53.86,53.86,53.86,100,0
IWFG.US,5,20250918,212500,53.85,53.85,53.85,53.85,100,0
IWFG.US,5,20250918,214000,53.8,53.8,53.8,53.8,100,0
IWFG.US,5,20250918,214500,53.76,53.76,53.76,53.76,100,0
IWFG.US,5,20250919,160500,54.01,54.01,54.01,54.01,100,0
IWFG.US,5,20250919,161500,53.99,53.99,53.99,53.99,100,0
IWFG.US,5,20250919,205500,54.05,54.05,54.05,54.05,111,0
IWFG.US,5,20250922,161000,53.98,53.98,53.98,53.98,100,0
IWFG.US,5,20250923,160500,54.16,54.16,54.16,54.16,100,0
IWFG.US,5,20250923,162000,54.15,54.15,54.15,54.15,100,0
IWFG.US,5,20250923,164000,54.14,54.14,54.14,54.14,100,0
IWFG.US,5,20250923,165000,54.109,54.109,54.085,54.085,600,0
IWFG.US,5,20250923,205000,53.66,53.66,53.66,53.66,100,0
IWFG.US,5,20250923,212000,53.66,53.66,53.66,53.66,200,0
IWFG.US,5,20250923,212500,53.63,53.63,53.63,53.63,100,0
IWFG.US,5,20250923,214500,53.67,53.67,53.67,53.67,100,0
IWFG.US,5,20250924,160500,53.64,53.64,53.64,53.64,100,0
IWFG.US,5,20250924,164000,53.645,53.65,53.645,53.65,1293,0
IWFG.US,5,20250924,164500,53.65,53.65,53.65,53.65,100,0
IWFG.US,5,20250924,165000,53.64,53.64,53.585,53.585,200,0
IWFG.US,5,20250924,171500,53.5,53.5,53.5,53.5,100,0
IWFG.US,5,20250924,174500,53.49,53.49,53.49,53.49,100,0
IWFG.US,5,20250925,160500,52.88,52.88,52.88,52.88,100,0
IWFG.US,5,20250925,212000,52.9662,52.9662,52.9662,52.9662,280,0
IWFG.US,5,20250925,214000,52.96,52.96,52.88,52.88,200,0
IWFG.US,5,20250926,161500,52.92,52.92,52.92,52.92,100,0
IWFG.US,5,20250926,162000,52.92,52.92,52.92,52.92,100,0
IWFG.US,5,20250926,204000,53.07,53.07,53.07,53.07,100,0
IWFG.US,5,20250926,205000,53.05,53.05,53.05,53.05,100,0
IWFG.US,5,20250929,164500,53.53,53.53,53.53,53.53,200,0
IWFG.US,5,20250929,171000,53.5,53.5,53.5,53.5,100,0
IWFG.US,5,20250930,163000,53.07,53.07,53.07,53.07,659258,0
IWFG.US,5,20250930,172000,53.19,53.19,53.19,53.19,100,0
IWFG.US,5,20250930,184500,53.15,53.15,53.15,53.15,157,0
IWFG.US,5,20250930,211500,53.2132,53.2132,53.2132,53.2132,300,0
IWFG.US,5,20251001,164000,53.32,53.32,53.32,53.32,200,0
IWFG.US,5,20251001,184500,53.46,53.46,53.46,53.46,100,0
IWFG.US,5,20251001,185500,53.46,53.46,53.46,53.46,229,0
IWFG.US,5,20251001,190000,53.52,53.52,53.52,53.52,100,0
IWFG.US,5,20251001,211000,53.63,53.63,53.63,53.63,100,0
IWFG.US,5,20251002,162000,53.7,53.7,53.7,53.7,100,0
IWFG.US,5,20251002,193500,53.77,53.77,53.77,53.77,100,0
IWFG.US,5,20251002,205500,53.84,53.84,53.84,53.84,100,0
IWFG.US,5,20251003,215000,53.79,53.79,53.79,53.79,100,0
IWFG.US,5,20251003,215500,53.72,53.72,53.72,53.72,123,0
IWFG.US,5,20251006,163500,53.84,53.84,53.84,53.84,100,0
IWFG.US,5,20251006,164500,53.81,53.81,53.81,53.81,119,0
IWFG.US,5,20251006,202500,54.08,54.08,54.08,54.08,100,0
IWFG.US,5,20251007,163500,53.93,53.93,53.93,53.93,100,0
IWFG.US,5,20251008,162000,54.09,54.09,54.09,54.09,200,0
IWFG.US,5,20251008,182500,54.17,54.17,54.17,54.17,100,0
IWFG.US,5,20251008,203000,54.18,54.18,54.18,54.18,308,0
IWFG.US,5,20251009,161500,54.25,54.25,54.25,54.25,100,0
IWFG.US,5,20251009,171000,54.3,54.3,54.3,54.3,100,0
IWFG.US,5,20251010,170500,53.88,53.88,53.88,53.88,100,0
IWFG.US,5,20251010,175000,53.5864,53.5864,53.5864,53.5864,100,0
IWFG.US,5,20251010,175500,53.49,53.49,53.49,53.49,100,0
IWFG.US,5,20251010,203000,53.17,53.17,53.17,53.17,200,0
IWFG.US,5,20251010,213500,52.77,52.77,52.77,52.77,200,0
IWFG.US,5,20251010,215500,52.55,52.55,52.55,52.55,184,0
IWFG.US,5,20251013,165000,53.49,53.49,53.49,53.49,200,0
IWFG.US,5,20251013,181500,53.77,53.77,53.77,53.77,537,0
IWFG.US,5,20251013,195000,53.6799,53.6799,53.6799,53.6799,4550,0
IWFG.US,5,20251014,171000,53.075,53.075,53.075,53.075,160,0
IWFG.US,5,20251015,161000,53.74,53.74,53.74,53.74,100,0
IWFG.US,5,20251015,200000,53.25,53.25,53.25,53.25,493,0
IWFG.US,5,20251015,204500,53.35,53.35,53.35,53.35,100,0
IWFG.US,5,20251015,210000,53.39,53.39,53.39,53.39,100,0
IWFG.US,5,20251015,215000,53.24,53.24,53.24,53.24,100,0
IWFG.US,5,20251015,215500,53.27,53.27,53.27,53.27,393,0
IWFG.US,5,20251016,171000,53.65,53.65,53.65,53.65,200,0
IWFG.US,5,20251016,202500,52.8963,52.8963,52.8963,52.8963,500,0
IWFG.US,5,20251016,203000,52.87,52.87,52.87,52.87,100,0
IWFG.US,5,20251016,210500,53.03,53.03,53.03,53.03,100,0
IWFG.US,5,20251017,160500,52.99,52.99,52.99,52.99,100,0
IWFG.US,5,20251017,161500,53.17,53.17,53.17,53.17,100,0
IWFG.US,5,20251017,171500,52.78,52.78,52.78,52.78,100,0
IWFG.US,5,20251020,161500,53.64,53.64,53.64,53.64,100,0
IWFG.US,5,20251020,172500,53.78,53.78,53.78,53.78,100,0
IWFG.US,5,20251020,210500,53.82,53.82,53.82,53.82,100,0
IWFG.US,5,20251021,215500,53.9,53.9,53.9,53.9,100,0
IWFG.US,5,20251022,161000,54,54,54,54,100,0
IWFG.US,5,20251022,184000,53.62,53.62,53.62,53.62,188,0
IWFG.US,5,20251023,173500,54.03,54.03,54.03,54.03,100,0
IWFG.US,5,20251023,184000,54.14,54.14,54.14,54.14,100,0
IWFG.US,5,20251024,163000,54.62,54.62,54.62,54.62,100,0
IWFG.US,5,20251024,171500,54.64,54.64,54.6399,54.6399,1248,0
IWFG.US,5,20251024,215500,54.71,54.71,54.71,54.71,100,0
IWFG.US,5,20251027,143000,55.32,55.32,55.32,55.32,1000,0
IWFG.US,5,20251027,151500,55.23,55.23,55.21,55.21,200,0
IWFG.US,5,20251027,205500,55.44,55.44,55.44,55.44,600,0
IWFG.US,5,20251028,152000,55.63,55.63,55.63,55.63,100,0
IWFG.US,5,20251028,164000,55.59,55.59,55.59,55.59,200,0
IWFG.US,5,20251028,165500,55.64,55.64,55.64,55.64,400,0
IWFG.US,5,20251028,171000,55.67,55.67,55.67,55.67,100,0
IWFG.US,5,20251028,175500,55.76,55.76,55.76,55.76,200,0
IWFG.US,5,20251029,154000,56.28,56.28,56.28,56.28,100,0
IWFG.US,5,20251029,170000,56.25,56.25,56.25,56.25,188,0
IWFG.US,5,20251030,200500,55.27,55.27,55.27,55.27,100,0
IWFG.US,5,20251030,201000,55.2312,55.2312,55.2312,55.2312,890,0
IWFG.US,5,20251030,203000,55.2,55.2,55.2,55.2,100,0
IWFG.US,5,20251030,203500,55.12,55.12,55.12,55.12,100,0
IWFG.US,5,20251031,144500,55.75,55.75,55.75,55.75,180,0
IWFG.US,5,20251031,152000,55.56,55.56,55.56,55.56,200,0
IWFG.US,5,20251031,201500,55.43,55.43,55.43,55.43,200,0
IWFG.US,5,20251103,155500,55.67,55.67,55.67,55.67,100,0
IWFG.US,5,20251103,161000,55.64,55.64,55.64,55.64,100,0
IWFG.US,5,20251103,210000,55.66,55.66,55.66,55.66,101,0
IWFG.US,5,20251104,154000,54.84,54.84,54.84,54.84,100,0
IWFG.US,5,20251104,163000,55.08,55.08,55.08,55.08,100,0
IWFG.US,5,20251105,160500,54.76,54.76,54.76,54.76,100,0
IWFG.US,5,20251105,161500,54.72,54.72,54.72,54.72,100,0
IWFG.US,5,20251105,205000,54.94,54.94,54.94,54.94,100,0
IWFG.US,5,20251105,213000,54.82,54.82,54.82,54.82,100,0
IWFG.US,5,20251105,215500,54.62,54.62,54.62,54.62,100,0
IWFG.US,5,20251106,161000,53.98,53.98,53.98,53.98,100,0
IWFG.US,5,20251106,215000,53.61,53.61,53.61,53.61,100,0
IWFG.US,5,20251107,161500,52.97,52.97,52.97,52.97,100,0
IWFG.US,5,20251107,164500,52.74,52.74,52.74,52.74,100,0
IWFG.US,5,20251107,180500,52.56,52.56,52.56,52.56,106,0
IWFG.US,5,20251107,215000,53.33,53.33,53.33,53.33,200,0
IWFG.US,5,20251110,165000,54.4,54.4,54.4,54.4,199,0
IWFG.US,5,20251110,192500,54.59,54.59,54.59,54.59,100,0
IWFG.US,5,20251111,161000,54.42,54.42,54.42,54.42,100,0
IWFG.US,5,20251111,171000,54.29,54.29,54.29,54.29,200,0
IWFG.US,5,20251112,161000,54.59,54.59,54.59,54.59,100,0
IWFG.US,5,20251112,210500,54.46,54.46,54.46,54.46,100,0
IWFG.US,5,20251113,161500,54.32,54.32,54.32,54.32,100,0
IWFG.US,5,20251113,191500,53.49,53.49,53.49,53.49,100,0
IWFG.US,5,20251114,161000,53.17,53.17,53.17,53.17,100,0
IWFG.US,5,20251117,161500,53.28,53.28,53.28,53.28,100,0
IWFG.US,5,20251117,171500,53.01,53.01,53.01,53.01,100,0
IWFG.US,5,20251118,161000,52.15,52.15,52.15,52.15,100,0
IWFG.US,5,20251118,215000,52.6,52.6,52.58,52.58,300,0
IWFG.US,5,20251119,161500,53.14,53.14,53.14,53.14,100,0
IWFG.US,5,20251119,164500,52.98,52.98,52.98,52.98,100,0
IWFG.US,5,20251119,171000,52.75,52.75,52.75,52.75,107,0
IWFG.US,5,20251119,212500,52.86,52.86,52.86,52.86,101,0
IWFG.US,5,20251120,161000,53.76,53.76,53.76,53.76,100,0
IWFG.US,5,20251120,180500,52.4,52.4,52.4,52.4,110,0
IWFG.US,5,20251120,215000,51.53,51.53,51.53,51.53,105,0
IWFG.US,5,20251121,171500,51.27,51.27,51.27,51.27,300,0
IWFG.US,5,20251121,202500,52.389,52.389,52.35,52.35,300,0
IWFG.US,5,20251121,204000,52.27,52.27,52.27,52.27,100,0
IWFG.US,5,20251124,161000,52.41,52.41,52.41,52.41,100,0
IWFG.US,5,20251124,182000,52.7903,52.7903,52.7903,52.7903,191,0
IWFG.US,5,20251124,204500,52.8617,52.8617,52.8617,52.8617,135,0
IWFG.US,5,20251125,154500,52.43,52.43,52.4,52.4,400,0
IWFG.US,5,20251125,160000,52.45,52.45,52.45,52.45,100,0
IWFG.US,5,20251125,205500,53.36,53.36,53.36,53.36,100,0
IWFG.US,5,20251126,161000,53.83,53.83,53.83,53.83,100,0
IWFG.US,5,20251126,170000,53.98,53.98,53.98,53.98,102,0
IWFG.US,5,20251126,185000,54.04,54.04,54.04,54.04,200,0
IWFG.US,5,20251128,163000,54.01,54.01,54.01,54.01,100,0
IWFG.US,5,20251201,164500,53.78,53.78,53.78,53.78,100,0
IWFG.US,5,20251201,191000,54.01,54.01,54.01,54.01,100,0
IWFG.US,5,20251201,213500,53.8,53.8,53.8,53.8,100,0
IWFG.US,5,20251202,162500,54.29,54.29,54.29,54.29,200,0
IWFG.US,5,20251202,165000,54.31,54.31,54.31,54.31,100,0
IWFG.US,5,20251202,170000,54.28,54.28,54.28,54.28,100,0
IWFG.US,5,20251202,173000,53.89,53.89,53.89,53.89,100,0
IWFG.US,5,20251202,190000,54.08,54.08,54.08,54.08,100,0
IWFG.US,5,20251202,200000,54.14,54.14,54.14,54.14,100,0
IWFG.US,5,20251203,164500,53.93,53.93,53.93,53.93,200,0
IWFG.US,5,20251203,170500,53.93,53.93,53.93,53.93,200,0
IWFG.US,5,20251203,173500,54.02,54.02,54,54,400,0
IWFG.US,5,20251204,163000,53.85,53.85,53.8499,53.8499,400,0
IWFG.US,5,20251204,170500,53.72,53.72,53.72,53.72,100,0
IWFG.US,5,20251204,171000,53.73,53.73,53.73,53.73,100,0
IWFG.US,5,20251204,171500,53.76,53.77,53.76,53.77,300,0
IWFG.US,5,20251204,184500,53.96,53.96,53.96,53.96,2850,0
IWFG.US,5,20251204,192000,53.93,53.93,53.93,53.93,126,0
IWFG.US,5,20251204,203000,53.825,53.825,53.825,53.825,100,0
IWFG.US,5,20251204,211000,53.88,53.88,53.88,53.88,100,0
IWFG.US,5,20251204,212000,53.89,53.89,53.89,53.89,200,0
IWFG.US,5,20251204,214500,53.88,53.88,53.88,53.88,100,0
IWFG.US,5,20251204,215000,53.94,53.94,53.94,53.94,197,0
IWFG.US,5,20251205,161500,54.4,54.4,54.4,54.4,100,0
IWFG.US,5,20251205,173500,54.034,54.034,54.034,54.034,159,0
IWFG.US,5,20251205,215000,54.07,54.07,54.07,54.07,100,0
IWFG.US,5,20251208,161000,54.22,54.22,54.22,54.22,100,0
IWFG.US,5,20251208,184000,54.005,54.005,53.99,53.99,300,0
IWFG.US,5,20251208,185500,54.03,54.03,54.03,54.03,100,0
IWFG.US,5,20251208,193500,54.02,54.02,54.02,54.02,200,0
IWFG.US,5,20251209,215000,54.18,54.18,54.18,54.18,100,0
IWFG.US,5,20251210,153000,54.2,54.2,54.2,54.2,180,0
IWFG.US,5,20251210,203000,54.055,54.055,54.055,54.055,100,0
IWFG.US,5,20251211,165000,53.68,53.68,53.68,53.68,100,0
IWFG.US,5,20251211,165500,53.73,53.73,53.73,53.73,100,0
IWFG.US,5,20251211,170000,53.77,53.77,53.77,53.77,136,0
IWFG.US,5,20251211,173000,53.685,53.685,53.685,53.685,100,0
IWFG.US,5,20251211,173500,53.73,53.73,53.73,53.73,100,0
IWFG.US,5,20251211,174000,53.76,53.76,53.76,53.76,100,0
IWFG.US,5,20251211,181000,53.805,53.805,53.805,53.805,100,0
IWFG.US,5,20251211,182500,53.99,53.99,53.99,53.99,100,0
IWFG.US,5,20251211,190500,54,54,54,54,600,0
IWFG.US,5,20251211,210000,54.19,54.19,54.19,54.19,100,0
IWFG.US,5,20251211,214000,54.11,54.11,54.11,54.11,100,0
IWFG.US,5,20251212,164000,53.46,53.46,53.46,53.46,100,0
IWFG.US,5,20251212,172000,53.02,53.02,53.02,53.02,100,0
IWFG.US,5,20251212,172500,52.98,53.02,52.98,53.02,200,0
IWFG.US,5,20251212,174000,52.88,52.88,52.88,52.88,100,0
IWFG.US,5,20251212,175500,52.96,52.96,52.96,52.96,100,0
IWFG.US,5,20251212,180000,53.01,53.09,53.01,53.09,278,0
IWFG.US,5,20251212,183000,53.06,53.06,53.06,53.06,100,0
IWFG.US,5,20251212,183500,53.18,53.18,53.18,53.18,100,0
IWFG.US,5,20251212,190500,53.26,53.26,53.26,53.26,600,0
IWFG.US,5,20251215,182500,52.67,52.67,52.67,52.67,400,0
IWFG.US,5,20251215,184000,52.69,52.69,52.69,52.69,100,0
IWFG.US,5,20251215,190500,52.64,52.64,52.64,52.64,100,0
IWFG.US,5,20251215,194000,52.6,52.6,52.6,52.6,100,0
IWFG.US,5,20251215,195500,52.68,52.68,52.68,52.68,100,0
IWFG.US,5,20251215,202000,52.66,52.66,52.66,52.66,100,0
IWFG.US,5,20251215,211000,52.7,52.7,52.7,52.7,300,0
IWFG.US,5,20251215,214000,52.6335,52.6335,52.6335,52.6335,338,0
IWFG.US,5,20251216,160500,52.81,52.81,52.81,52.81,100,0
IWFG.US,5,20251216,171000,52.58,52.58,52.58,52.58,100,0
IWFG.US,5,20251216,171500,52.49,52.49,52.47,52.47,298,0
IWFG.US,5,20251216,172000,52.51,52.51,52.51,52.51,100,0
IWFG.US,5,20251216,190500,52.4,52.4,52.4,52.4,100,0
IWFG.US,5,20251216,200000,52.64,52.67,52.64,52.67,500,0
IWFG.US,5,20251216,202000,52.51,52.51,52.51,52.51,100,0
IWFG.US,5,20251216,202500,52.54,52.54,52.54,52.54,100,0
IWFG.US,5,20251216,203500,52.61,52.61,52.61,52.61,100,0
IWFG.US,5,20251216,205000,52.65,52.65,52.65,52.65,100,0
IWFG.US,5,20251216,210000,52.69,52.69,52.69,52.69,100,0
IWFG.US,5,20251217,165500,52.22,52.22,52.22,52.22,200,0
IWFG.US,5,20251217,170500,52.26,52.26,52.26,52.26,100,0
IWFG.US,5,20251217,171000,52.24,52.24,52.24,52.24,127,0
IWFG.US,5,20251217,171500,52.145,52.19,52.145,52.19,200,0
IWFG.US,5,20251217,180000,52.11,52.11,52.11,52.11,400,0
IWFG.US,5,20251217,205000,52.05,52.06,52.05,52.06,670,0
IWFG.US,5,20251217,214500,52.0336,52.0336,52.0336,52.0336,237,0
IWFG.US,5,20251218,154500,52.52,52.52,52.52,52.52,100,0
IWFG.US,5,20251218,183500,52.6299,52.63,52.6299,52.63,500,0
