<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KVLE.US,5,20250829,175500,27.09,27.09,27.09,27.09,175,0
KVLE.US,5,20250829,203000,27.11821,27.11821,27.11821,27.11821,193,0
KVLE.US,5,20250829,213000,27.12,27.1201,27.12,27.1201,328,0
KVLE.US,5,20250902,172000,26.85,26.85,26.85,26.85,100,0
KVLE.US,5,20250902,180500,26.8,26.8,26.8,26.8,297,0
KVLE.US,5,20250903,215500,26.961,26.975,26.961,26.975,251,0
KVLE.US,5,20250904,165500,27.08,27.08,27.08,27.08,184,0
KVLE.US,5,20250904,171500,27.1095,27.1095,27.1095,27.1095,101,0
KVLE.US,5,20250904,174500,27.1,27.1,27.1,27.1,155,0
KVLE.US,5,20250904,212000,27.1772,27.1772,27.1772,27.1772,1161,0
KVLE.US,5,20250905,163500,27.09,27.09,27.09,27.09,1000,0
KVLE.US,5,20250905,184000,27.12,27.12,27.12,27.12,400,0
KVLE.US,5,20250905,192000,27.12,27.12,27.12,27.12,200,0
KVLE.US,5,20250905,211000,27.1101,27.1101,27.11,27.11,321,0
KVLE.US,5,20250908,161000,27.13,27.13,27.13,27.13,100,0
KVLE.US,5,20250909,210500,27.2,27.2,27.1999,27.1999,3400,0
KVLE.US,5,20250910,180500,27.34,27.34,27.34,27.34,200,0
KVLE.US,5,20250910,212500,27.33,27.33,27.33,27.33,3123,0
KVLE.US,5,20250911,205500,27.5648,27.5648,27.5648,27.5648,1199,0
KVLE.US,5,20250912,183000,27.55,27.55,27.55,27.55,100,0
KVLE.US,5,20250912,194500,27.5712,27.5712,27.5712,27.5712,107,0
KVLE.US,5,20250912,211500,27.565,27.565,27.565,27.565,108,0
KVLE.US,5,20250912,212000,27.58,27.59,27.58,27.59,4043,0
KVLE.US,5,20250912,214500,27.52,27.52,27.52,27.52,208,0
KVLE.US,5,20250915,161500,27.542201,27.542201,27.542201,27.542201,300,0
KVLE.US,5,20250915,162500,27.55,27.55,27.55,27.55,100,0
KVLE.US,5,20250915,163000,27.57,27.57,27.57,27.57,100,0
KVLE.US,5,20250915,164500,27.5996,27.5996,27.5996,27.5996,200,0
KVLE.US,5,20250915,165500,27.5723,27.5723,27.5723,27.5723,200,0
KVLE.US,5,20250915,170500,27.5501,27.5501,27.5501,27.5501,500,0
KVLE.US,5,20250915,184000,27.545,27.55,27.54,27.55,844,0
KVLE.US,5,20250915,191000,27.53,27.53,27.53,27.53,100,0
KVLE.US,5,20250915,205000,27.54,27.54,27.54,27.54,100,0
KVLE.US,5,20250915,213500,27.535,27.535,27.535,27.535,734,0
KVLE.US,5,20250916,155000,27.48,27.48,27.48,27.48,100,0
KVLE.US,5,20250916,162500,27.42,27.42,27.42,27.42,381,0
KVLE.US,5,20250916,214500,27.401,27.4163,27.401,27.4163,560,0
KVLE.US,5,20250917,162500,27.45,27.45,27.45,27.45,100,0
KVLE.US,5,20250917,163000,27.46,27.46,27.46,27.46,200,0
KVLE.US,5,20250917,165000,27.47,27.47,27.47,27.47,200,0
KVLE.US,5,20250917,175500,27.47,27.47,27.47,27.47,100,0
KVLE.US,5,20250917,212000,27.4399,27.44,27.4399,27.44,1137,0
KVLE.US,5,20250917,215500,27.38,27.38,27.38,27.38,852,0
KVLE.US,5,20250918,162500,27.58,27.58,27.58,27.58,100,0
KVLE.US,5,20250918,171500,27.5,27.5,27.5,27.5,100,0
KVLE.US,5,20250918,203000,27.53,27.53,27.53,27.53,104,0
KVLE.US,5,20250918,212500,27.55,27.565,27.55,27.565,2537,0
KVLE.US,5,20250918,214000,27.54,27.54,27.54,27.54,485,0
KVLE.US,5,20250918,215000,27.54,27.54,27.54,27.54,100,0
KVLE.US,5,20250919,212000,27.53,27.53,27.53,27.53,188,0
KVLE.US,5,20250922,172500,27.47,27.47,27.47,27.47,188,0
KVLE.US,5,20250922,185500,27.5496,27.5496,27.5496,27.5496,267,0
KVLE.US,5,20250922,212500,27.58,27.58,27.565,27.565,1364,0
