<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEMB.US,5,20250829,153000,40.61,40.61,40.61,40.61,101,0
LEMB.US,5,20250829,154000,40.635,40.635,40.635,40.635,107,0
LEMB.US,5,20250829,154500,40.64,40.64,40.64,40.64,100,0
LEMB.US,5,20250829,155000,40.65,40.65,40.64,40.64,400,0
LEMB.US,5,20250829,160000,40.66,40.6603,40.66,40.6603,350,0
LEMB.US,5,20250829,161500,40.69,40.69,40.69,40.69,200,0
LEMB.US,5,20250829,162500,40.7,40.7,40.7,40.7,100,0
LEMB.US,5,20250829,163000,40.7,40.7,40.7,40.7,100,0
LEMB.US,5,20250829,163500,40.7201,40.7201,40.7201,40.7201,335,0
LEMB.US,5,20250829,164000,40.74,40.74,40.73,40.73,200,0
LEMB.US,5,20250829,164500,40.72,40.72,40.72,40.72,100,0
LEMB.US,5,20250829,165500,40.73,40.73,40.73,40.73,100,0
LEMB.US,5,20250829,170000,40.74,40.74,40.74,40.74,100,0
LEMB.US,5,20250829,171000,40.74,40.74,40.74,40.74,100,0
LEMB.US,5,20250829,172500,40.725,40.725,40.725,40.725,378,0
LEMB.US,5,20250829,181500,40.75,40.76,40.75,40.76,312,0
LEMB.US,5,20250829,183500,40.76,40.76,40.76,40.76,200,0
LEMB.US,5,20250829,185000,40.76,40.76,40.76,40.76,100,0
LEMB.US,5,20250829,185500,40.775,40.775,40.775,40.775,160,0
LEMB.US,5,20250829,192500,40.78,40.78,40.78,40.78,210,0
LEMB.US,5,20250829,193000,40.7789,40.7789,40.7789,40.7789,210,0
LEMB.US,5,20250829,194000,40.76,40.76,40.76,40.76,100,0
LEMB.US,5,20250829,200000,40.75,40.75,40.75,40.75,100,0
LEMB.US,5,20250829,202500,40.76,40.764,40.76,40.764,469,0
LEMB.US,5,20250829,203000,40.765,40.765,40.75,40.75,5384,0
LEMB.US,5,20250829,203500,40.76,40.76,40.75,40.75,200,0
LEMB.US,5,20250829,204000,40.77,40.77,40.745,40.745,356,0
LEMB.US,5,20250829,204500,40.7638,40.7638,40.7638,40.7638,149,0
LEMB.US,5,20250829,205000,40.75,40.75,40.75,40.75,200,0
LEMB.US,5,20250829,205500,40.76,40.76,40.76,40.76,3899,0
LEMB.US,5,20250829,210000,40.75,40.75,40.75,40.75,100,0
LEMB.US,5,20250829,210500,40.7571,40.7571,40.75,40.75,525,0
LEMB.US,5,20250829,211000,40.75,40.75,40.7305,40.7305,528,0
LEMB.US,5,20250829,211500,40.7301,40.735,40.73,40.73,549,0
LEMB.US,5,20250829,212000,40.73,40.735,40.73,40.735,200,0
LEMB.US,5,20250829,212500,40.735,40.7399,40.73,40.735,422,0
LEMB.US,5,20250829,213000,40.74,40.74,40.735,40.735,300,0
LEMB.US,5,20250829,213500,40.74,40.74,40.735,40.735,300,0
LEMB.US,5,20250829,214000,40.74,40.74,40.74,40.74,900,0
LEMB.US,5,20250829,214500,40.74,40.74,40.735,40.735,959,0
LEMB.US,5,20250829,215000,40.74,40.76,40.72,40.75,3339,0
LEMB.US,5,20250829,215500,40.75,40.75,40.74,40.74,1819,0
LEMB.US,5,20250902,154000,40.505,40.5051,40.4917,40.4917,500,0
LEMB.US,5,20250902,160000,40.54,40.56,40.54,40.56,350,0
LEMB.US,5,20250902,162000,40.5899,40.59,40.5899,40.59,696,0
LEMB.US,5,20250902,163000,40.59,40.59,40.59,40.59,200,0
LEMB.US,5,20250902,163500,40.59,40.59,40.5822,40.5822,300,0
LEMB.US,5,20250902,164500,40.59,40.59,40.59,40.59,200,0
LEMB.US,5,20250902,165000,40.5623,40.57,40.5623,40.57,706,0
LEMB.US,5,20250902,172000,40.533,40.5384,40.533,40.5384,435,0
LEMB.US,5,20250902,175000,40.547,40.5471,40.547,40.5471,240,0
LEMB.US,5,20250902,181000,40.565,40.565,40.565,40.565,354,0
LEMB.US,5,20250902,184500,40.58,40.58,40.58,40.58,198,0
LEMB.US,5,20250902,185000,40.59,40.59,40.59,40.59,500,0
LEMB.US,5,20250902,185500,40.5918,40.5918,40.5918,40.5918,100,0
LEMB.US,5,20250902,190500,40.6,40.6,40.6,40.6,100,0
LEMB.US,5,20250902,191000,40.6,40.6,40.6,40.6,100,0
LEMB.US,5,20250902,193500,40.615,40.615,40.615,40.615,100,0
LEMB.US,5,20250902,194000,40.62,40.62,40.62,40.62,300,0
LEMB.US,5,20250902,195500,40.6152,40.6152,40.6152,40.6152,123,0
LEMB.US,5,20250902,200000,40.615,40.62,40.59,40.59,1745,0
LEMB.US,5,20250902,201000,40.56,40.56,40.56,40.56,500,0
LEMB.US,5,20250902,202500,40.56,40.568,40.56,40.568,617,0
LEMB.US,5,20250902,205000,40.545,40.545,40.545,40.545,163,0
LEMB.US,5,20250902,205500,40.57,40.57,40.57,40.57,200,0
LEMB.US,5,20250902,211000,40.5501,40.56,40.5501,40.56,1871,0
LEMB.US,5,20250902,212000,40.5798,40.5798,40.5798,40.5798,159,0
LEMB.US,5,20250902,213500,40.58,40.58,40.5799,40.5799,511,0
LEMB.US,5,20250902,214000,40.59,40.61,40.59,40.61,200,0
LEMB.US,5,20250902,215000,40.59,40.59,40.59,40.59,147,0
LEMB.US,5,20250902,215500,40.5999,40.6,40.58,40.58,1557,0
LEMB.US,5,20250903,162000,40.6696,40.6696,40.6696,40.6696,200,0
LEMB.US,5,20250903,165500,40.63,40.63,40.6208,40.625,955,0
LEMB.US,5,20250903,170000,40.64,40.6414,40.64,40.6414,516,0
LEMB.US,5,20250903,170500,40.64,40.66,40.64,40.66,802,0
LEMB.US,5,20250903,171000,40.66,40.67,40.655,40.655,600,0
LEMB.US,5,20250903,171500,40.65,40.66,40.65,40.66,200,0
LEMB.US,5,20250903,172000,40.66,40.67,40.659,40.67,707,0
LEMB.US,5,20250903,172500,40.67,40.68,40.67,40.68,400,0
LEMB.US,5,20250903,173000,40.68,40.68,40.68,40.68,500,0
LEMB.US,5,20250903,173500,40.69,40.705,40.69,40.7,1197,0
