<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LJAN.US,5,20250829,163500,24.61,24.61,24.61,24.61,100,0
LJAN.US,5,20250829,202500,24.64,24.64,24.64,24.64,125,0
LJAN.US,5,20250902,160500,24.61,24.61,24.61,24.61,100,0
LJAN.US,5,20250902,214000,24.61,24.61,24.61,24.61,100,0
LJAN.US,5,20250903,161000,24.62,24.62,24.62,24.62,100,0
LJAN.US,5,20250903,191000,24.66,24.66,24.66,24.66,358,0
LJAN.US,5,20250903,211500,24.62,24.62,24.62,24.62,100,0
LJAN.US,5,20250904,161000,24.63,24.63,24.63,24.63,100,0
LJAN.US,5,20250904,185000,24.69,24.69,24.69,24.69,301,0
LJAN.US,5,20250904,200000,24.65,24.65,24.65,24.65,3061,0
LJAN.US,5,20250905,160500,24.66,24.66,24.66,24.66,100,0
LJAN.US,5,20250905,161000,24.64,24.64,24.64,24.64,211,0
LJAN.US,5,20250905,175000,24.67,24.67,24.67,24.67,109,0
LJAN.US,5,20250905,184000,24.65,24.65,24.65,24.65,100,0
LJAN.US,5,20250908,173000,24.66,24.66,24.66,24.66,100,0
LJAN.US,5,20250909,161000,24.66,24.66,24.66,24.66,100,0
LJAN.US,5,20250910,183500,24.67,24.67,24.67,24.67,100,0
LJAN.US,5,20250911,215000,24.68,24.68,24.68,24.68,603,0
LJAN.US,5,20250917,173500,24.78,24.78,24.725,24.725,458,0
LJAN.US,5,20250918,200000,24.71,24.71,24.71,24.71,2000,0
LJAN.US,5,20250918,200500,24.71,24.71,24.7,24.7001,2700,0
LJAN.US,5,20250918,201500,24.735,24.735,24.69,24.69,4722,0
LJAN.US,5,20250922,162500,24.7,24.7,24.7,24.7,1234,0
LJAN.US,5,20250923,153500,24.71,24.71,24.71,24.71,600,0
LJAN.US,5,20250925,153500,24.68,24.68,24.68,24.68,200,0
LJAN.US,5,20250926,153500,24.71,24.71,24.7,24.7,400,0
LJAN.US,5,20250929,153500,24.73,24.73,24.73,24.73,377,0
LJAN.US,5,20251001,153500,24.63,24.63,24.63,24.63,400,0
LJAN.US,5,20251001,173500,24.6694,24.6694,24.6694,24.6694,118,0
LJAN.US,5,20251001,205000,24.66,24.66,24.66,24.66,6429,0
LJAN.US,5,20251002,153500,24.64,24.64,24.63,24.635,959,0
