<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MARB.US,5,20250829,161500,20.75,20.75,20.75,20.75,100,0
MARB.US,5,20250829,175000,20.7899,20.7899,20.7899,20.7899,260,0
MARB.US,5,20250829,194000,20.765,20.765,20.74,20.76,817,0
MARB.US,5,20250829,201000,20.77,20.77,20.77,20.77,413,0
MARB.US,5,20250829,205000,20.73,20.73,20.73,20.73,439,0
MARB.US,5,20250829,205500,20.7515,20.7515,20.7515,20.7515,150,0
MARB.US,5,20250829,210500,20.77,20.77,20.77,20.77,1691,0
MARB.US,5,20250829,211000,20.7616,20.7616,20.7616,20.7616,225,0
MARB.US,5,20250902,162500,20.73,20.73,20.73,20.73,100,0
MARB.US,5,20250902,183000,20.7384,20.7384,20.7384,20.7384,501,0
MARB.US,5,20250902,184500,20.73,20.74,20.73,20.74,510,0
MARB.US,5,20250902,192000,20.735,20.76,20.73,20.76,485,0
MARB.US,5,20250902,193500,20.73,20.73,20.73,20.73,200,0
MARB.US,5,20250902,213500,20.72,20.72,20.72,20.72,395,0
MARB.US,5,20250903,160000,20.76,20.76,20.76,20.76,122,0
MARB.US,5,20250903,185500,20.734,20.734,20.72,20.72,400,0
MARB.US,5,20250903,192000,20.7599,20.7599,20.71,20.71,234,0
MARB.US,5,20250903,194000,20.74,20.74,20.74,20.74,13486,0
MARB.US,5,20250903,194500,20.71,20.71,20.71,20.71,900,0
MARB.US,5,20250903,200000,20.77,20.77,20.74,20.74,780,0
MARB.US,5,20250903,200500,20.7456,20.76,20.73,20.73,1579,0
MARB.US,5,20250903,202000,20.735,20.76,20.73,20.735,2570,0
MARB.US,5,20250903,212000,20.76,20.77,20.74,20.77,400,0
MARB.US,5,20250903,212500,20.7512,20.7512,20.7512,20.7512,152,0
MARB.US,5,20250903,213500,20.74,20.74,20.74,20.74,100,0
MARB.US,5,20250903,215500,20.78,20.78,20.78,20.78,104,0
MARB.US,5,20250904,155000,20.21,20.9089,20.21,20.9089,200,0
MARB.US,5,20250904,165000,20.87,20.87,20.87,20.87,500,0
MARB.US,5,20250904,173500,20.9896,20.9896,20.9896,20.9896,266,0
MARB.US,5,20250904,190000,20.749,20.749,20.749,20.749,450,0
MARB.US,5,20250904,200500,20.7373,20.7373,20.7373,20.7373,165,0
MARB.US,5,20250904,214000,20.7204,20.7204,20.7204,20.7204,750,0
MARB.US,5,20250905,153000,20.75,20.75,20.75,20.75,500,0
MARB.US,5,20250905,153500,20.5,21.2914,20.2,20.75,1800,0
MARB.US,5,20250905,164000,20.74,20.74,20.72,20.72,300,0
MARB.US,5,20250905,173000,20.75,20.75,20.75,20.75,100,0
MARB.US,5,20250905,174000,20.7201,20.7201,20.7201,20.7201,107,0
MARB.US,5,20250905,182000,20.75,20.75,20.75,20.75,100,0
MARB.US,5,20250905,182500,20.75,20.75,20.71,20.71,200,0
MARB.US,5,20250905,191500,20.72,20.72,20.72,20.72,200,0
MARB.US,5,20250905,201000,20.7359,20.7359,20.7359,20.7359,235,0
MARB.US,5,20250905,204500,20.71,20.71,20.71,20.71,929,0
MARB.US,5,20250905,210000,20.6854,20.6854,20.6854,20.6854,101,0
MARB.US,5,20250908,155500,20.75,20.75,20.75,20.75,100,0
MARB.US,5,20250908,163000,20.7,20.7,20.7,20.7,348,0
MARB.US,5,20250908,170000,20.73,20.73,20.73,20.73,284,0
MARB.US,5,20250908,172000,20.7594,20.7594,20.7594,20.7594,143,0
MARB.US,5,20250908,181000,20.75,20.75,20.74,20.74,300,0
MARB.US,5,20250908,182000,20.7276,20.7276,20.7276,20.7276,167,0
MARB.US,5,20250908,182500,20.75,20.75,20.74,20.74,300,0
MARB.US,5,20250908,183500,20.7427,20.7427,20.7427,20.7427,224,0
MARB.US,5,20250908,184000,20.73,20.76,20.73,20.75,961,0
MARB.US,5,20250908,185000,20.75,20.75,20.75,20.75,100,0
MARB.US,5,20250908,191000,20.75,20.75,20.75,20.75,100,0
MARB.US,5,20250908,195000,20.739,20.739,20.739,20.739,198,0
MARB.US,5,20250908,200500,20.74,20.74,20.74,20.74,140,0
MARB.US,5,20250908,203500,20.74,20.74,20.74,20.74,100,0
MARB.US,5,20250908,204500,20.7599,20.7599,20.7599,20.7599,157,0
MARB.US,5,20250908,210000,20.74,20.74,20.74,20.74,410,0
MARB.US,5,20250908,215500,20.77,20.77,20.77,20.77,104,0
MARB.US,5,20250909,153000,20.74,20.74,20.7,20.7,1100,0
MARB.US,5,20250909,174500,20.72,20.72,20.72,20.72,216,0
MARB.US,5,20250909,184500,20.731,20.731,20.71,20.7101,2193,0
MARB.US,5,20250909,190000,20.76,20.76,20.76,20.76,100,0
MARB.US,5,20250909,192000,20.7375,20.7375,20.7201,20.7201,248,0
MARB.US,5,20250909,193000,20.745,20.745,20.745,20.745,115,0
MARB.US,5,20250909,203500,20.7525,20.7525,20.7525,20.7525,728,0
MARB.US,5,20250909,204500,20.7375,20.7375,20.7375,20.7375,138,0
MARB.US,5,20250910,163500,20.725,20.725,20.725,20.725,238,0
MARB.US,5,20250910,165500,20.73,20.73,20.73,20.73,245,0
MARB.US,5,20250910,183500,20.71,20.71,20.71,20.71,487,0
MARB.US,5,20250910,185000,20.7204,20.7204,20.7204,20.7204,356,0
MARB.US,5,20250910,191500,20.704582,20.704582,20.704582,20.704582,139,0
MARB.US,5,20250910,192000,20.68,20.68,20.68,20.68,245,0
MARB.US,5,20250910,193000,20.7399,20.7399,20.7124,20.7124,303,0
MARB.US,5,20250910,195500,20.7173,20.7173,20.7173,20.7173,1250,0
MARB.US,5,20250910,204500,20.715,20.715,20.715,20.715,124,0
MARB.US,5,20250910,205000,20.7073,20.7073,20.7073,20.7073,385,0
MARB.US,5,20250910,205500,20.7113,20.7113,20.7113,20.7113,640,0
MARB.US,5,20250910,210500,20.7141,20.7141,20.7141,20.7141,211,0
MARB.US,5,20250910,211500,20.69,20.7082,20.69,20.7082,1000,0
MARB.US,5,20250910,214500,20.62,20.62,20.62,20.62,100,0
MARB.US,5,20250910,215000,20.66,20.66,20.66,20.66,100,0
MARB.US,5,20250911,174000,20.73,20.73,20.73,20.73,525,0
MARB.US,5,20250911,190000,20.7358,20.7358,20.7358,20.7358,462,0
