<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFDX.US,5,20250829,153000,36.55,36.55,36.55,36.55,100,0
MFDX.US,5,20250829,160000,36.59,36.59,36.59,36.59,827,0
MFDX.US,5,20250829,160500,36.59,36.59,36.59,36.59,166,0
MFDX.US,5,20250829,161000,36.5266,36.5302,36.5266,36.5302,1467,0
MFDX.US,5,20250829,161500,36.53,36.559,36.5275,36.555,4680,0
MFDX.US,5,20250829,162000,36.56,36.57,36.56,36.57,1931,0
MFDX.US,5,20250829,163500,36.5901,36.5901,36.5901,36.5901,620,0
MFDX.US,5,20250829,164000,36.62,36.62,36.62,36.62,1495,0
MFDX.US,5,20250829,164500,36.5895,36.5895,36.5895,36.5895,122,0
MFDX.US,5,20250829,170000,36.61,36.61,36.61,36.61,100,0
MFDX.US,5,20250829,171000,36.63,36.633,36.63,36.633,200,0
MFDX.US,5,20250829,171500,36.62,36.62,36.62,36.62,100,0
MFDX.US,5,20250829,172000,36.6199,36.6199,36.615,36.615,830,0
MFDX.US,5,20250829,173000,36.61,36.61,36.61,36.61,623,0
MFDX.US,5,20250829,173500,36.5796,36.58,36.575,36.58,1015,0
MFDX.US,5,20250829,174500,36.5928,36.5928,36.5928,36.5928,284,0
MFDX.US,5,20250829,180500,36.58,36.6101,36.58,36.61,714,0
MFDX.US,5,20250829,182000,36.628,36.628,36.628,36.628,245,0
MFDX.US,5,20250829,185500,36.63,36.63,36.63,36.63,3703,0
MFDX.US,5,20250829,190500,36.61,36.619,36.6063,36.619,1280,0
MFDX.US,5,20250829,191000,36.6097,36.6097,36.6097,36.6097,685,0
MFDX.US,5,20250829,192000,36.6137,36.6137,36.6137,36.6137,1093,0
MFDX.US,5,20250829,194000,36.62,36.62,36.62,36.62,100,0
MFDX.US,5,20250829,195000,36.6462,36.6462,36.6462,36.6462,127,0
MFDX.US,5,20250829,201000,36.605,36.605,36.605,36.605,166,0
MFDX.US,5,20250829,201500,36.6043,36.6043,36.6043,36.6043,600,0
MFDX.US,5,20250829,202000,36.6003,36.6003,36.592,36.592,936,0
MFDX.US,5,20250829,205000,36.5872,36.5872,36.5872,36.5872,166,0
MFDX.US,5,20250829,205500,36.58,36.58,36.58,36.58,125,0
MFDX.US,5,20250829,210500,36.597,36.597,36.597,36.597,132,0
MFDX.US,5,20250829,211000,36.609,36.609,36.609,36.609,256,0
MFDX.US,5,20250829,213000,36.624,36.624,36.624,36.624,100,0
MFDX.US,5,20250829,213500,36.6244,36.6244,36.6244,36.6244,500,0
MFDX.US,5,20250829,214500,36.6399,36.6399,36.625,36.625,1700,0
MFDX.US,5,20250829,215000,36.619,36.619,36.615,36.615,1000,0
MFDX.US,5,20250902,160000,36.2434,36.2434,36.2434,36.2434,133,0
MFDX.US,5,20250902,160500,36.2403,36.2403,36.2403,36.2403,1565,0
MFDX.US,5,20250902,161000,36.26,36.26,36.26,36.26,3784,0
MFDX.US,5,20250902,174500,36.1103,36.1103,36.1103,36.1103,244,0
MFDX.US,5,20250902,180500,36.105,36.11,36.105,36.11,2105,0
MFDX.US,5,20250902,182000,36.1314,36.1314,36.1314,36.1314,130,0
MFDX.US,5,20250902,190000,36.17,36.17,36.1699,36.1699,2700,0
MFDX.US,5,20250902,190500,36.17,36.17,36.17,36.17,436,0
MFDX.US,5,20250902,191500,36.18,36.18,36.1799,36.1799,460,0
MFDX.US,5,20250902,193000,36.21,36.21,36.1999,36.1999,948,0
MFDX.US,5,20250902,193500,36.2199,36.2199,36.1803,36.1803,3443,0
MFDX.US,5,20250902,194000,36.19,36.1901,36.19,36.1901,394,0
MFDX.US,5,20250902,201500,36.16,36.16,36.16,36.16,100,0
MFDX.US,5,20250902,202500,36.155,36.155,36.155,36.155,268,0
MFDX.US,5,20250902,204000,36.1599,36.1599,36.1599,36.1599,275,0
MFDX.US,5,20250902,205000,36.17,36.1899,36.16,36.18,5442,0
MFDX.US,5,20250902,205500,36.15,36.15,36.15,36.15,100,0
MFDX.US,5,20250902,210000,36.1603,36.1603,36.1603,36.1603,180,0
MFDX.US,5,20250902,210500,36.19,36.19,36.19,36.19,8586,0
MFDX.US,5,20250902,211000,36.19,36.19,36.19,36.19,100,0
MFDX.US,5,20250902,211500,36.2001,36.2001,36.2001,36.2001,276,0
MFDX.US,5,20250902,212500,36.2,36.213,36.2,36.2105,1022,0
MFDX.US,5,20250902,214000,36.24,36.24,36.24,36.24,200,0
MFDX.US,5,20250902,215000,36.241,36.241,36.241,36.241,163,0
