<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFY.US,5,20250902,155500,26.785,26.785,26.785,26.785,100,0
MSFY.US,5,20250902,170000,26.7882,26.7882,26.7882,26.7882,110,0
MSFY.US,5,20250902,170500,26.695,26.695,26.695,26.695,200,0
MSFY.US,5,20250902,172000,26.7093,26.7093,26.7093,26.7093,200,0
MSFY.US,5,20250902,175500,26.69,26.69,26.69,26.69,342,0
MSFY.US,5,20250902,183000,26.69,26.69,26.69,26.69,100,0
MSFY.US,5,20250902,192500,26.69,26.69,26.69,26.69,100,0
MSFY.US,5,20250902,210000,26.74,26.87,26.74,26.83,14958,0
MSFY.US,5,20250902,215500,26.83,26.86,26.83,26.86,636,0
MSFY.US,5,20250903,153000,26.7952,26.7952,26.7952,26.7952,130,0
MSFY.US,5,20250903,153500,26.821,26.821,26.821,26.821,130,0
MSFY.US,5,20250903,161000,26.8907,26.8907,26.8907,26.8907,158,0
MSFY.US,5,20250903,174000,26.95,26.95,26.95,26.95,236,0
MSFY.US,5,20250903,203000,26.84,26.84,26.84,26.84,1049,0
MSFY.US,5,20250903,215500,26.94,26.94,26.94,26.94,105,0
MSFY.US,5,20250904,162000,26.88,26.88,26.88,26.88,150,0
MSFY.US,5,20250904,162500,26.8812,26.8812,26.8812,26.8812,225,0
MSFY.US,5,20250904,165500,26.999,27.017,26.999,27.017,200,0
MSFY.US,5,20250904,170000,27.0288,27.05,26.9949,26.9949,300,0
MSFY.US,5,20250904,180500,27.03,27.03,27.03,27.03,100,0
MSFY.US,5,20250904,192000,27.03,27.03,27.03,27.03,100,0
MSFY.US,5,20250904,210500,27.07,27.07,27.07,27.07,100,0
MSFY.US,5,20250904,212000,27.04,27.04,27.04,27.04,200,0
MSFY.US,5,20250904,215500,27,27.07,27,27.07,200,0
MSFY.US,5,20250905,165000,26.5,26.5,26.5,26.5,100,0
MSFY.US,5,20250905,183500,26.43,26.43,26.43,26.43,100,0
MSFY.US,5,20250905,203500,26.3,26.3,26.3,26.3,100,0
MSFY.US,5,20250908,160000,26.58,26.58,26.58,26.58,100,0
MSFY.US,5,20250908,161000,26.5659,26.5659,26.5659,26.5659,3500,0
MSFY.US,5,20250908,182500,26.57,26.57,26.57,26.57,100,0
MSFY.US,5,20250908,201000,26.57,26.57,26.57,26.57,419,0
MSFY.US,5,20250908,214500,26.54,26.54,26.54,26.54,228,0
MSFY.US,5,20250909,153500,26.63,26.63,26.63,26.63,100,0
MSFY.US,5,20250909,161500,26.6565,26.6565,26.6565,26.6565,195,0
MSFY.US,5,20250909,162000,26.7091,26.7091,26.69,26.69,396,0
MSFY.US,5,20250909,164500,26.5921,26.5921,26.5921,26.5921,1000,0
MSFY.US,5,20250909,172000,26.63,26.63,26.63,26.63,100,0
MSFY.US,5,20250909,184000,26.5994,26.5994,26.5994,26.5994,205,0
MSFY.US,5,20250909,205500,26.54,26.54,26.54,26.54,22127,0
MSFY.US,5,20250910,162000,26.4165,26.4165,26.4165,26.4165,591,0
MSFY.US,5,20250910,163000,26.4427,26.4427,26.4427,26.4427,1000,0
MSFY.US,5,20250910,165500,26.42,26.42,26.42,26.42,100,0
MSFY.US,5,20250910,170000,26.4,26.4,26.4,26.4,193,0
MSFY.US,5,20250910,172500,26.32,26.32,26.32,26.32,100,0
MSFY.US,5,20250910,182000,26.37,26.37,26.37,26.37,100,0
MSFY.US,5,20250910,190500,26.33,26.33,26.33,26.33,100,0
MSFY.US,5,20250910,191000,26.3617,26.3617,26.3617,26.3617,200,0
MSFY.US,5,20250910,193500,26.381,26.381,26.372,26.372,852,0
MSFY.US,5,20250910,213000,26.42,26.42,26.4199,26.4199,668,0
MSFY.US,5,20250911,153500,26.38,26.38,26.38,26.38,100,0
MSFY.US,5,20250911,163500,26.52,26.52,26.52,26.52,100,0
MSFY.US,5,20250911,174500,26.52,26.52,26.52,26.52,100,0
MSFY.US,5,20250911,175000,26.48,26.48,26.48,26.48,100,0
MSFY.US,5,20250911,180000,26.5,26.5,26.5,26.5,775,0
MSFY.US,5,20250911,183000,26.55,26.55,26.55,26.55,883,0
MSFY.US,5,20250911,194500,26.45,26.45,26.45,26.45,100,0
MSFY.US,5,20250912,170000,26.75,26.75,26.75,26.75,100,0
MSFY.US,5,20250912,172500,26.7548,26.7548,26.7548,26.7548,100,0
MSFY.US,5,20250912,174500,26.73,26.73,26.73,26.73,746,0
MSFY.US,5,20250912,180500,26.77,26.77,26.77,26.77,100,0
MSFY.US,5,20250912,184000,26.8,26.8,26.7598,26.7598,304,0
MSFY.US,5,20250912,192500,26.725,26.725,26.725,26.725,300,0
MSFY.US,5,20250915,160000,26.745,26.7595,26.745,26.7595,200,0
MSFY.US,5,20250915,161000,26.7606,26.7606,26.7606,26.7606,401,0
MSFY.US,5,20250915,174000,26.8799,26.88,26.8799,26.88,372,0
MSFY.US,5,20250915,180500,26.869,26.869,26.845,26.845,644,0
MSFY.US,5,20250915,183500,26.8256,26.8256,26.8256,26.8256,492,0
MSFY.US,5,20250915,205000,26.81,26.81,26.81,26.81,400,0
MSFY.US,5,20250915,212000,26.8109,26.8109,26.8109,26.8109,200,0
MSFY.US,5,20250915,215000,26.91,26.91,26.91,26.91,100,0
MSFY.US,5,20250915,215500,26.918,26.918,26.918,26.918,350,0
MSFY.US,5,20250916,153000,26.9899,26.99,26.9899,26.99,316,0
MSFY.US,5,20250916,153500,26.86,26.86,26.86,26.86,100,0
MSFY.US,5,20250916,162500,26.8536,26.8536,26.8536,26.8536,100,0
MSFY.US,5,20250916,174500,26.87,26.87,26.87,26.87,458,0
MSFY.US,5,20250916,181000,26.85,26.85,26.85,26.85,100,0
MSFY.US,5,20250916,183500,26.9095,26.9095,26.9,26.9,270,0
MSFY.US,5,20250916,204500,26.83,26.83,26.8299,26.8299,554,0
MSFY.US,5,20250916,205000,26.82,26.82,26.82,26.82,100,0
MSFY.US,5,20250916,210000,26.7252,26.799,26.7252,26.799,1193,0
MSFY.US,5,20250917,193000,26.6656,26.6656,26.6656,26.6656,100,0
MSFY.US,5,20250917,200000,26.67,26.67,26.67,26.67,100,0
MSFY.US,5,20250917,201500,26.64,26.64,26.64,26.64,100,0
MSFY.US,5,20250917,203500,26.6781,26.6781,26.6781,26.6781,200,0
MSFY.US,5,20250917,215500,26.753,26.753,26.753,26.753,265,0
MSFY.US,5,20250918,153000,26.74,26.74,26.74,26.74,142,0
MSFY.US,5,20250918,160500,26.745,26.745,26.745,26.745,154,0
MSFY.US,5,20250918,161500,26.832,26.832,26.832,26.832,100,0
MSFY.US,5,20250918,164500,26.84,26.84,26.84,26.84,100,0
MSFY.US,5,20250918,171500,26.84,26.84,26.8399,26.8399,200,0
MSFY.US,5,20250918,211500,26.735,26.735,26.71,26.71,342,0
MSFY.US,5,20250918,215000,26.7118,26.7118,26.7118,26.7118,175,0
MSFY.US,5,20250919,163500,26.9345,26.9345,26.9345,26.9345,383,0
MSFY.US,5,20250919,165000,26.98,26.98,26.98,26.98,100,0
MSFY.US,5,20250919,165500,26.98,26.9801,26.98,26.9801,200,0
MSFY.US,5,20250919,171000,26.94,26.94,26.94,26.94,100,0
MSFY.US,5,20250919,191500,26.8806,26.8806,26.8806,26.8806,200,0
MSFY.US,5,20250919,193500,26.88,26.88,26.88,26.88,100,0
MSFY.US,5,20250919,214500,26.895,26.895,26.895,26.895,200,0
MSFY.US,5,20250922,155000,27.05,27.05,27.05,27.05,1000,0
MSFY.US,5,20250922,160000,27.0599,27.0599,27.0599,27.0599,100,0
MSFY.US,5,20250922,170500,27.13,27.13,27.13,27.13,368,0
MSFY.US,5,20250922,171000,27.1,27.13,27.1,27.1081,1900,0
MSFY.US,5,20250922,171500,27.11,27.11,27.11,27.11,731,0
MSFY.US,5,20250922,173500,27.07,27.07,27.07,27.07,100,0
MSFY.US,5,20250922,175000,27.07,27.07,27.07,27.07,100,0
MSFY.US,5,20250922,180000,27.03,27.03,27.03,27.03,110,0
MSFY.US,5,20250922,183000,27.0688,27.0688,27.0688,27.0688,100,0
MSFY.US,5,20250922,195500,27.08,27.08,27.08,27.08,200,0
MSFY.US,5,20250922,204500,27.08,27.08,27.08,27.08,100,0
MSFY.US,5,20250922,205500,27.08,27.08,27.08,27.08,436,0
MSFY.US,5,20250922,212500,27.08,27.08,27.08,27.08,222,0
MSFY.US,5,20250922,215000,27.08,27.08,27.08,27.08,1100,0
MSFY.US,5,20250922,215500,27.03,27.03,27.03,27.03,402,0
MSFY.US,5,20250923,154000,26.95,26.95,26.95,26.95,150,0
MSFY.US,5,20250923,161500,27.02,27.02,27.02,27.02,100,0
MSFY.US,5,20250923,165500,26.97,26.97,26.97,26.97,100,0
MSFY.US,5,20250923,173500,26.9323,26.9323,26.9323,26.9323,111,0
MSFY.US,5,20250923,191000,26.93,26.93,26.93,26.93,100,0
MSFY.US,5,20250923,195500,26.8506,26.88,26.8506,26.88,800,0
MSFY.US,5,20250923,215500,26.9,26.9,26.83,26.83,891,0
MSFY.US,5,20250924,161000,26.87,26.87,26.87,26.87,200,0
MSFY.US,5,20250924,162000,26.93,26.93,26.93,26.93,3700,0
MSFY.US,5,20250924,190500,26.8,26.8,26.8,26.8,100,0
MSFY.US,5,20250925,154000,26.84,26.84,26.84,26.84,200,0
MSFY.US,5,20250925,170500,26.85,26.85,26.85,26.85,200,0
MSFY.US,5,20250925,190000,26.86,26.86,26.86,26.86,100,0
MSFY.US,5,20250925,212000,26.791,26.791,26.791,26.791,100,0
MSFY.US,5,20250926,162500,26.85,26.85,26.85,26.85,100,0
MSFY.US,5,20250926,165000,26.79,26.79,26.79,26.79,100,0
MSFY.US,5,20250926,194500,26.84,26.8675,26.8,26.8,800,0
MSFY.US,5,20250926,212500,27.04,27.04,27.0399,27.0399,200,0
MSFY.US,5,20250929,160000,27.0507,27.06,27.0507,27.06,200,0
MSFY.US,5,20250929,175000,27.035,27.035,27.035,27.035,400,0
MSFY.US,5,20250929,180000,27.1,27.1,27.1,27.1,100,0
MSFY.US,5,20250929,185500,27.1,27.1399,27.1,27.1399,500,0
MSFY.US,5,20250929,213500,27.09,27.0901,27.09,27.0901,200,0
MSFY.US,5,20250929,214500,27.0539,27.0815,27.0539,27.0815,300,0
MSFY.US,5,20250930,154500,27.19,27.19,27.0899,27.0899,374,0
MSFY.US,5,20250930,161000,27.11,27.11,27.1099,27.1099,200,0
MSFY.US,5,20250930,170000,27.12,27.12,27.12,27.12,100,0
MSFY.US,5,20250930,175500,27.19,27.19,27.155,27.19,400,0
MSFY.US,5,20250930,190000,27.17,27.17,27.17,27.17,500,0
MSFY.US,5,20251001,194500,27.3,27.3,27.2999,27.2999,366,0
MSFY.US,5,20251001,211000,27.31,27.31,27.31,27.31,100,0
MSFY.US,5,20251002,161500,27.33,27.33,27.33,27.33,367,0
MSFY.US,5,20251002,165500,27.27,27.27,27.27,27.27,100,0
MSFY.US,5,20251002,172500,27.07,27.07,27.07,27.07,100,0
MSFY.US,5,20251002,180000,27.1738,27.1738,27.1738,27.1738,100,0
MSFY.US,5,20251002,183500,27.23,27.23,27.23,27.23,100,0
MSFY.US,5,20251003,153000,27.35,27.35,27.3135,27.3135,1000,0
MSFY.US,5,20251003,164500,27.43,27.4301,27.415,27.4301,300,0
MSFY.US,5,20251003,184000,27.52,27.52,27.52,27.52,3200,0
MSFY.US,5,20251003,185500,27.51,27.51,27.51,27.51,2065,0
MSFY.US,5,20251003,214000,27.3701,27.3701,27.3701,27.3701,391,0
MSFY.US,5,20251006,153000,27.62,27.62,27.62,27.62,100,0
MSFY.US,5,20251006,164000,27.5609,27.5609,27.5609,27.5609,100,0
MSFY.US,5,20251006,165000,27.56,27.56,27.56,27.56,168,0
MSFY.US,5,20251006,172000,27.615,27.615,27.615,27.615,100,0
MSFY.US,5,20251006,192500,27.6461,27.6461,27.6461,27.6461,289,0
MSFY.US,5,20251006,193500,27.68,27.68,27.68,27.68,100,0
MSFY.US,5,20251006,194000,27.7,27.73,27.62,27.62,700,0
MSFY.US,5,20251006,200000,27.706,27.706,27.706,27.706,301,0
MSFY.US,5,20251006,215000,27.81,27.81,27.81,27.81,100,0
MSFY.US,5,20251007,162500,27.7,27.7,27.7,27.7,200,0
MSFY.US,5,20251007,164000,27.7699,27.77,27.7371,27.77,1490,0
MSFY.US,5,20251007,184500,27.62,27.62,27.62,27.62,100,0
MSFY.US,5,20251008,160000,27.7909,27.7909,27.7909,27.7909,100,0
MSFY.US,5,20251009,153000,27.61,27.61,27.61,27.61,148,0
MSFY.US,5,20251009,154000,27.62,27.62,27.62,27.62,100,0
MSFY.US,5,20251009,162000,27.61,27.6101,27.61,27.6101,994,0
MSFY.US,5,20251009,165000,27.61,27.61,27.61,27.61,600,0
MSFY.US,5,20251009,173000,27.56,27.56,27.56,27.56,100,0
MSFY.US,5,20251009,174000,27.4931,27.4931,27.4931,27.4931,100,0
MSFY.US,5,20251009,175000,27.51,27.51,27.51,27.51,200,0
MSFY.US,5,20251009,181000,27.61,27.61,27.5557,27.5557,500,0
MSFY.US,5,20251009,183000,27.55,27.55,27.55,27.55,100,0
MSFY.US,5,20251009,184500,27.56,27.56,27.56,27.56,440,0
MSFY.US,5,20251009,185500,27.55,27.55,27.55,27.55,100,0
MSFY.US,5,20251009,193000,27.55,27.55,27.55,27.55,348,0
MSFY.US,5,20251009,194000,27.5696,27.5696,27.5696,27.5696,100,0
MSFY.US,5,20251009,205000,27.6,27.6,27.6,27.6,198,0
MSFY.US,5,20251009,211000,27.6,27.6,27.6,27.6,100,0
MSFY.US,5,20251009,211500,27.6,27.6,27.6,27.6,924,0
MSFY.US,5,20251009,212000,27.62,27.62,27.62,27.62,102,0
MSFY.US,5,20251009,214000,27.63,27.63,27.63,27.63,100,0
MSFY.US,5,20251010,174000,27.34,27.34,27.34,27.34,100,0
MSFY.US,5,20251010,180500,27.47,27.47,27.47,27.47,300,0
MSFY.US,5,20251010,190500,27.3,27.3,27.3,27.3,100,0
MSFY.US,5,20251013,154500,27.3,27.3,27.2737,27.2737,200,0
MSFY.US,5,20251013,194500,27.25,27.25,27.25,27.25,100,0
MSFY.US,5,20251013,200000,27.27,27.27,27.27,27.27,200,0
MSFY.US,5,20251013,215000,27.35,27.35,27.35,27.35,1043,0
MSFY.US,5,20251014,162000,27.0946,27.0946,27.0946,27.0946,100,0
MSFY.US,5,20251014,163000,27.0951,27.0951,27.0951,27.0951,125,0
MSFY.US,5,20251014,172000,27.17,27.17,27.17,27.17,200,0
MSFY.US,5,20251014,172500,27.135,27.18,27.135,27.1471,1700,0
MSFY.US,5,20251014,185500,27.31,27.31,27.31,27.31,100,0
MSFY.US,5,20251014,204500,27.37,27.38,27.37,27.38,3709,0
MSFY.US,5,20251014,214500,27.2,27.2,27.2,27.2,100,0
MSFY.US,5,20251015,161500,26.76,26.76,26.76,26.76,1000,0
MSFY.US,5,20251015,162000,26.73,26.7301,26.73,26.7301,400,0
MSFY.US,5,20251015,162500,26.73,26.73,26.73,26.73,100,0
MSFY.US,5,20251015,163500,26.73,26.73,26.73,26.73,100,0
MSFY.US,5,20251015,190000,26.63,26.63,26.5101,26.5101,700,0
MSFY.US,5,20251015,192000,26.56,26.56,26.56,26.56,359,0
MSFY.US,5,20251015,200000,26.54,26.54,26.54,26.54,100,0
MSFY.US,5,20251015,204000,26.635,26.635,26.635,26.635,184,0
MSFY.US,5,20251016,153000,26.58,26.58,26.58,26.58,100,0
MSFY.US,5,20251016,154000,26.7,26.7,26.7,26.7,100,0
MSFY.US,5,20251016,160000,26.739,26.7399,26.7035,26.7399,363,0
MSFY.US,5,20251016,161500,26.69,26.69,26.69,26.69,136,0
MSFY.US,5,20251016,170500,26.74,26.74,26.74,26.74,140,0
MSFY.US,5,20251016,173000,26.71,26.71,26.71,26.71,308,0
MSFY.US,5,20251016,181500,26.68,26.68,26.68,26.68,2000,0
MSFY.US,5,20251016,192000,26.58,26.58,26.58,26.58,100,0
MSFY.US,5,20251016,193500,26.61,26.61,26.61,26.61,100,0
MSFY.US,5,20251016,195000,26.58,26.58,26.58,26.58,1443,0
MSFY.US,5,20251016,200500,26.52,26.52,26.51,26.51,202,0
MSFY.US,5,20251016,201000,26.46,26.46,26.46,26.46,100,0
MSFY.US,5,20251017,153000,26.5,26.5,26.5,26.5,100,0
MSFY.US,5,20251017,163500,26.55,26.55,26.55,26.55,100,0
MSFY.US,5,20251017,212500,26.734,26.734,26.734,26.734,188,0
MSFY.US,5,20251020,173500,26.86,26.86,26.8487,26.86,400,0
MSFY.US,5,20251020,181000,26.84,26.84,26.84,26.84,175,0
MSFY.US,5,20251020,202000,26.88,26.88,26.88,26.88,250,0
MSFY.US,5,20251020,210500,26.84,26.84,26.84,26.84,100,0
MSFY.US,5,20251020,212000,26.8,26.8,26.8,26.8,100,0
MSFY.US,5,20251021,153000,26.77,26.77,26.77,26.77,200,0
MSFY.US,5,20251021,162500,26.77,26.77,26.77,26.77,100,0
MSFY.US,5,20251021,165000,26.755,26.755,26.755,26.755,150,0
MSFY.US,5,20251021,195000,26.69,26.69,26.69,26.69,100,0
MSFY.US,5,20251021,200500,26.77,26.77,26.77,26.77,200,0
MSFY.US,5,20251021,211500,26.82,26.82,26.82,26.82,100,0
MSFY.US,5,20251022,153000,26.9,26.91,26.8901,26.8901,500,0
MSFY.US,5,20251022,164000,27.075,27.075,27.0201,27.075,2309,0
MSFY.US,5,20251022,164500,27.041,27.041,27.041,27.041,100,0
MSFY.US,5,20251022,174000,27.12,27.1284,27.12,27.1284,1830,0
MSFY.US,5,20251022,195500,26.91,26.91,26.91,26.91,1912,0
MSFY.US,5,20251023,153500,26.94,27.0011,26.93,27.0011,999,0
MSFY.US,5,20251023,154500,27.03,27.03,27.03,27.03,100,0
MSFY.US,5,20251023,215500,27.06,27.06,27.06,27.06,300,0
MSFY.US,5,20251024,164000,27.1447,27.1447,27.1447,27.1447,100,0
MSFY.US,5,20251024,202000,27.23,27.23,27.2299,27.2299,400,0
MSFY.US,5,20251024,215500,27.21,27.21,27.21,27.21,180,0
MSFY.US,5,20251027,143000,27.49,27.49,27.49,27.49,200,0
MSFY.US,5,20251027,151000,27.59,27.59,27.59,27.59,100,0
MSFY.US,5,20251027,161500,27.54,27.54,27.54,27.54,100,0
MSFY.US,5,20251027,172000,27.4715,27.4715,27.4715,27.4715,115,0
MSFY.US,5,20251027,195500,27.5457,27.5457,27.5457,27.5457,100,0
MSFY.US,5,20251027,201000,27.525,27.525,27.525,27.525,400,0
MSFY.US,5,20251027,203000,27.52,27.52,27.52,27.52,100,0
MSFY.US,5,20251027,205000,27.55,27.55,27.55,27.55,449,0
MSFY.US,5,20251028,151500,28.1,28.1,28.1,28.1,1961,0
MSFY.US,5,20251028,153000,28.05,28.05,28.02,28.02,789,0
MSFY.US,5,20251028,160500,27.9791,27.98,27.9791,27.98,626,0
MSFY.US,5,20251028,164000,27.94,27.94,27.9,27.9,600,0
MSFY.US,5,20251028,173000,27.9,27.9,27.9,27.9,100,0
MSFY.US,5,20251028,175500,27.95,27.95,27.95,27.95,1868,0
MSFY.US,5,20251028,180500,27.93,27.93,27.93,27.93,100,0
MSFY.US,5,20251028,182000,27.95,27.9599,27.915,27.9599,300,0
MSFY.US,5,20251028,194500,27.97,27.97,27.97,27.97,215,0
MSFY.US,5,20251028,195500,27.9701,27.9701,27.9701,27.9701,1009,0
MSFY.US,5,20251028,200500,28.02,28.02,28.02,28.02,100,0
MSFY.US,5,20251028,204000,27.97,27.97,27.97,27.97,100,0
MSFY.US,5,20251029,145500,27.75,27.75,27.75,27.75,115,0
MSFY.US,5,20251029,150000,27.72,27.72,27.72,27.72,200,0
MSFY.US,5,20251029,152500,27.7,27.7,27.69,27.69,400,0
MSFY.US,5,20251029,153500,27.7,27.7,27.7,27.7,125,0
