<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NANC.US,5,20250829,153000,43.72,43.72,43.62,43.62,2034,0
NANC.US,5,20250829,154500,43.54,43.54,43.54,43.54,222,0
NANC.US,5,20250829,160000,43.4497,43.4497,43.4497,43.4497,150,0
NANC.US,5,20250829,160500,43.3201,43.3201,43.3201,43.3201,400,0
NANC.US,5,20250829,161500,43.37,43.37,43.37,43.37,1073,0
NANC.US,5,20250829,162000,43.41,43.41,43.4,43.4,305,0
NANC.US,5,20250829,163000,43.401,43.401,43.38,43.38,258,0
NANC.US,5,20250829,163500,43.439,43.439,43.439,43.439,110,0
NANC.US,5,20250829,164000,43.4469,43.4469,43.4399,43.4399,365,0
NANC.US,5,20250829,164500,43.3599,43.3599,43.3599,43.3599,608,0
NANC.US,5,20250829,170000,43.35,43.35,43.35,43.35,115,0
NANC.US,5,20250829,170500,43.38,43.38,43.38,43.38,100,0
NANC.US,5,20250829,171500,43.41,43.41,43.39,43.39,658,0
NANC.US,5,20250829,172500,43.4158,43.4158,43.4158,43.4158,100,0
NANC.US,5,20250829,173500,43.409,43.4094,43.409,43.4094,1151,0
NANC.US,5,20250829,174000,43.3886,43.3886,43.3886,43.3886,120,0
NANC.US,5,20250829,174500,43.3899,43.3899,43.3899,43.3899,250,0
NANC.US,5,20250829,175000,43.34,43.3899,43.34,43.3899,600,0
NANC.US,5,20250829,180000,43.38,43.38,43.38,43.38,200,0
NANC.US,5,20250829,183500,43.43,43.43,43.42,43.42,390,0
NANC.US,5,20250829,184000,43.4396,43.44,43.4396,43.44,430,0
NANC.US,5,20250829,191000,43.35,43.35,43.35,43.35,131,0
NANC.US,5,20250829,192500,43.3999,43.3999,43.3999,43.3999,200,0
NANC.US,5,20250829,194500,43.43,43.43,43.43,43.43,200,0
NANC.US,5,20250829,201000,43.4443,43.4443,43.4443,43.4443,167,0
NANC.US,5,20250829,201500,43.4699,43.4699,43.4699,43.4699,422,0
NANC.US,5,20250829,203000,43.4196,43.4196,43.4196,43.4196,568,0
NANC.US,5,20250829,204000,43.3945,43.3945,43.3945,43.3945,108,0
