<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OIH.US,5,20250829,153000,256.68,256.69,256.53,256.53,588,0
OIH.US,5,20250829,154000,257.72,258.24,257.65,258.21,2700,0
OIH.US,5,20250829,154500,258.29,258.56,258.04,258.37,3182,0
OIH.US,5,20250829,155000,258.4,258.4,257.78,257.78,542,0
OIH.US,5,20250829,155500,257.92,257.92,257.63,257.825,1613,0
OIH.US,5,20250829,160000,258.25,258.2699,257.83,257.83,3683,0
OIH.US,5,20250829,160500,257.59,257.62,257.36,257.62,1019,0
OIH.US,5,20250829,161000,257.36,257.36,256.21,256.46,2900,0
OIH.US,5,20250829,161500,256.45,256.94,256.14,256.14,3229,0
OIH.US,5,20250829,162000,256.39,256.78,256.39,256.455,2034,0
OIH.US,5,20250829,162500,256.4,256.69,256.34,256.69,600,0
OIH.US,5,20250829,163000,256.66,256.66,256.4,256.4,300,0
OIH.US,5,20250829,163500,256.43,256.48,256.03,256.05,1700,0
OIH.US,5,20250829,164000,256.31,256.88,256.31,256.31,14249,0
OIH.US,5,20250829,164500,256.42,256.5,256.32,256.39,1900,0
OIH.US,5,20250829,165000,256.305,256.305,256.28,256.28,200,0
OIH.US,5,20250829,165500,256.28,257.03,256.28,256.985,1332,0
OIH.US,5,20250829,170000,256.955,257.015,256.69,256.69,1100,0
OIH.US,5,20250829,170500,256.88,257.3,256.88,257.09,1200,0
OIH.US,5,20250829,171000,257.065,257.18,256.93,256.93,1100,0
OIH.US,5,20250829,171500,256.855,256.94,256.72,256.94,800,0
OIH.US,5,20250829,172000,256.8,256.8,256.6325,256.71,1600,0
OIH.US,5,20250829,172500,256.84,257.14,256.84,256.915,2300,0
OIH.US,5,20250829,173000,256.8,256.915,256.74,256.915,500,0
OIH.US,5,20250829,173500,257.02,257.47,257.02,257.47,700,0
OIH.US,5,20250829,174000,257.415,257.425,257.245,257.245,600,0
OIH.US,5,20250829,174500,257.53,257.63,257.49,257.6,800,0
OIH.US,5,20250829,175000,257.5675,257.81,257.47,257.81,800,0
OIH.US,5,20250829,175500,257.83,258.09,257.83,258,1500,0
OIH.US,5,20250829,180000,257.91,258.03,257.91,258.03,650,0
OIH.US,5,20250829,180500,257.875,258.06,257.875,258.035,1428,0
OIH.US,5,20250829,181000,257.94,257.94,257.59,257.61,500,0
OIH.US,5,20250829,181500,257.66,257.66,257.37,257.37,720,0
OIH.US,5,20250829,182000,257.47,257.89,257.47,257.89,400,0
OIH.US,5,20250829,182500,257.88,257.88,257.56,257.56,1100,0
OIH.US,5,20250829,183000,257.56,257.68,257.52,257.52,800,0
OIH.US,5,20250829,183500,257.6,257.6,257.45,257.46,500,0
OIH.US,5,20250829,184000,257.6,257.66,257.43,257.65,1911,0
OIH.US,5,20250829,184500,257.5701,257.59,257.44,257.44,919,0
OIH.US,5,20250829,185000,257.07,257.075,257.07,257.075,200,0
OIH.US,5,20250829,185500,257.23,257.57,257.23,257.48,1220,0
OIH.US,5,20250829,190000,257.445,257.59,257.32,257.32,1100,0
OIH.US,5,20250829,191000,257.56,257.56,257.52,257.52,200,0
OIH.US,5,20250829,191500,257.64,257.71,257.355,257.44,1480,0
OIH.US,5,20250829,192000,257.35,257.42,257.23,257.28,1000,0
OIH.US,5,20250829,192500,257.255,257.45,257.255,257.44,500,0
OIH.US,5,20250829,193000,257.61,257.74,257.61,257.72,800,0
OIH.US,5,20250829,193500,257.73,257.73,257.7,257.7,200,0
OIH.US,5,20250829,194000,257.7,257.915,257.7,257.83,1200,0
OIH.US,5,20250829,194500,258.02,258.15,258.01,258.01,600,0
OIH.US,5,20250829,195000,257.95,258.105,257.79,258.0351,1182,0
OIH.US,5,20250829,195500,257.86,257.86,257.86,257.86,100,0
OIH.US,5,20250829,200000,257.6,257.6,257.31,257.31,562,0
OIH.US,5,20250829,200500,257.25,257.26,257.08,257.25,500,0
OIH.US,5,20250829,201000,257.32,257.41,257.28,257.28,300,0
OIH.US,5,20250829,201500,257.0425,257.0425,257.03,257.03,500,0
OIH.US,5,20250829,202000,256.82,256.89,256.7,256.89,1900,0
OIH.US,5,20250829,202500,256.9,256.99,256.89,256.99,320,0
OIH.US,5,20250829,203000,256.86,256.97,256.7,256.97,1664,0
OIH.US,5,20250829,203500,257.07,257.38,257.07,257.38,1900,0
OIH.US,5,20250829,204000,257.48,257.48,257.2,257.23,1592,0
OIH.US,5,20250829,204500,257.21,257.315,257.21,257.215,1841,0
OIH.US,5,20250829,205000,257.195,257.195,257.05,257.1,4446,0
OIH.US,5,20250829,205500,257.05,257.0925,256.85,256.93,3800,0
OIH.US,5,20250829,210000,256.69,256.82,256.64,256.73,1700,0
OIH.US,5,20250829,210500,256.81,256.93,256.57,256.57,1200,0
OIH.US,5,20250829,211000,256.53,256.53,256.26,256.38,2325,0
OIH.US,5,20250829,211500,256.31,256.48,256.31,256.48,500,0
OIH.US,5,20250829,212000,256.49,256.49,256.48,256.48,200,0
OIH.US,5,20250829,212500,256.45,256.45,255.95,255.98,800,0
OIH.US,5,20250829,213000,256.08,256.2,255.87,255.87,2300,0
OIH.US,5,20250829,213500,255.825,256.01,255.8169,256.01,1100,0
OIH.US,5,20250829,214000,256.07,256.165,256.04,256.06,800,0
OIH.US,5,20250829,214500,256.13,256.41,256.13,256.24,3189,0
OIH.US,5,20250829,215000,256.35,257.08,256.35,256.695,6051,0
OIH.US,5,20250829,215500,256.66,257.11,256.66,256.85,27162,0
OIH.US,5,20250902,153000,255,255.8,253.87,254.81,15524,0
OIH.US,5,20250902,153500,254.56,254.58,253.21,253.43,2133,0
OIH.US,5,20250902,154000,253.44,253.895,253.44,253.895,2412,0
OIH.US,5,20250902,154500,253.35,253.37,251.38,252.97,3433,0
OIH.US,5,20250902,155000,253.5,254.36,253.4256,254.36,3468,0
OIH.US,5,20250902,155500,254.96,255.11,254.96,255.1,1655,0
OIH.US,5,20250902,160000,256,257.365,255.875,257.35,26340,0
OIH.US,5,20250902,160500,257.19,257.48,256.86,257.07,17325,0
OIH.US,5,20250902,161000,256.89,256.95,256.615,256.63,3273,0
OIH.US,5,20250902,161500,256.21,256.45,256.2,256.45,800,0
