<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCX.US,5,20250829,183000,29.7389,29.739,29.725,29.725,447,0
PSCX.US,5,20250902,165000,29.51,29.51,29.5,29.51,1000,0
PSCX.US,5,20250902,215500,29.58,29.58,29.58,29.58,1393,0
PSCX.US,5,20250909,195500,29.87,29.87,29.87,29.87,107,0
PSCX.US,5,20250912,182000,30,30,30,30,254,0
PSCX.US,5,20250915,215000,30.04,30.04,30.04,30.04,507,0
PSCX.US,5,20250917,180500,30.03,30.04,30.03,30.04,266,0
PSCX.US,5,20250917,204500,29.95,29.95,29.95,29.95,100,0
PSCX.US,5,20250923,215000,30.11,30.11,30.11,30.11,1800,0
PSCX.US,5,20250923,215500,30.04,30.04,30.04,30.04,2774,0
PSCX.US,5,20250924,173000,30.05,30.05,30.05,30.05,200,0
PSCX.US,5,20250924,213500,30.055,30.055,30.055,30.055,142,0
PSCX.US,5,20250924,214500,30.105,30.105,30.055,30.055,400,0
PSCX.US,5,20250924,215000,30.0748,30.0748,30.0748,30.0748,298,0
PSCX.US,5,20250929,203000,30.135,30.135,30.135,30.135,165,0
PSCX.US,5,20250930,210000,30.1,30.2,30.09,30.2,1412,0
PSCX.US,5,20251008,214000,30.265,30.3299,30.265,30.3299,296,0
PSCX.US,5,20251009,215500,30.22,30.22,30.22,30.22,1363,0
PSCX.US,5,20251015,175000,30.17,30.17,30.17,30.17,100,0
PSCX.US,5,20251016,195500,30.12,30.12,30.05971,30.05971,1556,0
PSCX.US,5,20251016,201500,30.03,30.03,30.03,30.03,1268,0
PSCX.US,5,20251017,172500,30.03,30.03,30.03,30.03,100,0
PSCX.US,5,20251020,205000,30.35,30.35,30.35,30.35,100,0
PSCX.US,5,20251023,183500,30.29,30.33,30.29,30.33,556,0
PSCX.US,5,20251024,183500,30.47,30.48,30.47,30.47,1147,0
PSCX.US,5,20251031,152500,30.53,30.54,30.53,30.54,1400,0
PSCX.US,5,20251103,205500,30.485,30.485,30.485,30.485,236,0
PSCX.US,5,20251103,215500,30.46,30.46,30.46,30.46,1347,0
PSCX.US,5,20251104,213000,30.46,30.46,30.44,30.44,800,0
PSCX.US,5,20251105,215500,30.42,30.42,30.42,30.42,1344,0
PSCX.US,5,20251106,170500,30.33,30.33,30.32,30.32,4307,0
PSCX.US,5,20251106,175000,30.39,30.39,30.39,30.39,971,0
PSCX.US,5,20251107,153000,30.205,30.205,30.205,30.205,200,0
PSCX.US,5,20251107,174000,30.14,30.14,30.14,30.14,100,0
PSCX.US,5,20251107,175000,30.15,30.15,30.15,30.15,100,0
PSCX.US,5,20251107,180000,30.12,30.12,30.12,30.12,100,0
PSCX.US,5,20251107,181000,30.13,30.13,30.13,30.13,100,0
PSCX.US,5,20251107,182500,30.17,30.17,30.17,30.17,100,0
PSCX.US,5,20251107,183500,30.17,30.17,30.17,30.17,100,0
PSCX.US,5,20251107,184500,30.15,30.15,30.15,30.15,100,0
PSCX.US,5,20251107,190000,30.18,30.18,30.15,30.17,1876,0
PSCX.US,5,20251107,204500,30.245,30.245,30.12,30.12,620,0
PSCX.US,5,20251110,164500,30.44,30.4955,30.44,30.4955,1055,0
PSCX.US,5,20251110,195000,30.465,30.465,30.465,30.465,100,0
PSCX.US,5,20251110,201500,30.48,30.48,30.48,30.48,330,0
PSCX.US,5,20251110,202000,30.48,30.48,30.48,30.48,100,0
PSCX.US,5,20251110,202500,30.48,30.48,30.48,30.48,100,0
PSCX.US,5,20251110,203000,30.48,30.48,30.48,30.48,100,0
PSCX.US,5,20251110,203500,30.48,30.535,30.48,30.535,1286,0
PSCX.US,5,20251110,210500,30.6,30.6,30.6,30.6,100,0
PSCX.US,5,20251110,211000,30.61,30.61,30.61,30.61,100,0
PSCX.US,5,20251110,212000,30.58,30.58,30.58,30.58,100,0
PSCX.US,5,20251110,212500,30.59,30.59,30.59,30.59,100,0
