<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QIG.US,5,20250903,153000,44.72,44.72,44.72,44.72,535,0
QIG.US,5,20250904,161500,44.95,44.95,44.95,44.95,100,0
QIG.US,5,20250904,170000,44.95,44.95,44.95,44.95,103,0
QIG.US,5,20250904,175000,44.99,45.02,44.99,44.9966,644,0
QIG.US,5,20250905,164000,45.349,45.349,45.349,45.349,231,0
QIG.US,5,20250908,153500,45.44,45.44,45.44,45.44,436,0
QIG.US,5,20250910,153000,45.45,45.45,45.45,45.45,343,0
QIG.US,5,20250910,183500,45.53,45.53,45.5077,45.5077,400,0
QIG.US,5,20250910,215500,45.515,45.515,45.515,45.515,100,0
QIG.US,5,20250911,155000,45.5814,45.5814,45.5814,45.5814,1437,0
QIG.US,5,20250911,165500,45.65,45.65,45.6411,45.6411,500,0
QIG.US,5,20250911,205000,45.6564,45.6564,45.6564,45.6564,295,0
QIG.US,5,20250915,212000,45.66,45.66,45.66,45.66,100,0
QIG.US,5,20250916,155000,45.699,45.699,45.699,45.699,200,0
QIG.US,5,20250918,210000,45.4904,45.4904,45.4904,45.4904,1400,0
QIG.US,5,20250919,212500,45.4711,45.4711,45.4711,45.4711,595,0
QIG.US,5,20250923,175500,45.49,45.49,45.465,45.465,400,0
QIG.US,5,20250924,153500,45.3806,45.3806,45.3806,45.3806,120,0
QIG.US,5,20251002,163000,45.395,45.395,45.395,45.395,106,0
QIG.US,5,20251008,153000,45.4375,45.4375,45.4375,45.4375,200,0
QIG.US,5,20251010,172000,45.4,45.4,45.4,45.4,208,0
QIG.US,5,20251015,195000,45.6,45.6,45.5987,45.5987,200,0
QIG.US,5,20251021,154000,45.84,45.84,45.84,45.84,100,0
QIG.US,5,20251022,163500,45.710268,45.710268,45.710268,45.710268,208,0
QIG.US,5,20251022,191500,45.8,45.8,45.8,45.8,884,0
QIG.US,5,20251023,185500,45.75,45.75,45.75,45.75,113,0
QIG.US,5,20251024,172000,45.805,45.805,45.805,45.805,118,0
QIG.US,5,20251027,171000,45.85,45.85,45.85,45.85,100,0
QIG.US,5,20251027,172000,45.85,45.85,45.85,45.85,100,0
QIG.US,5,20251027,173000,45.87,45.87,45.87,45.87,200,0
QIG.US,5,20251027,174000,45.86,45.86,45.86,45.86,200,0
QIG.US,5,20251028,145000,45.67,45.67,45.67,45.67,100,0
