<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QUVU.US,5,20250829,153000,25.9705,25.9705,25.9,25.9,2215,0
QUVU.US,5,20250829,160500,25.9893,25.9893,25.9893,25.9893,485,0
QUVU.US,5,20250829,184500,26,26,26,26,412,0
QUVU.US,5,20250829,185000,25.99,25.99,25.99,25.99,876,0
QUVU.US,5,20250829,200500,25.978,25.978,25.978,25.978,263,0
QUVU.US,5,20250902,153000,25.75,25.75,25.74,25.75,458,0
QUVU.US,5,20250902,160500,25.8,25.8,25.8,25.8,100,0
QUVU.US,5,20250902,180500,25.71,25.71,25.71,25.71,3155,0
QUVU.US,5,20250902,185500,25.75,25.76,25.75,25.76,2750,0
QUVU.US,5,20250902,192500,25.78,25.78,25.78,25.78,200,0
QUVU.US,5,20250902,201000,25.8152,25.8152,25.8152,25.8152,229,0
QUVU.US,5,20250902,205000,25.83,25.83,25.83,25.83,7492,0
QUVU.US,5,20250902,212000,25.83,25.83,25.83,25.83,200,0
QUVU.US,5,20250902,212500,25.816,25.816,25.816,25.816,708,0
QUVU.US,5,20250902,213000,25.83,25.83,25.83,25.83,200,0
QUVU.US,5,20250903,153000,25.96,25.96,25.96,25.96,100,0
QUVU.US,5,20250903,155000,25.969,25.969,25.969,25.969,228,0
QUVU.US,5,20250903,183000,25.8554,25.8554,25.8554,25.8554,300,0
QUVU.US,5,20250903,184000,25.83,25.88,25.83,25.88,1204,0
QUVU.US,5,20250903,184500,25.87,25.87,25.87,25.87,166,0
QUVU.US,5,20250903,191500,25.87,25.87,25.87,25.87,731,0
QUVU.US,5,20250903,202000,25.85,25.85,25.85,25.85,19994,0
QUVU.US,5,20250903,211000,25.825,25.85,25.825,25.85,700,0
QUVU.US,5,20250904,153000,25.87,25.87,25.87,25.87,200,0
QUVU.US,5,20250904,154000,25.92,25.92,25.92,25.92,258,0
QUVU.US,5,20250904,161000,25.92,25.92,25.92,25.92,300,0
QUVU.US,5,20250904,162500,25.93,25.93,25.93,25.93,100,0
QUVU.US,5,20250904,163000,25.901,25.901,25.901,25.901,767,0
QUVU.US,5,20250904,164000,25.94,25.94,25.94,25.94,100,0
QUVU.US,5,20250904,170500,25.92,25.92,25.92,25.92,2705,0
QUVU.US,5,20250904,171000,25.9,25.94,25.89,25.94,1028,0
QUVU.US,5,20250904,173000,25.92,25.94,25.92,25.94,1720,0
QUVU.US,5,20250904,175500,25.9583,25.9583,25.94,25.94,1506,0
QUVU.US,5,20250904,182000,25.9405,25.965,25.8414,25.8414,21452,0
QUVU.US,5,20250904,182500,25.96,25.96,25.96,25.96,100,0
QUVU.US,5,20250904,185000,25.91,25.91,25.91,25.91,100,0
QUVU.US,5,20250904,185500,25.91,25.91,25.91,25.91,100,0
QUVU.US,5,20250904,190000,25.94,25.94,25.912,25.912,1011,0
QUVU.US,5,20250904,192500,25.94,25.94,25.94,25.94,100,0
QUVU.US,5,20250904,193000,25.93,25.9446,25.93,25.9446,1066,0
QUVU.US,5,20250904,202000,25.95,26,25.95,25.98,3025,0
QUVU.US,5,20250904,205500,25.97,25.97,25.97,25.97,100,0
QUVU.US,5,20250904,214500,25.99,26.0237,25.99,26.0237,1100,0
QUVU.US,5,20250904,215500,26.03,26.0305,26.03,26.0305,2248,0
QUVU.US,5,20250905,153000,26.0983,26.1433,26.08,26.1433,1646,0
QUVU.US,5,20250905,154000,26.14,26.14,26.14,26.14,100,0
QUVU.US,5,20250905,160500,26.11,26.11,26.11,26.11,100,0
QUVU.US,5,20250905,163500,25.93,25.93,25.93,25.93,200,0
QUVU.US,5,20250905,170500,25.91,25.91,25.91,25.91,100,0
QUVU.US,5,20250905,172000,25.94,25.94,25.94,25.94,200,0
QUVU.US,5,20250905,173000,25.94,25.94,25.94,25.94,590,0
QUVU.US,5,20250905,173500,25.93,25.93,25.93,25.93,200,0
QUVU.US,5,20250905,175000,25.94,25.94,25.94,25.94,100,0
QUVU.US,5,20250905,181500,25.95,25.95,25.95,25.95,100,0
QUVU.US,5,20250905,191500,25.93,25.93,25.93,25.93,100,0
QUVU.US,5,20250905,201500,25.9,25.93,25.9,25.93,200,0
QUVU.US,5,20250905,202500,25.9,25.9,25.9,25.9,100,0
QUVU.US,5,20250905,205500,26.0061,26.0061,26.0061,26.0061,305,0
QUVU.US,5,20250905,212000,25.98,25.98,25.98,25.98,100,0
QUVU.US,5,20250908,153000,26.05,26.06,25.94,25.94,4465,0
QUVU.US,5,20250908,155500,25.85,25.85,25.85,25.85,100,0
QUVU.US,5,20250908,172500,25.9,25.9,25.9,25.9,100,0
QUVU.US,5,20250908,183000,25.87,25.87,25.87,25.87,100,0
QUVU.US,5,20250908,193000,25.88,25.88,25.88,25.88,100,0
QUVU.US,5,20250908,193500,25.9025,25.9025,25.9025,25.9025,1509,0
QUVU.US,5,20250908,202000,25.8938,25.8938,25.8938,25.8938,764,0
QUVU.US,5,20250908,204000,25.87,25.87,25.87,25.87,100,0
QUVU.US,5,20250908,213000,25.87,25.87,25.87,25.87,271,0
QUVU.US,5,20250908,213500,25.85,25.85,25.85,25.85,100,0
QUVU.US,5,20250908,215000,25.9195,25.9195,25.9195,25.9195,615,0
QUVU.US,5,20250908,215500,25.9696,25.995,25.9696,25.995,1238,0
QUVU.US,5,20250909,153000,25.91,25.91,25.91,25.91,390,0
QUVU.US,5,20250909,155500,25.92,25.92,25.92,25.92,100,0
QUVU.US,5,20250909,172500,25.94,25.94,25.94,25.94,100,0
QUVU.US,5,20250909,181000,25.93,25.93,25.93,25.93,100,0
QUVU.US,5,20250909,191500,25.95,25.95,25.95,25.95,100,0
QUVU.US,5,20250909,192500,25.96,25.96,25.96,25.96,100,0
QUVU.US,5,20250909,194000,25.98,25.98,25.98,25.98,100,0
QUVU.US,5,20250909,201500,26.04,26.05,26.04,26.05,1221,0
QUVU.US,5,20250909,203000,26.03,26.03,26.03,26.03,100,0
QUVU.US,5,20250909,205500,26.03,26.03,26.03,26.03,294,0
QUVU.US,5,20250909,212000,25.9814,25.9814,25.98,25.98,376,0
QUVU.US,5,20250909,215000,26,26,26,26,100,0
QUVU.US,5,20250909,215500,26.01,26.01,26.01,26.01,100,0
QUVU.US,5,20250910,153000,25.95,26.049,25.95,26.0489,2846,0
QUVU.US,5,20250910,154000,26.04,26.04,26.04,26.04,100,0
