<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVER.US,5,20250829,203500,32.29,32.29,32.29,32.29,100,0
RVER.US,5,20250829,204500,32.29,32.29,32.29,32.29,100,0
RVER.US,5,20250829,205500,32.29,32.29,32.29,32.29,100,0
RVER.US,5,20250829,214500,32.34,32.36,32.3399,32.36,600,0
RVER.US,5,20250829,215000,32.4,32.4,32.4,32.4,100,0
RVER.US,5,20250902,160000,32.07,32.07,32.0699,32.0699,200,0
RVER.US,5,20250902,211500,32.08,32.1,32.0799,32.0999,800,0
RVER.US,5,20250903,153000,32.53,32.53,32.5299,32.5299,600,0
RVER.US,5,20250903,155000,32.57,32.57,32.5699,32.5699,398,0
RVER.US,5,20250903,162500,32.64,32.64,32.6399,32.6399,400,0
RVER.US,5,20250903,171500,32.63,32.63,32.63,32.63,289,0
RVER.US,5,20250903,191500,32.7599,32.76,32.7599,32.76,600,0
RVER.US,5,20250903,210000,32.595,32.595,32.595,32.595,100,0
RVER.US,5,20250903,213500,32.64,32.64,32.61,32.61,858,0
RVER.US,5,20250903,214500,32.64,32.64,32.64,32.64,200,0
RVER.US,5,20250903,215000,32.68,32.68,32.6654,32.6654,200,0
RVER.US,5,20250903,215500,32.6711,32.7,32.6711,32.7,964,0
RVER.US,5,20250904,180000,32.8,32.8,32.8,32.8,7905,0
RVER.US,5,20250904,181500,32.8199,32.8199,32.8199,32.8199,100,0
RVER.US,5,20250904,184500,32.84,32.84,32.84,32.84,100,0
RVER.US,5,20250904,192500,32.93,32.93,32.93,32.93,198,0
RVER.US,5,20250904,193000,32.945,32.98,32.945,32.98,400,0
RVER.US,5,20250904,195000,32.975,33.01,32.975,33.01,400,0
RVER.US,5,20250904,195500,32.98,32.98,32.98,32.98,199,0
RVER.US,5,20250904,201500,33.0294,33.0294,33.0294,33.0294,100,0
RVER.US,5,20250904,202500,33.04,33.04,33.04,33.04,199,0
RVER.US,5,20250904,212000,33.07,33.07,33.0699,33.0699,254,0
RVER.US,5,20250904,212500,33.0599,33.06,33.0599,33.06,268,0
RVER.US,5,20250904,214500,33.09,33.09,33.0899,33.09,302,0
RVER.US,5,20250904,215000,33.05,33.05,33.05,33.05,100,0
RVER.US,5,20250904,215500,33.1,33.17,33.0817,33.1699,968,0
RVER.US,5,20250905,163500,32.37,32.37,32.3699,32.3699,372,0
