<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHQ.US,5,20250829,153000,31.5,31.51,31.4858,31.495,10305,0
SCHQ.US,5,20250829,153500,31.49,31.49,31.48,31.4868,3727,0
SCHQ.US,5,20250829,154000,31.485,31.49,31.485,31.485,4538,0
SCHQ.US,5,20250829,154500,31.496374,31.496374,31.4881,31.4881,3778,0
SCHQ.US,5,20250829,155000,31.4803,31.4803,31.47,31.475,9464,0
SCHQ.US,5,20250829,155500,31.48,31.485,31.48,31.48,1775,0
SCHQ.US,5,20250829,160000,31.485,31.505,31.485,31.49,3041,0
SCHQ.US,5,20250829,160500,31.489,31.515,31.489,31.515,5100,0
SCHQ.US,5,20250829,161000,31.51,31.5104,31.505,31.5104,4373,0
SCHQ.US,5,20250829,161500,31.515,31.525,31.51,31.51,6810,0
SCHQ.US,5,20250829,162000,31.51,31.51,31.485,31.4901,32590,0
SCHQ.US,5,20250829,162500,31.48,31.48,31.475,31.475,13843,0
SCHQ.US,5,20250829,163000,31.47,31.4901,31.4602,31.4899,56199,0
SCHQ.US,5,20250829,163500,31.485,31.505,31.485,31.5005,75474,0
SCHQ.US,5,20250829,164000,31.505,31.5151,31.505,31.51,15240,0
SCHQ.US,5,20250829,164500,31.505,31.505,31.4751,31.4751,17810,0
SCHQ.US,5,20250829,165000,31.475,31.4802,31.4703,31.475,33171,0
SCHQ.US,5,20250829,165500,31.47,31.4801,31.47,31.475,33619,0
SCHQ.US,5,20250829,170000,31.4749,31.4749,31.445,31.45,38794,0
SCHQ.US,5,20250829,170500,31.4287,31.4401,31.425,31.44,57228,0
SCHQ.US,5,20250829,171000,31.4399,31.45,31.43,31.4301,47474,0
SCHQ.US,5,20250829,171500,31.43,31.43,31.3951,31.4,47961,0
SCHQ.US,5,20250829,172000,31.4193,31.4193,31.4098,31.4104,46180,0
SCHQ.US,5,20250829,172500,31.41,31.41,31.3999,31.4046,39464,0
SCHQ.US,5,20250829,173000,31.4068,31.42,31.4068,31.4101,41735,0
SCHQ.US,5,20250829,173500,31.425,31.44,31.42,31.44,22323,0
SCHQ.US,5,20250829,174000,31.44,31.44,31.44,31.44,1200,0
SCHQ.US,5,20250829,174500,31.44,31.4599,31.44,31.457568,54418,0
SCHQ.US,5,20250829,175000,31.4504,31.475,31.4504,31.47,16924,0
SCHQ.US,5,20250829,175500,31.47,31.47,31.44,31.44,4469,0
SCHQ.US,5,20250829,180000,31.435,31.4494,31.435,31.4442,7230,0
SCHQ.US,5,20250829,180500,31.4401,31.45,31.4401,31.4499,45149,0
SCHQ.US,5,20250829,181000,31.4503,31.46,31.4499,31.455,39299,0
SCHQ.US,5,20250829,181500,31.455,31.4625,31.45,31.4625,7672,0
SCHQ.US,5,20250829,182000,31.47,31.48,31.4601,31.48,15207,0
SCHQ.US,5,20250829,182500,31.48,31.4996,31.48,31.4901,31839,0
SCHQ.US,5,20250829,183000,31.4984,31.4984,31.48,31.49,5252,0
SCHQ.US,5,20250829,183500,31.5,31.5192,31.4999,31.5,47565,0
SCHQ.US,5,20250829,184000,31.5,31.505,31.49,31.5,47536,0
SCHQ.US,5,20250829,184500,31.5,31.5,31.49,31.49,15507,0
SCHQ.US,5,20250829,185000,31.485,31.5,31.485,31.495,12273,0
SCHQ.US,5,20250829,185500,31.495,31.505,31.49,31.4901,53953,0
SCHQ.US,5,20250829,190000,31.485,31.485,31.475,31.475,5017,0
SCHQ.US,5,20250829,190500,31.475,31.4896,31.475,31.4828,22146,0
SCHQ.US,5,20250829,191000,31.4835,31.505,31.4835,31.5001,32315,0
SCHQ.US,5,20250829,191500,31.5084,31.5084,31.495,31.5,26192,0
SCHQ.US,5,20250829,192000,31.5,31.5,31.5,31.5,400,0
SCHQ.US,5,20250829,192500,31.495,31.5091,31.495,31.5091,7612,0
SCHQ.US,5,20250829,193000,31.5081,31.5081,31.505,31.505,5208,0
SCHQ.US,5,20250829,193500,31.505,31.5136,31.505,31.5101,11985,0
SCHQ.US,5,20250829,194000,31.51,31.51,31.495,31.495,2207,0
SCHQ.US,5,20250829,194500,31.49,31.495,31.485,31.4899,16296,0
SCHQ.US,5,20250829,195000,31.4872,31.49,31.4801,31.49,5012,0
SCHQ.US,5,20250829,195500,31.4903,31.495,31.49,31.4901,13541,0
SCHQ.US,5,20250829,200000,31.4881,31.4881,31.48,31.485,9744,0
SCHQ.US,5,20250829,200500,31.4859,31.4972,31.485,31.49,10358,0
SCHQ.US,5,20250829,201000,31.485,31.4972,31.485,31.49,3261,0
SCHQ.US,5,20250829,201500,31.485,31.485,31.48,31.48,606,0
SCHQ.US,5,20250829,202000,31.475,31.485,31.475,31.485,12844,0
SCHQ.US,5,20250829,202500,31.4885,31.4885,31.465,31.4701,14512,0
SCHQ.US,5,20250829,203000,31.475,31.48,31.475,31.48,6549,0
SCHQ.US,5,20250829,203500,31.485,31.49,31.485,31.485,6511,0
SCHQ.US,5,20250829,204000,31.49,31.4901,31.49,31.4901,10017,0
SCHQ.US,5,20250829,204500,31.49,31.495,31.49,31.49,18200,0
SCHQ.US,5,20250829,205000,31.485,31.485,31.475,31.48,32636,0
SCHQ.US,5,20250829,205500,31.48,31.4899,31.47,31.47,11951,0
SCHQ.US,5,20250829,210000,31.47,31.48,31.465,31.4799,26362,0
SCHQ.US,5,20250829,210500,31.47,31.47,31.465,31.467,7208,0
SCHQ.US,5,20250829,211000,31.465,31.465,31.465,31.465,300,0
SCHQ.US,5,20250829,211500,31.465,31.4672,31.465,31.465,5434,0
SCHQ.US,5,20250829,212000,31.465,31.47,31.465,31.47,5471,0
SCHQ.US,5,20250829,212500,31.465,31.465,31.465,31.465,700,0
SCHQ.US,5,20250829,213000,31.465,31.4983,31.465,31.49,29658,0
SCHQ.US,5,20250829,213500,31.4899,31.49,31.4829,31.485,15351,0
SCHQ.US,5,20250829,214000,31.485,31.5,31.485,31.495,7467,0
SCHQ.US,5,20250829,214500,31.5,31.5172,31.4999,31.515,28525,0
SCHQ.US,5,20250829,215000,31.51,31.5181,31.5,31.5001,57580,0
SCHQ.US,5,20250829,215500,31.495,31.4999,31.43,31.47,386824,0
SCHQ.US,5,20250902,153000,31.11,31.12,31.11,31.11,27219,0
SCHQ.US,5,20250902,153500,31.11,31.145,31.11,31.14,33470,0
