<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDCI.US,5,20250829,153000,22.5548,22.5548,22.5548,22.5548,134,0
SDCI.US,5,20250829,153500,22.53,22.53,22.5114,22.5114,1356,0
SDCI.US,5,20250829,154000,22.515,22.515,22.515,22.515,807,0
SDCI.US,5,20250829,154500,22.53,22.53,22.53,22.53,100,0
SDCI.US,5,20250829,155000,22.544,22.5519,22.544,22.5519,3608,0
SDCI.US,5,20250829,160000,22.53,22.53,22.53,22.53,398,0
SDCI.US,5,20250829,161000,22.5015,22.56,22.5015,22.56,1200,0
SDCI.US,5,20250829,162500,22.5068,22.5068,22.5068,22.5068,251,0
SDCI.US,5,20250829,163500,22.515,22.515,22.515,22.515,1695,0
SDCI.US,5,20250829,164500,22.5211,22.5211,22.5211,22.5211,110,0
SDCI.US,5,20250829,165500,22.55,22.55,22.5484,22.5484,259,0
SDCI.US,5,20250829,170500,22.525,22.525,22.525,22.525,1774,0
SDCI.US,5,20250829,171000,22.53,22.54,22.53,22.54,19271,0
SDCI.US,5,20250829,171500,22.535,22.56,22.535,22.56,1569,0
SDCI.US,5,20250829,172000,22.5352,22.5747,22.5352,22.57,1324,0
SDCI.US,5,20250829,173000,22.51,22.5382,22.51,22.5382,2470,0
SDCI.US,5,20250829,174000,22.555,22.565,22.555,22.565,3516,0
SDCI.US,5,20250829,175000,22.57,22.58,22.565,22.58,600,0
SDCI.US,5,20250829,175500,22.574,22.574,22.574,22.574,664,0
SDCI.US,5,20250829,181000,22.58,22.58,22.58,22.58,4010,0
SDCI.US,5,20250829,181500,22.59,22.59,22.59,22.59,100,0
SDCI.US,5,20250829,182000,22.5931,22.5931,22.5931,22.5931,424,0
SDCI.US,5,20250829,183000,22.58,22.588,22.58,22.58,3626,0
SDCI.US,5,20250829,183500,22.58,22.6,22.58,22.6,1000,0
SDCI.US,5,20250829,184500,22.56,22.5746,22.56,22.5746,220,0
SDCI.US,5,20250829,185000,22.59,22.59,22.58,22.58,550,0
SDCI.US,5,20250829,190000,22.56,22.56,22.56,22.56,130,0
SDCI.US,5,20250829,191000,22.5899,22.59,22.58,22.58,2508,0
SDCI.US,5,20250829,191500,22.6,22.6,22.58,22.58,226,0
SDCI.US,5,20250829,192000,22.56,22.58,22.56,22.56,683,0
SDCI.US,5,20250829,193500,22.57,22.57,22.57,22.57,100,0
SDCI.US,5,20250829,195500,22.58,22.58,22.575,22.575,13205,0
SDCI.US,5,20250829,200000,22.5746,22.575,22.5393,22.555,1056,0
SDCI.US,5,20250829,201000,22.553,22.579,22.553,22.579,4079,0
SDCI.US,5,20250829,201500,22.58,22.6,22.58,22.6,348,0
SDCI.US,5,20250829,203000,22.58,22.58,22.57,22.57,852,0
SDCI.US,5,20250829,204500,22.58,22.58,22.58,22.58,414,0
SDCI.US,5,20250829,211000,22.5603,22.5603,22.5603,22.5603,804,0
SDCI.US,5,20250829,211500,22.58,22.58,22.58,22.58,100,0
SDCI.US,5,20250829,212500,22.58,22.58,22.52,22.52,1604,0
SDCI.US,5,20250829,213500,22.525,22.525,22.525,22.525,561,0
SDCI.US,5,20250829,214000,22.571,22.5899,22.555,22.5698,5359,0
SDCI.US,5,20250829,214500,22.58,22.58,22.52,22.555,711,0
SDCI.US,5,20250829,215000,22.58,22.59,22.5345,22.56,512,0
SDCI.US,5,20250829,215500,22.58,22.62,22.5402,22.6,65293,0
SDCI.US,5,20250902,153000,23,23,22.675,22.675,944,0
SDCI.US,5,20250902,153500,22.67,22.6921,22.65,22.65,4390,0
SDCI.US,5,20250902,154000,22.622,22.6612,22.62,22.6375,4050,0
SDCI.US,5,20250902,154500,22.62,22.6702,22.62,22.6207,2609,0
SDCI.US,5,20250902,155000,22.6568,22.6568,22.6568,22.6568,700,0
SDCI.US,5,20250902,155500,22.68,22.6956,22.67,22.68,9618,0
SDCI.US,5,20250902,160000,22.71,22.7194,22.69,22.7194,2000,0
SDCI.US,5,20250902,160500,22.7,22.71,22.681,22.681,3445,0
SDCI.US,5,20250902,161000,22.7195,22.7213,22.6912,22.695,5919,0
SDCI.US,5,20250902,161500,22.7293,22.7294,22.6845,22.695,2744,0
SDCI.US,5,20250902,162000,22.7098,22.72,22.66,22.66,2658,0
SDCI.US,5,20250902,162500,22.72,22.72,22.69,22.7095,8949,0
SDCI.US,5,20250902,163500,22.7,22.7,22.685,22.685,5381,0
SDCI.US,5,20250902,164000,22.71,22.71,22.69,22.71,530,0
SDCI.US,5,20250902,164500,22.71,22.73,22.6831,22.6831,554,0
SDCI.US,5,20250902,165000,22.74,22.75,22.73,22.743,3366,0
SDCI.US,5,20250902,165500,22.743,22.7893,22.743,22.7893,3167,0
SDCI.US,5,20250902,170000,22.79,22.79,22.75,22.75,2500,0
SDCI.US,5,20250902,170500,22.755,22.8084,22.755,22.8084,320,0
SDCI.US,5,20250902,171000,22.755,22.755,22.755,22.755,5258,0
SDCI.US,5,20250902,171500,22.7519,22.8086,22.749,22.79,7382,0
SDCI.US,5,20250902,172000,22.785,22.81,22.7777,22.796,3097,0
SDCI.US,5,20250902,172500,22.82,22.82,22.795,22.795,5608,0
SDCI.US,5,20250902,173000,22.766,22.766,22.766,22.766,486,0
SDCI.US,5,20250902,173500,22.8491,22.8491,22.8491,22.8491,150,0
SDCI.US,5,20250902,174500,22.84,22.84,22.76,22.82,1992,0
