<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIXA.US,5,20250829,154000,49.84,49.875,49.84,49.875,1502,0
SIXA.US,5,20250829,174500,49.73,49.73,49.73,49.73,559,0
SIXA.US,5,20250829,193500,49.74,49.74,49.74,49.74,100,0
SIXA.US,5,20250829,210000,49.795,49.81,49.795,49.81,327,0
SIXA.US,5,20250829,212000,49.83,49.83,49.83,49.83,100,0
SIXA.US,5,20250902,154000,49.4401,49.4401,49.4301,49.4301,390,0
SIXA.US,5,20250902,161500,49.62,49.62,49.62,49.62,100,0
SIXA.US,5,20250902,163000,49.57,49.57,49.57,49.57,100,0
SIXA.US,5,20250902,173500,49.522,49.522,49.522,49.522,363,0
SIXA.US,5,20250902,174500,49.5,49.5,49.5,49.5,100,0
SIXA.US,5,20250902,175000,49.51,49.52,49.51,49.52,30213,0
SIXA.US,5,20250902,175500,49.5,49.5,49.5,49.5,304,0
SIXA.US,5,20250902,181500,49.48,49.48,49.48,49.48,100,0
SIXA.US,5,20250902,191500,49.53,49.53,49.53,49.53,100,0
SIXA.US,5,20250902,194000,49.61,49.61,49.61,49.61,100,0
SIXA.US,5,20250902,213000,49.57,49.5701,49.57,49.5701,1350,0
SIXA.US,5,20250902,214000,49.6,49.6,49.6,49.6,100,0
SIXA.US,5,20250902,214500,49.5901,49.6199,49.5901,49.6199,210,0
SIXA.US,5,20250902,215000,49.67,49.67,49.67,49.67,100,0
SIXA.US,5,20250902,215500,49.65,49.6501,49.65,49.6501,9600,0
SIXA.US,5,20250903,161500,49.48,49.48,49.48,49.48,100,0
SIXA.US,5,20250903,162000,49.48,49.48,49.48,49.48,100,0
SIXA.US,5,20250903,163500,49.47,49.47,49.46,49.46,659,0
SIXA.US,5,20250903,164000,49.46,49.46,49.45,49.45,2090,0
SIXA.US,5,20250903,170500,49.55,49.55,49.55,49.55,100,0
SIXA.US,5,20250903,173500,49.51,49.51,49.51,49.51,4669,0
SIXA.US,5,20250903,185000,49.41,49.41,49.41,49.41,300,0
SIXA.US,5,20250903,200000,49.38,49.38,49.38,49.38,100,0
SIXA.US,5,20250903,201000,49.375,49.375,49.375,49.375,141,0
SIXA.US,5,20250903,201500,49.4,49.4,49.4,49.4,300,0
SIXA.US,5,20250903,202000,49.41,49.41,49.41,49.41,100,0
SIXA.US,5,20250903,211000,49.41,49.42,49.41,49.41,5000,0
SIXA.US,5,20250903,213000,49.44,49.44,49.4399,49.44,850,0
SIXA.US,5,20250903,213500,49.47,49.47,49.4699,49.4699,400,0
SIXA.US,5,20250904,163000,49.6595,49.6595,49.6595,49.6595,123,0
SIXA.US,5,20250904,164500,49.67,49.67,49.67,49.67,200,0
SIXA.US,5,20250904,172000,49.68,49.68,49.68,49.68,25923,0
SIXA.US,5,20250904,183500,49.6299,49.6299,49.6299,49.6299,500,0
SIXA.US,5,20250904,184000,49.58,49.58,49.58,49.58,100,0
SIXA.US,5,20250904,192000,49.69,49.69,49.6899,49.6899,1336,0
SIXA.US,5,20250904,195000,49.68,49.68,49.68,49.68,300,0
SIXA.US,5,20250904,201000,49.64,49.64,49.64,49.64,524,0
SIXA.US,5,20250904,204500,49.655,49.68,49.655,49.66,2200,0
SIXA.US,5,20250904,210000,49.68,49.68,49.68,49.68,100,0
SIXA.US,5,20250904,211000,49.73,49.73,49.73,49.73,100,0
SIXA.US,5,20250904,212000,49.73,49.73,49.73,49.73,100,0
SIXA.US,5,20250904,215000,49.76,49.76,49.76,49.76,100,0
SIXA.US,5,20250905,172000,49.54,49.54,49.54,49.54,100,0
SIXA.US,5,20250905,180500,49.58,49.58,49.58,49.58,100,0
SIXA.US,5,20250905,183000,49.5499,49.5499,49.5499,49.5499,655,0
SIXA.US,5,20250905,183500,49.515,49.515,49.515,49.515,2540,0
SIXA.US,5,20250905,200000,49.52,49.52,49.4899,49.4899,900,0
SIXA.US,5,20250905,201500,49.47,49.47,49.47,49.47,100,0
SIXA.US,5,20250905,203000,49.49,49.49,49.49,49.49,100,0
SIXA.US,5,20250905,205500,49.5501,49.5501,49.5501,49.5501,424,0
SIXA.US,5,20250908,153500,49.3103,49.3103,49.3103,49.3103,506,0
SIXA.US,5,20250908,154000,49.295,49.295,49.295,49.295,391,0
SIXA.US,5,20250908,155000,49.2755,49.2755,49.2755,49.2755,300,0
SIXA.US,5,20250908,155500,49.305,49.305,49.2727,49.2727,1245,0
SIXA.US,5,20250908,161000,49.285,49.285,49.285,49.285,300,0
SIXA.US,5,20250908,161500,49.2501,49.2501,49.2501,49.2501,415,0
SIXA.US,5,20250908,162500,49.31,49.31,49.31,49.31,200,0
SIXA.US,5,20250908,172000,49.42,49.42,49.42,49.42,668,0
SIXA.US,5,20250908,173500,49.3689,49.3689,49.3204,49.3204,413,0
SIXA.US,5,20250908,175500,49.3501,49.3501,49.3501,49.3501,166,0
SIXA.US,5,20250908,180000,49.37,49.37,49.37,49.37,300,0
SIXA.US,5,20250908,181000,49.35,49.35,49.35,49.35,500,0
SIXA.US,5,20250908,183000,49.36,49.3609,49.35,49.3609,772,0
SIXA.US,5,20250908,184000,49.35,49.35,49.35,49.35,100,0
SIXA.US,5,20250908,185500,49.37,49.37,49.37,49.37,9093,0
SIXA.US,5,20250908,191000,49.36,49.36,49.36,49.36,100,0
SIXA.US,5,20250908,192500,49.37,49.37,49.37,49.37,205,0
SIXA.US,5,20250908,193000,49.3799,49.3799,49.3799,49.3799,172,0
SIXA.US,5,20250908,201500,49.29,49.29,49.24,49.24,200,0
SIXA.US,5,20250908,214000,49.3199,49.32,49.3199,49.32,1750,0
SIXA.US,5,20250908,215500,49.44,49.45,49.44,49.45,550,0
SIXA.US,5,20250909,153000,49.49,49.49,49.49,49.49,349,0
SIXA.US,5,20250909,165000,49.5799,49.5799,49.5799,49.5799,530,0
SIXA.US,5,20250909,171000,49.579,49.579,49.579,49.579,334,0
SIXA.US,5,20250909,171500,49.57,49.57,49.57,49.57,217,0
SIXA.US,5,20250909,172500,49.59,49.59,49.59,49.59,820,0
SIXA.US,5,20250909,173500,49.6081,49.6081,49.6,49.6,567,0
SIXA.US,5,20250909,174500,49.5302,49.5302,49.5302,49.5302,218,0
SIXA.US,5,20250909,184500,49.6194,49.6194,49.6194,49.6194,202,0
SIXA.US,5,20250909,190000,49.565,49.565,49.565,49.565,150,0
SIXA.US,5,20250909,201000,49.68,49.68,49.6501,49.6501,451,0
SIXA.US,5,20250909,205000,49.695,49.695,49.695,49.695,325,0
SIXA.US,5,20250909,215000,49.68,49.68,49.68,49.68,100,0
SIXA.US,5,20250909,215500,49.68,49.68,49.68,49.68,133,0
