<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNPE.US,5,20250829,153000,58.1922,58.1922,58.1922,58.1922,1125,0
SNPE.US,5,20250829,154000,58.18,58.19,58.17,58.19,5600,0
SNPE.US,5,20250829,154500,58.19,58.19,58.13,58.13,1900,0
SNPE.US,5,20250829,155000,58.13,58.13,58.13,58.13,100,0
SNPE.US,5,20250829,155500,58.1,58.1,58.08,58.08,800,0
SNPE.US,5,20250829,160000,58.07,58.1,58.04,58.04,740,0
SNPE.US,5,20250829,160500,57.96,57.97,57.96,57.97,200,0
SNPE.US,5,20250829,161000,57.97,58,57.96,58,2500,0
SNPE.US,5,20250829,161500,57.98,57.98,57.96,57.98,900,0
SNPE.US,5,20250829,162000,58,58.02,58,58.02,600,0
SNPE.US,5,20250829,162500,58.03,58.03,57.97,57.98,2300,0
SNPE.US,5,20250829,163000,58.03,58.06,58.03,58.05,1300,0
SNPE.US,5,20250829,163500,58.05,58.07,58.04,58.07,2467,0
SNPE.US,5,20250829,164000,58.0754,58.0754,58.01,58.01,2001,0
SNPE.US,5,20250829,164500,58.005,58.02,57.96,57.96,899,0
SNPE.US,5,20250829,165000,57.94,57.97,57.93,57.97,500,0
SNPE.US,5,20250829,165500,57.96,57.97,57.96,57.9612,1823,0
SNPE.US,5,20250829,170000,57.99,58.01,57.99,58,1000,0
SNPE.US,5,20250829,170500,58.05,58.05,58.05,58.05,100,0
SNPE.US,5,20250829,171000,58.055,58.055,58.04,58.04,421,0
SNPE.US,5,20250829,171500,58.03,58.05,58.02,58.02,1900,0
SNPE.US,5,20250829,172000,58.02,58.0541,58.02,58.0541,521,0
SNPE.US,5,20250829,172500,58.04,58.05,58.04,58.05,1620,0
SNPE.US,5,20250829,173000,58.02,58.03,58.02,58.02,1100,0
SNPE.US,5,20250829,173500,58.03,58.0547,58.03,58.0547,688,0
SNPE.US,5,20250829,174000,58.03,58.03,58.0241,58.0241,428,0
SNPE.US,5,20250829,174500,58.02,58.02,58.01,58.01,589,0
SNPE.US,5,20250829,175000,58,58.01,57.99,57.99,1200,0
SNPE.US,5,20250829,175500,58,58.01,57.99,58,700,0
SNPE.US,5,20250829,180500,58.03,58.0405,58.025,58.0405,702,0
SNPE.US,5,20250829,182000,58.07,58.07,58.07,58.07,500,0
SNPE.US,5,20250829,182500,58.07,58.07,58.03,58.03,900,0
SNPE.US,5,20250829,183000,58.05,58.08,58.05,58.08,1800,0
SNPE.US,5,20250829,183500,58.09,58.09,58.09,58.09,110,0
SNPE.US,5,20250829,184000,58.1,58.1,58.1,58.1,300,0
SNPE.US,5,20250829,184500,58.075,58.075,58.075,58.075,3465,0
SNPE.US,5,20250829,185000,58.0901,58.0901,58.0901,58.0901,285,0
SNPE.US,5,20250829,185500,58.09,58.09,58.09,58.09,100,0
SNPE.US,5,20250829,190000,58.05,58.0503,58.05,58.0503,662,0
SNPE.US,5,20250829,190500,58.03,58.04,58.03,58.04,967,0
SNPE.US,5,20250829,191500,57.99,57.99,57.99,57.99,100,0
SNPE.US,5,20250829,192000,58,58.02,58,58.01,300,0
SNPE.US,5,20250829,192500,58.02,58.02,58.02,58.02,200,0
SNPE.US,5,20250829,193000,58.0011,58.01,58,58.01,600,0
SNPE.US,5,20250829,193500,58.03,58.04,58.02,58.04,560,0
SNPE.US,5,20250829,194000,58.06,58.06,58.04,58.04,300,0
SNPE.US,5,20250829,194500,58.0601,58.0601,58.0601,58.0601,533,0
SNPE.US,5,20250829,195000,58.08,58.08,58.08,58.08,200,0
SNPE.US,5,20250829,195500,58.08,58.08,58.06,58.07,1249,0
SNPE.US,5,20250829,200000,58.07,58.07,58.06,58.06,248,0
SNPE.US,5,20250829,201000,58.08,58.08,58.07,58.07,200,0
SNPE.US,5,20250829,201500,58.08,58.08,58.07,58.07,5400,0
SNPE.US,5,20250829,202000,58.05,58.05,58.05,58.05,813,0
SNPE.US,5,20250829,202500,58.07,58.07,58.05,58.05,300,0
SNPE.US,5,20250829,204000,58.07,58.08,58.06,58.06,1700,0
SNPE.US,5,20250829,204500,58.06,58.06,58.06,58.06,100,0
SNPE.US,5,20250829,205000,58.06,58.06,58.06,58.06,200,0
SNPE.US,5,20250829,205500,58.06,58.07,58.06,58.07,300,0
SNPE.US,5,20250829,210500,58.1,58.1,58.095,58.095,433,0
SNPE.US,5,20250829,211500,58.08,58.09,58.08,58.09,300,0
SNPE.US,5,20250829,212000,58.0901,58.0901,58.0901,58.0901,189,0
SNPE.US,5,20250829,212500,58.09,58.09,58.07,58.07,400,0
SNPE.US,5,20250829,213000,58.07,58.07,58.07,58.07,1270,0
SNPE.US,5,20250829,213500,58.04,58.065,58.04,58.065,956,0
SNPE.US,5,20250829,214000,58.07,58.1,58.07,58.1,814,0
SNPE.US,5,20250829,214500,58.1,58.12,58.1,58.12,1656,0
SNPE.US,5,20250829,215000,58.08,58.08,58,58,3383,0
SNPE.US,5,20250829,215500,58.025,58.11,58.025,58.11,10793,0
SNPE.US,5,20250902,153000,57.41,57.41,57.32,57.35,4220,0
SNPE.US,5,20250902,153500,57.39,57.42,57.38,57.41,7069,0
SNPE.US,5,20250902,154000,57.38,57.4,57.38,57.4,2700,0
SNPE.US,5,20250902,154500,57.41,57.45,57.34,57.45,3100,0
SNPE.US,5,20250902,155000,57.5,57.55,57.5,57.55,3853,0
SNPE.US,5,20250902,155500,57.56,57.56,57.55,57.55,200,0
SNPE.US,5,20250902,160000,57.59,57.6,57.59,57.6,200,0
SNPE.US,5,20250902,160500,57.56,57.59,57.54,57.54,1800,0
SNPE.US,5,20250902,161000,57.57,57.59,57.53,57.54,2200,0
SNPE.US,5,20250902,161500,57.54,57.55,57.52,57.55,2570,0
SNPE.US,5,20250902,162000,57.57,57.58,57.54,57.54,400,0
SNPE.US,5,20250902,162500,57.505,57.57,57.49,57.57,525,0
SNPE.US,5,20250902,163000,57.57,57.57,57.57,57.57,100,0
SNPE.US,5,20250902,163500,57.525,57.53,57.525,57.53,300,0
SNPE.US,5,20250902,164500,57.44,57.45,57.39,57.39,961,0
SNPE.US,5,20250902,165000,57.38,57.39,57.38,57.38,400,0
SNPE.US,5,20250902,165500,57.37,57.37,57.37,57.37,100,0
SNPE.US,5,20250902,170000,57.4,57.41,57.38,57.385,600,0
SNPE.US,5,20250902,170500,57.33,57.335,57.33,57.335,300,0
SNPE.US,5,20250902,171000,57.33,57.332,57.31,57.31,3066,0
SNPE.US,5,20250902,171500,57.28,57.28,57.26,57.26,800,0
SNPE.US,5,20250902,172000,57.26,57.26,57.26,57.26,100,0
SNPE.US,5,20250902,172500,57.26,57.27,57.2599,57.27,600,0
SNPE.US,5,20250902,173000,57.255,57.265,57.2355,57.25,5978,0
SNPE.US,5,20250902,173500,57.23,57.23,57.19,57.19,600,0
SNPE.US,5,20250902,174000,57.17,57.19,57.17,57.17,900,0
SNPE.US,5,20250902,174500,57.185,57.19,57.18,57.18,1000,0
SNPE.US,5,20250902,175000,57.15,57.15,57.125,57.13,1363,0
SNPE.US,5,20250902,180000,57.165,57.17,57.14,57.14,500,0
SNPE.US,5,20250902,180500,57.13,57.16,57.13,57.146645,1917,0
SNPE.US,5,20250902,181000,57.14,57.185,57.14,57.185,800,0
SNPE.US,5,20250902,181500,57.2,57.21,57.2,57.21,200,0
SNPE.US,5,20250902,182000,57.225,57.225,57.225,57.225,100,0
SNPE.US,5,20250902,182500,57.19,57.21,57.19,57.21,400,0
SNPE.US,5,20250902,183000,57.2,57.205,57.2,57.2,1541,0
SNPE.US,5,20250902,183500,57.2,57.22,57.2,57.2,1003,0
SNPE.US,5,20250902,184000,57.215,57.24,57.215,57.23,2523,0
SNPE.US,5,20250902,184500,57.23,57.23,57.23,57.23,100,0
SNPE.US,5,20250902,185000,57.245,57.26,57.245,57.26,200,0
SNPE.US,5,20250902,185500,57.255,57.3,57.255,57.29,1100,0
SNPE.US,5,20250902,190000,57.305,57.305,57.305,57.305,100,0
SNPE.US,5,20250902,190500,57.31,57.31,57.31,57.31,100,0
SNPE.US,5,20250902,191000,57.31,57.31,57.275,57.28,1122,0
SNPE.US,5,20250902,191500,57.295,57.295,57.295,57.295,100,0
SNPE.US,5,20250902,192000,57.31,57.32,57.31,57.32,200,0
SNPE.US,5,20250902,192500,57.35,57.38,57.35,57.37,800,0
SNPE.US,5,20250902,193000,57.375,57.4,57.375,57.4,300,0
SNPE.US,5,20250902,193500,57.45,57.45,57.45,57.45,100,0
