<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSFI.US,5,20250829,153500,21.5254,21.5254,21.5254,21.5254,114,0
SSFI.US,5,20250829,194500,21.52,21.52,21.52,21.52,118515,0
SSFI.US,5,20250829,201500,21.535,21.535,21.535,21.535,918,0
SSFI.US,5,20250902,154000,21.46,21.46,21.46,21.46,31988,0
SSFI.US,5,20250902,180500,21.47,21.47,21.47,21.47,191488,0
SSFI.US,5,20250902,212000,21.4501,21.4501,21.4501,21.4501,149,0
SSFI.US,5,20250902,215500,21.48,21.48,21.48,21.48,130,0
SSFI.US,5,20250903,162000,21.55,21.55,21.55,21.55,10242,0
SSFI.US,5,20250903,200000,21.531,21.531,21.531,21.531,141,0
SSFI.US,5,20250904,170500,21.55,21.56,21.55,21.56,977,0
SSFI.US,5,20250904,182500,21.58,21.5801,21.58,21.5801,200,0
SSFI.US,5,20250904,195000,21.59,21.59,21.59,21.59,167,0
SSFI.US,5,20250904,203000,21.59,21.59,21.59,21.59,100,0
SSFI.US,5,20250909,172000,21.74,21.74,21.74,21.74,300,0
SSFI.US,5,20250909,172500,21.75,21.75,21.75,21.75,500,0
SSFI.US,5,20250909,173000,21.75,21.75,21.75,21.75,500,0
SSFI.US,5,20250909,174000,21.75,21.75,21.75,21.75,100,0
SSFI.US,5,20250909,174500,21.75,21.75,21.75,21.75,800,0
SSFI.US,5,20250909,180500,21.75,21.75,21.75,21.75,900,0
SSFI.US,5,20250909,182000,21.75,21.75,21.75,21.75,900,0
SSFI.US,5,20250909,182500,21.75,21.75,21.75,21.75,900,0
SSFI.US,5,20250909,184000,21.75,21.75,21.75,21.75,1500,0
SSFI.US,5,20250909,184500,21.75,21.75,21.75,21.75,600,0
SSFI.US,5,20250909,185000,21.75,21.75,21.75,21.75,500,0
SSFI.US,5,20250909,205500,21.76,21.76,21.76,21.76,100,0
SSFI.US,5,20250909,215500,21.76,21.76,21.76,21.76,900,0
SSFI.US,5,20250910,153000,21.8,21.8,21.79,21.79,200,0
SSFI.US,5,20250910,154000,21.79,21.79,21.79,21.79,200,0
SSFI.US,5,20250910,154500,21.78,21.78,21.78,21.78,100,0
SSFI.US,5,20250910,155500,21.78,21.78,21.78,21.78,200,0
SSFI.US,5,20250910,160500,21.78,21.78,21.78,21.78,300,0
SSFI.US,5,20250910,161000,21.77,21.77,21.76,21.76,1078,0
SSFI.US,5,20250910,161500,21.78,21.78,21.78,21.78,300,0
SSFI.US,5,20250910,162500,21.78,21.78,21.78,21.78,300,0
SSFI.US,5,20250910,163000,21.78,21.78,21.78,21.78,100,0
SSFI.US,5,20250910,164000,21.79,21.79,21.79,21.79,160,0
SSFI.US,5,20250910,164500,21.79,21.79,21.79,21.79,180,0
SSFI.US,5,20250910,165000,21.79,21.79,21.79,21.79,200,0
SSFI.US,5,20250910,165500,21.79,21.79,21.79,21.79,100,0
SSFI.US,5,20250910,215500,21.789,21.79,21.789,21.79,490,0
SSFI.US,5,20250911,215500,21.83,21.83,21.83,21.83,100,0
SSFI.US,5,20250915,182500,21.8399,21.8399,21.8399,21.8399,282,0
SSFI.US,5,20250916,211500,21.84,21.84,21.84,21.84,214,0
SSFI.US,5,20250917,172000,21.83,21.83,21.83,21.83,100,0
SSFI.US,5,20250918,184000,21.75,21.75,21.75,21.75,200,0
SSFI.US,5,20250918,212500,21.75,21.75,21.75,21.75,1029,0
SSFI.US,5,20250919,211500,21.751,21.751,21.751,21.751,278,0
