<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TFI.US,5,20250829,153000,44.7,44.7,44.7,44.7,100,0
TFI.US,5,20250829,153500,44.7,44.705,44.69,44.69,4201,0
TFI.US,5,20250829,154000,44.695,44.695,44.685,44.685,1666,0
TFI.US,5,20250829,154500,44.69,44.7,44.69,44.695,3450,0
TFI.US,5,20250829,155000,44.695,44.698,44.69,44.695,5749,0
TFI.US,5,20250829,155500,44.695,44.695,44.692,44.695,7006,0
TFI.US,5,20250829,160000,44.7,44.705,44.7,44.7,3478,0
TFI.US,5,20250829,160500,44.7,44.705,44.7,44.7,3590,0
TFI.US,5,20250829,161000,44.705,44.71,44.7,44.71,800,0
TFI.US,5,20250829,161500,44.7,44.71,44.7,44.71,54428,0
TFI.US,5,20250829,162000,44.71,44.71,44.705,44.705,2202,0
TFI.US,5,20250829,162500,44.705,44.7058,44.705,44.705,1271,0
TFI.US,5,20250829,163000,44.705,44.71,44.705,44.71,3285,0
TFI.US,5,20250829,163500,44.72,44.72,44.7105,44.72,10352,0
TFI.US,5,20250829,164000,44.72,44.72,44.715,44.715,1240,0
TFI.US,5,20250829,164500,44.715,44.715,44.7145,44.715,734,0
TFI.US,5,20250829,165000,44.715,44.715,44.715,44.715,3242,0
TFI.US,5,20250829,165500,44.7146,44.715,44.7146,44.715,575,0
TFI.US,5,20250829,170000,44.715,44.715,44.71,44.71,2678,0
TFI.US,5,20250829,170500,44.71,44.71,44.705,44.705,3635,0
TFI.US,5,20250829,171000,44.71,44.71,44.7035,44.7035,394,0
TFI.US,5,20250829,171500,44.7097,44.7099,44.695,44.695,4718,0
TFI.US,5,20250829,172000,44.7,44.7,44.695,44.695,992,0
TFI.US,5,20250829,172500,44.7,44.7,44.695,44.695,3089,0
TFI.US,5,20250829,173000,44.695,44.695,44.695,44.695,100,0
TFI.US,5,20250829,173500,44.6928,44.6928,44.6914,44.6914,366,0
TFI.US,5,20250829,174000,44.695,44.695,44.695,44.695,650,0
TFI.US,5,20250829,174500,44.6997,44.705,44.695,44.705,5194,0
TFI.US,5,20250829,175000,44.7,44.705,44.7,44.705,1558,0
TFI.US,5,20250829,175500,44.705,44.7099,44.705,44.7099,461,0
TFI.US,5,20250829,180000,44.7051,44.7051,44.7,44.7002,1111,0
TFI.US,5,20250829,180500,44.7076,44.7076,44.7,44.705,12803,0
TFI.US,5,20250829,181000,44.705,44.71,44.705,44.705,507,0
TFI.US,5,20250829,181500,44.7,44.71,44.7,44.705,731,0
TFI.US,5,20250829,182000,44.705,44.71,44.705,44.71,2326,0
TFI.US,5,20250829,182500,44.71,44.71,44.705,44.71,3153,0
TFI.US,5,20250829,183000,44.7003,44.71,44.7,44.705,3711,0
TFI.US,5,20250829,183500,44.71,44.71,44.7,44.705,971,0
TFI.US,5,20250829,184000,44.705,44.7099,44.7,44.7099,20432,0
TFI.US,5,20250829,184500,44.7002,44.705,44.7002,44.705,209,0
TFI.US,5,20250829,185000,44.705,44.705,44.7,44.7,4961,0
TFI.US,5,20250829,185500,44.705,44.705,44.7,44.7,4651,0
TFI.US,5,20250829,190000,44.705,44.705,44.7,44.7,300,0
TFI.US,5,20250829,190500,44.7079,44.7079,44.7,44.705,2267,0
TFI.US,5,20250829,191000,44.705,44.7088,44.705,44.705,1399,0
TFI.US,5,20250829,191500,44.705,44.71,44.705,44.705,6486,0
TFI.US,5,20250829,192000,44.705,44.71,44.705,44.71,432,0
TFI.US,5,20250829,192500,44.705,44.71,44.705,44.71,300,0
TFI.US,5,20250829,194000,44.71,44.72,44.705,44.72,2083,0
TFI.US,5,20250829,194500,44.72,44.72,44.72,44.72,100,0
TFI.US,5,20250829,195000,44.715,44.715,44.71,44.715,2734,0
TFI.US,5,20250829,195500,44.715,44.72,44.715,44.72,876,0
TFI.US,5,20250829,200000,44.72,44.72,44.715,44.715,400,0
TFI.US,5,20250829,200500,44.7178,44.7178,44.7178,44.7178,435,0
TFI.US,5,20250829,201000,44.7135,44.72,44.7113,44.72,2094,0
TFI.US,5,20250829,201500,44.72,44.72,44.71,44.715,1320,0
TFI.US,5,20250829,202000,44.72,44.72,44.71,44.71,434,0
TFI.US,5,20250829,202500,44.718,44.718,44.71,44.71,2243,0
TFI.US,5,20250829,203000,44.71,44.7157,44.71,44.7157,1041,0
TFI.US,5,20250829,203500,44.71,44.72,44.71,44.715,2147,0
TFI.US,5,20250829,204000,44.72,44.72,44.705,44.705,6565,0
TFI.US,5,20250829,204500,44.71,44.72,44.705,44.72,2918,0
TFI.US,5,20250829,205000,44.72,44.72,44.71,44.71,3582,0
TFI.US,5,20250829,205500,44.72,44.72,44.71,44.72,4435,0
TFI.US,5,20250829,210000,44.71,44.71,44.705,44.705,2586,0
TFI.US,5,20250829,210500,44.705,44.71,44.705,44.705,1945,0
TFI.US,5,20250829,211000,44.71,44.71,44.705,44.71,697,0
TFI.US,5,20250829,211500,44.7,44.71,44.7,44.705,7356,0
TFI.US,5,20250829,212000,44.71,44.71,44.7,44.705,1606,0
TFI.US,5,20250829,212500,44.7,44.71,44.7,44.71,28465,0
TFI.US,5,20250829,213000,44.705,44.72,44.705,44.715,7672,0
TFI.US,5,20250829,213500,44.715,44.72,44.715,44.72,2300,0
TFI.US,5,20250829,214000,44.715,44.72,44.715,44.715,2963,0
TFI.US,5,20250829,214500,44.715,44.72,44.715,44.715,1330,0
TFI.US,5,20250829,215000,44.715,44.72,44.715,44.715,748,0
TFI.US,5,20250829,215500,44.715,44.715,44.69,44.7,9721,0
TFI.US,5,20250902,153000,44.51,44.51,44.51,44.51,100,0
TFI.US,5,20250902,153500,44.515,44.515,44.5,44.51,3712,0
TFI.US,5,20250902,154000,44.52,44.52,44.515,44.515,2208,0
TFI.US,5,20250902,154500,44.515,44.53,44.495,44.525,1807,0
TFI.US,5,20250902,155000,44.5216,44.5216,44.505,44.51,10228,0
TFI.US,5,20250902,155500,44.505,44.51,44.5,44.505,18774,0
TFI.US,5,20250902,160000,44.505,44.52,44.505,44.515,5386,0
TFI.US,5,20250902,160500,44.515,44.52,44.5119,44.52,6613,0
TFI.US,5,20250902,161000,44.52,44.52,44.51,44.52,9377,0
TFI.US,5,20250902,161500,44.5124,44.525,44.5124,44.525,16611,0
TFI.US,5,20250902,162000,44.525,44.525,44.505,44.505,2653,0
TFI.US,5,20250902,162500,44.505,44.5094,44.5,44.505,6067,0
TFI.US,5,20250902,163000,44.5079,44.5079,44.495,44.495,1953,0
TFI.US,5,20250902,163500,44.495,44.495,44.49,44.495,10872,0
TFI.US,5,20250902,164000,44.49,44.49,44.483,44.485,7094,0
TFI.US,5,20250902,164500,44.48,44.48,44.465,44.475,10803,0
TFI.US,5,20250902,165000,44.4731,44.48,44.4601,44.48,10913,0
TFI.US,5,20250902,165500,44.48,44.48,44.475,44.48,3599,0
TFI.US,5,20250902,170000,44.475,44.4795,44.4601,44.465,12201,0
TFI.US,5,20250902,170500,44.465,44.465,44.4501,44.455,5519,0
TFI.US,5,20250902,171000,44.455,44.46,44.455,44.455,3235,0
TFI.US,5,20250902,171500,44.4501,44.46,44.4501,44.455,5641,0
TFI.US,5,20250902,172000,44.46,44.46,44.455,44.455,4589,0
TFI.US,5,20250902,172500,44.455,44.455,44.45,44.455,3698,0
TFI.US,5,20250902,173000,44.45,44.45,44.4402,44.445,10680,0
TFI.US,5,20250902,173500,44.445,44.45,44.4441,44.445,2535,0
TFI.US,5,20250902,174000,44.4499,44.4499,44.445,44.445,2097,0
TFI.US,5,20250902,174500,44.45,44.45,44.445,44.445,300,0
TFI.US,5,20250902,175000,44.445,44.445,44.4401,44.445,4765,0
TFI.US,5,20250902,175500,44.445,44.45,44.445,44.445,5918,0
TFI.US,5,20250902,180000,44.45,44.45,44.4425,44.445,25710,0
TFI.US,5,20250902,180500,44.4401,44.45,44.44,44.445,8465,0
TFI.US,5,20250902,181000,44.445,44.45,44.445,44.45,613,0
TFI.US,5,20250902,181500,44.4465,44.46,44.4465,44.46,33122,0
TFI.US,5,20250902,182000,44.4589,44.46,44.455,44.46,854,0
TFI.US,5,20250902,182500,44.46,44.46,44.45,44.4575,5996,0
TFI.US,5,20250902,183000,44.451,44.46,44.45,44.455,8041,0
TFI.US,5,20250902,183500,44.4565,44.46,44.4501,44.455,5518,0
TFI.US,5,20250902,184000,44.46,44.46,44.45,44.46,11691,0
TFI.US,5,20250902,184500,44.4546,44.46,44.4546,44.4597,3192,0
TFI.US,5,20250902,185000,44.455,44.465,44.455,44.465,1491,0
TFI.US,5,20250902,185500,44.465,44.47,44.465,44.47,15565,0
TFI.US,5,20250902,190000,44.465,44.465,44.465,44.465,2389,0
TFI.US,5,20250902,190500,44.46,44.466866,44.46,44.465,3663,0
TFI.US,5,20250902,191000,44.47,44.47,44.465,44.465,1200,0
TFI.US,5,20250902,191500,44.47,44.47,44.465,44.47,4978,0
TFI.US,5,20250902,192000,44.465,44.47,44.4642,44.465,7251,0
TFI.US,5,20250902,192500,44.47,44.47,44.4628,44.465,3706,0
TFI.US,5,20250902,193000,44.465,44.47,44.46,44.47,38088,0
TFI.US,5,20250902,193500,44.465,44.47,44.465,44.47,6691,0
TFI.US,5,20250902,194000,44.465,44.47,44.465,44.47,4275,0
TFI.US,5,20250902,194500,44.465,44.47,44.465,44.47,16017,0
TFI.US,5,20250902,195000,44.47,44.47,44.465,44.47,1313,0
TFI.US,5,20250902,195500,44.4735,44.48,44.4735,44.48,1399,0
TFI.US,5,20250902,200000,44.48,44.48,44.475,44.475,21434,0
TFI.US,5,20250902,200500,44.475,44.48,44.475,44.48,6093,0
TFI.US,5,20250902,201000,44.4701,44.48,44.4701,44.475,3735,0
TFI.US,5,20250902,201500,44.48,44.48,44.475,44.475,1181,0
TFI.US,5,20250902,202000,44.48,44.48,44.4737,44.48,3180,0
TFI.US,5,20250902,202500,44.485,44.49,44.485,44.485,622,0
TFI.US,5,20250902,203000,44.49,44.49,44.49,44.49,200,0
TFI.US,5,20250902,203500,44.49,44.49,44.485,44.49,300,0
TFI.US,5,20250902,204000,44.49,44.49,44.485,44.485,413,0
TFI.US,5,20250902,204500,44.4898,44.49,44.4801,44.485,3773,0
TFI.US,5,20250902,205000,44.4823,44.49,44.48,44.485,5030,0
TFI.US,5,20250902,205500,44.485,44.49,44.485,44.49,400,0
TFI.US,5,20250902,210000,44.485,44.49,44.485,44.49,759,0
TFI.US,5,20250902,210500,44.49,44.49,44.48,44.485,5669,0
TFI.US,5,20250902,211000,44.485,44.49,44.4801,44.485,15239,0
TFI.US,5,20250902,211500,44.485,44.495,44.4827,44.495,10048,0
TFI.US,5,20250902,212000,44.495,44.5,44.49,44.5,2338,0
TFI.US,5,20250902,212500,44.495,44.5,44.495,44.495,637,0
TFI.US,5,20250902,213000,44.5,44.5,44.495,44.5,737,0
TFI.US,5,20250902,213500,44.5,44.505,44.4901,44.505,2060,0
TFI.US,5,20250902,214000,44.51,44.51,44.51,44.51,400,0
TFI.US,5,20250902,214500,44.51,44.51,44.5,44.505,1089,0
TFI.US,5,20250902,215000,44.5057,44.51,44.505,44.51,1456,0
TFI.US,5,20250902,215500,44.51,44.51,44.5,44.51,21021,0
TFI.US,5,20250903,153000,44.4,44.4,44.4,44.4,163,0
TFI.US,5,20250903,153500,44.57,44.57,44.525,44.525,32473,0
TFI.US,5,20250903,154000,44.525,44.535,44.5212,44.5212,10162,0
TFI.US,5,20250903,154500,44.52,44.525,44.52,44.525,1318,0
TFI.US,5,20250903,155000,44.53,44.54,44.53,44.535,10932,0
TFI.US,5,20250903,155500,44.5369,44.5397,44.535,44.5397,7052,0
TFI.US,5,20250903,160000,44.54,44.57,44.54,44.565,18971,0
TFI.US,5,20250903,160500,44.565,44.5672,44.565,44.565,16557,0
TFI.US,5,20250903,161000,44.565,44.57,44.565,44.5686,29135,0
