<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TFPN.US,5,20250829,155500,23.79,23.8395,23.79,23.8395,348,0
TFPN.US,5,20250829,161000,23.7462,23.7462,23.7462,23.7462,224,0
TFPN.US,5,20250829,162000,23.72,23.72,23.72,23.72,642,0
TFPN.US,5,20250829,163000,23.76,23.76,23.76,23.76,246,0
TFPN.US,5,20250829,164000,23.7392,23.76,23.6508,23.76,556,0
TFPN.US,5,20250829,165000,23.73,23.73,23.73,23.73,2753,0
TFPN.US,5,20250829,171500,23.76,23.76,23.74,23.74,1033,0
TFPN.US,5,20250829,172500,23.76,23.76,23.76,23.76,100,0
TFPN.US,5,20250829,174000,23.685,23.685,23.685,23.685,275,0
TFPN.US,5,20250829,174500,23.73,23.73,23.73,23.73,812,0
TFPN.US,5,20250829,175000,23.6,23.6,23.6,23.6,122,0
TFPN.US,5,20250829,180500,23.72,23.72,23.69,23.69,1220,0
TFPN.US,5,20250829,195000,23.685,23.685,23.685,23.685,285,0
TFPN.US,5,20250829,211500,23.716,23.716,23.56,23.56,2075,0
TFPN.US,5,20250902,153000,23.65,23.65,23.55,23.56,400,0
TFPN.US,5,20250902,153500,23.58,23.58,23.514,23.514,200,0
TFPN.US,5,20250902,160500,23.59,23.59,23.5899,23.5899,274,0
TFPN.US,5,20250902,161500,23.59,23.59,23.44,23.44,500,0
TFPN.US,5,20250902,162000,23.65,23.65,23.65,23.65,130,0
TFPN.US,5,20250902,163000,23.5,23.5,23.5,23.5,100,0
TFPN.US,5,20250902,165000,23.47,23.47,23.47,23.47,100,0
TFPN.US,5,20250902,170000,23.59,23.59,23.59,23.59,212,0
TFPN.US,5,20250902,194000,23.48,23.48,23.48,23.48,100,0
TFPN.US,5,20250902,200000,23.595,23.595,23.595,23.595,500,0
TFPN.US,5,20250902,203500,23.48,23.48,23.48,23.48,100,0
TFPN.US,5,20250902,214000,23.5853,23.5853,23.5853,23.5853,250,0
TFPN.US,5,20250902,215000,23.6189,23.6189,23.6189,23.6189,125,0
TFPN.US,5,20250902,215500,23.58,23.58,23.58,23.58,115,0
TFPN.US,5,20250903,153000,23.58,23.58,23.58,23.58,100,0
TFPN.US,5,20250903,154000,23.6856,23.6856,23.6856,23.6856,425,0
TFPN.US,5,20250903,155500,23.58,23.58,23.58,23.58,500,0
TFPN.US,5,20250903,160500,23.6,23.87,23.6,23.87,500,0
TFPN.US,5,20250903,161500,23.68,23.79,23.68,23.79,400,0
TFPN.US,5,20250903,162500,23.6,23.6,23.6,23.6,100,0
TFPN.US,5,20250903,193000,23.76,23.76,23.76,23.76,123,0
TFPN.US,5,20250903,215000,23.5225,23.5225,23.5225,23.5225,137,0
TFPN.US,5,20250903,215500,23.44,23.44,23.44,23.44,100,0
TFPN.US,5,20250904,161000,23.6045,23.6045,23.6045,23.6045,175,0
TFPN.US,5,20250904,171000,23.6368,23.6368,23.6368,23.6368,405,0
TFPN.US,5,20250904,174000,23.6908,23.6908,23.6908,23.6908,171,0
TFPN.US,5,20250904,204500,23.6015,23.6015,23.6015,23.6015,135,0
TFPN.US,5,20250904,215500,23.631,23.631,23.63,23.6301,1499,0
TFPN.US,5,20250905,161000,23.631,23.631,23.63,23.63,766,0
TFPN.US,5,20250905,195500,23.68,23.68,23.55,23.55,1927,0
TFPN.US,5,20250905,203500,23.71,23.81,23.7,23.81,900,0
TFPN.US,5,20250905,213000,23.755,23.755,23.755,23.755,400,0
TFPN.US,5,20250905,214000,23.79,23.79,23.79,23.79,904,0
TFPN.US,5,20250908,162000,23.97,23.97,23.97,23.97,200,0
TFPN.US,5,20250908,200500,23.76,23.76,23.76,23.76,200,0
TFPN.US,5,20250908,210500,23.7701,23.8395,23.7701,23.7701,350,0
TFPN.US,5,20250908,211000,23.88,23.88,23.76,23.76,350,0
TFPN.US,5,20250908,212500,23.8842,23.8842,23.8842,23.8842,168,0
TFPN.US,5,20250909,190500,23.86,23.86,23.86,23.86,316,0
TFPN.US,5,20250909,210500,23.77,23.77,23.77,23.77,500,0
TFPN.US,5,20250910,200500,23.9836,23.9836,23.9836,23.9836,209,0
TFPN.US,5,20250910,210000,23.91,23.9101,23.84,23.9101,1000,0
TFPN.US,5,20250911,153000,24,24,24,24,1127,0
TFPN.US,5,20250911,163000,24.11,24.11,24.11,24.11,603,0
TFPN.US,5,20250911,164000,23.96,23.97,23.94,23.94,2754,0
TFPN.US,5,20250911,194500,24.0746,24.0746,24.0746,24.0746,176,0
TFPN.US,5,20250911,202500,24.09,24.09,24.09,24.09,472,0
TFPN.US,5,20250911,214000,24.15,24.1519,24.15,24.1519,279,0
TFPN.US,5,20250911,214500,24.1031,24.1031,24.1031,24.1031,478,0
TFPN.US,5,20250912,165000,24.2,24.2,24.13,24.13,462,0
TFPN.US,5,20250912,165500,24.17,24.17,24.17,24.17,3748,0
TFPN.US,5,20250912,173000,24.19,24.19,24.19,24.19,203,0
TFPN.US,5,20250912,215000,24.1356,24.1356,24.1356,24.1356,148,0
TFPN.US,5,20250915,161500,24.0722,24.3482,24.0722,24.3482,524,0
TFPN.US,5,20250915,184500,24.3,24.3,24.2999,24.2999,400,0
TFPN.US,5,20250915,190000,24.22,24.22,24.22,24.22,395,0
TFPN.US,5,20250915,191000,24.3,24.3,24.2999,24.3,696,0
TFPN.US,5,20250915,192000,24.1301,24.1301,24.1301,24.1301,145,0
TFPN.US,5,20250915,195500,24.31,24.31,24.31,24.31,1174,0
TFPN.US,5,20250915,203500,24.28,24.28,24.28,24.28,766,0
TFPN.US,5,20250916,153500,24.28,24.28,24.28,24.28,100,0
TFPN.US,5,20250916,155500,24.312,24.312,24.312,24.312,162,0
TFPN.US,5,20250916,161500,24.29,24.29,24.29,24.29,167,0
TFPN.US,5,20250916,163500,24.28,24.28,24.28,24.28,379,0
TFPN.US,5,20250916,215500,24.33,24.33,24.33,24.33,200,0
TFPN.US,5,20250917,154500,24.35,24.35,24.35,24.35,1434,0
TFPN.US,5,20250917,184000,24.275,24.275,24.275,24.275,2389,0
TFPN.US,5,20250917,192500,24.21,24.21,24.21,24.21,200,0
TFPN.US,5,20250918,182000,24.33,24.33,24.33,24.33,274,0
TFPN.US,5,20250918,185500,24.319,24.319,24.319,24.319,614,0
TFPN.US,5,20250918,203000,24.325,24.35,24.3,24.3,615,0
TFPN.US,5,20250918,211500,24.3,24.3,24.3,24.3,5465,0
TFPN.US,5,20250919,153000,24.35,24.4,24.35,24.4,1765,0
TFPN.US,5,20250919,154000,24.45,24.45,24.45,24.45,700,0
TFPN.US,5,20250919,160500,24.48,24.48,24.48,24.48,100,0
TFPN.US,5,20250919,161000,24.6,24.63,24.6,24.63,300,0
TFPN.US,5,20250919,192000,24.5276,24.55,24.48,24.55,6434,0
TFPN.US,5,20250919,193000,24.5,24.68,24.49,24.68,1228,0
TFPN.US,5,20250919,195000,24.63,24.6784,24.63,24.6784,239,0
TFPN.US,5,20250919,213000,24.63,24.63,24.63,24.63,100,0
