<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THYF.US,5,20250829,154000,52.3098,52.3098,52.295,52.295,1159,0
THYF.US,5,20250829,161500,52.2602,52.2602,52.2602,52.2602,100,0
THYF.US,5,20250829,172000,52.293,52.293,52.293,52.293,380,0
THYF.US,5,20250829,190500,52.32,52.32,52.32,52.32,200,0
THYF.US,5,20250829,202500,52.31,52.31,52.31,52.31,100,0
THYF.US,5,20250829,211500,52.2915,52.2915,52.2915,52.2915,350,0
THYF.US,5,20250902,153500,52.1501,52.1501,52.1501,52.1501,218,0
THYF.US,5,20250902,154500,52.1501,52.1501,52.06,52.07,1099,0
THYF.US,5,20250902,161000,52.21,52.21,52.21,52.21,100,0
THYF.US,5,20250902,163000,52.21,52.21,52.21,52.21,100,0
THYF.US,5,20250902,163500,52.1842,52.1842,52.1842,52.1842,144,0
THYF.US,5,20250902,173500,52.2,52.2,52.2,52.2,100,0
THYF.US,5,20250902,183500,52.16,52.16,52.16,52.16,100,0
THYF.US,5,20250902,184500,52.19,52.19,52.19,52.19,100,0
THYF.US,5,20250902,194000,52.2169,52.2169,52.1734,52.1734,1696,0
THYF.US,5,20250902,214000,52.195,52.21,52.18,52.21,700,0
THYF.US,5,20250903,154000,52.2925,52.2925,52.2925,52.2925,103,0
THYF.US,5,20250903,161500,52.32,52.32,52.32,52.32,100,0
THYF.US,5,20250903,162500,52.3233,52.3233,52.305,52.305,290,0
THYF.US,5,20250903,163000,52.307,52.307,52.307,52.307,248,0
THYF.US,5,20250903,181500,52.3296,52.3296,52.3296,52.3296,128,0
THYF.US,5,20250903,192000,52.3245,52.33,52.3245,52.33,498,0
THYF.US,5,20250903,192500,52.3272,52.3272,52.3272,52.3272,130,0
THYF.US,5,20250903,193500,52.33,52.33,52.33,52.33,200,0
THYF.US,5,20250903,203500,52.33,52.33,52.33,52.33,100,0
THYF.US,5,20250903,205500,52.33,52.33,52.33,52.33,153,0
THYF.US,5,20250903,211000,52.38,52.38,52.37,52.37,200,0
THYF.US,5,20250903,213500,52.415,52.415,52.41,52.41,300,0
THYF.US,5,20250903,214500,52.4,52.4,52.4,52.4,200,0
THYF.US,5,20250903,215500,52.41,52.42,52.41,52.42,400,0
THYF.US,5,20250904,153500,52.4,52.4,52.4,52.4,100,0
THYF.US,5,20250904,155000,52.41,52.42,52.41,52.4199,396,0
THYF.US,5,20250904,165000,52.41,52.41,52.41,52.41,100,0
THYF.US,5,20250904,173500,52.4099,52.4099,52.4099,52.4099,216,0
THYF.US,5,20250904,190000,52.4096,52.4096,52.4096,52.4096,505,0
THYF.US,5,20250904,190500,52.41,52.41,52.41,52.41,100,0
THYF.US,5,20250904,194000,52.3963,52.3963,52.3963,52.3963,190,0
THYF.US,5,20250904,194500,52.38,52.38,52.38,52.38,300,0
THYF.US,5,20250904,195000,52.39,52.4,52.39,52.4,250,0
THYF.US,5,20250904,200000,52.38,52.38,52.38,52.38,100,0
THYF.US,5,20250904,201500,52.43,52.47,52.43,52.47,500,0
THYF.US,5,20250904,205000,52.4298,52.4298,52.4298,52.4298,153,0
THYF.US,5,20250904,210500,52.39,52.3901,52.39,52.3901,1268,0
