<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UJUN.US,5,20250829,161500,36.3199,36.3199,36.3199,36.3199,181,0
UJUN.US,5,20250829,162000,36.3174,36.3199,36.3174,36.3199,493,0
UJUN.US,5,20250829,164500,36.27,36.27,36.27,36.27,100,0
UJUN.US,5,20250829,170000,36.275,36.275,36.275,36.275,100,0
UJUN.US,5,20250829,181000,36.3154,36.3154,36.3154,36.3154,112,0
UJUN.US,5,20250829,182000,36.285,36.285,36.285,36.285,224,0
UJUN.US,5,20250829,190000,36.27,36.27,36.27,36.27,300,0
UJUN.US,5,20250829,211500,36.2903,36.2903,36.2903,36.2903,277,0
UJUN.US,5,20250829,212000,36.3,36.3,36.3,36.3,943,0
UJUN.US,5,20250902,154500,36.145,36.145,36.145,36.145,103,0
UJUN.US,5,20250902,155000,36.18,36.18,36.18,36.18,184,0
UJUN.US,5,20250902,160000,36.18,36.18,36.18,36.18,100,0
UJUN.US,5,20250902,161500,36.16,36.16,36.16,36.16,348,0
UJUN.US,5,20250902,164000,36.18,36.18,36.18,36.18,100,0
UJUN.US,5,20250902,175000,36.11,36.11,36.11,36.11,100,0
UJUN.US,5,20250902,210000,36.17,36.2099,36.17,36.2099,348,0
UJUN.US,5,20250902,212500,36.18,36.18,36.18,36.18,39446,0
UJUN.US,5,20250902,213500,36.22,36.22,36.1887,36.1887,5254,0
UJUN.US,5,20250902,215000,36.27,36.27,36.27,36.27,200,0
UJUN.US,5,20250902,215500,36.34,36.34,36.34,36.34,100,0
UJUN.US,5,20250903,155000,36.25,36.25,36.25,36.25,100,0
UJUN.US,5,20250903,172000,36.27,36.27,36.27,36.27,100,0
UJUN.US,5,20250903,172500,36.26,36.26,36.26,36.26,200,0
UJUN.US,5,20250903,174000,36.27,36.27,36.27,36.27,649,0
UJUN.US,5,20250903,174500,36.25,36.25,36.25,36.25,100,0
UJUN.US,5,20250903,180000,36.25,36.25,36.25,36.25,200,0
UJUN.US,5,20250903,181000,36.25,36.25,36.25,36.25,100,0
UJUN.US,5,20250903,182000,36.25,36.25,36.25,36.25,100,0
UJUN.US,5,20250903,184000,36.24,36.24,36.23,36.23,200,0
UJUN.US,5,20250903,191500,36.265,36.265,36.265,36.265,610,0
UJUN.US,5,20250903,192500,36.24,36.24,36.24,36.24,300,0
UJUN.US,5,20250903,194000,36.25,36.25,36.25,36.25,223,0
UJUN.US,5,20250903,201000,36.21,36.21,36.21,36.21,100,0
UJUN.US,5,20250903,211500,36.24,36.24,36.24,36.24,794,0
UJUN.US,5,20250903,212000,36.2109,36.2109,36.2109,36.2109,120,0
UJUN.US,5,20250903,212500,36.2001,36.25,36.2,36.25,1243,0
UJUN.US,5,20250903,213000,36.2001,36.2001,36.2001,36.2001,189,0
UJUN.US,5,20250903,215500,36.32,36.32,36.32,36.32,171,0
UJUN.US,5,20250904,155000,36.3,36.3,36.3,36.3,100,0
UJUN.US,5,20250904,164000,36.34,36.34,36.34,36.34,100,0
UJUN.US,5,20250904,174000,36.32,36.32,36.32,36.32,100,0
UJUN.US,5,20250904,211000,36.4,36.41,36.4,36.4,500,0
UJUN.US,5,20250904,211500,36.35,36.3969,36.3324,36.3969,499,0
UJUN.US,5,20250904,213000,36.3999,36.3999,36.3999,36.3999,551,0
UJUN.US,5,20250904,215000,36.355,36.355,36.355,36.355,100,0
UJUN.US,5,20250904,215500,36.39,36.39,36.39,36.39,500,0
UJUN.US,5,20250905,160000,36.43,36.43,36.43,36.43,100,0
UJUN.US,5,20250905,161500,36.41,36.41,36.41,36.41,100,0
UJUN.US,5,20250905,163000,36.35,36.35,36.35,36.35,100,0
UJUN.US,5,20250905,172500,36.34,36.34,36.34,36.34,350,0
UJUN.US,5,20250905,181500,36.36,36.36,36.36,36.36,100,0
UJUN.US,5,20250905,184500,36.35,36.35,36.35,36.35,100,0
UJUN.US,5,20250905,191500,36.35,36.35,36.35,36.35,100,0
UJUN.US,5,20250905,194000,36.34,36.34,36.34,36.34,100,0
UJUN.US,5,20250905,204000,36.37,36.37,36.37,36.37,596,0
UJUN.US,5,20250905,211000,36.36,36.36,36.3429,36.3429,203,0
UJUN.US,5,20250905,212000,36.4,36.4,36.4,36.4,942,0
UJUN.US,5,20250905,213000,36.4,36.41,36.39,36.39,1951,0
UJUN.US,5,20250905,213500,36.39,36.39,36.39,36.39,104,0
UJUN.US,5,20250905,215000,36.42,36.42,36.42,36.42,100,0
UJUN.US,5,20250905,215500,36.36,36.36,36.36,36.36,100,0
UJUN.US,5,20250908,155500,36.3709,36.3709,36.3709,36.3709,349,0
UJUN.US,5,20250908,160000,36.39,36.39,36.39,36.39,100,0
UJUN.US,5,20250908,173500,36.442,36.442,36.442,36.442,382,0
UJUN.US,5,20250908,181500,36.41,36.41,36.41,36.41,100,0
UJUN.US,5,20250908,183000,36.41,36.41,36.41,36.41,300,0
UJUN.US,5,20250908,183500,36.41,36.41,36.41,36.41,100,0
UJUN.US,5,20250908,184500,36.41,36.41,36.41,36.41,200,0
UJUN.US,5,20250908,190000,36.41,36.41,36.41,36.41,200,0
UJUN.US,5,20250908,191500,36.41,36.41,36.41,36.41,100,0
UJUN.US,5,20250908,193000,36.41,36.41,36.41,36.41,200,0
UJUN.US,5,20250908,200500,36.43,36.43,36.43,36.43,3714,0
UJUN.US,5,20250908,201500,36.44,36.44,36.44,36.44,3600,0
UJUN.US,5,20250908,202000,36.44,36.44,36.44,36.44,2100,0
UJUN.US,5,20250908,202500,36.415,36.415,36.415,36.415,200,0
