<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USRT.US,5,20250829,153500,58.32,58.32,58.27,58.28,450,0
USRT.US,5,20250829,154000,58.4,58.4087,58.4,58.4087,577,0
USRT.US,5,20250829,154500,58.46,58.46,58.46,58.46,3787,0
USRT.US,5,20250829,155000,58.355,58.355,58.35,58.35,540,0
USRT.US,5,20250829,155500,58.3675,58.3942,58.3675,58.3942,206,0
USRT.US,5,20250829,160000,58.4099,58.43,58.4099,58.43,349,0
USRT.US,5,20250829,160500,58.33,58.3662,58.3215,58.3662,1461,0
USRT.US,5,20250829,161000,58.3657,58.3657,58.3657,58.3657,343,0
USRT.US,5,20250829,162000,58.334,58.334,58.334,58.334,430,0
USRT.US,5,20250829,162500,58.2938,58.33,58.2938,58.33,628,0
USRT.US,5,20250829,163000,58.335,58.385,58.335,58.385,1009,0
USRT.US,5,20250829,163500,58.375,58.375,58.375,58.375,186,0
USRT.US,5,20250829,164500,58.3387,58.3387,58.28,58.29,813,0
USRT.US,5,20250829,165000,58.28,58.32,58.28,58.3183,5378,0
USRT.US,5,20250829,165500,58.33,58.4,58.33,58.4,660,0
USRT.US,5,20250829,170000,58.39,58.39,58.39,58.39,200,0
USRT.US,5,20250829,171000,58.43,58.4306,58.43,58.4306,434,0
USRT.US,5,20250829,171500,58.367,58.3878,58.367,58.3878,883,0
USRT.US,5,20250829,172000,58.34,58.34,58.32,58.32,270,0
USRT.US,5,20250829,172500,58.33,58.33,58.32,58.32,1683,0
USRT.US,5,20250829,173000,58.33,58.33,58.315,58.33,1206,0
USRT.US,5,20250829,174000,58.37,58.39,58.37,58.37,800,0
USRT.US,5,20250829,175000,58.38,58.38,58.38,58.38,599,0
USRT.US,5,20250829,175500,58.43,58.43,58.42,58.43,582,0
USRT.US,5,20250829,180000,58.43,58.45,58.43,58.44,801,0
USRT.US,5,20250829,180500,58.46,58.46,58.44,58.45,400,0
USRT.US,5,20250829,181000,58.4201,58.4363,58.4201,58.4299,1500,0
USRT.US,5,20250829,181500,58.42,58.44,58.42,58.44,920,0
USRT.US,5,20250829,182000,58.43,58.43,58.43,58.43,100,0
USRT.US,5,20250829,182500,58.4499,58.45,58.44,58.44,300,0
USRT.US,5,20250829,183000,58.4493,58.46,58.4201,58.46,5074,0
USRT.US,5,20250829,183500,58.47,58.487,58.47,58.47,2987,0
USRT.US,5,20250829,184000,58.44,58.45,58.4299,58.45,2150,0
USRT.US,5,20250829,184500,58.44,58.44,58.42,58.43,2883,0
USRT.US,5,20250829,185000,58.39,58.39,58.38,58.38,300,0
USRT.US,5,20250829,185500,58.39,58.3908,58.38,58.3908,1060,0
USRT.US,5,20250829,190000,58.37,58.37,58.36,58.37,900,0
USRT.US,5,20250829,190500,58.38,58.3878,58.34,58.34,857,0
USRT.US,5,20250829,191000,58.36,58.36,58.36,58.36,100,0
USRT.US,5,20250829,191500,58.37,58.3999,58.37,58.389,1438,0
USRT.US,5,20250829,192000,58.41,58.41,58.37,58.37,410,0
USRT.US,5,20250829,192500,58.36,58.395,58.36,58.395,852,0
USRT.US,5,20250829,193000,58.38,58.3876,58.3707,58.3707,971,0
USRT.US,5,20250829,193500,58.39,58.39,58.39,58.39,400,0
USRT.US,5,20250829,194000,58.35,58.35,58.35,58.35,200,0
USRT.US,5,20250829,194500,58.37,58.37,58.37,58.37,100,0
USRT.US,5,20250829,195000,58.37,58.37,58.37,58.37,300,0
USRT.US,5,20250829,195500,58.3699,58.3699,58.35,58.35,2904,0
USRT.US,5,20250829,200000,58.357,58.357,58.3285,58.3285,7062,0
USRT.US,5,20250829,200500,58.32,58.32,58.32,58.32,400,0
USRT.US,5,20250829,201000,58.3395,58.3395,58.3,58.3,1724,0
