<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XCCC.US,5,20250829,153000,39.17,39.17,39.16,39.16,500,0
XCCC.US,5,20250829,153500,39.165,39.165,39.15,39.15,350,0
XCCC.US,5,20250829,154000,39.142,39.1697,39.142,39.1697,532,0
XCCC.US,5,20250829,154500,39.155,39.155,39.12,39.12,553,0
XCCC.US,5,20250829,155000,39.1,39.12,39.1,39.1193,1116,0
XCCC.US,5,20250829,155500,39.0974,39.0974,39.0974,39.0974,200,0
XCCC.US,5,20250829,160000,39.0905,39.0905,39.09,39.09,300,0
XCCC.US,5,20250829,161000,39.09,39.09,39.09,39.09,100,0
XCCC.US,5,20250829,161500,39.080785,39.1,39.080785,39.085,743,0
XCCC.US,5,20250829,162000,39.09,39.09,39.09,39.09,100,0
XCCC.US,5,20250829,163000,39.1,39.1,39.1,39.1,241,0
XCCC.US,5,20250829,163500,39.1,39.1,39.1,39.1,4249,0
XCCC.US,5,20250829,164000,39.1,39.1,39.095,39.095,240,0
XCCC.US,5,20250829,165000,39.095,39.095,39.095,39.095,100,0
XCCC.US,5,20250829,170000,39.0903,39.095,39.0903,39.095,356,0
XCCC.US,5,20250829,171500,39.1,39.1,39.0999,39.0999,400,0
XCCC.US,5,20250829,174000,39.0946,39.0946,39.0946,39.0946,100,0
XCCC.US,5,20250829,174500,39.0935,39.1,39.0935,39.0999,4989,0
XCCC.US,5,20250829,175000,39.095,39.1,39.0901,39.095,3603,0
XCCC.US,5,20250829,180500,39.1,39.1,39.095,39.095,400,0
XCCC.US,5,20250829,181500,39.095,39.1,39.095,39.1,858,0
XCCC.US,5,20250829,182500,39.12,39.14,39.1199,39.1199,527,0
XCCC.US,5,20250829,183000,39.12,39.12,39.12,39.12,100,0
XCCC.US,5,20250829,183500,39.12,39.17,39.12,39.125,1866,0
XCCC.US,5,20250829,184000,39.13,39.13,39.13,39.13,100,0
XCCC.US,5,20250829,185500,39.13,39.145,39.13,39.145,400,0
XCCC.US,5,20250829,190000,39.12,39.12,39.12,39.12,200,0
XCCC.US,5,20250829,190500,39.1035,39.11,39.1035,39.105,300,0
XCCC.US,5,20250829,191000,39.11,39.12,39.1099,39.1199,1875,0
XCCC.US,5,20250829,191500,39.12,39.12,39.12,39.12,100,0
XCCC.US,5,20250829,192000,39.1199,39.1199,39.115,39.115,1940,0
XCCC.US,5,20250829,192500,39.12,39.1243,39.12,39.12,3531,0
XCCC.US,5,20250829,193000,39.12,39.12,39.12,39.12,239,0
XCCC.US,5,20250829,193500,39.12,39.12,39.1101,39.1101,900,0
XCCC.US,5,20250829,194000,39.125,39.13,39.125,39.1297,611,0
XCCC.US,5,20250829,194500,39.13,39.14,39.13,39.14,1460,0
XCCC.US,5,20250829,195000,39.13,39.13,39.13,39.13,120,0
XCCC.US,5,20250829,195500,39.13,39.13,39.127,39.127,5203,0
XCCC.US,5,20250829,200000,39.13,39.13,39.12,39.12,400,0
XCCC.US,5,20250829,200500,39.12,39.12,39.12,39.12,100,0
XCCC.US,5,20250829,201000,39.12,39.12,39.12,39.12,100,0
XCCC.US,5,20250829,201500,39.13,39.13,39.13,39.13,228,0
XCCC.US,5,20250829,203000,39.1299,39.1299,39.12,39.12,400,0
XCCC.US,5,20250829,204500,39.12,39.12,39.12,39.12,100,0
XCCC.US,5,20250829,205500,39.11,39.1199,39.11,39.11,1758,0
