<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YMAX.US,5,20250829,153000,12.765,12.79,12.76,12.78,24899,0
YMAX.US,5,20250829,153500,12.7899,12.79,12.75,12.75,58523,0
YMAX.US,5,20250829,154000,12.7492,12.7699,12.74,12.7698,33924,0
YMAX.US,5,20250829,154500,12.7558,12.7599,12.72,12.73,62078,0
YMAX.US,5,20250829,155000,12.7325,12.76,12.725,12.745,34593,0
YMAX.US,5,20250829,155500,12.7499,12.7499,12.71,12.725,50656,0
YMAX.US,5,20250829,160000,12.73,12.74,12.7,12.7,24683,0
YMAX.US,5,20250829,160500,12.709,12.709,12.67,12.685,40353,0
YMAX.US,5,20250829,161000,12.6801,12.685,12.665,12.6758,47105,0
YMAX.US,5,20250829,161500,12.68,12.68,12.66,12.6765,59811,0
YMAX.US,5,20250829,162000,12.68,12.7052,12.68,12.69,29489,0
YMAX.US,5,20250829,162500,12.69,12.7,12.67,12.7,34587,0
YMAX.US,5,20250829,163000,12.71,12.72,12.69,12.715,42822,0
YMAX.US,5,20250829,163500,12.71,12.72,12.6946,12.72,40099,0
YMAX.US,5,20250829,164000,12.72,12.73,12.7,12.7,20133,0
YMAX.US,5,20250829,164500,12.7,12.71,12.69,12.6984,16986,0
YMAX.US,5,20250829,165000,12.6946,12.6999,12.68,12.6835,54087,0
YMAX.US,5,20250829,165500,12.6893,12.6999,12.6717,12.68,41439,0
YMAX.US,5,20250829,170000,12.6816,12.7,12.68,12.695,26883,0
YMAX.US,5,20250829,170500,12.695,12.705,12.69,12.7,20004,0
YMAX.US,5,20250829,171000,12.7099,12.715,12.705,12.705,7226,0
YMAX.US,5,20250829,171500,12.705,12.71,12.7021,12.71,13282,0
YMAX.US,5,20250829,172000,12.71,12.715,12.7,12.715,15051,0
YMAX.US,5,20250829,172500,12.71,12.72,12.71,12.71,24194,0
YMAX.US,5,20250829,173000,12.7183,12.7183,12.692,12.7097,32448,0
YMAX.US,5,20250829,173500,12.7079,12.71,12.7,12.705,9055,0
YMAX.US,5,20250829,174000,12.71,12.71,12.7,12.7033,6747,0
YMAX.US,5,20250829,174500,12.705,12.708,12.7,12.708,9620,0
YMAX.US,5,20250829,175000,12.7,12.71,12.69,12.7001,21791,0
YMAX.US,5,20250829,175500,12.705,12.7054,12.7,12.705,15282,0
YMAX.US,5,20250829,180000,12.7,12.71,12.7,12.7035,76074,0
YMAX.US,5,20250829,180500,12.7001,12.715,12.7,12.715,20587,0
YMAX.US,5,20250829,181000,12.7199,12.725,12.71,12.7201,51537,0
YMAX.US,5,20250829,181500,12.72,12.73,12.72,12.7251,14288,0
YMAX.US,5,20250829,182000,12.7235,12.73,12.7201,12.73,2038,0
YMAX.US,5,20250829,182500,12.7299,12.73,12.72,12.72,29306,0
YMAX.US,5,20250829,183000,12.72,12.73,12.71,12.7272,24592,0
YMAX.US,5,20250829,183500,12.725,12.73,12.7201,12.73,2793,0
YMAX.US,5,20250829,184000,12.725,12.7283,12.72,12.7201,6424,0
YMAX.US,5,20250829,184500,12.72,12.7283,12.72,12.7233,10297,0
YMAX.US,5,20250829,185000,12.725,12.73,12.72,12.7254,14734,0
YMAX.US,5,20250829,185500,12.725,12.7299,12.72,12.7231,3163,0
YMAX.US,5,20250829,190000,12.725,12.725,12.7,12.705,39554,0
YMAX.US,5,20250829,190500,12.705,12.715,12.7,12.711,5855,0
YMAX.US,5,20250829,191000,12.7148,12.7148,12.7,12.705,34269,0
YMAX.US,5,20250829,191500,12.705,12.705,12.69,12.7,26928,0
YMAX.US,5,20250829,192000,12.7,12.71,12.7,12.7097,9886,0
YMAX.US,5,20250829,192500,12.7,12.72,12.7,12.7,13068,0
