<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABG.US,5,20250829,153000,258.93,258.93,257.515,257.515,300,0
ABG.US,5,20250829,153500,257.51,257.51,257.37,257.37,200,0
ABG.US,5,20250829,154000,258.68,258.77,258.68,258.77,200,0
ABG.US,5,20250829,160000,257.03,257.9,257.03,257.9,200,0
ABG.US,5,20250829,160500,256.41,256.41,256.41,256.41,100,0
ABG.US,5,20250829,161000,256.05,256.05,255.565,255.89,800,0
ABG.US,5,20250829,161500,256.32,256.32,256.32,256.32,200,0
ABG.US,5,20250829,162000,256.07,256.07,256.07,256.07,200,0
ABG.US,5,20250829,162500,255.43,255.43,255.43,255.43,178,0
ABG.US,5,20250829,163000,256.07,256.665,256.06,256.665,500,0
ABG.US,5,20250829,165000,255.14,256.01,255.14,256.01,600,0
ABG.US,5,20250829,170000,255.66,255.66,255.66,255.66,100,0
ABG.US,5,20250829,170500,255.85,255.9,255.85,255.9,300,0
ABG.US,5,20250829,171000,255.48,255.48,255.23,255.23,300,0
ABG.US,5,20250829,171500,255.23,255.23,255.23,255.23,195,0
ABG.US,5,20250829,172500,254.59,254.94,254.59,254.94,425,0
ABG.US,5,20250829,173000,254.59,255.21,254.59,255.21,401,0
ABG.US,5,20250829,174000,254.73,255.35,254.66,255.35,800,0
ABG.US,5,20250829,175500,256.1,256.1,256.1,256.1,100,0
ABG.US,5,20250829,180000,255.78,256.45,255.78,256.45,200,0
ABG.US,5,20250829,181500,255.95,255.95,255.29,255.35,1200,0
ABG.US,5,20250829,182000,255,255.0925,255,255.0925,217,0
ABG.US,5,20250829,182500,255.09,255.09,255.09,255.09,100,0
ABG.US,5,20250829,183000,255.45,255.61,255.45,255.61,200,0
ABG.US,5,20250829,184000,255.08,255.09,255.08,255.09,200,0
ABG.US,5,20250829,185000,254.71,254.71,254.71,254.71,100,0
ABG.US,5,20250829,185500,254.81,255.23,254.81,255.16,538,0
