<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACLO.US,5,20250829,163500,50.44,50.4401,50.44,50.4401,240,0
ACLO.US,5,20250829,175500,50.44,50.4546,50.44,50.4546,200,0
ACLO.US,5,20250904,160000,50.3499,50.3499,50.3499,50.3499,141,0
ACLO.US,5,20250905,201500,50.3284,50.3284,50.3284,50.3284,774,0
ACLO.US,5,20250905,214000,50.32,50.3201,50.32,50.3201,2200,0
ACLO.US,5,20250909,153000,50.34,50.34,50.34,50.34,100,0
ACLO.US,5,20250911,185500,50.38,50.38,50.3799,50.3799,200,0
ACLO.US,5,20250915,180500,50.3799,50.38,50.3799,50.38,200,0
ACLO.US,5,20250916,194500,50.4,50.4,50.3999,50.3999,2000,0
ACLO.US,5,20250917,155500,50.39,50.39,50.39,50.39,100,0
ACLO.US,5,20250917,182500,50.39,50.39,50.39,50.39,150,0
ACLO.US,5,20250917,212500,50.39,50.39,50.39,50.39,100,0
ACLO.US,5,20250917,214000,50.39,50.39,50.39,50.39,100,0
ACLO.US,5,20250918,154000,50.4,50.4,50.4,50.4,100,0
ACLO.US,5,20250918,160000,50.41,50.41,50.41,50.41,100,0
ACLO.US,5,20250918,161500,50.41,50.41,50.41,50.41,250,0
ACLO.US,5,20250918,181000,50.42,50.42,50.42,50.42,1780,0
ACLO.US,5,20250918,194500,50.4,50.4,50.4,50.4,349,0
ACLO.US,5,20250918,213000,50.39,50.39,50.39,50.39,100,0
ACLO.US,5,20250919,154000,50.42,50.42,50.42,50.42,150,0
ACLO.US,5,20250922,155000,50.419,50.47,50.419,50.455,2548,0
ACLO.US,5,20250922,172000,50.43,50.43,50.4299,50.4299,300,0
ACLO.US,5,20250922,174000,50.43,50.4494,50.43,50.4494,3132,0
ACLO.US,5,20250923,184500,50.42,50.4201,50.42,50.4201,1144,0
ACLO.US,5,20250924,155000,50.44,50.44,50.44,50.44,100,0
ACLO.US,5,20250924,201000,50.44,50.44,50.44,50.44,200,0
ACLO.US,5,20250925,171500,50.44,50.44,50.44,50.44,100,0
ACLO.US,5,20250929,154500,50.45,50.45,50.45,50.45,100,0
ACLO.US,5,20250929,160500,50.47,50.47,50.47,50.47,100,0
ACLO.US,5,20250930,160500,50.45,50.45,50.45,50.45,100,0
ACLO.US,5,20250930,212500,50.46,50.46,50.46,50.46,495,0
ACLO.US,5,20251001,154500,50.3,50.32,50.3,50.32,200,0
ACLO.US,5,20251001,190000,50.31,50.31,50.31,50.31,1144,0
ACLO.US,5,20251001,192500,50.325,50.325,50.325,50.325,100,0
ACLO.US,5,20251001,211500,50.35,50.35,50.3499,50.3499,246,0
ACLO.US,5,20251001,212000,50.32,50.32,50.32,50.32,280,0
ACLO.US,5,20251001,212500,50.32,50.32,50.32,50.32,280,0
ACLO.US,5,20251002,154500,50.3,50.3,50.3,50.3,100,0
ACLO.US,5,20251002,201000,50.325,50.325,50.325,50.325,100,0
ACLO.US,5,20251003,160000,50.3286,50.3286,50.3286,50.3286,139,0
ACLO.US,5,20251003,163000,50.31,50.31,50.31,50.31,100,0
ACLO.US,5,20251006,183500,50.3699,50.37,50.3699,50.37,296,0
ACLO.US,5,20251008,154500,50.33,50.33,50.33,50.33,100,0
ACLO.US,5,20251008,171500,50.35,50.35,50.35,50.35,100,0
ACLO.US,5,20251009,154000,50.3688,50.3688,50.3688,50.3688,148,0
ACLO.US,5,20251009,173500,50.34,50.34,50.34,50.34,100,0
ACLO.US,5,20251009,205500,50.35,50.35,50.35,50.35,469,0
ACLO.US,5,20251014,153500,50.36,50.36,50.36,50.36,515,0
ACLO.US,5,20251014,200000,50.39,50.39,50.39,50.39,225,0
ACLO.US,5,20251014,202000,50.39,50.39,50.39,50.39,4880,0
ACLO.US,5,20251015,184000,50.372,50.372,50.372,50.372,1500,0
ACLO.US,5,20251015,194500,50.36,50.36,50.36,50.36,1149,0
ACLO.US,5,20251015,195000,50.39,50.39,50.3899,50.3899,200,0
ACLO.US,5,20251017,172500,50.39,50.39,50.39,50.39,349,0
ACLO.US,5,20251021,180500,50.42,50.42,50.42,50.42,1229,0
ACLO.US,5,20251021,195500,50.45,50.47,50.4313,50.4487,3200,0
ACLO.US,5,20251021,200000,50.47,50.47,50.4682,50.4682,2000,0
ACLO.US,5,20251021,201000,50.44,50.44,50.44,50.44,400,0
ACLO.US,5,20251021,202500,50.41,50.41,50.41,50.41,164,0
ACLO.US,5,20251024,191000,50.49,50.49,50.4725,50.4725,2999,0
ACLO.US,5,20251027,180000,50.51,50.51,50.5099,50.51,584,0
ACLO.US,5,20251028,153000,50.506519,50.506519,50.506519,50.506519,190,0
ACLO.US,5,20251028,184500,50.53,50.53,50.5285,50.5285,396,0
ACLO.US,5,20251029,184500,50.5,50.5,50.5,50.5,400,0
ACLO.US,5,20251031,160000,50.4906,50.4906,50.4906,50.4906,170,0
ACLO.US,5,20251103,163500,50.35,50.35,50.3499,50.3499,760,0
ACLO.US,5,20251104,183500,50.3599,50.3599,50.3599,50.3599,246,0
ACLO.US,5,20251105,160000,50.36,50.36,50.3599,50.3599,200,0
ACLO.US,5,20251105,185500,50.31,50.3102,50.31,50.3102,200,0
ACLO.US,5,20251105,194000,50.3408,50.3408,50.3408,50.3408,155,0
ACLO.US,5,20251105,200000,50.36,50.37,50.345,50.37,2000,0
ACLO.US,5,20251105,214000,50.36,50.37,50.359,50.359,1150,0
ACLO.US,5,20251106,154000,50.36,50.36,50.345,50.345,2960,0
