<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGM_D.US,5,20250829,153000,22.4401,22.4401,22.4401,22.4401,500,0
AGM_D.US,5,20250829,161000,22.7499,22.7499,22.7499,22.7499,100,0
AGM_D.US,5,20250829,163500,22.5013,22.5013,22.5013,22.5013,200,0
AGM_D.US,5,20250829,174500,22.7499,22.75,22.72,22.7499,4654,0
AGM_D.US,5,20250829,175000,22.85,22.85,22.85,22.85,1495,0
AGM_D.US,5,20250829,175500,22.7959,22.7959,22.7959,22.7959,100,0
AGM_D.US,5,20250829,180500,22.75,22.75,22.75,22.75,100,0
AGM_D.US,5,20250829,193500,22.75,22.75,22.75,22.75,214,0
AGM_D.US,5,20250829,212000,22.7863,22.7863,22.7863,22.7863,865,0
AGM_D.US,5,20250829,215000,22.85,22.85,22.85,22.85,300,0
AGM_D.US,5,20250829,215500,22.85,22.85,22.85,22.85,122,0
AGM_D.US,5,20250902,153000,22.62,22.62,22.62,22.62,100,0
AGM_D.US,5,20250902,154500,22.62,22.62,22.62,22.62,100,0
AGM_D.US,5,20250902,171500,22.6512,22.6512,22.6512,22.6512,100,0
AGM_D.US,5,20250902,173000,22.65,22.6501,22.65,22.6501,1162,0
AGM_D.US,5,20250902,173500,22.5008,22.5008,22.5008,22.5008,819,0
AGM_D.US,5,20250902,183000,22.65,22.65,22.65,22.65,200,0
AGM_D.US,5,20250902,201000,22.7699,22.7699,22.7699,22.7699,375,0
AGM_D.US,5,20250902,201500,22.77,22.77,22.68,22.68,1881,0
AGM_D.US,5,20250902,202500,22.66,22.66,22.66,22.66,1600,0
AGM_D.US,5,20250902,205500,22.71,22.71,22.71,22.71,200,0
AGM_D.US,5,20250902,212500,22.76,22.76,22.76,22.76,900,0
AGM_D.US,5,20250902,215500,22.76,22.76,22.76,22.76,106,0
AGM_D.US,5,20250903,153500,22.6356,22.7251,22.61,22.7251,500,0
AGM_D.US,5,20250903,154000,22.76,22.76,22.61,22.7251,600,0
AGM_D.US,5,20250903,160500,22.65,22.65,22.65,22.65,200,0
AGM_D.US,5,20250903,161000,22.7251,22.77,22.61,22.7699,1748,0
AGM_D.US,5,20250903,165500,22.7293,22.7293,22.7293,22.7293,300,0
AGM_D.US,5,20250903,172000,22.72,22.72,22.72,22.72,500,0
AGM_D.US,5,20250903,174000,22.635,22.77,22.635,22.7318,2994,0
AGM_D.US,5,20250903,174500,22.64,22.7318,22.635,22.64,600,0
AGM_D.US,5,20250903,195500,22.64,22.64,22.64,22.64,1000,0
AGM_D.US,5,20250903,201000,22.7,22.7,22.7,22.7,100,0
AGM_D.US,5,20250903,202000,22.7,22.7,22.7,22.7,200,0
AGM_D.US,5,20250903,204000,22.77,22.77,22.7699,22.7699,750,0
AGM_D.US,5,20250903,211000,22.77,22.77,22.77,22.77,295,0
AGM_D.US,5,20250903,214500,22.77,22.77,22.77,22.77,118,0
AGM_D.US,5,20250903,215000,22.765,22.765,22.765,22.765,600,0
AGM_D.US,5,20250904,155000,22.6179,22.6179,22.6179,22.6179,560,0
AGM_D.US,5,20250904,160000,22.76,22.76,22.76,22.76,100,0
AGM_D.US,5,20250904,164500,22.75,22.75,22.75,22.75,100,0
AGM_D.US,5,20250904,173000,22.6409,22.6409,22.6409,22.6409,300,0
AGM_D.US,5,20250904,175500,22.6413,22.6413,22.6413,22.6413,1000,0
AGM_D.US,5,20250904,184000,22.77,22.77,22.77,22.77,772,0
AGM_D.US,5,20250904,190500,22.77,22.77,22.77,22.77,100,0
AGM_D.US,5,20250904,194500,22.77,22.77,22.77,22.77,200,0
AGM_D.US,5,20250904,201500,22.77,22.77,22.77,22.77,100,0
AGM_D.US,5,20250904,202500,22.7332,22.7332,22.73,22.73,500,0
AGM_D.US,5,20250904,212500,22.7298,22.795,22.7298,22.795,1646,0
AGM_D.US,5,20250905,160500,22.85,22.85,22.85,22.85,219,0
AGM_D.US,5,20250905,195500,22.815,22.815,22.8,22.8,484,0
AGM_D.US,5,20250905,202000,22.8,22.8,22.8,22.8,317,0
AGM_D.US,5,20250905,204500,22.8,22.85,22.8,22.8499,1070,0
AGM_D.US,5,20250908,160000,22.825,22.88,22.825,22.88,2543,0
AGM_D.US,5,20250908,165000,22.97,22.97,22.97,22.97,100,0
AGM_D.US,5,20250908,173500,22.8101,22.8101,22.8101,22.8101,191,0
AGM_D.US,5,20250908,192000,22.875,22.875,22.875,22.875,110,0
AGM_D.US,5,20250908,212000,22.875,22.875,22.875,22.875,667,0
AGM_D.US,5,20250908,215500,22.9,23.02,22.9,23.02,200,0
AGM_D.US,5,20250909,162500,23,23,23,23,103,0
AGM_D.US,5,20250909,165500,22.84,22.84,22.84,22.84,200,0
AGM_D.US,5,20250909,182000,22.9499,22.9499,22.9499,22.9499,250,0
AGM_D.US,5,20250909,183000,22.8301,22.8301,22.8301,22.8301,100,0
AGM_D.US,5,20250909,190000,22.95,22.95,22.95,22.95,100,0
AGM_D.US,5,20250909,200500,22.99,23.01,22.99,23.01,200,0
AGM_D.US,5,20250909,201000,23,23.0499,22.942,22.942,2110,0
AGM_D.US,5,20250909,210500,22.96,22.96,22.96,22.96,100,0
AGM_D.US,5,20250909,212000,22.9401,22.995,22.9401,22.995,1330,0
AGM_D.US,5,20250910,154500,23.05,23.1,23.05,23.1,649,0
AGM_D.US,5,20250910,163500,23.05,23.05,23.05,23.05,173,0
AGM_D.US,5,20250910,173000,23.23,23.24,23.11,23.21,1100,0
AGM_D.US,5,20250910,175000,23.2001,23.2001,23.2001,23.2001,121,0
AGM_D.US,5,20250910,183000,23.07,23.07,23.07,23.07,200,0
AGM_D.US,5,20250910,183500,23.07,23.07,23.07,23.07,317,0
AGM_D.US,5,20250910,185500,23.1787,23.1787,23.1787,23.1787,110,0
AGM_D.US,5,20250910,200500,23.15,23.15,23.15,23.15,300,0
AGM_D.US,5,20250910,210000,23.1017,23.12,23.095,23.12,1500,0
AGM_D.US,5,20250910,212500,23.07,23.07,23.06,23.06,335,0
AGM_D.US,5,20250910,213000,23.0677,23.0677,23.0677,23.0677,200,0
AGM_D.US,5,20250910,215000,23.01,23.01,23.01,23.01,200,0
AGM_D.US,5,20250911,153500,23.3499,23.3499,23.3499,23.3499,150,0
AGM_D.US,5,20250911,171500,23.25,23.25,23.22,23.22,400,0
AGM_D.US,5,20250911,172000,23.16,23.21,23.16,23.21,400,0
AGM_D.US,5,20250911,183500,23.24,23.35,23.24,23.3499,722,0
AGM_D.US,5,20250911,202500,23.35,23.35,23.285,23.285,691,0
AGM_D.US,5,20250911,211500,23.27,23.27,23.2601,23.2601,855,0
AGM_D.US,5,20250911,215000,23.37,23.37,23.37,23.37,300,0
AGM_D.US,5,20250911,215500,23.37,23.37,23.37,23.37,100,0
AGM_D.US,5,20250912,160500,23.3,23.3,23.3,23.3,500,0
AGM_D.US,5,20250912,165500,23.3255,23.3255,23.3001,23.3001,200,0
AGM_D.US,5,20250912,203500,23.5099,23.5099,23.5099,23.5099,500,0
AGM_D.US,5,20250915,153000,23.47,23.47,23.47,23.47,414,0
AGM_D.US,5,20250915,171500,23.7062,23.7062,23.7062,23.7062,100,0
AGM_D.US,5,20250915,184500,23.71,23.71,23.71,23.71,394,0
AGM_D.US,5,20250915,190500,23.71,23.71,23.71,23.71,400,0
AGM_D.US,5,20250915,201500,23.635,23.635,23.635,23.635,500,0
AGM_D.US,5,20250916,173500,23.85,23.85,23.8,23.8,586,0
AGM_D.US,5,20250916,174000,23.8999,23.8999,23.8999,23.8999,500,0
AGM_D.US,5,20250916,180500,23.9,23.9,23.89,23.89,950,0
AGM_D.US,5,20250916,183000,23.8941,23.8941,23.8941,23.8941,500,0
AGM_D.US,5,20250916,185000,23.8992,23.8992,23.8992,23.8992,1200,0
AGM_D.US,5,20250916,190500,23.5,23.5,23.5,23.5,1100,0
AGM_D.US,5,20250916,195000,23.775,23.775,23.775,23.775,100,0
AGM_D.US,5,20250916,200500,23.77,23.77,23.77,23.77,100,0
AGM_D.US,5,20250916,201000,23.85,23.85,23.85,23.85,100,0
AGM_D.US,5,20250916,210000,23.65,23.68,23.65,23.68,635,0
AGM_D.US,5,20250916,211000,23.75,23.75,23.75,23.75,100,0
AGM_D.US,5,20250916,211500,23.725,23.725,23.725,23.725,200,0
AGM_D.US,5,20250916,212500,23.75,23.75,23.75,23.75,1200,0
AGM_D.US,5,20250917,172000,23.41,23.79,23.36,23.79,700,0
AGM_D.US,5,20250917,180500,23.48,23.48,23.48,23.48,101,0
AGM_D.US,5,20250917,181500,23.3175,23.3175,23.3175,23.3175,250,0
AGM_D.US,5,20250917,192500,23.32,23.32,23.31,23.31,300,0
AGM_D.US,5,20250917,201000,23.4,23.4,23.4,23.4,199,0
AGM_D.US,5,20250917,210500,23.44,23.44,23.44,23.44,100,0
AGM_D.US,5,20250917,213000,23.31,23.31,22.92,23.01,1250,0
AGM_D.US,5,20250917,215000,22.9201,22.9201,22.9201,22.9201,100,0
AGM_D.US,5,20250917,215500,23.39,23.39,23.39,23.39,100,0
AGM_D.US,5,20250918,155500,23.2999,23.2999,23.2999,23.2999,250,0
AGM_D.US,5,20250918,170000,23.27,23.28,23.26,23.28,384,0
AGM_D.US,5,20250918,183500,23.33,23.33,23.33,23.33,300,0
AGM_D.US,5,20250918,202500,23.37,23.37,23.37,23.37,100,0
AGM_D.US,5,20250918,212500,23.435,23.435,23.435,23.435,149,0
AGM_D.US,5,20250919,161000,23.28,23.28,23.25,23.25,600,0
AGM_D.US,5,20250919,181000,23.26,23.26,23.26,23.26,300,0
AGM_D.US,5,20250919,181500,23.28,23.28,23.26,23.27,300,0
AGM_D.US,5,20250919,194500,23.28,23.28,23.26,23.26,600,0
AGM_D.US,5,20250919,205500,23.28,23.28,23.28,23.28,100,0
AGM_D.US,5,20250919,210000,23.28,23.28,23.28,23.28,100,0
AGM_D.US,5,20250922,154500,23.44,23.46,23.44,23.46,300,0
AGM_D.US,5,20250922,170500,23.3,23.46,23.28,23.46,1500,0
AGM_D.US,5,20250922,200000,23.46,23.5,23.41,23.41,404,0
AGM_D.US,5,20250922,202000,23.4838,23.4838,23.4838,23.4838,120,0
AGM_D.US,5,20250922,211000,23.48,23.5,23.48,23.5,200,0
AGM_D.US,5,20250922,212000,23.5,23.5,23.4999,23.4999,1121,0
AGM_D.US,5,20250923,181000,23.26,23.26,23.26,23.26,100,0
AGM_D.US,5,20250923,182000,23.4999,23.4999,23.4999,23.4999,100,0
AGM_D.US,5,20250923,184500,23.5,23.5,23.5,23.5,200,0
AGM_D.US,5,20250923,194500,23.26,23.26,23.26,23.26,200,0
AGM_D.US,5,20250923,212000,23.3594,23.3594,23.3594,23.3594,128,0
AGM_D.US,5,20250924,162500,23.375,23.375,23.375,23.375,100,0
AGM_D.US,5,20250924,171000,23.49,23.49,23.49,23.49,100,0
AGM_D.US,5,20250924,175000,23.375,23.375,23.3117,23.375,500,0
AGM_D.US,5,20250924,194500,23.49,23.49,23.49,23.49,100,0
AGM_D.US,5,20250924,205000,23.4546,23.4546,23.4546,23.4546,200,0
AGM_D.US,5,20250924,212000,23.5,23.5,23.4087,23.4087,740,0
AGM_D.US,5,20250925,175500,23.4,23.4,23.4,23.4,300,0
AGM_D.US,5,20250925,212000,23.4852,23.5,23.4852,23.5,259,0
AGM_D.US,5,20250925,212500,23.49,23.49,23.49,23.49,700,0
AGM_D.US,5,20250925,215500,23.5,23.5,23.5,23.5,200,0
AGM_D.US,5,20250926,171000,23.4899,23.4899,23.4899,23.4899,500,0
AGM_D.US,5,20250926,190000,23.5,23.5,23.4998,23.4998,4416,0
AGM_D.US,5,20250926,190500,23.4702,23.4702,23.4702,23.4702,400,0
AGM_D.US,5,20250926,191000,23.485,23.485,23.485,23.485,200,0
AGM_D.US,5,20250926,194500,23.5,23.5,23.5,23.5,100,0
AGM_D.US,5,20250926,214000,23.5,23.5,23.5,23.5,800,0
AGM_D.US,5,20250926,214500,23.47,23.47,23.4,23.4,264,0
AGM_D.US,5,20250929,161000,23.5,23.5,23.5,23.5,100,0
AGM_D.US,5,20250929,170000,23.5,23.5,23.5,23.5,100,0
AGM_D.US,5,20250929,185500,23.402,23.5,23.402,23.5,452,0
AGM_D.US,5,20250929,193000,23.36,23.36,23.36,23.36,100,0
AGM_D.US,5,20250929,204500,23.36,23.3601,23.34,23.34,911,0
AGM_D.US,5,20250929,205000,23.34,23.34,23.34,23.34,300,0
AGM_D.US,5,20250929,205500,23.34,23.34,23.34,23.34,100,0
AGM_D.US,5,20250929,210500,23.4,23.4,23.4,23.4,400,0
AGM_D.US,5,20250929,212000,23.4148,23.4148,23.39,23.39,623,0
AGM_D.US,5,20250929,212500,23.33,23.33,23.33,23.33,154,0
AGM_D.US,5,20250929,214000,23.45,23.45,23.45,23.45,100,0
AGM_D.US,5,20250930,164000,23.27,23.27,23.27,23.27,750,0
AGM_D.US,5,20250930,212000,23.4295,23.4295,23.4175,23.4175,2379,0
AGM_D.US,5,20250930,215500,23.5,23.5,23.5,23.5,200,0
AGM_D.US,5,20251001,155000,23.2,23.2,23.2,23.2,100,0
AGM_D.US,5,20251001,160000,23.23,23.23,23.23,23.23,111,0
AGM_D.US,5,20251001,212000,23.345,23.345,23.345,23.345,650,0
AGM_D.US,5,20251001,213500,23.37,23.37,23.37,23.37,500,0
AGM_D.US,5,20251002,155500,23.5,23.5,23.5,23.5,100,0
AGM_D.US,5,20251002,185500,23.4999,23.4999,23.4999,23.4999,375,0
AGM_D.US,5,20251002,190500,23.3918,23.3918,23.3918,23.3918,1000,0
AGM_D.US,5,20251002,212000,23.48,23.49,23.48,23.49,585,0
AGM_D.US,5,20251003,155500,23.5,23.5,23.5,23.5,100,0
AGM_D.US,5,20251003,211500,23.43,23.43,23.43,23.43,200,0
AGM_D.US,5,20251003,213500,23.43,23.43,23.43,23.43,440,0
AGM_D.US,5,20251006,155500,23.49,23.49,23.49,23.49,100,0
AGM_D.US,5,20251006,171500,23.37,23.37,23.37,23.37,200,0
AGM_D.US,5,20251006,174000,23.27,23.2701,23.2508,23.2508,1441,0
AGM_D.US,5,20251006,190500,23.49,23.49,23.49,23.49,100,0
AGM_D.US,5,20251006,203000,23.49,23.49,23.49,23.49,100,0
AGM_D.US,5,20251006,215500,23.48,23.49,23.48,23.49,900,0
AGM_D.US,5,20251007,154000,23.4999,23.4999,23.4999,23.4999,200,0
AGM_D.US,5,20251007,161000,23.375,23.375,23.375,23.375,1320,0
AGM_D.US,5,20251007,163500,23.25,23.25,23.25,23.25,550,0
AGM_D.US,5,20251007,164500,23.3,23.49,23.255,23.27,949,0
AGM_D.US,5,20251007,165000,23.21,23.42,23.21,23.31,1800,0
AGM_D.US,5,20251007,165500,23.35,23.35,23.35,23.35,100,0
AGM_D.US,5,20251007,172000,23.37,23.37,23.37,23.37,100,0
AGM_D.US,5,20251007,182500,23.25,23.25,23.25,23.25,300,0
AGM_D.US,5,20251007,185000,23.35,23.35,23.3,23.3,1000,0
AGM_D.US,5,20251007,200000,23.45,23.45,23.45,23.45,100,0
AGM_D.US,5,20251008,182500,23.13,23.15,23.12,23.12,1900,0
AGM_D.US,5,20251008,183000,23.05,23.07,22.59,22.7,4371,0
AGM_D.US,5,20251008,183500,22.72,22.78,22.72,22.74,3826,0
AGM_D.US,5,20251008,184000,22.66,22.67,22.32,22.32,4800,0
AGM_D.US,5,20251008,184500,22.42,22.42,22.38,22.39,1000,0
AGM_D.US,5,20251008,192500,22.65,22.65,22.63,22.63,2000,0
AGM_D.US,5,20251008,193000,22.63,22.65,22.63,22.65,1300,0
AGM_D.US,5,20251008,193500,22.64,22.64,22.63,22.63,300,0
AGM_D.US,5,20251008,194500,22.63,22.64,22.63,22.63,1500,0
AGM_D.US,5,20251008,201000,22.5629,22.5629,22.5629,22.5629,863,0
AGM_D.US,5,20251008,201500,22.65,22.69,22.63,22.63,1416,0
AGM_D.US,5,20251008,204000,22.62,22.65,22.62,22.65,200,0
AGM_D.US,5,20251008,204500,22.67,22.72,22.65,22.72,1360,0
AGM_D.US,5,20251008,205000,22.72,22.72,22.7,22.72,700,0
AGM_D.US,5,20251008,211500,22.702,22.702,22.702,22.702,225,0
AGM_D.US,5,20251008,212500,22.69,22.7,22.68,22.68,870,0
AGM_D.US,5,20251008,215000,22.67,22.67,22.67,22.67,217,0
AGM_D.US,5,20251009,154000,22.57,22.58,22.57,22.58,200,0
AGM_D.US,5,20251009,164000,22.65,22.65,22.65,22.65,200,0
AGM_D.US,5,20251009,164500,22.85,22.85,22.85,22.85,100,0
AGM_D.US,5,20251009,165000,22.85,22.85,22.8151,22.8151,300,0
AGM_D.US,5,20251009,165500,22.6601,22.6601,22.6601,22.6601,100,0
AGM_D.US,5,20251009,172500,22.79,22.79,22.79,22.79,115,0
AGM_D.US,5,20251009,173500,22.75,22.75,22.75,22.75,100,0
AGM_D.US,5,20251009,174000,22.67,22.67,22.67,22.67,1150,0
AGM_D.US,5,20251009,180000,22.7499,22.7499,22.7499,22.7499,125,0
AGM_D.US,5,20251009,180500,22.71,22.71,22.71,22.71,300,0
AGM_D.US,5,20251009,181000,22.67,22.68,22.67,22.68,200,0
AGM_D.US,5,20251009,181500,22.68,22.68,22.67,22.67,1000,0
AGM_D.US,5,20251009,183000,22.6788,22.6788,22.6788,22.6788,200,0
AGM_D.US,5,20251009,183500,22.685,22.685,22.685,22.685,200,0
AGM_D.US,5,20251009,184500,22.64,22.6401,22.64,22.6401,400,0
AGM_D.US,5,20251009,190500,22.53,22.53,22.53,22.53,100,0
AGM_D.US,5,20251009,194000,22.53,22.53,22.53,22.53,100,0
AGM_D.US,5,20251009,213500,22.6899,22.6899,22.6899,22.6899,100,0
AGM_D.US,5,20251009,214000,22.5941,22.61,22.5941,22.61,600,0
AGM_D.US,5,20251009,215500,22.89,22.89,22.89,22.89,113,0
AGM_D.US,5,20251010,211000,22.36,22.41,22.31,22.41,3117,0
AGM_D.US,5,20251010,212000,22.34,22.34,22.34,22.34,250,0
AGM_D.US,5,20251010,213000,22.4012,22.42,22.34,22.42,2000,0
AGM_D.US,5,20251010,215500,22.33,22.33,22.33,22.33,304,0
AGM_D.US,5,20251013,154000,22.17,22.17,22.17,22.17,300,0
AGM_D.US,5,20251013,162500,22.2,22.2,22.19,22.2,4140,0
AGM_D.US,5,20251013,173500,22.3213,22.3213,22.3213,22.3213,580,0
AGM_D.US,5,20251013,182500,22.3224,22.3224,22.18,22.18,300,0
AGM_D.US,5,20251013,183000,22.18,22.4299,22.18,22.3224,2600,0
AGM_D.US,5,20251013,183500,22.4014,22.4299,22.18,22.305,1713,0
AGM_D.US,5,20251013,192000,22.2,22.2,22.2,22.2,100,0
AGM_D.US,5,20251013,194000,22.43,22.43,22.43,22.43,125,0
AGM_D.US,5,20251013,212000,22.32,22.32,22.32,22.32,200,0
AGM_D.US,5,20251013,212500,22.32,22.33,22.32,22.32,2196,0
AGM_D.US,5,20251014,162000,22.3,22.32,22.3,22.32,300,0
AGM_D.US,5,20251014,170500,22.2128,22.345,22.21,22.345,2250,0
AGM_D.US,5,20251014,171000,22.31,22.31,22.31,22.31,100,0
AGM_D.US,5,20251014,172500,22.2001,22.21,22.2,22.2,600,0
AGM_D.US,5,20251014,174000,22.2,22.3,22.2,22.3,200,0
AGM_D.US,5,20251014,210500,22.35,22.35,22.35,22.35,400,0
AGM_D.US,5,20251014,213500,22.28,22.28,22.28,22.28,100,0
AGM_D.US,5,20251014,214500,22.4299,22.4299,22.4299,22.4299,850,0
AGM_D.US,5,20251015,173000,22.3,22.35,22.3,22.35,900,0
AGM_D.US,5,20251015,174000,22.205,22.205,22.205,22.205,3250,0
AGM_D.US,5,20251015,175500,22.34,22.34,22.34,22.34,200,0
AGM_D.US,5,20251015,193000,22.19,22.19,22.19,22.19,220,0
AGM_D.US,5,20251015,193500,22.25,22.25,22.25,22.25,131,0
AGM_D.US,5,20251015,201000,22.21,22.21,22.1227,22.1227,2642,0
AGM_D.US,5,20251015,201500,22.2699,22.2699,22.2699,22.2699,500,0
AGM_D.US,5,20251015,212500,22.2699,22.27,22.25,22.2699,810,0
AGM_D.US,5,20251015,214500,22.27,22.27,22.27,22.27,100,0
AGM_D.US,5,20251016,174000,22.4151,22.4151,22.4151,22.4151,130,0
AGM_D.US,5,20251016,181000,22.34,22.34,22.33,22.33,300,0
AGM_D.US,5,20251016,181500,22.4899,22.4899,22.4899,22.4899,500,0
AGM_D.US,5,20251016,202000,22.45,22.45,22.44,22.44,222,0
AGM_D.US,5,20251016,210000,22.35,22.35,22.35,22.35,100,0
AGM_D.US,5,20251016,212500,22.355,22.4,22.355,22.4,3631,0
AGM_D.US,5,20251017,153000,22.38,22.38,22.37,22.37,200,0
AGM_D.US,5,20251017,155000,22.45,22.45,22.45,22.45,100,0
AGM_D.US,5,20251017,160000,22.36,22.48,22.36,22.48,396,0
AGM_D.US,5,20251017,162500,22.43,22.43,22.43,22.43,100,0
AGM_D.US,5,20251017,171500,22.42,22.42,22.42,22.42,100,0
AGM_D.US,5,20251017,184500,22.39,22.39,22.39,22.39,100,0
AGM_D.US,5,20251017,185000,22.38,22.38,22.38,22.38,159,0
AGM_D.US,5,20251017,190500,22.2447,22.2447,22.2447,22.2447,1000,0
AGM_D.US,5,20251017,192000,22.38,22.38,22.38,22.38,100,0
AGM_D.US,5,20251017,195500,22.1701,22.1701,22.1701,22.1701,240,0
AGM_D.US,5,20251017,201000,22.265,22.265,22.265,22.265,1976,0
AGM_D.US,5,20251017,212000,22.35,22.35,22.35,22.35,132,0
AGM_D.US,5,20251020,181500,22.35,22.35,22.35,22.35,100,0
AGM_D.US,5,20251020,182500,22.29,22.4,22.29,22.4,300,0
AGM_D.US,5,20251020,183000,22.3,22.3,22.3,22.3,100,0
AGM_D.US,5,20251020,184000,22.4,22.4,22.4,22.4,100,0
AGM_D.US,5,20251020,185000,22.29,22.29,22.29,22.29,100,0
AGM_D.US,5,20251020,211000,22.3,22.46,22.3,22.46,987,0
