<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AL.US,5,20250829,153000,60.545,60.775,60.545,60.775,1591,0
AL.US,5,20250829,153500,60.575,60.575,60.405,60.405,1482,0
AL.US,5,20250829,154000,60.61,60.61,60.465,60.61,516,0
AL.US,5,20250829,154500,60.6,60.63,60.47,60.49,1200,0
AL.US,5,20250829,155000,60.56,60.56,60.31,60.31,1305,0
AL.US,5,20250829,155500,60.3206,60.37,60.29,60.35,1709,0
AL.US,5,20250829,160000,60.345,60.385,60.33,60.33,1132,0
AL.US,5,20250829,160500,60.36,60.36,60.25,60.295,1968,0
AL.US,5,20250829,161000,60.32,60.36,60.31,60.35,1473,0
AL.US,5,20250829,161500,60.33,60.39,60.3,60.33,4484,0
AL.US,5,20250829,162000,60.39,60.42,60.37,60.37,745,0
AL.US,5,20250829,162500,60.375,60.41,60.375,60.41,650,0
AL.US,5,20250829,163000,60.42,60.46,60.345,60.45,3507,0
AL.US,5,20250829,163500,60.41,60.41,60.41,60.41,200,0
AL.US,5,20250829,164000,60.41,60.425,60.37,60.37,16336,0
AL.US,5,20250829,164500,60.35,60.4,60.33,60.33,2589,0
AL.US,5,20250829,165000,60.335,60.38,60.29,60.38,5657,0
AL.US,5,20250829,165500,60.36,60.39,60.32,60.32,1131,0
AL.US,5,20250829,170000,60.3,60.31,60.21,60.21,25866,0
AL.US,5,20250829,170500,60.22,60.24,60.2,60.24,917,0
AL.US,5,20250829,171000,60.19,60.19,60.16,60.16,1103,0
AL.US,5,20250829,171500,60.155,60.155,60.125,60.125,517,0
AL.US,5,20250829,172000,60.16,60.16,60.1,60.15,614,0
AL.US,5,20250829,172500,60.15,60.16,60.11,60.145,1528,0
AL.US,5,20250829,173000,60.145,60.155,60.11,60.15,1310,0
AL.US,5,20250829,173500,60.14,60.19,60.14,60.155,1766,0
AL.US,5,20250829,174000,60.17,60.19,60.15,60.17,1403,0
AL.US,5,20250829,174500,60.19,60.19,60.17,60.18,500,0
AL.US,5,20250829,175000,60.175,60.175,60.15,60.16,1689,0
AL.US,5,20250829,175500,60.18,60.215,60.18,60.19,1751,0
AL.US,5,20250829,180000,60.195,60.195,60.185,60.185,1437,0
AL.US,5,20250829,180500,60.18,60.18,60.15,60.155,1024,0
AL.US,5,20250829,181000,60.15,60.17,60.15,60.16,4884,0
AL.US,5,20250829,181500,60.18,60.18,60.155,60.16,3939,0
AL.US,5,20250829,182000,60.19,60.2215,60.19,60.2215,1067,0
AL.US,5,20250829,182500,60.21,60.215,60.165,60.19,800,0
AL.US,5,20250829,183000,60.165,60.2,60.165,60.19,954,0
AL.US,5,20250829,183500,60.19,60.22,60.19,60.22,1739,0
AL.US,5,20250829,184000,60.2,60.21,60.17,60.195,1328,0
AL.US,5,20250829,184500,60.195,60.195,60.18,60.18,400,0
AL.US,5,20250829,185000,60.175,60.175,60.13,60.14,2575,0
AL.US,5,20250829,185500,60.145,60.15,60.12,60.135,700,0
AL.US,5,20250829,190000,60.12,60.12,60.074,60.08,1549,0
AL.US,5,20250829,190500,60.06,60.14,60.0409,60.14,3880,0
AL.US,5,20250829,191000,60.1285,60.14,60.12,60.13,3197,0
AL.US,5,20250829,191500,60.14,60.14,60.1,60.115,2423,0
AL.US,5,20250829,192000,60.115,60.1256,60.115,60.1168,1048,0
AL.US,5,20250829,192500,60.1,60.12,60.1,60.12,506,0
AL.US,5,20250829,193000,60.12,60.125,60.1,60.1,1454,0
AL.US,5,20250829,193500,60.13,60.17,60.125,60.165,2556,0
AL.US,5,20250829,194000,60.16,60.195,60.15,60.18,2539,0
AL.US,5,20250829,194500,60.19,60.27,60.19,60.27,2435,0
AL.US,5,20250829,195000,60.28,60.31,60.28,60.3,1299,0
AL.US,5,20250829,195500,60.29,60.29,60.22,60.245,2005,0
AL.US,5,20250829,200000,60.245,60.245,60.19,60.2,1179,0
AL.US,5,20250829,200500,60.17,60.17,60.14,60.16,430,0
AL.US,5,20250829,201000,60.18,60.21,60.18,60.205,1407,0
AL.US,5,20250829,201500,60.18,60.18,60.16,60.16,326,0
AL.US,5,20250829,202000,60.14,60.14,60.095,60.095,1224,0
AL.US,5,20250829,202500,60.1,60.14,60.1,60.13,3344,0
AL.US,5,20250829,203000,60.12,60.16,60.12,60.16,1239,0
AL.US,5,20250829,203500,60.155,60.155,60.145,60.145,300,0
AL.US,5,20250829,204000,60.15,60.15,60.1,60.1,1181,0
AL.US,5,20250829,204500,60.11,60.11,60.08,60.08,1169,0
AL.US,5,20250829,205000,60.07,60.075,60.04,60.075,2593,0
AL.US,5,20250829,205500,60.07,60.07,60.015,60.02,4545,0
AL.US,5,20250829,210000,60,60.02,60,60,1394,0
AL.US,5,20250829,210500,60.01,60.05,60.01,60.03,3055,0
AL.US,5,20250829,211000,60.04,60.06,60.04,60.04,1009,0
AL.US,5,20250829,211500,60.055,60.055,60.03,60.04,2662,0
AL.US,5,20250829,212000,60.035,60.04,59.99,60,4639,0
AL.US,5,20250829,212500,60.005,60.01,59.88,59.915,6855,0
AL.US,5,20250829,213000,59.94,60.04,59.94,60.01,3612,0
AL.US,5,20250829,213500,60.02,60.04,60,60.04,4461,0
AL.US,5,20250829,214000,60.03,60.05,60.03,60.05,5229,0
AL.US,5,20250829,214500,60.05,60.095,60.035,60.075,8492,0
AL.US,5,20250829,215000,60.1,60.15,60.02,60.02,9735,0
AL.US,5,20250829,215500,60.02,60.21,60.02,60.21,132754,0
