<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALB_A.US,5,20250829,154500,40.0101,40.0101,40.0101,40.0101,275,0
ALB_A.US,5,20250829,160500,40.07,40.07,40,40,410,0
ALB_A.US,5,20250829,161000,39.88,39.88,39.88,39.88,100,0
ALB_A.US,5,20250829,172500,39.9,39.9,39.9,39.9,200,0
ALB_A.US,5,20250829,173000,39.69,39.69,39.69,39.69,100,0
ALB_A.US,5,20250829,181500,39.82,39.82,39.78,39.78,300,0
ALB_A.US,5,20250829,190500,39.76,39.76,39.76,39.76,400,0
ALB_A.US,5,20250829,191000,39.65,39.65,39.6,39.6,5032,0
ALB_A.US,5,20250829,191500,39.62,39.62,39.62,39.62,200,0
ALB_A.US,5,20250829,192000,39.64,39.64,39.57,39.59,5806,0
ALB_A.US,5,20250829,192500,39.53,39.53,39.53,39.53,100,0
ALB_A.US,5,20250829,193000,39.57,39.61,39.57,39.61,2900,0
ALB_A.US,5,20250829,193500,39.61,39.61,39.57,39.57,4741,0
ALB_A.US,5,20250829,194000,39.56,39.56,39.55,39.55,200,0
ALB_A.US,5,20250829,194500,39.57,39.57,39.57,39.57,100,0
ALB_A.US,5,20250829,195000,39.56,39.6,39.56,39.6,200,0
ALB_A.US,5,20250829,195500,39.58,39.58,39.58,39.58,100,0
ALB_A.US,5,20250829,200000,39.55,39.55,39.52,39.52,200,0
ALB_A.US,5,20250829,200500,39.52,39.6167,39.52,39.6167,249,0
ALB_A.US,5,20250829,201000,39.49,39.49,39.46,39.46,200,0
ALB_A.US,5,20250829,201500,39.43,39.61,39.43,39.61,200,0
ALB_A.US,5,20250829,202500,39.43,39.45,39.43,39.45,500,0
ALB_A.US,5,20250829,203000,39.5,39.5,39.49,39.5,3900,0
ALB_A.US,5,20250829,203500,39.5,39.5,39.5,39.5,100,0
ALB_A.US,5,20250829,204000,39.47,39.47,39.47,39.47,100,0
ALB_A.US,5,20250829,204500,39.41,39.41,39.41,39.41,100,0
ALB_A.US,5,20250829,205000,39.41,39.41,39.41,39.41,100,0
ALB_A.US,5,20250829,205500,39.41,39.41,39.41,39.41,200,0
ALB_A.US,5,20250829,210000,39.52,39.52,39.52,39.52,100,0
ALB_A.US,5,20250829,210500,39.46,39.46,39.46,39.46,200,0
ALB_A.US,5,20250829,211500,39.45,39.45,39.45,39.45,100,0
ALB_A.US,5,20250829,212000,39.48,39.48,39.48,39.48,200,0
ALB_A.US,5,20250829,212500,39.42,39.44,39.4,39.42,1300,0
ALB_A.US,5,20250829,213000,39.45,39.45,39.45,39.45,200,0
ALB_A.US,5,20250829,214000,39.54,39.58,39.53,39.53,500,0
ALB_A.US,5,20250829,214500,39.5,39.58,39.5,39.58,3319,0
ALB_A.US,5,20250829,215000,39.49,39.57,39,39.46,21793,0
ALB_A.US,5,20250829,215500,39.47,39.61,39.46,39.48,147872,0
ALB_A.US,5,20250902,153000,38.55,38.55,38.55,38.55,200,0
ALB_A.US,5,20250902,153500,38.34,38.34,38.3,38.3,600,0
ALB_A.US,5,20250902,154000,37.8604,38.11,37.8604,38.02,1955,0
ALB_A.US,5,20250902,154500,37.8,37.8,37.67,37.67,570,0
ALB_A.US,5,20250902,155000,37.76,37.92,37.76,37.9101,5366,0
ALB_A.US,5,20250902,155500,37.82,38.14,37.82,37.97,1251,0
ALB_A.US,5,20250902,160000,38.255,38.57,38.25,38.312,22263,0
ALB_A.US,5,20250902,162500,37.83,37.83,37.8299,37.8299,200,0
ALB_A.US,5,20250902,164000,37.709,37.709,37.709,37.709,130,0
ALB_A.US,5,20250902,173500,37.69,37.69,37.69,37.69,500,0
ALB_A.US,5,20250902,182000,37.682,37.682,37.64,37.64,400,0
ALB_A.US,5,20250902,194000,37.79,37.79,37.79,37.79,100,0
ALB_A.US,5,20250902,194500,37.835,37.835,37.8,37.8,210,0
ALB_A.US,5,20250902,202500,37.65,37.65,37.65,37.65,700,0
ALB_A.US,5,20250902,204500,37.661,37.661,37.661,37.661,415,0
ALB_A.US,5,20250902,211500,37.7,37.7001,37.7,37.7,850,0
ALB_A.US,5,20250902,212000,37.7,37.7,37.7,37.7,347,0
ALB_A.US,5,20250902,212500,37.7,37.7,37.7,37.7,108,0
ALB_A.US,5,20250902,213000,37.79,37.79,37.7204,37.7204,4350,0
ALB_A.US,5,20250902,213500,37.65,37.66,37.65,37.655,900,0
ALB_A.US,5,20250902,214000,37.64,37.66,37.64,37.65,500,0
ALB_A.US,5,20250903,153000,37.83,37.83,37.82,37.82,200,0
ALB_A.US,5,20250903,155500,37.65,37.65,37.65,37.65,246,0
ALB_A.US,5,20250903,165500,37.82,37.82,37.82,37.82,500,0
ALB_A.US,5,20250903,171000,37.78,37.78,37.72,37.72,2921,0
ALB_A.US,5,20250903,172000,37.71,37.71,37.665,37.665,448,0
ALB_A.US,5,20250903,173500,37.67,37.72,37.67,37.72,300,0
ALB_A.US,5,20250903,175000,37.675,37.73,37.675,37.73,200,0
ALB_A.US,5,20250903,182000,37.72,37.82,37.72,37.81,400,0
ALB_A.US,5,20250903,190000,38,38.01,38,38.01,1484,0
ALB_A.US,5,20250903,190500,38.01,38.01,38.01,38.01,300,0
ALB_A.US,5,20250903,192500,38.02,38.02,38.02,38.02,250,0
ALB_A.US,5,20250903,193000,38.01,38.01,38.01,38.01,150,0
ALB_A.US,5,20250903,193500,38.01,38.04,38.01,38.04,1000,0
ALB_A.US,5,20250903,195000,37.94,37.94,37.875,37.875,860,0
ALB_A.US,5,20250903,200500,37.7272,37.85,37.7272,37.8499,1050,0
ALB_A.US,5,20250903,201500,37.8899,37.8899,37.8899,37.8899,156,0
ALB_A.US,5,20250903,202000,37.91,37.91,37.91,37.91,115,0
ALB_A.US,5,20250903,205500,37.7663,37.88,37.7663,37.88,619,0
ALB_A.US,5,20250903,210000,37.77,37.77,37.77,37.77,100,0
ALB_A.US,5,20250903,211000,37.65,37.65,37.65,37.65,120,0
ALB_A.US,5,20250903,214000,37.86,37.91,37.86,37.91,200,0
ALB_A.US,5,20250903,214500,37.9,37.9,37.8999,37.8999,200,0
ALB_A.US,5,20250903,215500,37.98,37.98,37.97,37.97,1058,0
ALB_A.US,5,20250904,153500,37.4,37.4,37.334,37.334,703,0
ALB_A.US,5,20250904,154000,37.42,37.53,37.42,37.53,1303,0
ALB_A.US,5,20250904,155000,37.56,37.58,37.44,37.58,2352,0
ALB_A.US,5,20250904,160500,37.51,37.51,37.3738,37.3738,628,0
ALB_A.US,5,20250904,162000,37.29,37.29,37.29,37.29,178,0
ALB_A.US,5,20250904,171000,37.47,37.47,37.47,37.47,100,0
ALB_A.US,5,20250904,171500,37.71,37.71,37.615,37.615,1045,0
ALB_A.US,5,20250904,172000,37.52,37.62,37.52,37.62,640,0
ALB_A.US,5,20250904,173500,37.63,37.64,37.62,37.62,300,0
ALB_A.US,5,20250904,174000,37.6019,37.6019,37.6019,37.6019,150,0
ALB_A.US,5,20250904,175000,37.56,37.56,37.56,37.56,100,0
ALB_A.US,5,20250904,185000,37.6614,37.6614,37.6614,37.6614,200,0
ALB_A.US,5,20250904,190000,37.79,37.79,37.79,37.79,600,0
ALB_A.US,5,20250904,192500,37.8099,37.8099,37.8099,37.8099,138,0
ALB_A.US,5,20250904,193000,37.71,37.72,37.7,37.71,2600,0
ALB_A.US,5,20250904,194500,37.79,37.79,37.79,37.79,305,0
ALB_A.US,5,20250904,200500,37.73,37.73,37.73,37.73,1468,0
ALB_A.US,5,20250904,201000,37.66,37.66,37.66,37.66,508,0
ALB_A.US,5,20250904,202000,37.8,37.8,37.8,37.8,330,0
ALB_A.US,5,20250904,203000,37.705,37.705,37.705,37.705,300,0
ALB_A.US,5,20250904,205500,37.6,37.61,37.6,37.61,300,0
ALB_A.US,5,20250904,210000,37.54,37.54,37.54,37.54,100,0
ALB_A.US,5,20250904,210500,37.52,37.54,37.52,37.53,4399,0
ALB_A.US,5,20250904,211000,37.4801,37.52,37.44,37.5199,800,0
ALB_A.US,5,20250904,213500,37.6,37.6,37.6,37.6,100,0
ALB_A.US,5,20250904,215000,37.59,37.59,37.59,37.59,100,0
ALB_A.US,5,20250904,215500,37.63,37.63,37.63,37.63,300,0
ALB_A.US,5,20250905,153000,38.83,39.22,38.83,39.2199,4203,0
ALB_A.US,5,20250905,153500,39.005,39.34,39.005,39.34,1582,0
ALB_A.US,5,20250905,154000,39.49,39.49,39.43,39.43,900,0
ALB_A.US,5,20250905,154500,39.47,39.48,39.46,39.48,1280,0
ALB_A.US,5,20250905,155000,39.47,39.47,39.47,39.47,1300,0
ALB_A.US,5,20250905,155500,39.48,39.51,39.48,39.51,600,0
ALB_A.US,5,20250905,160000,39.56,39.72,39.56,39.6899,1800,0
ALB_A.US,5,20250905,160500,39.37,39.37,39.26,39.26,300,0
ALB_A.US,5,20250905,161000,39.12,39.12,39.12,39.12,100,0
ALB_A.US,5,20250905,162000,38.79,38.79,38.735,38.77,600,0
ALB_A.US,5,20250905,162500,38.75,38.75,38.75,38.75,548,0
ALB_A.US,5,20250905,163000,38.76,38.76,38.7599,38.7599,262,0
ALB_A.US,5,20250905,163500,38.6525,38.6525,38.615,38.65,1100,0
ALB_A.US,5,20250905,164500,38.4,38.4,38.4,38.4,1337,0
