<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AOMN.US,5,20250829,215500,25.52,25.52,25.52,25.52,232,0
AOMN.US,5,20250902,175000,25.21,25.21,25.21,25.21,596,0
AOMN.US,5,20250902,213500,25.3417,25.3417,25.3417,25.3417,100,0
AOMN.US,5,20250902,215500,25.41,25.41,25.41,25.41,229,0
AOMN.US,5,20250903,155500,25.35,25.35,25.35,25.35,100,0
AOMN.US,5,20250903,180000,25.35,25.35,25.35,25.35,100,0
AOMN.US,5,20250903,195500,25.32,25.32,25.32,25.32,300,0
AOMN.US,5,20250903,202500,25.34,25.34,25.32,25.32,800,0
AOMN.US,5,20250903,212500,25.23,25.23,25.23,25.23,600,0
AOMN.US,5,20250903,214000,25.23,25.23,25.23,25.23,600,0
AOMN.US,5,20250903,215000,25.26,25.26,25.22,25.23,800,0
AOMN.US,5,20250904,155500,25.4856,25.5,25.4392,25.4392,1300,0
AOMN.US,5,20250904,160000,25.2682,25.5,25.2682,25.5,680,0
AOMN.US,5,20250904,163000,25.53,25.8795,25.53,25.878,300,0
AOMN.US,5,20250904,164500,25.26,25.26,25.19,25.19,301,0
AOMN.US,5,20250904,165500,25.18,25.23,25.18,25.229,600,0
AOMN.US,5,20250904,170000,25.27,25.27,25.21,25.21,200,0
AOMN.US,5,20250904,175000,25.26,25.27,25.26,25.27,400,0
AOMN.US,5,20250904,180000,25.3,25.32,25.3,25.31,700,0
AOMN.US,5,20250904,180500,25.31,25.32,25.27,25.27,800,0
AOMN.US,5,20250904,182000,25.25,25.27,25.25,25.27,200,0
AOMN.US,5,20250904,183000,25.225,25.225,25.225,25.225,100,0
AOMN.US,5,20250904,183500,25.29,25.29,25.29,25.29,100,0
AOMN.US,5,20250904,194500,25.22,25.22,25.22,25.22,100,0
AOMN.US,5,20250904,215000,25.2,25.24,25.2,25.2,4639,0
AOMN.US,5,20250904,215500,25.28,25.28,25.28,25.28,100,0
AOMN.US,5,20250905,165000,25.16,25.24,25.16,25.24,200,0
AOMN.US,5,20250905,165500,25.1701,25.1701,25.1701,25.1701,191,0
AOMN.US,5,20250905,170000,25.24,25.24,25.24,25.24,100,0
AOMN.US,5,20250905,170500,25.2,25.2,25.2,25.2,100,0
AOMN.US,5,20250905,171000,25.22,25.22,25.17,25.17,600,0
AOMN.US,5,20250905,173000,25.21,25.21,25.21,25.21,100,0
AOMN.US,5,20250905,174500,25.17,25.17,25.17,25.17,100,0
AOMN.US,5,20250905,182000,25.2,25.2,25.2,25.2,100,0
AOMN.US,5,20250905,185000,25.17,25.17,25.17,25.17,100,0
AOMN.US,5,20250905,193000,25.2,25.2,25.2,25.2,100,0
AOMN.US,5,20250905,200000,25.19,25.19,25.19,25.19,200,0
AOMN.US,5,20250905,203500,25.19,25.19,25.19,25.19,200,0
AOMN.US,5,20250905,205000,25.19,25.19,25.19,25.19,343,0
AOMN.US,5,20250905,205500,25.19,25.19,25.19,25.19,100,0
AOMN.US,5,20250905,211000,25.21,25.21,25.21,25.21,100,0
AOMN.US,5,20250905,212500,25.21,25.21,25.21,25.21,726,0
AOMN.US,5,20250905,213500,25.19,25.19,25.19,25.19,100,0
AOMN.US,5,20250905,214000,25.19,25.19,25.19,25.19,100,0
AOMN.US,5,20250905,215000,25.19,25.19,25.19,25.19,100,0
AOMN.US,5,20250905,215500,25.19,25.19,25.19,25.19,200,0
AOMN.US,5,20250908,162500,25.21,25.21,25.21,25.21,100,0
AOMN.US,5,20250908,165500,25.2,25.2,25.2,25.2,785,0
AOMN.US,5,20250908,170000,25.19,25.19,25.19,25.19,100,0
AOMN.US,5,20250908,170500,25.2,25.2,25.2,25.2,600,0
AOMN.US,5,20250908,172000,25.2,25.2,25.2,25.2,105,0
AOMN.US,5,20250908,173500,25.28,25.3,25.28,25.3,954,0
AOMN.US,5,20250908,174000,25.245,25.7,25.245,25.37,3026,0
AOMN.US,5,20250908,175000,25.4308,25.4695,25.4308,25.468,1000,0
AOMN.US,5,20250908,193000,25.23,25.23,25.23,25.23,100,0
AOMN.US,5,20250908,205500,25.24,25.24,25.24,25.24,333,0
AOMN.US,5,20250908,212000,25.3714,25.3714,25.3714,25.3714,100,0
AOMN.US,5,20250908,215500,25.35,25.35,25.35,25.35,241,0
AOMN.US,5,20250909,162500,25.2,25.2,25.2,25.2,1500,0
AOMN.US,5,20250909,163000,25.17,25.2,25.17,25.2,800,0
AOMN.US,5,20250909,172000,25.17,25.17,25.17,25.17,500,0
AOMN.US,5,20250909,172500,25.1,25.1,25.07,25.1,1010,0
AOMN.US,5,20250909,173000,25.1,25.1,25.1,25.1,101,0
AOMN.US,5,20250909,175500,25.15,25.16,25.15,25.16,200,0
AOMN.US,5,20250909,182000,25.2,25.2,25.2,25.2,200,0
AOMN.US,5,20250909,183500,25.2,25.2,25.2,25.2,100,0
AOMN.US,5,20250909,191500,25.3205,25.3205,25.3205,25.3205,120,0
AOMN.US,5,20250909,193000,25.1501,25.1501,25.1501,25.1501,100,0
AOMN.US,5,20250909,201000,25.25,25.25,25.25,25.25,12000,0
AOMN.US,5,20250909,202500,25.21,25.21,25.21,25.21,101,0
AOMN.US,5,20250909,203000,25.1501,25.1501,25.1501,25.1501,100,0
AOMN.US,5,20250909,204500,25.3,25.3,25.3,25.3,200,0
AOMN.US,5,20250909,211500,25.2,25.2013,25.11,25.2013,2000,0
AOMN.US,5,20250910,165500,25.325,25.325,25.325,25.325,170,0
AOMN.US,5,20250910,172000,25.2502,25.331,25.2502,25.331,250,0
AOMN.US,5,20250910,172500,25.25,25.25,25.15,25.2,1341,0
AOMN.US,5,20250910,173500,25.2,25.2,25.2,25.2,500,0
AOMN.US,5,20250910,184000,25.3,25.3,25.3,25.3,2038,0
AOMN.US,5,20250911,174000,25.3,25.3,25.3,25.3,200,0
AOMN.US,5,20250911,213000,25.25,25.25,25.25,25.25,100,0
AOMN.US,5,20250911,213500,25.25,25.25,25.25,25.25,400,0
AOMN.US,5,20250911,215500,25.2,25.2,25.2,25.2,276,0
AOMN.US,5,20250912,160500,25.2225,25.2225,25.2225,25.2225,100,0
AOMN.US,5,20250912,161000,25.1,25.1,25.1,25.1,183,0
AOMN.US,5,20250912,162000,25.05,25.2499,25.05,25.2499,200,0
AOMN.US,5,20250912,170500,25.07,25.07,25.07,25.07,100,0
AOMN.US,5,20250912,180500,25.15,25.15,25.15,25.15,100,0
AOMN.US,5,20250912,202500,25.14,25.14,25.14,25.14,200,0
AOMN.US,5,20250912,210000,25.2,25.2,25.2,25.2,100,0
AOMN.US,5,20250912,211000,25.1461,25.1461,25.1461,25.1461,500,0
AOMN.US,5,20250915,160000,25.35,25.35,25.35,25.35,200,0
AOMN.US,5,20250915,161000,25.398,25.398,25.398,25.398,200,0
AOMN.US,5,20250915,183000,25.2398,25.2398,25.2398,25.2398,159,0
AOMN.US,5,20250915,200000,25.16,25.16,25.16,25.16,100,0
AOMN.US,5,20250915,204000,25.21,25.24,25.21,25.24,650,0
AOMN.US,5,20250915,212000,25.23,25.23,25.23,25.23,100,0
AOMN.US,5,20250915,215500,25.22,25.22,25.22,25.22,250,0
AOMN.US,5,20250916,153000,25.22,25.22,25.22,25.22,122,0
AOMN.US,5,20250916,153500,25.21,25.21,25.21,25.21,100,0
AOMN.US,5,20250916,154000,25.27,25.27,25.27,25.27,250,0
AOMN.US,5,20250916,164500,25.29,25.29,25.29,25.29,100,0
AOMN.US,5,20250916,175500,25.3,25.3,25.3,25.3,100,0
AOMN.US,5,20250916,183500,25.33,25.33,25.33,25.33,100,0
AOMN.US,5,20250916,204500,25.21,25.23,25.21,25.23,300,0
AOMN.US,5,20250917,153000,25.25,25.25,25.25,25.25,200,0
AOMN.US,5,20250917,164500,25.2774,25.29,25.2774,25.29,300,0
AOMN.US,5,20250917,201500,25.2642,25.2642,25.2642,25.2642,200,0
AOMN.US,5,20250917,215500,25.245,25.245,25.245,25.245,125,0
AOMN.US,5,20250918,160500,25.2415,25.255,25.2415,25.255,250,0
AOMN.US,5,20250918,173500,25.232,25.25,25.232,25.232,946,0
AOMN.US,5,20250918,175500,25.2001,25.2001,25.2001,25.2001,300,0
AOMN.US,5,20250918,182000,25.2499,25.2499,25.2499,25.2499,400,0
AOMN.US,5,20250918,194500,25.225,25.225,25.225,25.225,100,0
AOMN.US,5,20250918,201500,25.25,25.25,25.2499,25.2499,394,0
AOMN.US,5,20250919,154500,25.25,25.25,25.25,25.25,100,0
AOMN.US,5,20250919,155000,25.23,25.23,25.2175,25.2175,300,0
AOMN.US,5,20250919,160500,25.2334,25.2334,25.2334,25.2334,300,0
AOMN.US,5,20250919,162500,25.25,25.25,25.224,25.224,979,0
AOMN.US,5,20250919,163500,25.2156,25.2156,25.21,25.21,400,0
AOMN.US,5,20250919,170500,25.25,25.25,25.25,25.25,100,0
