<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVD.US,5,20250829,153000,5.21,5.21,5.21,5.21,100,0
AVD.US,5,20250829,153500,5.32,5.33,5.28,5.28,2940,0
AVD.US,5,20250829,154000,5.29,5.29,5.29,5.29,100,0
AVD.US,5,20250829,154500,5.295,5.295,5.295,5.295,100,0
AVD.US,5,20250829,155000,5.31,5.31,5.31,5.31,200,0
AVD.US,5,20250829,155500,5.2875,5.2875,5.2875,5.2875,188,0
AVD.US,5,20250829,161000,5.25,5.26,5.25,5.25,780,0
AVD.US,5,20250829,161500,5.265,5.265,5.265,5.265,150,0
AVD.US,5,20250829,162000,5.28,5.28,5.28,5.28,818,0
AVD.US,5,20250829,162500,5.29,5.33,5.29,5.33,1250,0
AVD.US,5,20250829,164500,5.325,5.325,5.325,5.325,100,0
AVD.US,5,20250829,165500,5.34,5.34,5.34,5.34,100,0
AVD.US,5,20250829,170000,5.325,5.325,5.3,5.3,200,0
AVD.US,5,20250829,170500,5.31,5.31,5.3,5.31,700,0
AVD.US,5,20250829,171500,5.31,5.31,5.31,5.31,100,0
AVD.US,5,20250829,173000,5.305,5.32,5.305,5.315,4308,0
AVD.US,5,20250829,173500,5.33,5.33,5.33,5.33,100,0
AVD.US,5,20250829,174000,5.33,5.34,5.33,5.34,400,0
AVD.US,5,20250829,174500,5.37,5.37,5.37,5.37,200,0
AVD.US,5,20250829,175000,5.34,5.34,5.34,5.34,100,0
AVD.US,5,20250829,180500,5.35,5.35,5.33,5.33,696,0
AVD.US,5,20250829,182500,5.3402,5.35,5.3402,5.35,1699,0
AVD.US,5,20250829,184000,5.34,5.355,5.34,5.355,4340,0
AVD.US,5,20250829,184500,5.355,5.355,5.355,5.355,360,0
AVD.US,5,20250829,190500,5.37,5.37,5.3368,5.3368,480,0
AVD.US,5,20250829,191500,5.35,5.355,5.35,5.355,540,0
AVD.US,5,20250829,192000,5.36,5.36,5.36,5.36,1010,0
AVD.US,5,20250829,192500,5.37,5.37,5.37,5.37,100,0
AVD.US,5,20250829,193000,5.37,5.37,5.37,5.37,300,0
AVD.US,5,20250829,194500,5.34,5.34,5.34,5.34,186,0
AVD.US,5,20250829,195000,5.355,5.392,5.35,5.392,1436,0
AVD.US,5,20250829,195500,5.4,5.4,5.4,5.4,500,0
AVD.US,5,20250829,200000,5.405,5.405,5.405,5.405,100,0
AVD.US,5,20250829,200500,5.405,5.405,5.405,5.405,200,0
AVD.US,5,20250829,201000,5.405,5.405,5.405,5.405,800,0
AVD.US,5,20250829,201500,5.405,5.405,5.395,5.395,300,0
AVD.US,5,20250829,202000,5.41,5.41,5.395,5.395,300,0
AVD.US,5,20250829,202500,5.39,5.39,5.36,5.36,1437,0
AVD.US,5,20250829,203000,5.36,5.36,5.36,5.36,240,0
AVD.US,5,20250829,203500,5.365,5.365,5.365,5.365,100,0
AVD.US,5,20250829,204000,5.365,5.365,5.365,5.365,120,0
AVD.US,5,20250829,204500,5.37,5.3999,5.36,5.375,2667,0
AVD.US,5,20250829,205000,5.39,5.39,5.39,5.39,100,0
AVD.US,5,20250829,205500,5.4,5.4,5.4,5.4,100,0
AVD.US,5,20250829,210000,5.3703,5.4,5.3703,5.385,1248,0
AVD.US,5,20250829,210500,5.4,5.4,5.4,5.4,200,0
AVD.US,5,20250829,211000,5.4,5.4,5.4,5.4,100,0
AVD.US,5,20250829,211500,5.385,5.385,5.385,5.385,997,0
AVD.US,5,20250829,212000,5.4,5.4,5.38,5.4,1300,0
AVD.US,5,20250829,212500,5.41,5.41,5.4,5.4,260,0
AVD.US,5,20250829,213000,5.3999,5.41,5.3999,5.41,3124,0
AVD.US,5,20250829,213500,5.41,5.45,5.41,5.44,8238,0
AVD.US,5,20250829,214000,5.435,5.45,5.435,5.44,1100,0
AVD.US,5,20250829,214500,5.43,5.43,5.4068,5.4068,2091,0
AVD.US,5,20250829,215000,5.405,5.42,5.3924,5.405,2124,0
AVD.US,5,20250829,215500,5.41,5.43,5.4,5.4,30514,0
AVD.US,5,20250902,153000,5.3,5.312,5.3,5.312,249,0
AVD.US,5,20250902,153500,5.4223,5.4223,5.4223,5.4223,377,0
AVD.US,5,20250902,154000,5.3136,5.32,5.3136,5.32,200,0
AVD.US,5,20250902,154500,5.32,5.35,5.27,5.35,5156,0
AVD.US,5,20250902,155000,5.38,5.38,5.3481,5.3481,2140,0
AVD.US,5,20250902,155500,5.38,5.4,5.37,5.4,2102,0
AVD.US,5,20250902,160000,5.398,5.41,5.398,5.41,524,0
AVD.US,5,20250902,160500,5.3502,5.44,5.3502,5.44,12134,0
AVD.US,5,20250902,161000,5.43,5.43,5.395,5.395,300,0
AVD.US,5,20250902,162000,5.405,5.405,5.405,5.405,100,0
AVD.US,5,20250902,162500,5.395,5.395,5.395,5.395,100,0
AVD.US,5,20250902,163000,5.395,5.4,5.37,5.4,4695,0
AVD.US,5,20250902,163500,5.4,5.41,5.395,5.4,2812,0
AVD.US,5,20250902,164000,5.4,5.4151,5.4,5.41,1261,0
AVD.US,5,20250902,164500,5.42,5.42,5.41,5.41,200,0
AVD.US,5,20250902,165000,5.41,5.41,5.41,5.41,100,0
AVD.US,5,20250902,165500,5.405,5.41,5.405,5.41,288,0
AVD.US,5,20250902,170000,5.42,5.42,5.42,5.42,100,0
AVD.US,5,20250902,170500,5.39,5.39,5.36,5.36,1400,0
AVD.US,5,20250902,171000,5.35,5.375,5.35,5.37,2412,0
AVD.US,5,20250902,171500,5.35,5.35,5.35,5.35,100,0
AVD.US,5,20250902,172000,5.355,5.375,5.355,5.375,600,0
AVD.US,5,20250902,172500,5.385,5.385,5.385,5.385,100,0
AVD.US,5,20250902,173000,5.36,5.36,5.36,5.36,100,0
AVD.US,5,20250902,173500,5.37,5.41,5.37,5.41,3429,0
AVD.US,5,20250902,174000,5.405,5.405,5.405,5.405,1000,0
AVD.US,5,20250902,175500,5.37,5.37,5.37,5.37,100,0
AVD.US,5,20250902,180000,5.38,5.38,5.38,5.38,200,0
AVD.US,5,20250902,180500,5.39,5.39,5.39,5.39,200,0
AVD.US,5,20250902,181500,5.4,5.4,5.4,5.4,100,0
AVD.US,5,20250902,183500,5.39,5.41,5.39,5.41,1527,0
AVD.US,5,20250902,184500,5.405,5.42,5.4,5.4,3200,0
AVD.US,5,20250902,185500,5.43,5.43,5.43,5.43,200,0
AVD.US,5,20250902,190000,5.43,5.43,5.42,5.42,300,0
AVD.US,5,20250902,190500,5.43,5.43,5.43,5.43,240,0
AVD.US,5,20250902,193000,5.43,5.43,5.43,5.43,100,0
AVD.US,5,20250902,194500,5.43,5.44,5.43,5.44,600,0
AVD.US,5,20250902,195000,5.4167,5.4167,5.4167,5.4167,150,0
AVD.US,5,20250902,200000,5.44,5.44,5.44,5.44,100,0
AVD.US,5,20250902,201000,5.425,5.425,5.425,5.425,200,0
AVD.US,5,20250902,202000,5.43,5.43,5.43,5.43,100,0
AVD.US,5,20250902,202500,5.43,5.43,5.4,5.4,600,0
AVD.US,5,20250902,203000,5.42,5.42,5.4108,5.4108,1600,0
AVD.US,5,20250902,204000,5.4,5.4,5.4,5.4,200,0
AVD.US,5,20250902,204500,5.395,5.42,5.395,5.42,1821,0
AVD.US,5,20250902,205000,5.43,5.43,5.42,5.43,1905,0
AVD.US,5,20250902,210000,5.42,5.42,5.42,5.42,400,0
AVD.US,5,20250902,210500,5.4279,5.4279,5.4279,5.4279,184,0
AVD.US,5,20250902,211000,5.42,5.42,5.42,5.42,100,0
AVD.US,5,20250902,212000,5.42,5.42,5.42,5.42,200,0
AVD.US,5,20250902,212500,5.42,5.42,5.42,5.42,800,0
AVD.US,5,20250902,213000,5.42,5.42,5.42,5.42,900,0
AVD.US,5,20250902,213500,5.42,5.42,5.42,5.42,2172,0
AVD.US,5,20250902,214000,5.42,5.42,5.42,5.42,1780,0
AVD.US,5,20250902,214500,5.43,5.43,5.4,5.4125,18079,0
AVD.US,5,20250902,215000,5.415,5.415,5.415,5.415,2339,0
AVD.US,5,20250902,215500,5.415,5.42,5.4,5.4,35916,0
AVD.US,5,20250903,153500,5.4599,5.4599,5.32,5.39,1300,0
AVD.US,5,20250903,154000,5.4,5.425,5.4,5.425,300,0
AVD.US,5,20250903,154500,5.41,5.41,5.37,5.37,1635,0
AVD.US,5,20250903,155500,5.36,5.3605,5.36,5.3605,200,0
AVD.US,5,20250903,160500,5.38,5.38,5.375,5.375,1770,0
AVD.US,5,20250903,161000,5.375,5.375,5.375,5.375,100,0
AVD.US,5,20250903,162000,5.38,5.38,5.38,5.38,100,0
AVD.US,5,20250903,162500,5.38,5.38,5.38,5.38,800,0
AVD.US,5,20250903,163000,5.38,5.38,5.38,5.38,100,0
AVD.US,5,20250903,163500,5.38,5.45,5.36,5.43,6415,0
AVD.US,5,20250903,164500,5.42,5.42,5.42,5.42,100,0
AVD.US,5,20250903,165500,5.395,5.395,5.39,5.39,300,0
AVD.US,5,20250903,170500,5.4032,5.4032,5.3972,5.3972,6000,0
AVD.US,5,20250903,171000,5.4,5.42,5.4,5.42,700,0
AVD.US,5,20250903,171500,5.43,5.43,5.43,5.43,100,0
AVD.US,5,20250903,172000,5.405,5.4169,5.405,5.4169,2350,0
AVD.US,5,20250903,172500,5.4,5.4085,5.38,5.4,3072,0
AVD.US,5,20250903,173000,5.395,5.42,5.395,5.42,700,0
AVD.US,5,20250903,174000,5.43,5.43,5.43,5.43,100,0
AVD.US,5,20250903,174500,5.45,5.45,5.43,5.43,600,0
AVD.US,5,20250903,175500,5.44,5.44,5.44,5.44,100,0
AVD.US,5,20250903,180000,5.425,5.425,5.425,5.425,210,0
AVD.US,5,20250903,182000,5.44,5.44,5.435,5.435,210,0
AVD.US,5,20250903,182500,5.435,5.435,5.435,5.435,1210,0
AVD.US,5,20250903,183000,5.45,5.48,5.45,5.48,3962,0
AVD.US,5,20250903,183500,5.48,5.48,5.43,5.43,974,0
AVD.US,5,20250903,184000,5.43,5.43,5.43,5.43,110,0
AVD.US,5,20250903,184500,5.43,5.43,5.43,5.43,200,0
AVD.US,5,20250903,185000,5.45,5.45,5.45,5.45,340,0
AVD.US,5,20250903,190500,5.43,5.435,5.43,5.435,200,0
AVD.US,5,20250903,191500,5.46,5.46,5.435,5.435,240,0
AVD.US,5,20250903,192000,5.47,5.47,5.47,5.47,300,0
AVD.US,5,20250903,192500,5.475,5.475,5.47,5.47,200,0
AVD.US,5,20250903,193000,5.46,5.46,5.46,5.46,200,0
AVD.US,5,20250903,193500,5.45,5.46,5.45,5.45,414,0
AVD.US,5,20250903,195000,5.44,5.44,5.44,5.44,160,0
AVD.US,5,20250903,200000,5.39,5.405,5.39,5.405,340,0
AVD.US,5,20250903,200500,5.39,5.39,5.39,5.39,810,0
AVD.US,5,20250903,201000,5.37,5.37,5.36,5.36,300,0
