<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFZ.US,5,20250829,153000,10.35,10.35,10.35,10.35,2000,0
BFZ.US,5,20250829,153500,10.35,10.4,10.3499,10.3799,12908,0
BFZ.US,5,20250829,154000,10.38,10.38,10.38,10.38,100,0
BFZ.US,5,20250829,160000,10.37,10.37,10.37,10.37,100,0
BFZ.US,5,20250829,162000,10.37,10.37,10.36,10.36,1000,0
BFZ.US,5,20250829,162500,10.36,10.36,10.36,10.36,2860,0
BFZ.US,5,20250829,163000,10.36,10.36,10.35,10.36,610,0
BFZ.US,5,20250829,163500,10.35,10.35,10.35,10.35,400,0
BFZ.US,5,20250829,164000,10.35,10.35,10.35,10.35,500,0
BFZ.US,5,20250829,164500,10.35,10.36,10.35,10.36,4737,0
BFZ.US,5,20250829,165000,10.36,10.36,10.36,10.36,200,0
BFZ.US,5,20250829,165500,10.36,10.36,10.36,10.36,600,0
BFZ.US,5,20250829,170000,10.36,10.36,10.36,10.36,570,0
BFZ.US,5,20250829,170500,10.36,10.39,10.36,10.39,3275,0
BFZ.US,5,20250829,171000,10.37,10.37,10.37,10.37,2560,0
BFZ.US,5,20250829,171500,10.37,10.37,10.37,10.37,500,0
BFZ.US,5,20250829,172000,10.37,10.37,10.37,10.37,200,0
BFZ.US,5,20250829,172500,10.37,10.37,10.37,10.37,500,0
BFZ.US,5,20250829,173000,10.37,10.37,10.37,10.37,400,0
BFZ.US,5,20250829,173500,10.37,10.37,10.37,10.37,300,0
BFZ.US,5,20250829,174000,10.37,10.37,10.37,10.37,500,0
BFZ.US,5,20250829,174500,10.37,10.37,10.37,10.37,300,0
BFZ.US,5,20250829,175000,10.37,10.37,10.37,10.37,400,0
BFZ.US,5,20250829,175500,10.37,10.37,10.37,10.37,200,0
BFZ.US,5,20250829,180000,10.37,10.37,10.37,10.37,400,0
BFZ.US,5,20250829,180500,10.37,10.375,10.37,10.37,2530,0
BFZ.US,5,20250829,181000,10.37,10.37,10.37,10.37,200,0
BFZ.US,5,20250829,181500,10.37,10.37,10.37,10.37,300,0
BFZ.US,5,20250829,182000,10.37,10.37,10.37,10.37,300,0
BFZ.US,5,20250829,182500,10.37,10.37,10.37,10.37,200,0
BFZ.US,5,20250829,183000,10.37,10.37,10.37,10.37,553,0
BFZ.US,5,20250829,183500,10.37,10.37,10.37,10.37,300,0
BFZ.US,5,20250829,184000,10.37,10.37,10.36,10.36,200,0
BFZ.US,5,20250829,184500,10.36,10.37,10.36,10.37,400,0
BFZ.US,5,20250829,185000,10.37,10.39,10.37,10.37,3000,0
BFZ.US,5,20250829,185500,10.37,10.37,10.37,10.37,300,0
BFZ.US,5,20250829,190000,10.37,10.37,10.37,10.37,200,0
BFZ.US,5,20250829,190500,10.37,10.37,10.37,10.37,1690,0
BFZ.US,5,20250829,191000,10.37,10.3784,10.37,10.37,500,0
BFZ.US,5,20250829,191500,10.37,10.38,10.37,10.38,520,0
BFZ.US,5,20250829,192000,10.37,10.37,10.37,10.37,400,0
BFZ.US,5,20250829,192500,10.37,10.37,10.37,10.37,200,0
BFZ.US,5,20250829,193000,10.37,10.37,10.37,10.37,146,0
BFZ.US,5,20250829,193500,10.38,10.38,10.373,10.38,2125,0
BFZ.US,5,20250829,194000,10.38,10.38,10.38,10.38,3200,0
BFZ.US,5,20250829,194500,10.38,10.38,10.38,10.38,100,0
