<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOXA.US,5,20250829,175000,103.99,103.99,103.9571,103.9571,200,0
BOXA.US,5,20250902,153500,103.57,103.57,103.57,103.57,963,0
BOXA.US,5,20250902,154000,103.6,103.6,103.59,103.59,6482,0
BOXA.US,5,20250902,203500,103.66,103.66,103.66,103.66,196,0
BOXA.US,5,20250903,161000,103.9,103.9002,103.9,103.9002,588,0
BOXA.US,5,20250904,154000,104.09,104.19,104.065,104.131,930,0
BOXA.US,5,20250904,160500,104.335,104.335,104.335,104.335,1190,0
BOXA.US,5,20250904,174500,104.14,104.14,104.14,104.14,150,0
BOXA.US,5,20250904,200500,104.3102,104.3102,104.2721,104.3102,735,0
BOXA.US,5,20250904,205500,104.3975,104.3975,104.3975,104.3975,134,0
BOXA.US,5,20250905,153500,104.821,104.89,104.821,104.89,585,0
BOXA.US,5,20250905,181500,104.88,104.88,104.8799,104.8799,200,0
BOXA.US,5,20250908,153000,104.64,104.64,104.64,104.64,2498,0
BOXA.US,5,20250908,172500,104.91,104.91,104.91,104.91,100,0
BOXA.US,5,20250908,180000,104.92,104.92,104.92,104.92,100,0
BOXA.US,5,20250908,195500,104.86,104.86,104.8,104.86,600,0
BOXA.US,5,20250908,210500,104.9225,104.94,104.8945,104.8945,400,0
BOXA.US,5,20250908,211000,104.9022,104.94,104.8979,104.9225,700,0
BOXA.US,5,20250908,212000,104.99,104.99,104.8601,104.8601,200,0
BOXA.US,5,20250908,214000,105,105,105,105,100,0
BOXA.US,5,20250908,215500,105,105,105,105,100,0
BOXA.US,5,20250909,153500,104.69,104.69,104.69,104.69,500,0
BOXA.US,5,20250909,155000,104.83,104.83,104.83,104.83,100,0
BOXA.US,5,20250909,160500,104.75,104.75,104.75,104.75,100,0
BOXA.US,5,20250909,163000,104.7,104.7,104.67,104.67,400,0
BOXA.US,5,20250909,165500,104.7,104.7,104.67,104.7,400,0
BOXA.US,5,20250909,185500,104.4,104.4,104.4,104.4,100,0
BOXA.US,5,20250910,162500,104.7,104.89,104.7,104.89,1500,0
BOXA.US,5,20250910,164000,104.83,104.83,104.83,104.83,100,0
BOXA.US,5,20250910,170000,104.7,104.7,104.7,104.7,2100,0
BOXA.US,5,20250910,213500,104.77,104.77,104.75,104.76,300,0
BOXA.US,5,20250910,214000,104.735,104.75,104.735,104.75,252,0
BOXA.US,5,20250910,215000,104.76,104.76,104.74,104.74,300,0
BOXA.US,5,20250911,153000,104.89,104.89,104.89,104.89,600,0
BOXA.US,5,20250911,153500,104.875,104.9,104.85,104.85,1361,0
BOXA.US,5,20250911,160000,104.955,104.955,104.955,104.955,222,0
BOXA.US,5,20250911,160500,104.985,104.99,104.985,104.985,1416,0
BOXA.US,5,20250911,162000,105.04,105.04,105.04,105.04,381,0
BOXA.US,5,20250911,162500,105.06,105.06,105.06,105.06,2440,0
BOXA.US,5,20250911,213000,104.96,104.96,104.96,104.96,300,0
BOXA.US,5,20250911,214500,104.95,104.95,104.95,104.95,300,0
BOXA.US,5,20250911,215000,104.915,104.915,104.915,104.915,400,0
BOXA.US,5,20250912,161500,104.77,104.77,104.77,104.77,100,0
BOXA.US,5,20250912,162500,104.85,104.85,104.85,104.85,100,0
BOXA.US,5,20250912,164000,104.85,104.85,104.85,104.85,100,0
BOXA.US,5,20250912,165500,104.85,104.85,104.85,104.85,100,0
BOXA.US,5,20250912,171000,104.85,104.85,104.85,104.85,900,0
BOXA.US,5,20250912,173500,104.85,104.9,104.85,104.9,200,0
BOXA.US,5,20250912,174000,104.85,104.85,104.85,104.85,100,0
BOXA.US,5,20250912,175000,104.85,104.85,104.85,104.85,1500,0
BOXA.US,5,20250915,215500,105.26,105.26,105.26,105.26,100,0
BOXA.US,5,20250916,160500,105.3,105.3,104.91,104.91,471,0
BOXA.US,5,20250916,171000,104.95,104.95,104.95,104.95,200,0
BOXA.US,5,20250918,155000,104.75,104.75,104.75,104.75,100,0
BOXA.US,5,20250919,160500,104.693,104.693,104.693,104.693,460,0
BOXA.US,5,20250919,164000,104.5736,104.5736,104.5736,104.5736,125,0
BOXA.US,5,20250919,164500,104.6476,104.6825,104.6476,104.6825,250,0
BOXA.US,5,20250919,175000,104.6,104.6,104.6,104.6,100,0
BOXA.US,5,20250919,180500,104.5624,104.5624,104.5624,104.5624,500,0
BOXA.US,5,20250919,184000,104.6036,104.641,104.6036,104.6308,604,0
BOXA.US,5,20250919,191500,104.62,104.62,104.46,104.46,750,0
BOXA.US,5,20250919,192000,104.76,104.76,104.76,104.76,125,0
BOXA.US,5,20250919,193000,104.56,104.56,104.56,104.56,125,0
BOXA.US,5,20250919,200000,104.46,104.576,104.3601,104.572,1445,0
BOXA.US,5,20250919,203000,104.46,104.4601,104.37,104.4601,618,0
BOXA.US,5,20250922,161000,104.74,104.76,104.74,104.76,2013,0
BOXA.US,5,20250922,191500,104.52,104.52,104.52,104.52,100,0
BOXA.US,5,20250923,161500,104.5,104.5,104.5,104.5,100,0
BOXA.US,5,20250923,212000,104.61,104.61,104.61,104.61,100,0
BOXA.US,5,20250923,213500,104.64,104.64,104.64,104.64,100,0
BOXA.US,5,20250923,215000,104.63,104.63,104.63,104.63,100,0
BOXA.US,5,20250924,161000,104.48,104.48,104.48,104.48,100,0
BOXA.US,5,20250924,203000,104.47,104.4701,104.47,104.4701,400,0
BOXA.US,5,20250924,214000,104.47,104.47,104.47,104.47,100,0
