<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BWNB.US,5,20250829,153000,22.02,22.1955,21.75,21.8742,2025,0
BWNB.US,5,20250829,153500,21.8742,22.19,21.8445,22.19,2336,0
BWNB.US,5,20250829,154000,22.1,22.15,22.1,22.15,4100,0
BWNB.US,5,20250829,155000,22,22,22,22,813,0
BWNB.US,5,20250829,160000,22.3,22.3,22.29,22.3,1320,0
BWNB.US,5,20250829,160500,22.3,22.3,22.3,22.3,378,0
BWNB.US,5,20250829,162000,22.3,22.3,22.27,22.27,749,0
BWNB.US,5,20250829,163000,22.15,22.15,22.15,22.15,300,0
BWNB.US,5,20250829,164500,22.2,22.2,22.2,22.2,200,0
BWNB.US,5,20250829,170500,22.15,22.3,22.15,22.29,1218,0
BWNB.US,5,20250829,171500,22.3,22.3,22.3,22.3,100,0
BWNB.US,5,20250829,172000,22.27,22.27,22.25,22.25,870,0
BWNB.US,5,20250829,173000,22.295,22.295,22.295,22.295,500,0
BWNB.US,5,20250829,174000,22.295,22.295,22.0901,22.0901,1000,0
BWNB.US,5,20250829,175000,22.3,22.3,22.235,22.3,2000,0
BWNB.US,5,20250829,175500,22.425,22.425,22.3928,22.425,3700,0
BWNB.US,5,20250829,180000,22.445,22.445,22.35,22.42,1705,0
BWNB.US,5,20250829,181000,22.4899,22.4899,22.42,22.42,450,0
BWNB.US,5,20250829,181500,22.4884,22.5,22.48,22.5,1914,0
BWNB.US,5,20250829,182500,22.5,22.5,22.5,22.5,100,0
BWNB.US,5,20250829,183000,22.425,22.425,22.3501,22.3501,1050,0
BWNB.US,5,20250829,185500,22.4,22.4,22.4,22.4,846,0
BWNB.US,5,20250829,190000,22.41,22.41,22.41,22.41,200,0
BWNB.US,5,20250829,190500,22.45,22.45,22.45,22.45,600,0
BWNB.US,5,20250829,192500,22.4843,22.4843,22.09,22.09,4577,0
BWNB.US,5,20250829,193500,22.36,22.36,22.36,22.36,100,0
BWNB.US,5,20250829,194000,22.38,22.38,22.3328,22.34,565,0
BWNB.US,5,20250829,194500,22.34,22.3569,22.34,22.3569,765,0
BWNB.US,5,20250829,195000,22.3569,22.3569,22.3569,22.3569,180,0
BWNB.US,5,20250829,195500,22.3,22.3,22.3,22.3,100,0
BWNB.US,5,20250829,200000,22.38,22.38,22.37,22.38,862,0
BWNB.US,5,20250829,200500,22.405,22.405,22.3001,22.3001,575,0
BWNB.US,5,20250829,201000,22.3,22.3,22.3,22.3,284,0
BWNB.US,5,20250829,203000,22.36,22.36,22.24,22.24,200,0
BWNB.US,5,20250829,203500,22.43,22.43,22.03,22.03,600,0
BWNB.US,5,20250829,204500,22.0558,22.24,22.0558,22.24,1680,0
BWNB.US,5,20250829,205500,22.4,22.4,22.4,22.4,100,0
BWNB.US,5,20250829,210000,22.1833,22.1833,22.1833,22.1833,333,0
BWNB.US,5,20250829,210500,22.24,22.24,22.24,22.24,100,0
BWNB.US,5,20250829,211500,22.24,22.24,22.24,22.24,100,0
BWNB.US,5,20250829,212000,22.24,22.24,22.24,22.24,100,0
BWNB.US,5,20250829,214000,22.245,22.245,22.245,22.245,100,0
BWNB.US,5,20250829,214500,22.225,22.35,22.225,22.35,200,0
BWNB.US,5,20250829,215000,22.25,22.25,22.05,22.05,3534,0
BWNB.US,5,20250829,215500,22.225,22.24,22.14,22.14,23468,0
BWNB.US,5,20250902,155500,22.23,22.23,22.0004,22.0004,1927,0
BWNB.US,5,20250902,161000,22.23,22.23,22.23,22.23,700,0
BWNB.US,5,20250902,161500,22.1704,22.1704,22.04,22.04,450,0
BWNB.US,5,20250902,164500,22.045,22.045,22.045,22.045,100,0
BWNB.US,5,20250902,165000,22.2872,22.2872,22.2872,22.2872,232,0
BWNB.US,5,20250902,165500,22.23,22.23,22.1,22.22,2225,0
BWNB.US,5,20250902,170000,22.1,22.22,22,22.2,4772,0
BWNB.US,5,20250902,170500,22,22,22,22,375,0
BWNB.US,5,20250902,180500,21.7601,22.015,21.7601,22.015,2000,0
BWNB.US,5,20250902,184500,22.1336,22.1336,22.1336,22.1336,300,0
BWNB.US,5,20250902,185000,22.2,22.2,22.0984,22.0984,1045,0
BWNB.US,5,20250902,185500,22.135,22.2,22.135,22.2,1600,0
BWNB.US,5,20250902,190000,22.19,22.19,22.19,22.19,300,0
BWNB.US,5,20250902,192500,22.01,22.01,22.01,22.01,100,0
BWNB.US,5,20250902,200500,22.02,22.02,22.02,22.02,100,0
BWNB.US,5,20250902,201000,22.19,22.19,22.01,22.01,2910,0
BWNB.US,5,20250902,201500,22.18,22.18,22.18,22.18,200,0
BWNB.US,5,20250902,204500,22.18,22.18,21.98,22.17,5584,0
BWNB.US,5,20250902,210000,22.05,22.16,21.9676,22.16,2980,0
BWNB.US,5,20250902,210500,22.08,22.21,22.08,22.21,1128,0
BWNB.US,5,20250902,211500,22.18,22.18,22.14,22.15,3415,0
BWNB.US,5,20250902,214500,22.15,22.15,22.15,22.15,200,0
BWNB.US,5,20250902,215000,22.17,22.17,22.17,22.17,357,0
BWNB.US,5,20250902,215500,22.24,22.245,22.17,22.17,621,0
BWNB.US,5,20250903,154000,22.25,22.25,22.24,22.25,988,0
BWNB.US,5,20250903,155500,22.25,22.25,22.25,22.25,3996,0
BWNB.US,5,20250903,160000,22.25,22.25,22.25,22.25,500,0
BWNB.US,5,20250903,164500,22.4066,22.4066,22.4066,22.4066,300,0
BWNB.US,5,20250903,165000,22.0101,22.0101,22.0101,22.0101,148,0
BWNB.US,5,20250903,165500,22.23,22.23,22.1835,22.1835,349,0
BWNB.US,5,20250903,170500,22.23,22.23,22.23,22.23,5404,0
BWNB.US,5,20250903,173500,22.27,22.27,22.27,22.27,200,0
BWNB.US,5,20250903,174000,22.18,22.32,22.04,22.175,2852,0
BWNB.US,5,20250903,174500,22.175,22.175,22.175,22.175,700,0
BWNB.US,5,20250903,180000,22.175,22.175,22.175,22.175,3796,0
BWNB.US,5,20250903,181500,22.22,22.22,22.22,22.22,400,0
BWNB.US,5,20250903,184000,22.01,22.01,22.01,22.01,134,0
BWNB.US,5,20250903,190000,22.12,22.34,22.12,22.34,300,0
BWNB.US,5,20250903,191500,22.235,22.235,22.235,22.235,1204,0
BWNB.US,5,20250903,192000,22.235,22.235,22.235,22.235,5000,0
BWNB.US,5,20250903,192500,22.15,22.15,22.15,22.15,241,0
BWNB.US,5,20250903,193000,22.24,22.24,22.23,22.23,800,0
BWNB.US,5,20250903,202500,22.3499,22.3499,22.3499,22.3499,400,0
