<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHMI_A.US,5,20250829,155000,21.307,21.307,21.307,21.307,100,0
CHMI_A.US,5,20250829,161000,21.32,21.35,21.32,21.35,600,0
CHMI_A.US,5,20250829,161500,21.39,21.39,21.39,21.39,200,0
CHMI_A.US,5,20250829,164000,21.46,21.46,21.46,21.46,198,0
CHMI_A.US,5,20250829,164500,21.5,21.5499,21.45,21.46,1182,0
CHMI_A.US,5,20250829,165500,21.418,21.418,21.418,21.418,138,0
CHMI_A.US,5,20250829,173000,21.6,21.6,21.6,21.6,1000,0
CHMI_A.US,5,20250829,173500,21.5694,21.5694,21.5694,21.5694,100,0
CHMI_A.US,5,20250829,181500,21.5858,21.5858,21.5858,21.5858,1000,0
CHMI_A.US,5,20250829,183500,21.48,21.48,21.48,21.48,744,0
CHMI_A.US,5,20250829,185000,21.5385,21.5385,21.5385,21.5385,150,0
CHMI_A.US,5,20250829,204500,21.5362,21.5362,21.5362,21.5362,116,0
CHMI_A.US,5,20250829,212500,21.56,21.56,21.56,21.56,258,0
CHMI_A.US,5,20250829,213500,21.5222,21.5222,21.49,21.49,300,0
CHMI_A.US,5,20250829,214000,21.5405,21.5405,21.5405,21.5405,825,0
CHMI_A.US,5,20250829,214500,21.49,21.49,21.49,21.49,131,0
CHMI_A.US,5,20250902,160500,21.5619,21.5619,21.54,21.54,300,0
CHMI_A.US,5,20250902,165000,21.4901,21.4901,21.4901,21.4901,400,0
CHMI_A.US,5,20250902,173500,21.5218,21.5218,21.5218,21.5218,1000,0
CHMI_A.US,5,20250902,174500,21.545,21.545,21.545,21.545,100,0
CHMI_A.US,5,20250902,175000,21.55,21.55,21.55,21.55,100,0
CHMI_A.US,5,20250902,180000,21.57,21.57,21.57,21.57,185,0
CHMI_A.US,5,20250902,201000,21.59,21.6,21.587,21.6,344,0
CHMI_A.US,5,20250902,201500,21.79,21.79,21.79,21.79,143,0
CHMI_A.US,5,20250902,204000,21.6249,21.6249,21.6249,21.6249,125,0
CHMI_A.US,5,20250903,153500,21.6544,21.81,21.6544,21.81,300,0
CHMI_A.US,5,20250903,164000,21.7241,21.7241,21.7241,21.7241,200,0
CHMI_A.US,5,20250903,190000,21.8499,21.85,21.8499,21.85,855,0
CHMI_A.US,5,20250903,192000,21.8499,21.8499,21.8499,21.8499,104,0
CHMI_A.US,5,20250903,201000,21.8618,21.8618,21.8618,21.8618,128,0
CHMI_A.US,5,20250903,201500,21.99,21.99,21.99,21.99,190,0
CHMI_A.US,5,20250903,202000,21.99,21.99,21.9899,21.9899,400,0
CHMI_A.US,5,20250903,214000,21.99,21.99,21.99,21.99,192,0
CHMI_A.US,5,20250904,153500,21.9908,21.9908,21.9908,21.9908,200,0
CHMI_A.US,5,20250904,154000,21.8614,21.8614,21.8614,21.8614,175,0
CHMI_A.US,5,20250904,162500,21.9368,21.9368,21.9368,21.9368,100,0
CHMI_A.US,5,20250904,163500,21.4968,21.4968,21.4,21.4,561,0
CHMI_A.US,5,20250904,194500,21.9693,21.9693,21.9693,21.9693,200,0
