<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CICB.US,5,20250829,154500,25.56,25.56,25.55,25.55,200,0
CICB.US,5,20250829,172500,25.33,25.33,25.26,25.26,200,0
CICB.US,5,20250829,195500,25.28,25.28,25.28,25.28,100,0
CICB.US,5,20250829,202000,25.28,25.28,25.28,25.28,100,0
CICB.US,5,20250829,204500,25.29,25.29,25.29,25.29,100,0
CICB.US,5,20250829,205500,25.28,25.28,25.28,25.28,100,0
CICB.US,5,20250829,213500,25.28,25.28,25.28,25.28,100,0
CICB.US,5,20250829,214500,25.28,25.28,25.28,25.28,100,0
CICB.US,5,20250829,215000,25.28,25.28,25.16,25.16,1641,0
CICB.US,5,20250829,215500,25.16,25.17,25.16,25.17,9190,0
CICB.US,5,20250902,211500,25.19,25.19,25.19,25.19,300,0
CICB.US,5,20250902,214500,25.23,25.3,25.23,25.29,1222,0
CICB.US,5,20250902,215000,25.32,25.32,25.32,25.32,600,0
CICB.US,5,20250902,215500,25.34,25.34,25.34,25.34,108,0
CICB.US,5,20250903,153000,25.53,25.53,25.53,25.53,4140,0
CICB.US,5,20250903,161500,25.28,25.28,25.28,25.28,200,0
CICB.US,5,20250903,162500,25.3352,25.34,25.322,25.34,500,0
CICB.US,5,20250903,163500,25.3352,25.3352,25.28,25.3352,400,0
CICB.US,5,20250903,165000,25.41,25.41,25.41,25.41,713,0
CICB.US,5,20250903,174500,25.3306,25.39,25.3185,25.39,500,0
CICB.US,5,20250903,181000,25.32,25.32,25.32,25.32,4325,0
CICB.US,5,20250903,182000,25.41,25.41,25.41,25.41,100,0
CICB.US,5,20250903,182500,25.3506,25.3506,25.3506,25.3506,150,0
CICB.US,5,20250903,183500,25.41,25.41,25.41,25.41,100,0
CICB.US,5,20250903,200500,25.3514,25.3514,25.3514,25.3514,150,0
CICB.US,5,20250903,201000,25.4,25.4,25.4,25.4,100,0
CICB.US,5,20250903,202000,25.3491,25.3568,25.3491,25.3568,600,0
CICB.US,5,20250903,203000,25.348,25.4,25.348,25.36,566,0
CICB.US,5,20250903,204000,25.3992,25.3992,25.3992,25.3992,108,0
CICB.US,5,20250904,205000,25.42,25.42,25.42,25.42,177,0
CICB.US,5,20250904,215000,25.42,25.42,25.42,25.42,100,0
CICB.US,5,20250905,202000,25.42,25.42,25.42,25.42,591,0
CICB.US,5,20250905,210000,25.43,25.44,25.43,25.44,1093,0
CICB.US,5,20250905,211500,25.44,25.44,25.44,25.44,900,0
CICB.US,5,20250905,214000,25.45,25.45,25.45,25.45,200,0
CICB.US,5,20250905,215500,25.45,25.48,25.45,25.48,822,0
CICB.US,5,20250908,184500,25.455,25.455,25.455,25.455,100,0
CICB.US,5,20250908,201500,25.47,25.47,25.47,25.47,100,0
CICB.US,5,20250908,202500,25.47,25.47,25.47,25.47,987,0
CICB.US,5,20250908,205500,25.45,25.45,25.42,25.42,333,0
CICB.US,5,20250908,210000,25.47,25.47,25.47,25.47,200,0
