<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIO.US,5,20250829,153000,6.9335,6.9335,6.9335,6.9335,130,0
CIO.US,5,20250829,153500,6.93,6.935,6.93,6.93,1377,0
CIO.US,5,20250829,154000,6.93,6.93,6.93,6.93,500,0
CIO.US,5,20250829,154500,6.93,6.93,6.93,6.93,100,0
CIO.US,5,20250829,161000,6.935,6.935,6.93,6.93,1000,0
CIO.US,5,20250829,161500,6.93,6.93,6.93,6.93,500,0
CIO.US,5,20250829,162500,6.93,6.93,6.93,6.93,8790,0
CIO.US,5,20250829,164500,6.935,6.935,6.93,6.93,400,0
CIO.US,5,20250829,170500,6.9301,6.9301,6.93,6.93,200,0
CIO.US,5,20250829,171000,6.935,6.935,6.93,6.93,1496,0
CIO.US,5,20250829,172000,6.93,6.93,6.93,6.93,100,0
CIO.US,5,20250829,172500,6.93,6.935,6.93,6.935,300,0
CIO.US,5,20250829,173000,6.935,6.935,6.93,6.9307,720,0
CIO.US,5,20250829,173500,6.93,6.93,6.93,6.93,100,0
CIO.US,5,20250829,174000,6.93,6.935,6.93,6.935,5500,0
CIO.US,5,20250829,175000,6.93,6.93,6.93,6.93,100,0
CIO.US,5,20250829,175500,6.935,6.935,6.935,6.935,100,0
CIO.US,5,20250829,180500,6.93,6.94,6.93,6.94,319,0
CIO.US,5,20250829,181000,6.93,6.935,6.93,6.935,300,0
CIO.US,5,20250829,182000,6.93,6.93,6.93,6.93,200,0
CIO.US,5,20250829,182500,6.93,6.935,6.93,6.93,300,0
CIO.US,5,20250829,183500,6.93,6.93,6.93,6.93,1305,0
CIO.US,5,20250829,184000,6.935,6.935,6.93,6.93,2500,0
CIO.US,5,20250829,184500,6.935,6.935,6.935,6.935,200,0
CIO.US,5,20250829,185000,6.935,6.935,6.93,6.93,300,0
CIO.US,5,20250829,185500,6.9342,6.935,6.93,6.93,421,0
CIO.US,5,20250829,190000,6.93,6.935,6.93,6.93,1781,0
CIO.US,5,20250829,190500,6.931,6.931,6.93,6.93,2176,0
CIO.US,5,20250829,192000,6.93,6.935,6.93,6.9301,510,0
CIO.US,5,20250829,192500,6.93,6.93,6.93,6.93,201,0
CIO.US,5,20250829,193000,6.93,6.935,6.93,6.93,4558,0
CIO.US,5,20250829,193500,6.93,6.935,6.93,6.93,300,0
CIO.US,5,20250829,194000,6.93,6.93,6.93,6.93,1337,0
CIO.US,5,20250829,194500,6.935,6.935,6.935,6.935,100,0
CIO.US,5,20250829,195000,6.93,6.93,6.93,6.93,3719,0
CIO.US,5,20250829,195500,6.93,6.93,6.93,6.93,246,0
CIO.US,5,20250829,200000,6.93,6.93,6.93,6.93,1093,0
CIO.US,5,20250829,200500,6.935,6.935,6.93,6.93,200,0
CIO.US,5,20250829,201000,6.93,6.935,6.93,6.93,452,0
CIO.US,5,20250829,201500,6.935,6.935,6.935,6.935,100,0
CIO.US,5,20250829,202000,6.93,6.935,6.93,6.93,4254,0
CIO.US,5,20250829,202500,6.93,6.93,6.93,6.93,111,0
CIO.US,5,20250829,203000,6.935,6.935,6.93,6.93,404,0
CIO.US,5,20250829,203500,6.93,6.93,6.93,6.93,100,0
CIO.US,5,20250829,204000,6.93,6.93,6.93,6.93,100,0
CIO.US,5,20250829,204500,6.935,6.935,6.93,6.93,2861,0
CIO.US,5,20250829,205000,6.93,6.935,6.93,6.935,1579,0
CIO.US,5,20250829,205500,6.93,6.935,6.93,6.935,604,0
CIO.US,5,20250829,210000,6.93,6.935,6.93,6.93,1846,0
CIO.US,5,20250829,210500,6.93,6.93,6.93,6.93,102,0
CIO.US,5,20250829,211000,6.93,6.93,6.93,6.93,1115,0
CIO.US,5,20250829,211500,6.93,6.935,6.93,6.935,3350,0
CIO.US,5,20250829,212000,6.935,6.94,6.935,6.935,2275,0
CIO.US,5,20250829,212500,6.94,6.94,6.93,6.93,3121,0
CIO.US,5,20250829,213000,6.935,6.94,6.935,6.94,1500,0
CIO.US,5,20250829,213500,6.935,6.94,6.935,6.935,1731,0
CIO.US,5,20250829,214000,6.94,6.94,6.93,6.935,4850,0
CIO.US,5,20250829,214500,6.94,6.94,6.93,6.935,9960,0
CIO.US,5,20250829,215000,6.935,6.94,6.93,6.935,5607,0
CIO.US,5,20250829,215500,6.935,6.94,6.93,6.93,59079,0
CIO.US,5,20250902,153000,6.93,6.93,6.93,6.93,603,0
CIO.US,5,20250902,154000,6.93,6.93,6.93,6.93,200,0
CIO.US,5,20250902,154500,6.93,6.935,6.93,6.935,2951,0
CIO.US,5,20250902,155000,6.93,6.93,6.93,6.93,100,0
