<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNF.US,5,20250829,153500,4.31,4.31,4.3,4.301,245.20000000000002,0
CNF.US,5,20250829,154000,4.3,4.7,4.115,4.12,1394.5,0
CNF.US,5,20250829,154500,4.12,4.5,4.115,4.399,666.5,0
CNF.US,5,20250829,155000,4.399,4.399,4.255,4.3,139.4,0
CNF.US,5,20250829,155500,4.299,4.345,4.271,4.296,195.8,0
CNF.US,5,20250829,160000,4.344,4.544,4.301,4.53,737.8000000000001,0
CNF.US,5,20250829,160500,4.301,4.451,4.301,4.4495,52,0
CNF.US,5,20250829,161000,4.45,4.45,4.297,4.297,140,0
CNF.US,5,20250829,161500,4.297,4.297,4.25,4.25,270,0
CNF.US,5,20250829,162000,4.228,4.228,4.2,4.2,40,0
CNF.US,5,20250829,162500,4.178,4.178,4.1316,4.14,100,0
CNF.US,5,20250829,163000,4.177,4.177,4.14,4.14,110,0
CNF.US,5,20250829,163500,4.14,4.14,4.14,4.14,30,0
CNF.US,5,20250829,164000,4.14,4.14,4.129,4.129,80,0
CNF.US,5,20250829,164500,4.129,4.129,4.129,4.129,20,0
CNF.US,5,20250829,165000,4.153,4.1959,4.1,4.1,297.7,0
CNF.US,5,20250829,165500,4.112,4.112,4.1,4.1,463.8,0
CNF.US,5,20250829,170000,4.1,4.1,4.07,4.07,292.3,0
CNF.US,5,20250829,170500,4.07,4.07,4.07,4.07,60,0
CNF.US,5,20250829,171000,4.07,4.1235,4.07,4.1235,330,0
CNF.US,5,20250829,171500,4.07,4.07,4.05,4.05,180,0
CNF.US,5,20250829,172000,4.05,4.05,4.015,4.015,70,0
CNF.US,5,20250829,172500,4.015,4.015,4,4,560,0
CNF.US,5,20250829,173000,4,4.0005,3.731,3.731,891.9000000000001,0
CNF.US,5,20250829,173500,3.72,4.1,3.711,3.955,2820.6000000000004,0
CNF.US,5,20250829,174000,3.95,4.03,3.945,3.945,945,0
CNF.US,5,20250829,174500,3.88,4.03,3.88,4.03,618.7,0
CNF.US,5,20250829,175000,4.03,4.03,3.88,3.88,81.30000000000001,0
CNF.US,5,20250829,175500,3.898,4,3.819,4,2010,0
CNF.US,5,20250829,180000,3.813,3.813,3.813,3.813,376.20000000000005,0
CNF.US,5,20250829,180500,3.813,3.813,3.813,3.813,100,0
CNF.US,5,20250829,181000,3.813,4.03,3.8065,4.03,805.3000000000001,0
CNF.US,5,20250829,182000,4.03,4.031,4.03,4.031,234.4,0
CNF.US,5,20250829,182500,4.03,4.03,4.03,4.03,50,0
CNF.US,5,20250829,183000,4.03,4.03099,4.03,4.03,175,0
CNF.US,5,20250829,183500,4.031,4.031,4.014,4.014,187.60000000000002,0
CNF.US,5,20250829,184000,3.9,4.15382,3.8,3.836,1677.6000000000001,0
CNF.US,5,20250829,184500,3.85,4.1,3.792,4.099,2665.5,0
CNF.US,5,20250829,185000,3.773,4.1,3.773,4.001,1120,0
CNF.US,5,20250829,185500,3.886,4.1,3.886,4.099,820,0
CNF.US,5,20250829,190000,3.848,4.099,3.848,4.099,688,0
CNF.US,5,20250829,190500,3.947,3.947,3.868,3.872,50,0
CNF.US,5,20250829,191000,3.878,4.068,3.813,4.067,630,0
CNF.US,5,20250829,191500,3.813,3.813,3.808,3.808,153.3,0
CNF.US,5,20250829,192000,3.99,4.082,3.99,4.082,224,0
