<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNM.US,5,20250829,153000,65.28,65.35,65.205,65.24,80994,0
CNM.US,5,20250829,153500,65.23,65.23,65.11,65.13,2865,0
CNM.US,5,20250829,154000,65.14,65.14,64.905,65.12,4318,0
CNM.US,5,20250829,154500,65.2,65.2,64.935,64.935,5279,0
CNM.US,5,20250829,155000,64.935,65.075,64.935,64.935,102190,0
CNM.US,5,20250829,155500,65.08,65.08,64.925,64.93,2630,0
CNM.US,5,20250829,160000,65,65.14,64.87,64.87,106795,0
CNM.US,5,20250829,160500,64.87,64.87,64.73,64.73,2330,0
CNM.US,5,20250829,161000,64.745,64.84,64.74,64.78,198066,0
CNM.US,5,20250829,161500,64.81,64.81,64.645,64.645,1879,0
CNM.US,5,20250829,162000,64.645,64.75,64.61,64.73,104102,0
CNM.US,5,20250829,162500,64.725,64.725,64.615,64.63,1934,0
CNM.US,5,20250829,163000,64.68,64.68,64.56,64.64,5705,0
CNM.US,5,20250829,163500,64.61,64.71,64.555,64.71,800,0
CNM.US,5,20250829,164000,64.72,64.72,64.59,64.605,1724,0
CNM.US,5,20250829,164500,64.61,64.61,64.41,64.41,4717,0
CNM.US,5,20250829,165000,64.39,64.425,64.34,64.425,5984,0
CNM.US,5,20250829,165500,64.39,64.495,64.38,64.495,10361,0
CNM.US,5,20250829,170000,64.49,64.57,64.44,64.57,52404,0
CNM.US,5,20250829,170500,64.57,64.829,64.57,64.829,2822,0
CNM.US,5,20250829,171000,64.81,64.83,64.81,64.82,850,0
CNM.US,5,20250829,171500,64.815,64.83,64.79,64.83,1100,0
CNM.US,5,20250829,172000,64.79,64.81,64.7,64.73,452351,0
CNM.US,5,20250829,172500,64.76,64.77,64.635,64.64,5465,0
CNM.US,5,20250829,173000,64.58,64.62,64.525,64.535,4794,0
CNM.US,5,20250829,173500,64.4901,64.59,64.4901,64.55,2140,0
CNM.US,5,20250829,174000,64.52,64.6,64.48,64.48,5490,0
CNM.US,5,20250829,174500,64.49,64.505,64.46,64.5,4087,0
CNM.US,5,20250829,175000,64.49,64.56,64.48,64.56,5134,0
CNM.US,5,20250829,175500,64.575,64.64,64.56,64.63,1508,0
CNM.US,5,20250829,180000,64.675,64.75,64.66,64.73,1591,0
CNM.US,5,20250829,180500,64.76,64.815,64.75,64.79,2268,0
CNM.US,5,20250829,181000,64.78,64.78,64.75,64.76,3515,0
CNM.US,5,20250829,181500,64.75,64.76,64.71,64.71,4254,0
CNM.US,5,20250829,182000,64.71,64.74,64.71,64.72,2405,0
CNM.US,5,20250829,182500,64.7,64.71,64.63,64.64,4885,0
CNM.US,5,20250829,183000,64.65,64.67,64.65,64.65,875,0
CNM.US,5,20250829,183500,64.66,64.6675,64.65,64.66,2252,0
CNM.US,5,20250829,184000,64.65,64.655,64.61,64.62,11425,0
CNM.US,5,20250829,184500,64.63,64.63,64.54,64.565,5311,0
CNM.US,5,20250829,185000,64.55,64.56,64.52,64.53,2262,0
CNM.US,5,20250829,185500,64.53,64.54,64.51,64.52,5397,0
CNM.US,5,20250829,190000,64.52,64.52,64.4,64.4,4593,0
CNM.US,5,20250829,190500,64.37,64.44,64.35,64.43,2066,0
CNM.US,5,20250829,191000,64.41,64.41,64.36,64.36,1883,0
CNM.US,5,20250829,191500,64.38,64.38,64.3,64.315,3173,0
CNM.US,5,20250829,192000,64.34,64.3844,64.34,64.35,3267,0
CNM.US,5,20250829,192500,64.36,64.42,64.36,64.39,3022,0
CNM.US,5,20250829,193000,64.39,64.435,64.39,64.43,3786,0
CNM.US,5,20250829,193500,64.45,64.45,64.42,64.42,2558,0
CNM.US,5,20250829,194000,64.425,64.425,64.4,64.415,2602,0
CNM.US,5,20250829,194500,64.4,64.43,64.4,64.415,11820,0
CNM.US,5,20250829,195000,64.42,64.52,64.41,64.51,19146,0
CNM.US,5,20250829,195500,64.51,64.52,64.49,64.49,2747,0
CNM.US,5,20250829,200000,64.48,64.48,64.39,64.39,6943,0
CNM.US,5,20250829,200500,64.395,64.4,64.37,64.375,3848,0
CNM.US,5,20250829,201000,64.37,64.42,64.36,64.37,8431,0
CNM.US,5,20250829,201500,64.38,64.38,64.37,64.37,2140,0
CNM.US,5,20250829,202000,64.37,64.37,64.305,64.33,8359,0
CNM.US,5,20250829,202500,64.34,64.38,64.305,64.305,5776,0
CNM.US,5,20250829,203000,64.32,64.39,64.32,64.39,3439,0
CNM.US,5,20250829,203500,64.38,64.42,64.38,64.4,5351,0
CNM.US,5,20250829,204000,64.41,64.43,64.39,64.41,8453,0
CNM.US,5,20250829,204500,64.42,64.42,64.4,64.4,2819,0
CNM.US,5,20250829,205000,64.395,64.395,64.36,64.38,9421,0
CNM.US,5,20250829,205500,64.38,64.38,64.34,64.35,3870,0
CNM.US,5,20250829,210000,64.34,64.34,64.29,64.31,8358,0
CNM.US,5,20250829,210500,64.29,64.35,64.29,64.34,6224,0
CNM.US,5,20250829,211000,64.35,64.38,64.34,64.37,10266,0
CNM.US,5,20250829,211500,64.38,64.41,64.38,64.4,8475,0
CNM.US,5,20250829,212000,64.405,64.42,64.405,64.42,4175,0
CNM.US,5,20250829,212500,64.42,64.45,64.34,64.35,7682,0
CNM.US,5,20250829,213000,64.36,64.38,64.33,64.34,5861,0
CNM.US,5,20250829,213500,64.345,64.41,64.345,64.41,15709,0
CNM.US,5,20250829,214000,64.41,64.46,64.36,64.44,13569,0
CNM.US,5,20250829,214500,64.45,64.55,64.44,64.47,32200,0
CNM.US,5,20250829,215000,64.48,64.57,64.4,64.46,41251,0
CNM.US,5,20250829,215500,64.48,64.75,64.47,64.72,719280,0
CNM.US,5,20250902,153000,62.96,63.77,62.5,63.085,28416,0
CNM.US,5,20250902,153500,63.085,63.265,62.64,63.225,54492,0
CNM.US,5,20250902,154000,63.22,63.44,63.1,63.29,53464,0
CNM.US,5,20250902,154500,63.375,63.61,63.21,63.6,82440,0
CNM.US,5,20250902,155000,63.62,63.66,63.55,63.61,43991,0
CNM.US,5,20250902,155500,63.65,63.66,63.38,63.51,26206,0
CNM.US,5,20250902,160000,63.525,63.9,63.525,63.9,7700,0
CNM.US,5,20250902,160500,63.855,63.855,63.7,63.825,1847,0
CNM.US,5,20250902,161000,63.93,63.93,63.82,63.86,2843,0
CNM.US,5,20250902,161500,63.81,63.89,63.7,63.7,4042,0
CNM.US,5,20250902,162000,63.67,63.6885,63.51,63.52,4055,0
CNM.US,5,20250902,162500,63.5,63.72,63.49,63.72,4079,0
CNM.US,5,20250902,163000,63.74,63.74,63.67,63.67,2204,0
CNM.US,5,20250902,163500,63.67,63.675,63.57,63.57,4745,0
CNM.US,5,20250902,164000,63.51,63.55,63.47,63.54,5724,0
CNM.US,5,20250902,164500,63.56,63.62,63.51,63.565,3600,0
CNM.US,5,20250902,165000,63.56,63.695,63.56,63.695,3360,0
CNM.US,5,20250902,165500,63.695,63.9,63.695,63.9,5044,0
CNM.US,5,20250902,170000,63.915,63.96,63.85,63.92,8741,0
CNM.US,5,20250902,170500,63.9,63.9,63.84,63.88,3000,0
CNM.US,5,20250902,171000,63.88,63.95,63.88,63.92,3121,0
CNM.US,5,20250902,171500,63.92,63.92,63.84,63.9,7328,0
CNM.US,5,20250902,172000,63.905,63.98,63.88,63.9701,8085,0
CNM.US,5,20250902,172500,63.9625,63.9625,63.92,63.935,3285,0
CNM.US,5,20250902,173000,63.935,64.01,63.92,63.995,4940,0
CNM.US,5,20250902,173500,63.995,63.995,63.9,63.94,11339,0
CNM.US,5,20250902,174000,63.96,64,63.96,64,10678,0
CNM.US,5,20250902,174500,64.01,64.035,63.985,64.02,3427,0
CNM.US,5,20250902,175000,64.01,64.07,64.01,64.07,5004,0
CNM.US,5,20250902,175500,64.08,64.15,64.07,64.13,6886,0
CNM.US,5,20250902,180000,64.15,64.21,64.125,64.125,4237,0
CNM.US,5,20250902,180500,64.125,64.16,64.09,64.09,4120,0
CNM.US,5,20250902,181000,64.07,64.1,63.995,64.07,19447,0
CNM.US,5,20250902,181500,64.08,64.15,64.08,64.15,3191,0
CNM.US,5,20250902,182000,64.175,64.25,64.17,64.24,4650,0
CNM.US,5,20250902,182500,64.22,64.23,64.155,64.17,4025,0
CNM.US,5,20250902,183000,64.18,64.24,64.18,64.22,5296,0
CNM.US,5,20250902,183500,64.205,64.26,64.175,64.215,6159,0
CNM.US,5,20250902,184000,64.22,64.31,64.22,64.23,6692,0
CNM.US,5,20250902,184500,64.24,64.25,64.18,64.22,5555,0
CNM.US,5,20250902,185000,64.2,64.24,64.185,64.24,4660,0
CNM.US,5,20250902,185500,64.25,64.33,64.25,64.33,6837,0
CNM.US,5,20250902,190000,64.312,64.312,64.26,64.29,6050,0
CNM.US,5,20250902,190500,64.285,64.285,64.24,64.25,4998,0
CNM.US,5,20250902,191000,64.24,64.24,64.21,64.22,3248,0
CNM.US,5,20250902,191500,64.22,64.25,64.19,64.22,7023,0
CNM.US,5,20250902,192000,64.23,64.24,64.15,64.2,9364,0
