<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CON.US,5,20250829,153000,23.78,23.78,23.695,23.695,600,0
CON.US,5,20250829,153500,23.68,23.695,23.64,23.68,2215,0
CON.US,5,20250829,154000,23.71,23.75,23.68,23.74,2055,0
CON.US,5,20250829,154500,23.7171,23.75,23.674596,23.674596,4700,0
CON.US,5,20250829,155000,23.715,23.715,23.65,23.7,2400,0
CON.US,5,20250829,155500,23.72,23.75,23.71,23.725,900,0
CON.US,5,20250829,160000,23.7,23.73,23.69,23.71,2429,0
CON.US,5,20250829,160500,23.66,23.66,23.605,23.605,727,0
CON.US,5,20250829,161000,23.605,23.605,23.605,23.605,400,0
CON.US,5,20250829,161500,23.6,23.6,23.57,23.58,500,0
CON.US,5,20250829,162000,23.61,23.62,23.57,23.57,1161,0
CON.US,5,20250829,162500,23.575,23.58,23.575,23.58,300,0
CON.US,5,20250829,163000,23.575,23.645,23.575,23.63,1904,0
CON.US,5,20250829,163500,23.635,23.635,23.61,23.61,7000,0
CON.US,5,20250829,164000,23.61,23.665,23.6,23.645,3939,0
CON.US,5,20250829,164500,23.64,23.64,23.595,23.6,1857,0
CON.US,5,20250829,165000,23.61,23.615,23.6,23.61,1700,0
CON.US,5,20250829,165500,23.61,23.65,23.61,23.65,1475,0
CON.US,5,20250829,170000,23.65,23.7,23.65,23.68,5301,0
CON.US,5,20250829,170500,23.68,23.69,23.66,23.665,3000,0
CON.US,5,20250829,171000,23.665,23.665,23.64,23.66,2042,0
CON.US,5,20250829,171500,23.66,23.66,23.63,23.63,2663,0
CON.US,5,20250829,172000,23.63,23.63,23.61,23.61,2642,0
CON.US,5,20250829,172500,23.62,23.645,23.62,23.645,950,0
CON.US,5,20250829,173000,23.64,23.66,23.63,23.64,2495,0
CON.US,5,20250829,173500,23.63,23.64,23.63,23.64,823,0
CON.US,5,20250829,174000,23.64,23.64,23.63,23.63,1150,0
CON.US,5,20250829,174500,23.63,23.63,23.545,23.545,5608,0
CON.US,5,20250829,175000,23.545,23.55,23.5,23.55,4065,0
CON.US,5,20250829,175500,23.56,23.61,23.56,23.61,1474,0
CON.US,5,20250829,180000,23.595,23.61,23.595,23.595,1606,0
CON.US,5,20250829,180500,23.61,23.625,23.58,23.62,6185,0
CON.US,5,20250829,181000,23.61,23.61,23.59,23.59,3717,0
CON.US,5,20250829,181500,23.59,23.6,23.58,23.58,2222,0
CON.US,5,20250829,182000,23.58,23.61,23.58,23.6,3564,0
CON.US,5,20250829,182500,23.6,23.61,23.58,23.6,2235,0
CON.US,5,20250829,183000,23.6,23.615,23.6,23.615,1879,0
CON.US,5,20250829,183500,23.615,23.66,23.56,23.66,95794,0
CON.US,5,20250829,184000,23.65,23.65,23.61,23.65,5471,0
CON.US,5,20250829,184500,23.65,23.67,23.65,23.67,2833,0
