<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRCO.US,5,20251001,163500,50.05,50.05,50.05,50.05,1200,0
CRCO.US,5,20251001,181000,50.3,50.3,50.1978,50.1978,200,0
CRCO.US,5,20251001,194500,50,50,49.71,49.71,500,0
CRCO.US,5,20251001,195500,48.92,48.92,48.92,48.92,200,0
CRCO.US,5,20251002,153000,49.98,50.11,49.6,50.11,4782,0
CRCO.US,5,20251002,155500,50,50,49.85,49.85,4614,0
CRCO.US,5,20251002,210500,53.97,53.97,53.97,53.97,400,0
CRCO.US,5,20251002,211000,53.98,54.18,53.98,54.15,6400,0
CRCO.US,5,20251003,154500,53.49,53.49,53.49,53.49,175,0
CRCO.US,5,20251003,160000,53.16,53.16,53.16,53.16,900,0
CRCO.US,5,20251003,170000,52.59,52.6,52.59,52.6,1200,0
CRCO.US,5,20251003,175500,55.16,55.16,55.16,55.16,900,0
CRCO.US,5,20251003,184500,55.07,55.07,55.07,55.07,900,0
CRCO.US,5,20251003,190000,54.276,54.276,54.276,54.276,155,0
CRCO.US,5,20251003,215000,52.72,52.72,52.72,52.72,100,0
CRCO.US,5,20251006,153000,54.84,54.84,54.8399,54.8399,975,0
CRCO.US,5,20251006,153500,53.38,53.7,53.32,53.7,1803,0
CRCO.US,5,20251006,154000,53.04,53.04,53.04,53.04,162,0
CRCO.US,5,20251006,160500,54.05,54.05,54.05,54.05,106,0
CRCO.US,5,20251006,161500,53.74,53.74,53.74,53.74,100,0
CRCO.US,5,20251006,175500,54.03,54.03,53.9205,53.9205,200,0
CRCO.US,5,20251006,214000,54.01,54.01,54,54,300,0
CRCO.US,5,20251007,154000,55.4,55.4,55.4,55.4,1200,0
CRCO.US,5,20251007,161000,56.18,56.18,56.18,56.18,108,0
CRCO.US,5,20251007,170000,54.17,54.17,54.17,54.17,300,0
CRCO.US,5,20251007,203500,53.86,53.86,53.8599,53.8599,400,0
CRCO.US,5,20251008,153000,53.8,55.22,53.8,55.22,4800,0
CRCO.US,5,20251008,155500,53.57,53.57,53.57,53.57,100,0
CRCO.US,5,20251008,211500,53.83,53.83,53.8299,53.8299,400,0
CRCO.US,5,20251009,153500,54.73,54.73,54.73,54.73,1200,0
CRCO.US,5,20251009,162000,55.705,55.705,55.705,55.705,100,0
CRCO.US,5,20251009,174000,53.925,53.925,53.925,53.925,155,0
CRCO.US,5,20251010,153500,57.31,57.31,57.31,57.31,1200,0
CRCO.US,5,20251010,160000,56.48,56.51,56.48,56.48,1300,0
CRCO.US,5,20251010,162500,54.9,54.9,54.9,54.9,100,0
CRCO.US,5,20251010,170500,53.29,53.29,53.29,53.29,1200,0
CRCO.US,5,20251010,172000,52.23,52.42,52.23,52.42,200,0
CRCO.US,5,20251010,203000,50,50,50,50,100,0
CRCO.US,5,20251010,205000,49.9,49.9,49.9,49.9,100,0
CRCO.US,5,20251010,214500,49.41,49.41,49.41,49.41,100,0
CRCO.US,5,20251013,153000,49.82,50.61,49.82,50.52,300,0
CRCO.US,5,20251013,175000,50.4,50.4,49.965,49.965,300,0
CRCO.US,5,20251013,202500,49.74,49.74,49.736,49.736,206,0
CRCO.US,5,20251014,153000,48.09,48.09,47.94,47.94,1810,0
CRCO.US,5,20251014,153500,47.58,47.58,47.58,47.58,1800,0
CRCO.US,5,20251015,153000,50.25,50.52,50.25,50.52,3900,0
CRCO.US,5,20251015,153500,50.81,50.85,50.81,50.85,2900,0
CRCO.US,5,20251015,154500,50.5,50.5,50.5,50.5,1200,0
CRCO.US,5,20251015,155000,50.51,50.51,50.51,50.51,400,0
CRCO.US,5,20251015,155500,50.79,50.79,50.79,50.79,988,0
CRCO.US,5,20251015,161500,51.5495,51.62,51.25,51.62,1140,0
CRCO.US,5,20251015,162000,51.85,51.85,51.85,51.85,100,0
CRCO.US,5,20251015,162500,51.93,51.93,51.93,51.93,100,0
CRCO.US,5,20251015,163500,51.87,51.87,51.83,51.83,1150,0
CRCO.US,5,20251015,164500,51.9,51.9,51.6092,51.6092,1100,0
