<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHT.US,5,20250829,153000,11.79,11.79,11.74,11.745,6215,0
DHT.US,5,20250829,153500,11.76,11.78,11.74,11.78,5405,0
DHT.US,5,20250829,154000,11.7899,11.79,11.755,11.76,4569,0
DHT.US,5,20250829,154500,11.765,11.765,11.73,11.73,4761,0
DHT.US,5,20250829,155000,11.74,11.8,11.72,11.72,26744,0
DHT.US,5,20250829,155500,11.7397,11.7397,11.72,11.73,3300,0
DHT.US,5,20250829,160000,11.735,11.735,11.72,11.735,4382,0
DHT.US,5,20250829,160500,11.73,11.755,11.72,11.755,4826,0
DHT.US,5,20250829,161000,11.755,11.755,11.7246,11.7246,2133,0
DHT.US,5,20250829,161500,11.72,11.72,11.71,11.71,4091,0
DHT.US,5,20250829,162000,11.715,11.72,11.7135,11.715,850,0
DHT.US,5,20250829,162500,11.715,11.715,11.69,11.71,6200,0
DHT.US,5,20250829,163000,11.7001,11.7001,11.6307,11.635,30156,0
DHT.US,5,20250829,163500,11.635,11.635,11.625,11.63,4431,0
DHT.US,5,20250829,164000,11.635,11.65,11.63,11.65,2823,0
DHT.US,5,20250829,164500,11.645,11.65,11.645,11.645,1070,0
DHT.US,5,20250829,165000,11.65,11.65,11.644,11.65,3317,0
DHT.US,5,20250829,165500,11.65,11.665,11.65,11.66,12983,0
DHT.US,5,20250829,170000,11.655,11.6551,11.63,11.6355,3898,0
DHT.US,5,20250829,170500,11.63,11.64,11.63,11.64,2345,0
DHT.US,5,20250829,171000,11.635,11.635,11.62,11.635,7319,0
DHT.US,5,20250829,171500,11.63,11.65,11.63,11.65,11868,0
DHT.US,5,20250829,172000,11.645,11.65,11.64,11.645,1801,0
DHT.US,5,20250829,172500,11.65,11.65,11.63,11.635,1901,0
DHT.US,5,20250829,173000,11.635,11.635,11.6235,11.625,3607,0
DHT.US,5,20250829,173500,11.63,11.645,11.625,11.645,4097,0
DHT.US,5,20250829,174000,11.645,11.645,11.63,11.64,3163,0
DHT.US,5,20250829,174500,11.64,11.6487,11.64,11.6487,1072,0
DHT.US,5,20250829,175000,11.645,11.65,11.645,11.645,1395,0
DHT.US,5,20250829,175500,11.645,11.645,11.6412,11.6412,293,0
DHT.US,5,20250829,180000,11.64,11.65,11.64,11.65,610,0
DHT.US,5,20250829,180500,11.64,11.64,11.6235,11.6287,4286,0
DHT.US,5,20250829,181000,11.625,11.625,11.6146,11.6146,2370,0
DHT.US,5,20250829,181500,11.61,11.615,11.595,11.605,9345,0
DHT.US,5,20250829,182000,11.605,11.63,11.605,11.63,2769,0
DHT.US,5,20250829,182500,11.625,11.63,11.625,11.63,4102,0
DHT.US,5,20250829,183000,11.63,11.645,11.63,11.645,2350,0
DHT.US,5,20250829,183500,11.6451,11.6451,11.645,11.645,394,0
DHT.US,5,20250829,184000,11.6491,11.6491,11.64,11.645,1758,0
DHT.US,5,20250829,184500,11.645,11.66,11.645,11.655,2478,0
DHT.US,5,20250829,185000,11.655,11.66,11.65,11.65,463,0
DHT.US,5,20250829,185500,11.66,11.66,11.655,11.66,730,0
DHT.US,5,20250829,190000,11.66,11.68,11.655,11.675,3654,0
DHT.US,5,20250829,190500,11.68,11.69,11.68,11.69,2658,0
DHT.US,5,20250829,191000,11.685,11.695,11.685,11.695,3098,0
DHT.US,5,20250829,191500,11.695,11.7,11.685,11.685,6406,0
DHT.US,5,20250829,192000,11.685,11.685,11.67,11.67,1572,0
DHT.US,5,20250829,192500,11.67,11.685,11.67,11.685,1356,0
DHT.US,5,20250829,193000,11.685,11.685,11.67,11.685,12171,0
DHT.US,5,20250829,193500,11.69,11.695,11.68,11.68,5274,0
DHT.US,5,20250829,194000,11.67,11.67,11.66,11.67,1568,0
DHT.US,5,20250829,194500,11.675,11.675,11.675,11.675,220,0
DHT.US,5,20250829,195000,11.675,11.6952,11.675,11.6952,3657,0
DHT.US,5,20250829,195500,11.695,11.7,11.69,11.695,2711,0
DHT.US,5,20250829,200000,11.6945,11.72,11.6945,11.715,3866,0
DHT.US,5,20250829,200500,11.715,11.715,11.7,11.705,4498,0
DHT.US,5,20250829,201000,11.705,11.7058,11.7,11.705,691,0
DHT.US,5,20250829,201500,11.705,11.705,11.7,11.705,1340,0
DHT.US,5,20250829,202000,11.7054,11.715,11.705,11.715,4723,0
DHT.US,5,20250829,202500,11.72,11.72,11.71,11.715,2427,0
DHT.US,5,20250829,203000,11.715,11.7199,11.71,11.715,2800,0
DHT.US,5,20250829,203500,11.7193,11.72,11.714,11.72,2926,0
DHT.US,5,20250829,204000,11.715,11.715,11.69,11.695,6019,0
