<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUKZ.US,5,20250829,162000,25.23,25.23,25.2154,25.22,649,0
DUKZ.US,5,20250829,191000,25.21,25.21,25.21,25.21,203,0
DUKZ.US,5,20250902,163000,25.1344,25.1344,25.1344,25.1344,200,0
DUKZ.US,5,20250902,182500,25.1255,25.1255,25.1255,25.1255,1392,0
DUKZ.US,5,20250902,191000,25.14,25.14,25.14,25.14,2604,0
DUKZ.US,5,20250902,203500,25.15,25.15,25.15,25.15,2604,0
DUKZ.US,5,20250902,204000,25.13,25.13,25.12,25.12,1367,0
DUKZ.US,5,20250903,161000,25.2007,25.2007,25.2007,25.2007,162,0
DUKZ.US,5,20250904,155000,25.25,25.25,25.25,25.25,100,0
DUKZ.US,5,20250904,201500,25.245,25.245,25.245,25.245,498,0
DUKZ.US,5,20250905,162000,25.275,25.275,25.275,25.275,200,0
DUKZ.US,5,20250905,171000,25.27,25.27,25.27,25.27,924,0
DUKZ.US,5,20250905,174000,25.265,25.265,25.26,25.26,391,0
DUKZ.US,5,20250905,183000,25.26,25.265,25.26,25.2601,1166,0
DUKZ.US,5,20250905,211500,25.27,25.27,25.27,25.27,101,0
DUKZ.US,5,20250908,160500,25.3415,25.3415,25.3415,25.3415,200,0
DUKZ.US,5,20250908,161500,25.35,25.35,25.35,25.35,401,0
DUKZ.US,5,20250908,163000,25.33,25.3301,25.33,25.3301,336,0
DUKZ.US,5,20250908,171000,25.37,25.37,25.37,25.37,20960,0
DUKZ.US,5,20250908,182500,25.34,25.36,25.34,25.36,2270,0
DUKZ.US,5,20250909,161000,25.3415,25.3415,25.3415,25.3415,200,0
DUKZ.US,5,20250910,161500,25.42,25.42,25.42,25.42,200,0
DUKZ.US,5,20250910,181000,25.43,25.43,25.43,25.43,210,0
DUKZ.US,5,20250910,190500,25.45,25.45,25.45,25.45,917,0
DUKZ.US,5,20250911,160500,25.495,25.495,25.495,25.495,200,0
DUKZ.US,5,20250911,200000,25.5264,25.5264,25.5264,25.5264,3915,0
DUKZ.US,5,20250912,160500,25.44,25.48,25.44,25.48,500,0
DUKZ.US,5,20250912,164000,25.48,25.48,25.4799,25.4799,288,0
DUKZ.US,5,20250915,160500,25.535,25.535,25.535,25.535,200,0
DUKZ.US,5,20250915,172500,25.555,25.555,25.555,25.555,105,0
DUKZ.US,5,20250915,183000,25.56,25.56,25.56,25.56,200,0
DUKZ.US,5,20250915,185000,25.5799,25.5799,25.5799,25.5799,286,0
DUKZ.US,5,20250915,215500,25.55,25.55,25.55,25.55,814,0
DUKZ.US,5,20250916,163000,25.53,25.5409,25.53,25.5409,400,0
DUKZ.US,5,20250916,214000,25.57,25.57,25.57,25.57,413,0
DUKZ.US,5,20250917,160500,25.6,25.6,25.6,25.6,200,0
DUKZ.US,5,20250917,183500,25.5886,25.5886,25.5886,25.5886,101,0
DUKZ.US,5,20250917,200000,25.64,25.64,25.64,25.64,224,0
DUKZ.US,5,20250917,203500,25.62,25.62,25.62,25.62,100,0
DUKZ.US,5,20250917,204500,25.57,25.57,25.5448,25.5448,213,0
DUKZ.US,5,20250917,213500,25.56,25.56,25.56,25.56,166,0
DUKZ.US,5,20250918,160500,25.52,25.52,25.52,25.52,300,0
DUKZ.US,5,20250918,184000,25.5556,25.57,25.5556,25.5699,3687,0
