<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBF.US,5,20250829,153500,18.4,18.44,18.4,18.44,520,0
EBF.US,5,20250829,154000,18.43,18.43,18.42,18.42,200,0
EBF.US,5,20250829,154500,18.45,18.45,18.45,18.45,100,0
EBF.US,5,20250829,155000,18.4239,18.4239,18.4239,18.4239,2200,0
EBF.US,5,20250829,160000,18.37,18.37,18.37,18.37,600,0
EBF.US,5,20250829,162000,18.34,18.36,18.34,18.36,306,0
EBF.US,5,20250829,163000,18.35,18.35,18.35,18.35,200,0
EBF.US,5,20250829,163500,18.349,18.349,18.349,18.349,102,0
EBF.US,5,20250829,164000,18.35,18.35,18.35,18.35,540,0
EBF.US,5,20250829,164500,18.35,18.35,18.35,18.35,100,0
EBF.US,5,20250829,165000,18.33,18.34,18.32,18.34,600,0
EBF.US,5,20250829,165500,18.35,18.35,18.35,18.35,200,0
EBF.US,5,20250829,170000,18.33,18.33,18.3292,18.3292,200,0
EBF.US,5,20250829,171500,18.31,18.31,18.295,18.295,200,0
EBF.US,5,20250829,172000,18.2901,18.2901,18.29,18.29,1750,0
EBF.US,5,20250829,173000,18.2951,18.31,18.2951,18.31,473,0
EBF.US,5,20250829,174000,18.34,18.34,18.34,18.34,282,0
EBF.US,5,20250829,174500,18.37,18.37,18.365,18.365,200,0
EBF.US,5,20250829,175000,18.34,18.34,18.34,18.34,362,0
EBF.US,5,20250829,175500,18.35,18.35,18.35,18.35,100,0
EBF.US,5,20250829,180500,18.35,18.36,18.341,18.35,1632,0
EBF.US,5,20250829,181000,18.37,18.37,18.37,18.37,100,0
EBF.US,5,20250829,181500,18.371,18.371,18.371,18.371,222,0
EBF.US,5,20250829,184000,18.36,18.3609,18.35,18.355,1283,0
EBF.US,5,20250829,190000,18.345,18.345,18.345,18.345,100,0
EBF.US,5,20250829,190500,18.36,18.395,18.36,18.395,3651,0
EBF.US,5,20250829,191000,18.395,18.395,18.395,18.395,157,0
EBF.US,5,20250829,192500,18.37,18.37,18.37,18.37,600,0
EBF.US,5,20250829,193500,18.3675,18.3675,18.34,18.34,5661,0
EBF.US,5,20250829,200000,18.3585,18.3585,18.35,18.35,687,0
EBF.US,5,20250829,200500,18.345,18.345,18.33,18.33,2040,0
EBF.US,5,20250829,201000,18.32,18.32,18.32,18.32,200,0
EBF.US,5,20250829,201500,18.315,18.315,18.315,18.315,100,0
EBF.US,5,20250829,202000,18.32,18.325,18.3,18.3,3800,0
EBF.US,5,20250829,204000,18.28,18.28,18.28,18.28,100,0
EBF.US,5,20250829,204500,18.29,18.29,18.29,18.29,100,0
EBF.US,5,20250829,205500,18.2899,18.2899,18.27,18.27,1166,0
EBF.US,5,20250829,210000,18.2628,18.2628,18.2628,18.2628,200,0
EBF.US,5,20250829,210500,18.265,18.265,18.265,18.265,142,0
EBF.US,5,20250829,211000,18.26,18.26,18.26,18.26,499,0
EBF.US,5,20250829,212000,18.25,18.25,18.25,18.25,300,0
EBF.US,5,20250829,212500,18.24,18.24,18.22,18.22,900,0
EBF.US,5,20250829,213000,18.2297,18.2297,18.21,18.21,1458,0
EBF.US,5,20250829,213500,18.2,18.2,18.19,18.19,900,0
EBF.US,5,20250829,214000,18.18,18.18,18.18,18.18,700,0
EBF.US,5,20250829,214500,18.18,18.195,18.18,18.195,1380,0
EBF.US,5,20250829,215000,18.22,18.22,18.21,18.21,1310,0
EBF.US,5,20250829,215500,18.21,18.27,18.21,18.27,24886,0
EBF.US,5,20250902,153000,18.15,18.15,18.15,18.15,100,0
EBF.US,5,20250902,153500,18.1401,18.1401,18.14,18.14,839,0
EBF.US,5,20250902,154000,18.1835,18.1835,18.11,18.12,916,0
EBF.US,5,20250902,154500,18.15,18.1673,18.1,18.11,3720,0
EBF.US,5,20250902,155000,18.13,18.13,18.13,18.13,100,0
EBF.US,5,20250902,155500,18.15,18.15,18.15,18.15,100,0
EBF.US,5,20250902,160000,18.14,18.14,18.14,18.14,100,0
EBF.US,5,20250902,160500,18.16,18.16,18.14,18.14,200,0
EBF.US,5,20250902,161500,18.15,18.15,18.15,18.15,100,0
EBF.US,5,20250902,162000,18.17,18.17,18.17,18.17,242,0
EBF.US,5,20250902,162500,18.17,18.17,18.13,18.155,1457,0
