<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFC_A.US,5,20250829,161500,25.4,25.4,25.4,25.4,806,0
EFC_A.US,5,20250829,165500,25.365,25.365,25.365,25.365,176,0
EFC_A.US,5,20250829,200000,25.37,25.37,25.37,25.37,100,0
EFC_A.US,5,20250829,201500,25.38,25.38,25.38,25.38,100,0
EFC_A.US,5,20250829,204000,25.38,25.38,25.38,25.38,100,0
EFC_A.US,5,20250829,211000,25.38,25.38,25.38,25.38,100,0
EFC_A.US,5,20250829,215000,25.37,25.37,25.35,25.35,1794,0
EFC_A.US,5,20250829,215500,25.35,25.35,25.35,25.35,6832,0
EFC_A.US,5,20250902,154000,25.45,25.45,25.45,25.45,267,0
EFC_A.US,5,20250902,155500,25.3825,25.3825,25.3825,25.3825,900,0
EFC_A.US,5,20250902,161000,25.3116,25.3116,25.3116,25.3116,800,0
EFC_A.US,5,20250902,161500,25.3975,25.3975,25.3975,25.3975,1647,0
EFC_A.US,5,20250902,174000,25.35,25.35,25.35,25.35,511,0
EFC_A.US,5,20250902,190000,25.35,25.35,25.35,25.35,304,0
EFC_A.US,5,20250902,191500,25.4,25.4,25.4,25.4,196,0
EFC_A.US,5,20250902,194500,25.425,25.425,25.425,25.425,170,0
EFC_A.US,5,20250902,215500,25.4,25.4,25.4,25.4,339,0
EFC_A.US,5,20250903,153000,25.3594,25.3594,25.3594,25.3594,800,0
EFC_A.US,5,20250903,165000,25.36,25.36,25.36,25.36,1200,0
EFC_A.US,5,20250903,203000,25.3776,25.3776,25.3776,25.3776,250,0
EFC_A.US,5,20250904,154500,25.4,25.4,25.4,25.4,985,0
EFC_A.US,5,20250904,172000,25.4,25.4,25.4,25.4,865,0
EFC_A.US,5,20250904,211500,25.4586,25.4586,25.4586,25.4586,500,0
EFC_A.US,5,20250904,212500,25.47,25.47,25.47,25.47,144,0
