<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EP_C.US,5,20250829,155000,49.14,49.14,49.14,49.14,100,0
EP_C.US,5,20250829,182000,49.15,49.15,49.15,49.15,140,0
EP_C.US,5,20250829,182500,49.15,49.15,49.15,49.15,900,0
EP_C.US,5,20250829,201000,49.15,49.15,49.15,49.15,100,0
EP_C.US,5,20250829,205500,49.15,49.15,49.15,49.15,100,0
EP_C.US,5,20250829,213000,49.15,49.15,49.15,49.15,100,0
EP_C.US,5,20250829,215000,49.15,49.15,49.15,49.15,100,0
EP_C.US,5,20250829,215500,49.15,49.15,49.15,49.15,5320,0
EP_C.US,5,20250902,202500,49.25,49.25,49.25,49.25,398,0
EP_C.US,5,20250902,214000,49.397,49.397,49.397,49.397,200,0
EP_C.US,5,20250903,175000,49.2584,49.2584,49.2584,49.2584,100,0
EP_C.US,5,20250904,164500,49.235,49.235,49.235,49.235,425,0
EP_C.US,5,20250904,165000,49.0752,49.0752,49.0752,49.0752,130,0
EP_C.US,5,20250904,194000,49.45,49.6,49.42,49.5,2598,0
EP_C.US,5,20250904,211500,49.59,49.59,49.59,49.59,100,0
EP_C.US,5,20250904,215000,49.59,49.59,49.59,49.59,100,0
EP_C.US,5,20250904,215500,49.6,49.6,49.6,49.6,205,0
EP_C.US,5,20250905,204500,49.44,49.44,49.44,49.44,500,0
EP_C.US,5,20250908,183500,49.376,49.376,49.376,49.376,300,0
EP_C.US,5,20250908,215500,49.67,49.67,49.67,49.67,236,0
EP_C.US,5,20250909,160000,49.565,49.565,49.565,49.565,100,0
EP_C.US,5,20250910,162000,49.53,49.53,49.53,49.53,100,0
EP_C.US,5,20250911,155000,49.4524,49.4524,49.4524,49.4524,100,0
EP_C.US,5,20250911,183000,49.59,49.59,49.59,49.59,200,0
EP_C.US,5,20250911,210500,49.68,49.68,49.68,49.68,100,0
EP_C.US,5,20250911,215500,49.7,49.7,49.7,49.7,100,0
EP_C.US,5,20250912,154000,49.51,49.51,49.51,49.51,100,0
EP_C.US,5,20250912,172500,49.6,49.6,49.6,49.6,200,0
EP_C.US,5,20250912,180000,49.699,49.699,49.699,49.699,100,0
EP_C.US,5,20250912,184000,49.78,49.78,49.78,49.78,326,0
EP_C.US,5,20250912,200000,49.73,49.78,49.73,49.78,100000,0
EP_C.US,5,20250912,200500,49.73,49.73,49.73,49.73,6000,0
EP_C.US,5,20250912,214500,49.78,49.78,49.78,49.78,100,0
EP_C.US,5,20250915,214500,49.5196,49.5196,49.5196,49.5196,300,0
EP_C.US,5,20250916,155500,49.51,49.51,49.51,49.51,100,0
EP_C.US,5,20250916,173500,49.475,49.475,49.475,49.475,600,0
EP_C.US,5,20250916,174500,49.46,49.46,49.46,49.46,200,0
EP_C.US,5,20250916,202000,49.3512,49.3512,49.3512,49.3512,213,0
EP_C.US,5,20250916,204500,49.43,49.43,49.43,49.43,100,0
EP_C.US,5,20250916,210500,49.345,49.3451,49.26,49.26,446,0
EP_C.US,5,20250917,153500,49.3242,49.3242,49.3242,49.3242,150,0
EP_C.US,5,20250917,154500,49.56,49.56,49.56,49.56,100,0
EP_C.US,5,20250917,170500,49.14,49.14,49.11,49.11,400,0
EP_C.US,5,20250917,190500,49.33,49.33,49.33,49.33,100,0
EP_C.US,5,20250917,195500,49.46,49.54,49.46,49.54,200,0
EP_C.US,5,20250917,200000,49.25,49.25,49.105,49.105,379,0
EP_C.US,5,20250917,200500,49.32,49.32,49.32,49.32,128,0
EP_C.US,5,20250917,212500,49.52,49.52,49.52,49.52,200,0
EP_C.US,5,20250918,171000,49.2577,49.2577,49.2577,49.2577,275,0
EP_C.US,5,20250919,160500,49.54,49.54,49.54,49.54,100,0
EP_C.US,5,20250919,174500,49.4,49.4,49.4,49.4,910,0
EP_C.US,5,20250919,181500,49.3,49.3,49.2999,49.2999,574,0
EP_C.US,5,20250919,182500,49.2,49.28,49.2,49.28,456,0
EP_C.US,5,20250919,203000,49.3,49.3,49.3,49.3,103,0
EP_C.US,5,20250922,172000,49.51,49.51,49.51,49.51,100,0
EP_C.US,5,20250922,174000,49.5832,49.77,49.5832,49.77,1710,0
EP_C.US,5,20250923,161000,49.56,49.56,49.56,49.56,100,0
EP_C.US,5,20250923,165000,49.76,49.76,49.76,49.76,100,0
EP_C.US,5,20250923,175500,49.8,49.8,49.8,49.8,100,0
EP_C.US,5,20250923,215500,49.75,49.75,49.75,49.75,100,0
EP_C.US,5,20250924,155500,49.53,49.64,49.53,49.64,300,0
EP_C.US,5,20250924,180000,49.7,49.7,49.7,49.7,100,0
EP_C.US,5,20250924,183000,49.6254,49.6254,49.625,49.625,200,0
EP_C.US,5,20250925,155500,49.668,49.668,49.668,49.668,200,0
EP_C.US,5,20250925,164500,49.6,49.6,49.6,49.6,200,0
EP_C.US,5,20250925,192500,49.5,49.5,49.5,49.5,111,0
EP_C.US,5,20250926,194500,49.5001,49.5001,49.5001,49.5001,150,0
EP_C.US,5,20250926,201000,49.56,49.56,49.56,49.56,100,0
EP_C.US,5,20250926,215000,49.5,49.51,49.5,49.51,291,0
EP_C.US,5,20250929,164000,49.6195,49.6195,49.6195,49.6195,160,0
EP_C.US,5,20250929,173000,49.635,49.635,49.635,49.635,100,0
EP_C.US,5,20250929,174500,49.57,49.57,49.57,49.57,100,0
EP_C.US,5,20250929,204000,49.75,49.75,49.58,49.58,600,0
EP_C.US,5,20250929,205000,49.665,49.665,49.665,49.665,283,0
EP_C.US,5,20251001,162000,49.794,49.794,49.794,49.794,100,0
EP_C.US,5,20251003,160000,49.78,49.78,49.75,49.7501,850,0
EP_C.US,5,20251003,162000,49.88,49.88,49.88,49.88,100,0
EP_C.US,5,20251003,214000,49.8,49.8,49.8,49.8,429,0
EP_C.US,5,20251006,165500,49.8,49.8,49.8,49.8,100,0
EP_C.US,5,20251006,193000,49.6001,49.6001,49.6001,49.6001,200,0
EP_C.US,5,20251007,171000,49.62,49.62,49.62,49.62,100,0
EP_C.US,5,20251008,155500,49.62,49.62,49.62,49.62,100,0
EP_C.US,5,20251008,190000,49.704,49.704,49.704,49.704,102,0
EP_C.US,5,20251008,205000,49.765,49.765,49.765,49.765,114,0
EP_C.US,5,20251009,160500,49.765,49.765,49.765,49.765,124,0
EP_C.US,5,20251009,182000,49.75,49.75,49.75,49.75,142,0
EP_C.US,5,20251009,184500,49.6325,49.6325,49.6325,49.6325,500,0
EP_C.US,5,20251009,211500,49.65,49.65,49.65,49.65,125,0
EP_C.US,5,20251010,154500,49.87,49.87,49.87,49.87,100,0
EP_C.US,5,20251010,190500,49.635,49.635,49.635,49.635,257,0
EP_C.US,5,20251010,215500,49.62,49.62,49.62,49.62,100,0
EP_C.US,5,20251013,165000,49.6,49.6,49.6,49.6,186,0
EP_C.US,5,20251014,153500,49.784,49.784,49.784,49.784,200,0
EP_C.US,5,20251014,163500,49.7,49.7,49.7,49.7,211,0
EP_C.US,5,20251014,195000,49.69,49.7,49.69,49.7,458,0
EP_C.US,5,20251014,215500,49.58,49.58,49.58,49.58,121,0
EP_C.US,5,20251015,192500,49.5452,49.5452,49.5452,49.5452,500,0
EP_C.US,5,20251015,205000,49.52,49.53,49.5,49.5,900,0
EP_C.US,5,20251015,215500,49.5799,49.58,49.5799,49.58,1628,0
EP_C.US,5,20251016,154500,49.38,49.38,49.38,49.38,150,0
EP_C.US,5,20251016,210500,49.65,49.65,49.65,49.65,180,0
EP_C.US,5,20251020,153500,49.63,49.63,49.63,49.63,100,0
EP_C.US,5,20251020,183000,49.6501,49.735,49.6501,49.735,401,0
EP_C.US,5,20251020,190000,49.73,49.73,49.73,49.73,100,0
EP_C.US,5,20251020,211000,49.84,49.84,49.84,49.84,100,0
EP_C.US,5,20251020,215000,49.85,49.85,49.7,49.7,360,0
EP_C.US,5,20251022,174000,49.54,49.54,49.54,49.54,100,0
EP_C.US,5,20251022,185000,49.61,49.61,49.61,49.61,100,0
EP_C.US,5,20251024,181500,49.75,49.75,49.75,49.75,100,0
EP_C.US,5,20251024,195500,49.695,49.695,49.54,49.6531,600,0
EP_C.US,5,20251024,201500,49.6485,49.6485,49.6485,49.6485,159,0
EP_C.US,5,20251024,213500,49.65,49.65,49.65,49.65,1388,0
EP_C.US,5,20251027,155000,49.78,49.78,49.78,49.78,100,0
EP_C.US,5,20251028,143500,49.41,49.47,49.4,49.4,512,0
EP_C.US,5,20251028,150000,49.4,49.4,49.39,49.4,1595,0
EP_C.US,5,20251028,151500,49.5043,49.5043,49.5043,49.5043,204,0
EP_C.US,5,20251028,170500,49.78,49.78,49.78,49.78,100,0
EP_C.US,5,20251029,173000,49.6,49.6,49.6,49.6,335,0
EP_C.US,5,20251029,183000,49.5153,49.5153,49.45,49.45,763,0
EP_C.US,5,20251029,192500,49.4,49.4,49.4,49.4,300,0
EP_C.US,5,20251029,193000,49.4,49.5153,49.4,49.5153,4874,0
EP_C.US,5,20251029,200000,49.495,49.495,49.495,49.495,200,0
EP_C.US,5,20251029,201000,49.65,49.65,49.65,49.65,229,0
EP_C.US,5,20251030,155500,49.41,49.45,49.41,49.45,300,0
EP_C.US,5,20251030,160500,49.41,49.41,49.41,49.41,200,0
EP_C.US,5,20251030,164000,49.3,49.3,49.3,49.3,346,0
EP_C.US,5,20251030,180000,49.4888,49.4888,49.4888,49.4888,500,0
EP_C.US,5,20251031,181500,49.555,49.555,49.555,49.555,100,0
EP_C.US,5,20251031,183500,49.56,49.56,49.56,49.56,100,0
EP_C.US,5,20251031,184500,49.56,49.56,49.56,49.56,100,0
EP_C.US,5,20251031,190000,49.56,49.56,49.56,49.56,100,0
EP_C.US,5,20251031,191500,49.56,49.56,49.56,49.56,100,0
EP_C.US,5,20251031,193000,49.33,49.56,49.33,49.56,200,0
EP_C.US,5,20251031,194000,49.36,49.36,49.36,49.36,100,0
EP_C.US,5,20251031,195000,49.55,49.55,49.55,49.55,100,0
EP_C.US,5,20251031,195500,49.36,49.36,49.36,49.36,100,0
EP_C.US,5,20251031,200500,49.55,49.55,49.55,49.55,100,0
EP_C.US,5,20251031,202000,49.32,49.35,49.2768,49.2768,1500,0
EP_C.US,5,20251031,203500,49.305,49.305,49.305,49.305,100,0
EP_C.US,5,20251031,204000,49.325,49.47,49.325,49.47,530,0
EP_C.US,5,20251031,204500,49.54,49.54,49.54,49.54,200,0
EP_C.US,5,20251031,205000,49.54,49.54,49.54,49.54,100,0
EP_C.US,5,20251031,205500,49.33,49.33,49.28,49.28,4108,0
EP_C.US,5,20251103,154000,49.5405,49.5405,49.5405,49.5405,100,0
EP_C.US,5,20251103,160500,49.46,49.46,49.46,49.46,250,0
