<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVTL.US,5,20250829,153000,5.1,5.148,5.1,5.1203,2405,0
EVTL.US,5,20250829,153500,5.11,5.1238,5.08,5.11,7522,0
EVTL.US,5,20250829,154000,5.08,5.1082,5.06,5.06,8907,0
EVTL.US,5,20250829,154500,5.08,5.08,5,5.02,17375,0
EVTL.US,5,20250829,155000,5.01,5.04,5.01,5.02,11751,0
EVTL.US,5,20250829,155500,5.01,5.0245,4.97,5,21064,0
EVTL.US,5,20250829,160000,5.01,5.0465,4.97,4.97,24557,0
EVTL.US,5,20250829,160500,4.9724,4.9724,4.93,4.93,14589,0
EVTL.US,5,20250829,161000,4.935,4.9416,4.91,4.91,11000,0
EVTL.US,5,20250829,161500,4.92,4.92,4.88,4.9027,36562,0
EVTL.US,5,20250829,162000,4.9062,4.93,4.9,4.91,8566,0
EVTL.US,5,20250829,162500,4.9,4.92,4.87,4.91,15188,0
EVTL.US,5,20250829,163000,4.9114,4.92,4.895,4.92,2518,0
EVTL.US,5,20250829,163500,4.9126,4.93,4.91,4.92,6586,0
EVTL.US,5,20250829,164000,4.92,4.93,4.92,4.92,2086,0
EVTL.US,5,20250829,164500,4.9243,4.9243,4.9,4.913,11376,0
EVTL.US,5,20250829,165000,4.9092,4.91,4.89,4.9058,15484,0
EVTL.US,5,20250829,165500,4.91,4.92,4.9,4.9015,7781,0
EVTL.US,5,20250829,170000,4.905,4.91,4.9,4.9099,7890,0
EVTL.US,5,20250829,170500,4.905,4.92,4.905,4.915,5163,0
EVTL.US,5,20250829,171000,4.92,4.93,4.915,4.93,2099,0
EVTL.US,5,20250829,171500,4.93,4.93,4.92,4.92,4294,0
EVTL.US,5,20250829,172000,4.92,4.93,4.91,4.91,1200,0
EVTL.US,5,20250829,172500,4.91,4.93,4.91,4.9248,5619,0
EVTL.US,5,20250829,173000,4.92,4.9298,4.91,4.9192,3619,0
