<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXP.US,5,20250829,153000,230.475,230.475,229.92,229.92,400,0
EXP.US,5,20250829,153500,229.84,230.455,229.44,230.21,1782,0
EXP.US,5,20250829,154000,230.2,230.77,230.02,230.2,3408,0
EXP.US,5,20250829,154500,230.29,231.165,230.29,230.73,1100,0
EXP.US,5,20250829,155000,230.43,230.43,230.33,230.33,300,0
EXP.US,5,20250829,155500,230.52,231.165,230.37,231.085,2520,0
EXP.US,5,20250829,160000,230.95,231.09,230.18,230.18,2800,0
EXP.US,5,20250829,160500,230.21,230.52,230.21,230.52,900,0
EXP.US,5,20250829,161000,230.62,230.63,230.51,230.52,600,0
EXP.US,5,20250829,161500,230.29,230.5,230.15,230.35,1900,0
EXP.US,5,20250829,162000,230.35,230.9,230.35,230.54,1700,0
EXP.US,5,20250829,162500,230.545,230.63,230.545,230.63,300,0
EXP.US,5,20250829,163000,230.3,230.8,230.29,230.8,900,0
EXP.US,5,20250829,163500,230.91,231.775,230.91,231.775,2235,0
EXP.US,5,20250829,164000,231.85,231.85,231.14,231.45,1446,0
EXP.US,5,20250829,164500,231.06,231.095,230.905,231.095,1200,0
EXP.US,5,20250829,165000,231.19,231.19,230.89,231.03,600,0
EXP.US,5,20250829,165500,231.56,231.56,231.03,231.03,950,0
EXP.US,5,20250829,170000,231.49,231.56,231.225,231.225,500,0
EXP.US,5,20250829,170500,231.58,231.58,231.35,231.52,600,0
EXP.US,5,20250829,171000,231.66,231.68,231.3,231.43,900,0
EXP.US,5,20250829,171500,231.33,231.33,231.33,231.33,200,0
EXP.US,5,20250829,172000,230.95,230.95,230.95,230.95,200,0
EXP.US,5,20250829,172500,231.035,231.1,231.035,231.065,400,0
EXP.US,5,20250829,173000,230.77,230.865,230.77,230.865,300,0
EXP.US,5,20250829,173500,230.955,231.18,230.955,231.18,928,0
EXP.US,5,20250829,174000,231.22,231.22,231.22,231.22,100,0
EXP.US,5,20250829,175000,231.145,231.145,230.92,230.92,200,0
EXP.US,5,20250829,175500,231.24,231.24,231.065,231.15,500,0
EXP.US,5,20250829,180000,231.185,231.185,231.185,231.185,200,0
EXP.US,5,20250829,180500,231.64,231.66,231.395,231.66,500,0
EXP.US,5,20250829,181500,231.67,231.67,231.67,231.67,100,0
EXP.US,5,20250829,182000,231.565,231.565,231.33,231.565,400,0
EXP.US,5,20250829,182500,231.28,231.28,231.17,231.17,600,0
EXP.US,5,20250829,183500,231.12,231.485,231.12,231.465,1213,0
EXP.US,5,20250829,184000,231.205,231.47,231.205,231.47,201,0
EXP.US,5,20250829,184500,231.08,231.08,231.08,231.08,100,0
EXP.US,5,20250829,185000,230.93,231.3,230.8875,231.01,900,0
EXP.US,5,20250829,185500,230.89,230.89,230.89,230.89,100,0
EXP.US,5,20250829,190000,230.995,230.995,230.995,230.995,100,0
EXP.US,5,20250829,190500,230.72,230.94,230.69,230.87,2200,0
EXP.US,5,20250829,191000,230.62,230.65,230.49,230.49,800,0
EXP.US,5,20250829,191500,230.07,230.18,230.07,230.1,600,0
EXP.US,5,20250829,192000,230.11,230.4,230.08,230.24,1000,0
EXP.US,5,20250829,192500,230.28,230.43,230.18,230.3,1200,0
EXP.US,5,20250829,193000,230.31,230.7,230.31,230.7,1600,0
EXP.US,5,20250829,193500,230.73,230.75,230.625,230.625,500,0
EXP.US,5,20250829,194500,230.705,230.705,230.39,230.39,300,0
EXP.US,5,20250829,195500,230.49,230.505,230.49,230.505,200,0
EXP.US,5,20250829,200000,230.24,230.24,230.07,230.07,400,0
EXP.US,5,20250829,200500,230.09,230.09,230.09,230.09,100,0
EXP.US,5,20250829,201000,230.18,230.18,229.95,229.98,400,0
EXP.US,5,20250829,201500,229.75,229.75,229.75,229.75,100,0
EXP.US,5,20250829,202000,229.72,229.75,229.41,229.41,500,0
EXP.US,5,20250829,202500,229.71,229.78,229.67,229.68,500,0
EXP.US,5,20250829,203000,229.67,229.79,229.67,229.775,500,0
EXP.US,5,20250829,203500,229.79,229.82,229.79,229.82,200,0
EXP.US,5,20250829,204000,229.785,230.04,229.73,230.025,1500,0
EXP.US,5,20250829,204500,230.11,230.11,230.11,230.11,100,0
EXP.US,5,20250829,205000,230.065,230.065,229.78,229.96,900,0
EXP.US,5,20250829,210000,230.08,230.08,229.985,229.985,500,0
EXP.US,5,20250829,210500,229.98,230.18,229.98,230.025,400,0
EXP.US,5,20250829,211000,230.285,230.285,230.08,230.08,500,0
EXP.US,5,20250829,211500,230.25,230.3,230.18,230.2,867,0
EXP.US,5,20250829,212000,230.265,230.34,230.265,230.34,300,0
EXP.US,5,20250829,212500,230.46,230.46,230.19,230.19,1200,0
EXP.US,5,20250829,213000,230.24,230.24,230.12,230.12,400,0
EXP.US,5,20250829,213500,229.95,229.95,229.64,229.64,800,0
EXP.US,5,20250829,214000,229.58,229.76,229.48,229.76,3487,0
