<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDX.US,5,20250829,153000,231.26,231.56,230.965,231.445,1233,0
FDX.US,5,20250829,153500,231.21,231.74,231.21,231.565,2350,0
FDX.US,5,20250829,154000,231.57,232.62,231.57,232.45,11816,0
FDX.US,5,20250829,154500,232.4738,233.16,232.4738,233.1299,11821,0
FDX.US,5,20250829,155000,232.91,233.0356,232.42,232.78,3805,0
FDX.US,5,20250829,155500,232.725,233,232.46,232.86,10165,0
FDX.US,5,20250829,160000,232.99,233.01,231.545,231.55,7131,0
FDX.US,5,20250829,160500,231.3979,231.42,230.7858,231.095,4185,0
FDX.US,5,20250829,161000,231.2582,231.39,230.96,231.38,7416,0
FDX.US,5,20250829,161500,231.32,231.5025,231.135,231.16,2803,0
FDX.US,5,20250829,162000,231.165,231.27,230.79,230.79,6078,0
FDX.US,5,20250829,162500,230.94,231.06,230.55,230.945,4150,0
FDX.US,5,20250829,163000,230.945,231.11,230.65,231.11,5974,0
FDX.US,5,20250829,163500,231.03,231.18,230.86,231.14,4297,0
FDX.US,5,20250829,164000,231.155,231.28,231.035,231.035,5446,0
FDX.US,5,20250829,164500,231.04,231.22,230.84,230.99,4214,0
FDX.US,5,20250829,165000,231.03,231.03,230.72,230.99,3072,0
FDX.US,5,20250829,165500,231.03,231.4,230.88,231.28,10504,0
FDX.US,5,20250829,170000,231.22,231.57,231.1643,231.38,10036,0
FDX.US,5,20250829,170500,231.3723,231.63,231.35,231.35,2127,0
FDX.US,5,20250829,171000,231.28,231.45,231.25,231.295,2700,0
FDX.US,5,20250829,171500,231.22,231.24,230.95,231.005,3175,0
FDX.US,5,20250829,172000,231.01,231.01,230.63,230.69,1898,0
FDX.US,5,20250829,172500,230.66,231.03,230.6,230.828,3620,0
FDX.US,5,20250829,173000,230.908,231.35,230.81,231.3,16787,0
FDX.US,5,20250829,173500,231.3,231.45,231.3,231.45,2234,0
FDX.US,5,20250829,174000,231.42,231.56,231.33,231.425,8937,0
FDX.US,5,20250829,174500,231.57,231.635,231.33,231.33,6970,0
FDX.US,5,20250829,175000,231.23,231.34,231.07,231.34,3305,0
FDX.US,5,20250829,175500,231.33,231.54,231.33,231.54,4075,0
FDX.US,5,20250829,180000,231.485,231.66,231.38,231.645,6960,0
FDX.US,5,20250829,180500,231.645,231.6699,231.5,231.55,4248,0
FDX.US,5,20250829,181000,231.545,231.71,231.35,231.56,5242,0
FDX.US,5,20250829,181500,231.53,231.53,231.39,231.4,1354,0
FDX.US,5,20250829,182000,231.325,231.53,231.325,231.48,1945,0
FDX.US,5,20250829,182500,231.405,231.405,231.19,231.285,1540,0
FDX.US,5,20250829,183000,231.285,231.38,231.28,231.32,2004,0
FDX.US,5,20250829,183500,231.3299,231.5075,231.3299,231.42,2126,0
FDX.US,5,20250829,184000,231.36,231.39,231.19,231.19,3677,0
FDX.US,5,20250829,184500,231.17,231.18,230.84,230.855,2771,0
FDX.US,5,20250829,185000,230.79,230.89,230.72,230.845,1626,0
FDX.US,5,20250829,185500,230.9,231.05,230.8001,230.8001,3874,0
FDX.US,5,20250829,190000,230.79,230.91,230.75,230.77,2684,0
FDX.US,5,20250829,190500,230.76,231.005,230.76,231.005,2953,0
FDX.US,5,20250829,191000,231,231.09,230.94,231.09,7222,0
FDX.US,5,20250829,191500,231.11,231.26,231.05,231.22,6119,0
FDX.US,5,20250829,192000,231.28,231.28,231.14,231.14,892,0
