<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEO.US,5,20250829,153000,20.43,20.6,20.39,20.51,5086,0
GEO.US,5,20250829,153500,20.56,20.56,20.46,20.52,1650,0
GEO.US,5,20250829,154000,20.51,20.51,20.48,20.495,4837,0
GEO.US,5,20250829,154500,20.51,20.52,20.44,20.465,5396,0
GEO.US,5,20250829,155000,20.46,20.47,20.45,20.45,800,0
GEO.US,5,20250829,155500,20.4356,20.47,20.38,20.47,8120,0
GEO.US,5,20250829,160000,20.47,20.47,20.42,20.42,3017,0
GEO.US,5,20250829,160500,20.43,20.49,20.4,20.48,9507,0
GEO.US,5,20250829,161000,20.47,20.55,20.42,20.52,43701,0
GEO.US,5,20250829,161500,20.5565,20.64,20.54,20.58,131630,0
GEO.US,5,20250829,162000,20.59,20.63,20.52,20.52,5300,0
GEO.US,5,20250829,162500,20.54,20.58,20.53,20.55,5503,0
GEO.US,5,20250829,163000,20.54,20.55,20.53,20.545,4448,0
GEO.US,5,20250829,163500,20.52,20.525,20.52,20.52,500,0
GEO.US,5,20250829,164000,20.52,20.545,20.49,20.535,10117,0
GEO.US,5,20250829,164500,20.53,20.54,20.47,20.49,3916,0
GEO.US,5,20250829,165000,20.46,20.46,20.43,20.45,8524,0
GEO.US,5,20250829,165500,20.44,20.44,20.39,20.4,3320,0
GEO.US,5,20250829,170000,20.4,20.42,20.37,20.415,8535,0
GEO.US,5,20250829,170500,20.4383,20.44,20.41,20.41,1855,0
GEO.US,5,20250829,171000,20.43,20.45,20.405,20.405,2674,0
GEO.US,5,20250829,171500,20.41,20.535,20.41,20.535,89848,0
GEO.US,5,20250829,172000,20.54,20.54,20.47,20.51,11650,0
GEO.US,5,20250829,172500,20.5,20.505,20.445,20.445,4626,0
GEO.US,5,20250829,173000,20.445,20.445,20.41,20.43,8064,0
GEO.US,5,20250829,173500,20.43,20.45,20.42,20.45,5289,0
GEO.US,5,20250829,174000,20.43,20.53,20.4,20.48,6283,0
GEO.US,5,20250829,174500,20.49,20.51,20.465,20.495,6359,0
GEO.US,5,20250829,175000,20.495,20.54,20.48,20.54,60401,0
GEO.US,5,20250829,175500,20.55,20.55,20.51,20.52,2434,0
GEO.US,5,20250829,180000,20.515,20.55,20.515,20.55,3030,0
GEO.US,5,20250829,180500,20.55,20.5516,20.48,20.485,4195,0
GEO.US,5,20250829,181000,20.5,20.52,20.49,20.5,6424,0
GEO.US,5,20250829,181500,20.495,20.5,20.48,20.5,3339,0
GEO.US,5,20250829,182000,20.5,20.535,20.5,20.535,2358,0
GEO.US,5,20250829,182500,20.5362,20.5362,20.49,20.49,1907,0
GEO.US,5,20250829,183000,20.51,20.535,20.51,20.535,3902,0
GEO.US,5,20250829,183500,20.55,20.71,20.5447,20.7,99164,0
GEO.US,5,20250829,184000,20.715,20.72,20.67,20.7,3935,0
GEO.US,5,20250829,184500,20.705,20.705,20.66,20.675,4223,0
GEO.US,5,20250829,185000,20.67,20.69,20.67,20.69,2403,0
GEO.US,5,20250829,185500,20.67,20.67,20.66,20.66,1657,0
GEO.US,5,20250829,190000,20.66,20.66,20.61,20.615,8791,0
GEO.US,5,20250829,190500,20.61,20.64,20.605,20.64,1861,0
GEO.US,5,20250829,191000,20.64,20.64,20.63,20.635,1739,0
GEO.US,5,20250829,191500,20.635,20.66,20.63,20.66,3484,0
GEO.US,5,20250829,192000,20.655,20.6699,20.61,20.62,23240,0
GEO.US,5,20250829,192500,20.625,20.64,20.6,20.615,3885,0
GEO.US,5,20250829,193000,20.6339,20.6339,20.6,20.62,944,0
GEO.US,5,20250829,193500,20.62,20.655,20.6,20.655,4634,0
GEO.US,5,20250829,194000,20.64,20.64,20.6,20.62,3946,0
GEO.US,5,20250829,194500,20.64,20.67,20.62,20.65,52193,0
GEO.US,5,20250829,195000,20.6699,20.685,20.66,20.66,2690,0
GEO.US,5,20250829,195500,20.65,20.7,20.63,20.64,19183,0
GEO.US,5,20250829,200000,20.62,20.6799,20.6,20.63,38793,0
GEO.US,5,20250829,200500,20.63,20.65,20.62,20.63,4004,0
GEO.US,5,20250829,201000,20.64,20.65,20.63,20.65,12706,0
GEO.US,5,20250829,201500,20.65,20.67,20.63,20.67,3086,0
GEO.US,5,20250829,202000,20.68,20.68,20.67,20.67,381,0
GEO.US,5,20250829,202500,20.675,20.675,20.67,20.67,2804,0
GEO.US,5,20250829,203000,20.68,20.725,20.68,20.725,7541,0
GEO.US,5,20250829,203500,20.725,20.74,20.72,20.73,2556,0
GEO.US,5,20250829,204000,20.714,20.78,20.714,20.75,35232,0
GEO.US,5,20250829,204500,20.75,20.76,20.73,20.735,6575,0
GEO.US,5,20250829,205000,20.72,20.73,20.715,20.715,3127,0
GEO.US,5,20250829,205500,20.72,20.73,20.7,20.7,8692,0
GEO.US,5,20250829,210000,20.7,20.71,20.6784,20.68,6364,0
GEO.US,5,20250829,210500,20.68,20.685,20.67,20.67,1733,0
