<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HGV.US,5,20250829,153000,47.755,47.755,47.54,47.54,400,0
HGV.US,5,20250829,153500,47.55,47.7856,47.545,47.685,2484,0
HGV.US,5,20250829,154000,47.675,47.79,47.56,47.67,2200,0
HGV.US,5,20250829,154500,47.56,47.875,47.56,47.72,4418,0
HGV.US,5,20250829,155000,47.685,47.685,47.5,47.565,2839,0
HGV.US,5,20250829,155500,47.5,47.69,47.5,47.69,5202,0
HGV.US,5,20250829,160000,47.7,47.7,47.36,47.36,6363,0
HGV.US,5,20250829,160500,47.3,47.3,47.21,47.29,6967,0
HGV.US,5,20250829,161000,47.25,47.25,47.06,47.14,3521,0
HGV.US,5,20250829,161500,47.15,47.175,47.085,47.175,1037,0
HGV.US,5,20250829,162000,47.23,47.32,47.17,47.26,5120,0
HGV.US,5,20250829,162500,47.255,47.3,47.17,47.3,2132,0
HGV.US,5,20250829,163000,47.275,47.34,47.21,47.34,4561,0
HGV.US,5,20250829,163500,47.33,47.35,47.32,47.34,2108,0
HGV.US,5,20250829,164000,47.35,47.35,47.3,47.3,2655,0
HGV.US,5,20250829,164500,47.33,47.34,47.28,47.3,3001,0
HGV.US,5,20250829,165000,47.29,47.29,47.22,47.24,1943,0
HGV.US,5,20250829,165500,47.21,47.37,47.21,47.3,5066,0
HGV.US,5,20250829,170000,47.3,47.37,47.295,47.32,6003,0
HGV.US,5,20250829,170500,47.35,47.4,47.35,47.4,1000,0
HGV.US,5,20250829,171000,47.4,47.42,47.35,47.35,4006,0
HGV.US,5,20250829,171500,47.39,47.39,47.33,47.36,1507,0
HGV.US,5,20250829,172000,47.37,47.37,47.34,47.365,1129,0
HGV.US,5,20250829,172500,47.365,47.435,47.365,47.43,4537,0
HGV.US,5,20250829,173000,47.43,47.515,47.4,47.49,3629,0
HGV.US,5,20250829,173500,47.495,47.525,47.49,47.525,1119,0
HGV.US,5,20250829,174000,47.525,47.55,47.52,47.535,2209,0
HGV.US,5,20250829,174500,47.535,47.6,47.535,47.575,3719,0
HGV.US,5,20250829,175000,47.56,47.6,47.55,47.6,3324,0
HGV.US,5,20250829,175500,47.62,47.73,47.61,47.69,3976,0
HGV.US,5,20250829,180000,47.7,47.71,47.66,47.7,3471,0
HGV.US,5,20250829,180500,47.69,47.71,47.675,47.71,11039,0
HGV.US,5,20250829,181000,47.69,47.69,47.63,47.635,8211,0
HGV.US,5,20250829,181500,47.62,47.63,47.61,47.63,3242,0
HGV.US,5,20250829,182000,47.63,47.7,47.63,47.7,2300,0
HGV.US,5,20250829,182500,47.7,47.7,47.64,47.65,2597,0
HGV.US,5,20250829,183000,47.635,47.69,47.635,47.69,1982,0
HGV.US,5,20250829,183500,47.685,47.69,47.66,47.67,2775,0
HGV.US,5,20250829,184000,47.68,47.68,47.66,47.68,2341,0
HGV.US,5,20250829,184500,47.69,47.69,47.65,47.65,1524,0
HGV.US,5,20250829,185000,47.65,47.65,47.59,47.59,1352,0
HGV.US,5,20250829,185500,47.61,47.63,47.61,47.62,2346,0
HGV.US,5,20250829,190000,47.6,47.6,47.5,47.53,5606,0
HGV.US,5,20250829,190500,47.55,47.6299,47.55,47.6299,2127,0
