<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBRT.US,5,20250829,153000,11.285,11.33,11.27,11.33,11385,0
LBRT.US,5,20250829,153500,11.33,11.33,11.29,11.31,12132,0
LBRT.US,5,20250829,154000,11.31,11.38,11.31,11.38,10952,0
LBRT.US,5,20250829,154500,11.39,11.42,11.365,11.39,10329,0
LBRT.US,5,20250829,155000,11.39,11.39,11.322,11.34,12599,0
LBRT.US,5,20250829,155500,11.3438,11.38,11.3319,11.37,18420,0
LBRT.US,5,20250829,160000,11.37,11.38,11.345,11.35,10437,0
LBRT.US,5,20250829,160500,11.35,11.35,11.27,11.28,13932,0
LBRT.US,5,20250829,161000,11.29,11.29,11.225,11.25,9164,0
LBRT.US,5,20250829,161500,11.25,11.26,11.185,11.19,36299,0
LBRT.US,5,20250829,162000,11.19,11.25,11.19,11.24,96409,0
LBRT.US,5,20250829,162500,11.235,11.27,11.225,11.26,29434,0
LBRT.US,5,20250829,163000,11.27,11.27,11.2,11.245,60712,0
LBRT.US,5,20250829,163500,11.24,11.24,11.18,11.22,67703,0
LBRT.US,5,20250829,164000,11.225,11.29,11.225,11.255,43743,0
LBRT.US,5,20250829,164500,11.255,11.28,11.245,11.27,15042,0
LBRT.US,5,20250829,165000,11.285,11.285,11.25,11.28,22346,0
LBRT.US,5,20250829,165500,11.28,11.335,11.275,11.335,23395,0
LBRT.US,5,20250829,170000,11.3399,11.38,11.3293,11.335,11653,0
LBRT.US,5,20250829,170500,11.34,11.375,11.34,11.375,26483,0
LBRT.US,5,20250829,171000,11.37,11.38,11.31,11.325,20155,0
LBRT.US,5,20250829,171500,11.325,11.335,11.295,11.315,17894,0
LBRT.US,5,20250829,172000,11.315,11.315,11.275,11.28,13772,0
LBRT.US,5,20250829,172500,11.29,11.31,11.27,11.285,12526,0
LBRT.US,5,20250829,173000,11.285,11.29,11.27,11.28,16240,0
LBRT.US,5,20250829,173500,11.275,11.31,11.275,11.31,18736,0
LBRT.US,5,20250829,174000,11.305,11.31,11.25,11.28,27478,0
LBRT.US,5,20250829,174500,11.285,11.305,11.285,11.295,5356,0
LBRT.US,5,20250829,175000,11.295,11.295,11.275,11.29,28134,0
LBRT.US,5,20250829,175500,11.2909,11.3151,11.285,11.3,12211,0
LBRT.US,5,20250829,180000,11.3,11.31,11.28,11.285,44515,0
LBRT.US,5,20250829,180500,11.285,11.31,11.28,11.3099,25303,0
LBRT.US,5,20250829,181000,11.3,11.3,11.25,11.27,48986,0
LBRT.US,5,20250829,181500,11.27,11.275,11.24,11.24,12480,0
LBRT.US,5,20250829,182000,11.24,11.285,11.235,11.285,15940,0
LBRT.US,5,20250829,182500,11.285,11.285,11.235,11.245,7594,0
LBRT.US,5,20250829,183000,11.25,11.275,11.245,11.2554,10844,0
LBRT.US,5,20250829,183500,11.255,11.2863,11.255,11.275,35245,0
LBRT.US,5,20250829,184000,11.275,11.29,11.27,11.29,8386,0
LBRT.US,5,20250829,184500,11.29,11.29,11.24,11.24,13493,0
LBRT.US,5,20250829,185000,11.245,11.255,11.23,11.24,9345,0
LBRT.US,5,20250829,185500,11.24,11.27,11.24,11.26,5766,0
LBRT.US,5,20250829,190000,11.26,11.27,11.245,11.25,10872,0
LBRT.US,5,20250829,190500,11.26,11.27,11.245,11.27,9343,0
LBRT.US,5,20250829,191000,11.2645,11.285,11.26,11.27,7287,0
LBRT.US,5,20250829,191500,11.27,11.27,11.23,11.24,9485,0
LBRT.US,5,20250829,192000,11.24,11.25,11.23,11.24,8089,0
LBRT.US,5,20250829,192500,11.245,11.26,11.24,11.2508,7514,0
LBRT.US,5,20250829,193000,11.255,11.285,11.25,11.275,12343,0
LBRT.US,5,20250829,193500,11.275,11.28,11.27,11.27,12801,0
LBRT.US,5,20250829,194000,11.27,11.27,11.255,11.26,9126,0
LBRT.US,5,20250829,194500,11.26,11.27,11.26,11.26,5370,0
LBRT.US,5,20250829,195000,11.25,11.26,11.24,11.25,7669,0
LBRT.US,5,20250829,195500,11.253137,11.253137,11.23,11.24,12830,0
LBRT.US,5,20250829,200000,11.24,11.249,11.2,11.2,8114,0
LBRT.US,5,20250829,200500,11.2,11.2193,11.2,11.2,12093,0
LBRT.US,5,20250829,201000,11.2,11.22,11.19,11.19,10602,0
LBRT.US,5,20250829,201500,11.195,11.195,11.175,11.185,8307,0
LBRT.US,5,20250829,202000,11.18,11.19,11.165,11.18,11975,0
LBRT.US,5,20250829,202500,11.1881,11.1881,11.175,11.18,4320,0
LBRT.US,5,20250829,203000,11.18,11.18,11.16,11.17,14291,0
LBRT.US,5,20250829,203500,11.17,11.205,11.17,11.205,15115,0
LBRT.US,5,20250829,204000,11.2,11.21,11.18,11.18,28672,0
LBRT.US,5,20250829,204500,11.18,11.19,11.17,11.18,8265,0
LBRT.US,5,20250829,205000,11.18,11.185,11.17,11.185,8387,0
LBRT.US,5,20250829,205500,11.1899,11.1899,11.16,11.17,13272,0
LBRT.US,5,20250829,210000,11.16,11.175,11.15,11.175,11210,0
LBRT.US,5,20250829,210500,11.175,11.1851,11.15,11.15,12948,0
LBRT.US,5,20250829,211000,11.15,11.155,11.1372,11.14,19317,0
LBRT.US,5,20250829,211500,11.1372,11.15,11.125,11.14,15289,0
LBRT.US,5,20250829,212000,11.14,11.155,11.14,11.15,13605,0
