<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LOW.US,5,20250829,153000,257.965,258.55,257.01,257.4077,9645,0
LOW.US,5,20250829,153500,257.42,258.56,257.39,258.55,12008,0
LOW.US,5,20250829,154000,258.36,258.52,257.77,258.5,7417,0
LOW.US,5,20250829,154500,258.25,258.8099,258.1,258.8099,15216,0
LOW.US,5,20250829,155000,258.545,258.545,257.73,258.12,7524,0
LOW.US,5,20250829,155500,258.16,258.21,257.84,257.98,26166,0
LOW.US,5,20250829,160000,258.09,258.51,257.67,257.78,19761,0
LOW.US,5,20250829,160500,257.84,257.84,257.6685,257.745,4048,0
LOW.US,5,20250829,161000,257.56,257.96,257.56,257.96,14161,0
LOW.US,5,20250829,161500,257.885,257.9018,257.52,257.52,4936,0
LOW.US,5,20250829,162000,257.595,257.595,257.33,257.39,3241,0
LOW.US,5,20250829,162500,257.39,257.56,257.35,257.35,13100,0
LOW.US,5,20250829,163000,257.49,258.18,257.49,258.12,14842,0
LOW.US,5,20250829,163500,258,258.1565,257.93,258.08,3133,0
LOW.US,5,20250829,164000,258.115,258.39,258,258.0125,9624,0
LOW.US,5,20250829,164500,258.01,258.12,257.72,257.72,12130,0
LOW.US,5,20250829,165000,257.7615,258.035,257.53,258.035,7994,0
LOW.US,5,20250829,165500,257.89,258,257.7248,257.94,6533,0
LOW.US,5,20250829,170000,257.905,257.95,257.75,257.76,3911,0
LOW.US,5,20250829,170500,257.71,257.94,257.71,257.85,3103,0
LOW.US,5,20250829,171000,257.66,257.715,257.31,257.37,7399,0
LOW.US,5,20250829,171500,257.33,257.3901,256.945,257.005,7040,0
LOW.US,5,20250829,172000,256.935,257.08,256.76,256.78,7390,0
LOW.US,5,20250829,172500,256.8,256.89,256.71,256.71,6447,0
LOW.US,5,20250829,173000,256.72,257,256.67,256.79,15479,0
LOW.US,5,20250829,173500,256.83,256.9024,256.66,256.66,9172,0
LOW.US,5,20250829,174000,256.68,256.68,256.31,256.42,10074,0
LOW.US,5,20250829,174500,256.29,256.45,256.185,256.185,9718,0
LOW.US,5,20250829,175000,256.21,256.225,255.96,256.08,9739,0
LOW.US,5,20250829,175500,256.08,256.575,256.02,256.545,11632,0
LOW.US,5,20250829,180000,256.44,256.735,256.44,256.735,8737,0
LOW.US,5,20250829,180500,256.735,256.75,256.57,256.705,19765,0
LOW.US,5,20250829,181000,256.71,256.71,256.44,256.575,6856,0
LOW.US,5,20250829,181500,256.575,256.6505,256.5,256.6505,3340,0
LOW.US,5,20250829,182000,256.6,256.83,256.6,256.79,5689,0
LOW.US,5,20250829,182500,256.75,256.79,256.67,256.68,6375,0
LOW.US,5,20250829,183000,256.73,256.875,256.63,256.875,8748,0
LOW.US,5,20250829,183500,256.88,256.9,256.78,256.845,2700,0
LOW.US,5,20250829,184000,256.86,256.88,256.74,256.8,6810,0
LOW.US,5,20250829,184500,256.79,256.95,256.79,256.9,12998,0
LOW.US,5,20250829,185000,256.9,256.93,256.67,256.72,3035,0
LOW.US,5,20250829,185500,256.745,256.77,256.73,256.77,3431,0
LOW.US,5,20250829,190000,256.755,256.83,256.515,256.515,7950,0
LOW.US,5,20250829,190500,256.52,256.65,256.41,256.41,2750,0
LOW.US,5,20250829,191000,256.55,256.9677,256.55,256.86,11800,0
LOW.US,5,20250829,191500,256.96,257.054,256.935,257.0475,5509,0
LOW.US,5,20250829,192000,257.03,257.14,256.98,257.04,14861,0
LOW.US,5,20250829,192500,257.07,257.19,257.04,257.175,4071,0
LOW.US,5,20250829,193000,257.164,257.31,257.09,257.23,5397,0
LOW.US,5,20250829,193500,257.25,257.47,257.24,257.38,4033,0
LOW.US,5,20250829,194000,257.43,257.48,257.4,257.41,5063,0
LOW.US,5,20250829,194500,257.46,257.53,257.29,257.29,4764,0
LOW.US,5,20250829,195000,257.315,257.45,257.315,257.34,5179,0
LOW.US,5,20250829,195500,257.385,257.39,257.26,257.2828,3875,0
LOW.US,5,20250829,200000,257.26,257.29,257.12,257.155,13636,0
LOW.US,5,20250829,200500,257.12,257.19,257.03,257.19,11414,0
LOW.US,5,20250829,201000,257.16,257.16,256.97,257,3251,0
LOW.US,5,20250829,201500,257,257.06,256.97,257,3520,0
LOW.US,5,20250829,202000,257.06,257.12,256.82,256.96,4131,0
LOW.US,5,20250829,202500,256.94,257.035,256.86,256.96,4539,0
LOW.US,5,20250829,203000,256.95,257.022,256.9,257.022,6160,0
LOW.US,5,20250829,203500,257.06,257.145,257.01,257.095,9992,0
LOW.US,5,20250829,204000,257.1,257.11,257.03,257.035,5801,0
LOW.US,5,20250829,204500,257.03,257.315,257.03,257.27,6238,0
LOW.US,5,20250829,205000,257.28,257.28,257.1154,257.2736,4188,0
LOW.US,5,20250829,205500,257.26,257.31,257.18,257.23,5783,0
LOW.US,5,20250829,210000,257.2015,257.29,257.14,257.29,5551,0
LOW.US,5,20250829,210500,257.31,257.4,257.27,257.31,10200,0
LOW.US,5,20250829,211000,257.32,257.33,257.2001,257.26,9088,0
LOW.US,5,20250829,211500,257.25,257.275,257.11,257.2,7351,0
LOW.US,5,20250829,212000,257.185,257.23,257.155,257.23,3994,0
LOW.US,5,20250829,212500,257.225,257.31,257.14,257.165,12696,0
LOW.US,5,20250829,213000,257.2,257.32,257.2,257.27,16614,0
LOW.US,5,20250829,213500,257.25,257.43,257.16,257.42,22462,0
LOW.US,5,20250829,214000,257.38,257.64,257.32,257.57,21484,0
LOW.US,5,20250829,214500,257.57,257.845,257.57,257.73,21299,0
LOW.US,5,20250829,215000,257.77,257.96,257.3801,257.715,30139,0
LOW.US,5,20250829,215500,257.77,258.59,257.725,258.06,716981,0
LOW.US,5,20250902,153000,256.14,257.2815,256,256.605,5020,0
LOW.US,5,20250902,153500,256.71,257.065,256.009,256.51,17214,0
LOW.US,5,20250902,154000,256.475,256.475,255.815,256.435,20642,0
LOW.US,5,20250902,154500,256.25,256.38,255.61,256.1275,20556,0
LOW.US,5,20250902,155000,256.1,256.875,256.1,256.835,15852,0
LOW.US,5,20250902,155500,256.94,257.12,256.71,257.12,10796,0
LOW.US,5,20250902,160000,257.12,258.13,257.025,258.11,10400,0
LOW.US,5,20250902,160500,258.14,258.59,258.04,258.3975,15228,0
LOW.US,5,20250902,161000,258.38,258.58,258.25,258.33,13016,0
LOW.US,5,20250902,161500,258.475,258.72,258.41,258.585,8171,0
LOW.US,5,20250902,162000,258.565,259.01,258.44,258.53,21298,0
LOW.US,5,20250902,162500,258.53,258.9,258.32,258.84,11051,0
LOW.US,5,20250902,163000,258.84,258.99,258.52,258.715,1607,0
LOW.US,5,20250902,163500,258.745,258.83,258.4901,258.705,2111,0
LOW.US,5,20250902,164000,258.58,258.61,258.135,258.38,7234,0
LOW.US,5,20250902,164500,258.45,258.58,258.2582,258.52,5038,0
LOW.US,5,20250902,165000,258.53,258.82,258.385,258.74,9713,0
LOW.US,5,20250902,165500,258.7714,258.935,258.67,258.78,4961,0
LOW.US,5,20250902,170000,258.765,258.84,258.49,258.53,4382,0
LOW.US,5,20250902,170500,258.565,258.565,258.29,258.43,3438,0
LOW.US,5,20250902,171000,258.37,258.65,258.37,258.535,5260,0
LOW.US,5,20250902,171500,258.475,258.735,258.27,258.735,7064,0
LOW.US,5,20250902,172000,258.765,258.765,258.3,258.34,4537,0
LOW.US,5,20250902,172500,258.2,258.36,258.09,258.36,5711,0
LOW.US,5,20250902,173000,258.25,258.26,257.95,257.95,6896,0
LOW.US,5,20250902,173500,258.03,258.06,257.815,258.06,9312,0
LOW.US,5,20250902,174000,258.14,258.28,258.1,258.17,2752,0
LOW.US,5,20250902,174500,258.18,258.28,258.06,258.06,4919,0
LOW.US,5,20250902,175000,258.05,258.2,257.9275,258.16,8277,0
LOW.US,5,20250902,175500,258.09,258.25,258.02,258.03,4138,0
LOW.US,5,20250902,180000,258.03,258.2612,258.03,258.15,3152,0
LOW.US,5,20250902,180500,258.04,258.19,257.9472,258.07,4799,0
LOW.US,5,20250902,181000,258.14,258.27,258.1,258.27,3394,0
LOW.US,5,20250902,181500,258.27,258.32,258.23,258.2675,2120,0
LOW.US,5,20250902,182000,258.23,258.36,258.21,258.23,3976,0
