<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTC.US,5,20250829,153000,36.6557,36.6557,36.49,36.49,881,0
LTC.US,5,20250829,153500,36.47,36.47,36.39,36.465,1274,0
LTC.US,5,20250829,154000,36.3686,36.5777,36.3686,36.5777,261,0
LTC.US,5,20250829,154500,36.47,36.58,36.47,36.57,1911,0
LTC.US,5,20250829,155000,36.55,36.58,36.475,36.475,8097,0
LTC.US,5,20250829,155500,36.45,36.47,36.45,36.47,518,0
LTC.US,5,20250829,160000,36.5199,36.54,36.51,36.525,7096,0
LTC.US,5,20250829,160500,36.48,36.505,36.48,36.505,500,0
LTC.US,5,20250829,161000,36.465,36.465,36.41,36.46,1491,0
LTC.US,5,20250829,161500,36.44,36.44,36.4,36.4,445,0
LTC.US,5,20250829,162000,36.405,36.44,36.405,36.44,800,0
LTC.US,5,20250829,163000,36.41,36.46,36.41,36.44,870,0
LTC.US,5,20250829,163500,36.43,36.43,36.4,36.4,922,0
LTC.US,5,20250829,164000,36.41,36.41,36.41,36.41,100,0
LTC.US,5,20250829,164500,36.39,36.39,36.33,36.34,2477,0
LTC.US,5,20250829,165000,36.37,36.37,36.3659,36.3659,345,0
LTC.US,5,20250829,165500,36.37,36.383,36.37,36.383,505,0
LTC.US,5,20250829,170000,36.395,36.416,36.395,36.416,832,0
LTC.US,5,20250829,170500,36.41,36.44,36.4,36.4,2092,0
LTC.US,5,20250829,171000,36.4,36.4,36.395,36.395,400,0
LTC.US,5,20250829,171500,36.385,36.4,36.34,36.38,5649,0
LTC.US,5,20250829,172000,36.33,36.33,36.31,36.31,500,0
LTC.US,5,20250829,172500,36.31,36.31,36.31,36.31,357,0
LTC.US,5,20250829,173000,36.35,36.35,36.35,36.35,381,0
LTC.US,5,20250829,173500,36.36,36.375,36.3505,36.3505,850,0
LTC.US,5,20250829,174000,36.39,36.39,36.39,36.39,300,0
LTC.US,5,20250829,174500,36.43,36.43,36.407,36.407,200,0
LTC.US,5,20250829,175000,36.407,36.407,36.38,36.38,915,0
LTC.US,5,20250829,175500,36.4,36.4,36.4,36.4,211,0
LTC.US,5,20250829,180000,36.4071,36.4274,36.375,36.375,1800,0
LTC.US,5,20250829,180500,36.38,36.38,36.36,36.36,689,0
LTC.US,5,20250829,181000,36.36,36.36,36.36,36.36,116,0
LTC.US,5,20250829,181500,36.36,36.375,36.36,36.375,420,0
