<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAGC.US,5,20250829,155000,25.652326,25.652326,25.652326,25.652326,303,0
MAGC.US,5,20250829,155500,25.67,25.67,25.67,25.67,200,0
MAGC.US,5,20250829,160000,25.73573,25.73573,25.73573,25.73573,100,0
MAGC.US,5,20250829,160500,25.704,25.704,25.704,25.704,100,0
MAGC.US,5,20250829,161500,25.67,25.67,25.67,25.67,100,0
MAGC.US,5,20250829,162000,25.71,25.71,25.71,25.71,200,0
MAGC.US,5,20250829,163000,25.8,25.8,25.8,25.8,819,0
MAGC.US,5,20250829,164500,25.85,25.85,25.8,25.8,941,0
MAGC.US,5,20250829,171000,25.85,25.85,25.85,25.85,223,0
MAGC.US,5,20250829,171500,25.88,25.88,25.87,25.87,777,0
MAGC.US,5,20250829,172000,25.8792,25.8792,25.8792,25.8792,100,0
MAGC.US,5,20250829,173500,25.7741,25.7741,25.7741,25.7741,200,0
MAGC.US,5,20250829,175000,25.78,25.78,25.78,25.78,1800,0
MAGC.US,5,20250829,181000,25.92,25.9201,25.92,25.9201,994,0
MAGC.US,5,20250829,185500,25.9816,25.9816,25.9816,25.9816,135,0
MAGC.US,5,20250829,190000,25.975,25.98,25.975,25.98,861,0
MAGC.US,5,20250829,190500,26,26,25.9928,26,4000,0
MAGC.US,5,20250829,191000,25.9935,25.9935,25.9935,25.9935,1000,0
MAGC.US,5,20250829,192000,25.971,25.971,25.971,25.971,200,0
MAGC.US,5,20250829,193000,25.9644,25.9644,25.9644,25.9644,672,0
MAGC.US,5,20250829,202500,25.96,25.96,25.96,25.96,100,0
MAGC.US,5,20250829,204500,25.9501,25.9501,25.95,25.95,400,0
MAGC.US,5,20250829,215500,25.9359,25.9359,25.9359,25.9359,100,0
MAGC.US,5,20250902,153000,25.79,25.84,25.79,25.8,31142,0
MAGC.US,5,20250902,153500,25.8,25.85,25.8,25.85,264,0
MAGC.US,5,20250902,154000,25.92,25.92,25.92,25.92,3850,0
MAGC.US,5,20250902,154500,25.92,25.92,25.92,25.92,105,0
MAGC.US,5,20250902,155500,25.94,25.96,25.94,25.96,895,0
MAGC.US,5,20250902,160000,26.042,26.042,26.042,26.042,200,0
MAGC.US,5,20250902,161000,26.0404,26.0404,26.0404,26.0404,800,0
MAGC.US,5,20250902,161500,26.05,26.05,26.05,26.05,1609,0
MAGC.US,5,20250902,163000,26.1605,26.1605,26.1605,26.1605,1000,0
MAGC.US,5,20250902,163500,26.1976,26.1976,26.1976,26.1976,191,0
MAGC.US,5,20250902,175000,26.09,26.09,26.09,26.09,300,0
MAGC.US,5,20250902,175500,26.1,26.1,26.1,26.1,200,0
MAGC.US,5,20250902,182000,26.1416,26.146,26.1416,26.146,600,0
MAGC.US,5,20250902,184500,26.15,26.16,26.15,26.16,2688,0
MAGC.US,5,20250902,191500,26.145,26.145,26.145,26.145,100,0
MAGC.US,5,20250902,192500,26.16,26.16,26.16,26.16,377,0
MAGC.US,5,20250902,195500,26.16,26.16,26.16,26.16,1200,0
MAGC.US,5,20250902,201000,26.12,26.127,26.0991,26.0991,13416,0
MAGC.US,5,20250902,203000,26.15,26.15,26.15,26.15,100,0
MAGC.US,5,20250902,205500,26.13,26.13,26.13,26.13,100,0
MAGC.US,5,20250902,211000,26.1916,26.1916,26.1916,26.1916,200,0
MAGC.US,5,20250902,212000,26.21,26.21,26.21,26.21,100,0
