<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDV.US,5,20250829,153000,15.08,15.332,15.05,15.332,945,0
MDV.US,5,20250829,153500,15.0736,15.0736,15.0736,15.0736,600,0
MDV.US,5,20250829,155500,15.1,15.1,15.0805,15.0805,775,0
MDV.US,5,20250829,160500,15.225,15.225,15.225,15.225,729,0
MDV.US,5,20250829,163000,15.2,15.2,15.175,15.175,550,0
MDV.US,5,20250829,164500,15.151,15.155,15.151,15.155,1000,0
MDV.US,5,20250829,165000,15.21,15.21,15.21,15.21,100,0
MDV.US,5,20250829,165500,15.155,15.16,15.155,15.16,200,0
MDV.US,5,20250829,172500,15.15,15.15,15.15,15.15,200,0
MDV.US,5,20250829,173500,15.1548,15.1548,15.15,15.15,1125,0
MDV.US,5,20250829,174000,15.2,15.21,15.2,15.21,200,0
MDV.US,5,20250829,175000,15.155,15.155,15.155,15.155,100,0
MDV.US,5,20250829,180000,15.22,15.22,15.22,15.22,100,0
MDV.US,5,20250829,184500,15.232,15.232,15.205,15.205,693,0
MDV.US,5,20250829,185000,15.215,15.215,15.215,15.215,100,0
MDV.US,5,20250829,190000,15.215,15.215,15.18,15.2,1639,0
MDV.US,5,20250829,191500,15.19,15.19,15.16,15.16,300,0
MDV.US,5,20250829,193000,15.2124,15.2124,15.2124,15.2124,373,0
MDV.US,5,20250829,194000,15.195,15.195,15.195,15.195,100,0
MDV.US,5,20250829,195000,15.27,15.28,15.27,15.28,200,0
MDV.US,5,20250829,195500,15.2,15.2,15.2,15.2,100,0
MDV.US,5,20250829,201000,15.29,15.29,15.2006,15.2006,2100,0
MDV.US,5,20250829,201500,15.27,15.27,15.27,15.27,100,0
MDV.US,5,20250829,202000,15.205,15.205,15.205,15.205,200,0
MDV.US,5,20250829,205000,15.215,15.215,15.165,15.19,663,0
MDV.US,5,20250829,210000,15.185,15.185,15.12,15.12,951,0
MDV.US,5,20250829,211000,15.14,15.155,15.11,15.11,1840,0
MDV.US,5,20250829,211500,15.18,15.18,15.18,15.18,125,0
MDV.US,5,20250829,213500,15.23,15.23,15.23,15.23,100,0
MDV.US,5,20250829,214000,15.14,15.14,15.14,15.14,100,0
MDV.US,5,20250829,214500,15.12,15.12,15.12,15.12,400,0
MDV.US,5,20250829,215000,15.13,15.17,15.09,15.09,402,0
MDV.US,5,20250829,215500,15.1,15.17,15.1,15.17,3168,0
MDV.US,5,20250902,153000,15.11,15.14,15.05,15.1,2585,0
MDV.US,5,20250902,153500,15.1,15.18,15.1,15.18,703,0
MDV.US,5,20250902,154000,15.17,15.17,15.17,15.17,200,0
MDV.US,5,20250902,155500,15.18,15.24,15.135,15.24,840,0
MDV.US,5,20250902,160000,15.25,15.25,15.25,15.25,100,0
MDV.US,5,20250902,160500,15.2751,15.33,15.2751,15.33,863,0
MDV.US,5,20250902,161500,15.295,15.36,15.295,15.35,863,0
